\begin{tabular}{llllllllllllllllllll}
\toprule
t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} \\
\midrule
       1.257 &               0.000 &      133.908 &               0.010 &      264.964 &              -2.615 &      393.700 &              -2.582 &      522.900 &              -2.462 &      652.100 &              -1.748 &      782.247 &              -0.948 &      915.269 &              -0.121 &     1047.202 &               0.073 &     1179.203 &               0.111 \\
       1.889 &               0.000 &      134.679 &               0.009 &      265.735 &              -2.615 &      394.471 &              -2.583 &      523.673 &              -2.458 &      652.733 &              -1.745 &      783.019 &              -0.943 &      915.960 &              -0.116 &     1047.974 &               0.074 &     1179.976 &               0.112 \\
       2.662 &               0.000 &      135.312 &               0.010 &      266.450 &              -2.615 &      395.102 &              -2.582 &      524.306 &              -2.456 &      653.423 &              -1.739 &      783.651 &              -0.939 &      916.592 &              -0.114 &     1048.688 &               0.074 &     1180.608 &               0.112 \\
       3.294 &               0.000 &      136.084 &               0.010 &      267.140 &              -2.614 &      395.735 &              -2.582 &      525.077 &              -2.452 &      654.054 &              -1.736 &      784.423 &              -0.934 &      917.363 &              -0.110 &     1049.379 &               0.074 &     1181.380 &               0.112 \\
       4.065 &               0.000 &      136.798 &               0.010 &      267.771 &              -2.614 &      396.426 &              -2.582 &      525.710 &              -2.450 &      654.746 &              -1.731 &      785.137 &              -0.931 &      918.077 &              -0.107 &     1050.092 &               0.075 &     1182.012 &               0.112 \\
       4.698 &               0.001 &      137.488 &               0.010 &      268.545 &              -2.614 &      397.140 &              -2.582 &      526.482 &              -2.446 &      655.377 &              -1.728 &      785.827 &              -0.925 &      918.768 &              -0.103 &     1050.783 &               0.075 &     1182.784 &               0.113 \\
       5.470 &               0.001 &      138.120 &               0.011 &      269.259 &              -2.614 &      397.830 &              -2.582 &      527.113 &              -2.444 &      656.009 &              -1.726 &      786.460 &              -0.923 &      919.400 &              -0.100 &     1051.496 &               0.075 &     1183.416 &               0.112 \\
       6.103 &               0.001 &      138.894 &               0.011 &      269.949 &              -2.613 &      398.462 &              -2.582 &      527.746 &              -2.441 &      656.700 &              -1.720 &      787.232 &              -0.917 &      920.172 &              -0.096 &     1052.188 &               0.076 &     1184.189 &               0.113 \\
       6.875 &               0.000 &      139.525 &               0.010 &      270.662 &              -2.613 &      399.153 &              -2.581 &      528.436 &              -2.437 &      657.331 &              -1.717 &      787.864 &              -0.914 &      920.804 &              -0.095 &     1052.900 &               0.076 &     1184.820 &               0.112 \\
       7.589 &               0.000 &      140.298 &               0.011 &      271.353 &              -2.613 &      399.867 &              -2.582 &      529.151 &              -2.435 &      658.022 &              -1.711 &      788.636 &              -0.908 &      921.577 &              -0.090 &     1053.591 &               0.076 &     1185.593 &               0.113 \\
       8.280 &               0.001 &      140.929 &               0.010 &      271.986 &              -2.613 &      400.557 &              -2.581 &      529.758 &              -2.430 &      658.736 &              -1.708 &      789.268 &              -0.905 &      922.290 &              -0.088 &     1054.223 &               0.076 &     1186.225 &               0.113 \\
       8.911 &               0.001 &      141.702 &               0.010 &      272.757 &              -2.612 &      401.189 &              -2.581 &      530.391 &              -2.428 &      659.427 &              -1.702 &      790.040 &              -0.900 &      922.981 &              -0.084 &     1054.995 &               0.077 &     1186.998 &               0.113 \\
       9.684 &               0.001 &      142.334 &               0.011 &      273.390 &              -2.612 &      401.821 &              -2.581 &      531.163 &              -2.423 &      660.141 &              -1.700 &      790.672 &              -0.896 &      923.613 &              -0.083 &     1055.627 &               0.077 &     1187.629 &               0.113 \\
      10.398 &               0.001 &      143.106 &               0.011 &      274.162 &              -2.611 &      402.512 &              -2.581 &      531.795 &              -2.422 &      660.831 &              -1.694 &      791.445 &              -0.890 &      924.385 &              -0.078 &     1056.400 &               0.077 &     1188.401 &               0.114 \\
      11.088 &               0.001 &      143.821 &               0.011 &      274.793 &              -2.612 &      403.143 &              -2.581 &      532.568 &              -2.416 &      661.462 &              -1.691 &      792.076 &              -0.887 &      925.099 &              -0.077 &     1057.032 &               0.077 &     1189.034 &               0.113 \\
      11.720 &               0.001 &      144.511 &               0.011 &      275.427 &              -2.612 &      403.834 &              -2.581 &      533.199 &              -2.415 &      662.095 &              -1.688 &      792.849 &              -0.882 &      925.789 &              -0.073 &     1057.805 &               0.078 &     1189.806 &               0.114 \\
      12.493 &               0.002 &      145.142 &               0.010 &      276.117 &              -2.612 &      404.465 &              -2.580 &      533.972 &              -2.410 &      662.786 &              -1.684 &      793.480 &              -0.879 &      926.504 &              -0.072 &     1058.518 &               0.078 &     1190.438 &               0.114 \\
      13.125 &               0.001 &      145.915 &               0.011 &      276.748 &              -2.611 &      405.239 &              -2.580 &      534.604 &              -2.408 &      663.417 &              -1.680 &      794.252 &              -0.873 &      927.194 &              -0.068 &     1059.208 &               0.078 &     1191.210 &               0.114 \\
      13.898 &               0.001 &      146.630 &               0.010 &      277.439 &              -2.610 &      405.952 &              -2.580 &      535.376 &              -2.403 &      664.108 &              -1.675 &      794.885 &              -0.870 &      927.838 &              -0.066 &     1059.840 &               0.078 &     1191.841 &               0.114 \\
      14.611 &               0.001 &      147.320 &               0.011 &      278.072 &              -2.610 &      406.643 &              -2.579 &      536.008 &              -2.401 &      664.739 &              -1.672 &      795.658 &              -0.865 &      928.610 &              -0.063 &     1060.612 &               0.079 &     1192.614 &               0.114 \\
      15.302 &               0.001 &      147.952 &               0.011 &      278.843 &              -2.611 &      407.275 &              -2.579 &      536.780 &              -2.396 &      665.512 &              -1.666 &      796.290 &              -0.861 &      929.241 &              -0.061 &     1061.327 &               0.079 &     1193.247 &               0.114 \\
      15.933 &               0.001 &      148.724 &               0.011 &      279.475 &              -2.611 &      408.047 &              -2.579 &      537.412 &              -2.393 &      666.144 &              -1.663 &      797.061 &              -0.855 &      930.014 &              -0.058 &     1062.017 &               0.080 &     1194.018 &               0.115 \\
      16.707 &               0.001 &      149.438 &               0.011 &      280.108 &              -2.611 &      408.680 &              -2.579 &      538.185 &              -2.389 &      666.917 &              -1.658 &      797.694 &              -0.853 &      930.646 &              -0.057 &     1062.731 &               0.079 &     1194.651 &               0.114 \\
      17.420 &               0.001 &      150.129 &               0.011 &      280.797 &              -2.610 &      409.451 &              -2.579 &      538.899 &              -2.386 &      667.548 &              -1.654 &      798.466 &              -0.847 &      931.418 &              -0.054 &     1063.422 &               0.080 &     1195.422 &               0.115 \\
      18.112 &               0.001 &      150.842 &               0.012 &      281.429 &              -2.610 &      410.083 &              -2.579 &      539.589 &              -2.382 &      668.320 &              -1.648 &      799.098 &              -0.844 &      932.050 &              -0.052 &     1064.054 &               0.080 &     1196.054 &               0.115 \\
      18.742 &               0.001 &      151.533 &               0.011 &      282.120 &              -2.610 &      410.856 &              -2.579 &      540.303 &              -2.380 &      668.952 &              -1.646 &      799.871 &              -0.837 &      932.822 &              -0.050 &     1064.825 &               0.081 &     1196.827 &               0.115 \\
      19.515 &               0.001 &      152.247 &               0.011 &      282.752 &              -2.610 &      411.488 &              -2.578 &      540.993 &              -2.374 &      669.724 &              -1.641 &      800.502 &              -0.835 &      933.454 &              -0.048 &     1065.540 &               0.081 &     1197.459 &               0.115 \\
      20.229 &               0.001 &      152.937 &               0.011 &      283.525 &              -2.610 &      412.261 &              -2.578 &      541.625 &              -2.372 &      670.357 &              -1.637 &      801.274 &              -0.829 &      934.227 &              -0.046 &     1066.229 &               0.081 &     1198.231 &               0.116 \\
      20.920 &               0.002 &      153.569 &               0.011 &      284.157 &              -2.609 &      412.974 &              -2.579 &      542.257 &              -2.370 &      670.989 &              -1.634 &      801.907 &              -0.826 &      934.941 &              -0.044 &     1066.862 &               0.081 &     1198.864 &               0.115 \\
      21.633 &               0.001 &      154.341 &               0.012 &      284.928 &              -2.609 &      413.664 &              -2.578 &      542.948 &              -2.366 &      671.679 &              -1.628 &      802.679 &              -0.821 &      935.631 &              -0.042 &     1067.634 &               0.081 &     1199.635 &               0.116 \\
      22.325 &               0.001 &      154.974 &               0.011 &      285.643 &              -2.609 &      414.297 &              -2.578 &      543.581 &              -2.363 &      672.393 &              -1.626 &      803.311 &              -0.818 &      936.263 &              -0.040 &     1068.348 &               0.081 &     1200.268 &               0.116 \\
      23.038 &               0.002 &      155.746 &               0.012 &      286.334 &              -2.608 &      415.068 &              -2.578 &      544.271 &              -2.358 &      673.083 &              -1.620 &      804.083 &              -0.812 &      937.036 &              -0.037 &     1069.038 &               0.082 &     1201.039 &               0.116 \\
      23.728 &               0.002 &      156.378 &               0.012 &      286.965 &              -2.608 &      415.702 &              -2.578 &      544.902 &              -2.356 &      673.716 &              -1.618 &      804.798 &              -0.809 &      937.668 &              -0.036 &     1069.752 &               0.082 &     1201.672 &               0.116 \\
      24.442 &               0.003 &      157.151 &               0.012 &      287.598 &              -2.608 &      416.473 &              -2.578 &      545.534 &              -2.353 &      674.405 &              -1.611 &      805.488 &              -0.803 &      938.440 &              -0.034 &     1070.443 &               0.083 &     1202.444 &               0.117 \\
      25.132 &               0.003 &      157.784 &               0.012 &      288.288 &              -2.607 &      417.105 &              -2.578 &      546.225 &              -2.348 &      675.038 &              -1.608 &      806.120 &              -0.800 &      939.153 &              -0.033 &     1071.075 &               0.083 &     1203.076 &               0.116 \\
      25.765 &               0.002 &      158.556 &               0.012 &      288.920 &              -2.608 &      417.737 &              -2.577 &      547.079 &              -2.344 &      675.670 &              -1.606 &      806.892 &              -0.794 &      939.844 &              -0.030 &     1071.846 &               0.083 &     1203.848 &               0.117 \\
