\begin{tabular}{llllllllllllllllllll}
\toprule
t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} \\
\midrule
        1.29 &               0.016 &      117.837 &               0.037 &       233.74 &              -1.119 &      346.998 &              -2.254 &      460.046 &              -2.228 &      574.005 &               -1.92 &      688.853 &               -0.94 &      804.778 &               0.136 &      920.561 &               0.717 &     1036.473 &               0.789 \\
       2.062 &               0.017 &      118.609 &               0.037 &      234.372 &              -1.131 &      347.629 &              -2.253 &      460.736 &              -2.227 &      574.636 &              -1.917 &      689.625 &              -0.931 &      805.408 &                0.14 &      921.333 &               0.718 &     1037.186 &                0.79 \\
       2.695 &               0.017 &      119.242 &               0.037 &      235.144 &              -1.156 &      348.262 &              -2.254 &      461.368 &              -2.228 &      575.408 &               -1.91 &      690.338 &              -0.927 &      806.182 &               0.149 &      921.965 &               0.719 &     1037.877 &                0.79 \\
       3.466 &               0.017 &      120.013 &               0.037 &      235.858 &              -1.169 &      348.953 &              -2.253 &       462.14 &              -2.227 &      576.041 &              -1.906 &       691.03 &              -0.918 &      806.813 &               0.153 &      922.738 &                0.72 &      1038.51 &                0.79 \\
        4.18 &               0.017 &      120.645 &               0.037 &      236.548 &              -1.193 &      349.585 &              -2.254 &      462.771 &              -2.227 &      576.813 &                -1.9 &      691.661 &              -0.913 &      807.585 &               0.161 &      923.369 &               0.721 &     1039.281 &               0.791 \\
       4.871 &               0.017 &      121.418 &               0.037 &       237.18 &              -1.206 &      350.274 &              -2.253 &      463.403 &              -2.227 &      577.527 &              -1.896 &      692.434 &              -0.906 &      808.217 &               0.165 &      924.142 &               0.721 &     1039.913 &               0.791 \\
       5.584 &               0.017 &      122.131 &               0.038 &      237.952 &               -1.23 &      350.907 &              -2.253 &      464.094 &              -2.227 &      578.218 &              -1.888 &      693.066 &              -0.901 &       808.99 &               0.173 &      924.773 &               0.722 &     1040.686 &               0.791 \\
       6.275 &               0.017 &      122.822 &               0.038 &      238.585 &              -1.242 &      351.679 &              -2.253 &      464.727 &              -2.227 &      578.849 &              -1.885 &      693.838 &              -0.893 &      809.621 &               0.177 &      925.545 &               0.723 &     1041.317 &               0.791 \\
       6.907 &               0.017 &      123.454 &               0.038 &      239.356 &              -1.266 &      352.393 &              -2.253 &      465.416 &              -2.227 &      579.621 &              -1.878 &       694.47 &              -0.889 &      810.394 &               0.186 &      926.177 &               0.722 &     1042.089 &               0.791 \\
       7.678 &               0.018 &      124.226 &               0.038 &      240.071 &              -1.277 &      353.083 &              -2.252 &      466.048 &              -2.226 &      580.253 &              -1.874 &      695.242 &               -0.88 &      811.025 &               0.191 &       926.95 &               0.724 &     1042.721 &               0.792 \\
       8.393 &               0.018 &      124.859 &               0.038 &       240.76 &              -1.299 &      353.715 &              -2.252 &       466.82 &              -2.227 &      580.885 &              -1.871 &      695.955 &              -0.876 &      811.798 &                 0.2 &      927.582 &               0.725 &     1043.494 &               0.792 \\
       9.083 &               0.018 &       125.63 &               0.038 &      241.475 &              -1.311 &      354.347 &              -2.253 &      467.534 &              -2.226 &      581.576 &              -1.863 &      696.645 &              -0.868 &      812.429 &               0.204 &      928.354 &               0.725 &     1044.207 &               0.792 \\
       9.715 &               0.018 &      126.262 &               0.038 &      242.166 &              -1.334 &      355.037 &              -2.252 &      468.224 &              -2.225 &      582.207 &               -1.86 &      697.278 &              -0.864 &      813.202 &               0.213 &      928.986 &               0.725 &     1044.897 &               0.792 \\
      10.488 &               0.018 &      127.034 &               0.039 &      242.798 &              -1.345 &      355.669 &              -2.252 &      468.939 &              -2.227 &      582.898 &              -1.853 &      698.051 &              -0.855 &      813.834 &               0.217 &      929.758 &               0.726 &      1045.53 &               0.792 \\
