\begin{tabular}{llllllllllllllllllll}
\toprule
t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} \\
\midrule
       0.701 &                   0 &      103.246 &               0.018 &      197.191 &              -1.199 &      289.196 &              -1.361 &      388.545 &               -1.34 &      496.152 &              -1.318 &      597.512 &              -0.977 &      698.275 &              -0.347 &      790.279 &               0.016 &      901.242 &               0.088 \\
       1.472 &                   0 &      103.936 &               0.019 &      197.963 &              -1.208 &      289.827 &              -1.361 &      389.316 &              -1.341 &      496.923 &              -1.318 &      598.447 &              -0.971 &      699.048 &               -0.34 &       790.91 &               0.017 &      902.096 &               0.089 \\
       2.187 &                   0 &      104.871 &               0.019 &      198.678 &              -1.213 &      290.599 &              -1.361 &      390.253 &               -1.34 &      497.555 &              -1.319 &      599.383 &              -0.966 &      699.761 &              -0.337 &      791.683 &               0.018 &      903.031 &               0.089 \\
       2.876 &                   0 &      105.584 &               0.018 &      199.367 &              -1.221 &      291.231 &               -1.36 &      391.188 &               -1.34 &      498.326 &              -1.319 &      600.319 &              -0.961 &      700.451 &              -0.331 &      792.395 &               0.018 &      903.968 &                0.09 \\
       3.508 &               0.001 &      106.275 &               0.019 &      199.999 &              -1.226 &      292.003 &               -1.36 &      392.125 &               -1.34 &      498.958 &              -1.319 &      601.254 &              -0.955 &      701.083 &              -0.328 &      793.086 &               0.019 &      904.903 &               0.089 \\
        4.28 &               0.001 &      106.988 &               0.019 &      200.771 &              -1.234 &      292.634 &              -1.361 &      392.838 &              -1.339 &       499.73 &              -1.318 &      601.968 &              -0.952 &      701.855 &              -0.323 &      793.799 &               0.021 &      905.617 &                0.09 \\
       4.912 &               0.002 &       107.76 &               0.019 &      201.402 &              -1.237 &      293.406 &               -1.36 &      393.691 &              -1.339 &      500.362 &              -1.319 &      602.821 &              -0.946 &      702.487 &              -0.319 &       794.49 &               0.021 &      906.389 &               0.091 \\
       5.683 &               0.002 &      108.615 &               0.019 &      202.174 &              -1.246 &      294.038 &               -1.36 &      394.463 &              -1.339 &      501.134 &              -1.318 &      603.594 &              -0.941 &      703.258 &              -0.313 &      795.203 &               0.022 &      907.242 &               0.092 \\
       6.315 &               0.002 &      109.327 &               0.019 &      202.806 &              -1.249 &       294.81 &               -1.36 &        395.4 &              -1.338 &      501.847 &              -1.318 &      604.529 &              -0.935 &      703.889 &              -0.309 &      795.893 &               0.023 &      907.956 &               0.091 \\
       7.087 &               0.001 &      110.099 &               0.019 &      203.578 &              -1.256 &      295.442 &               -1.36 &      396.113 &              -1.339 &      502.538 &              -1.318 &      605.465 &               -0.93 &      704.661 &              -0.303 &      796.607 &               0.023 &      908.727 &               0.092 \\
       7.801 &               0.001 &      110.954 &               0.019 &      204.209 &               -1.26 &      296.214 &              -1.359 &      396.884 &              -1.338 &      503.251 &              -1.318 &      606.401 &              -0.924 &      705.376 &              -0.299 &      797.296 &               0.024 &      909.581 &               0.092 \\
       8.491 &               0.002 &       111.89 &               0.019 &      204.982 &              -1.267 &      296.846 &              -1.359 &      397.738 &              -1.338 &      503.941 &              -1.317 &      607.114 &              -0.922 &      706.065 &              -0.293 &      798.009 &               0.025 &      910.517 &               0.092 \\
       9.204 &               0.002 &      112.825 &               0.019 &      205.612 &               -1.27 &      297.618 &               -1.36 &      398.674 &              -1.338 &      504.654 &              -1.318 &      607.969 &              -0.917 &      706.697 &              -0.289 &      798.781 &               0.026 &      911.231 &               0.093 \\
       9.894 &               0.002 &      113.539 &                0.02 &      206.385 &              -1.276 &      298.248 &              -1.359 &      399.387 &              -1.338 &      505.344 &              -1.317 &      608.822 &              -0.911 &      707.468 &              -0.283 &      799.636 &               0.027 &      912.003 &               0.092 \\
      10.608 &               0.002 &      114.393 &                0.02 &      207.016 &               -1.28 &      299.021 &              -1.359 &       400.16 &              -1.337 &      505.976 &              -1.318 &      609.676 &              -0.906 &      708.182 &               -0.28 &      800.572 &               0.027 &      912.857 &               0.093 \\
      11.298 &               0.002 &      115.164 &                0.02 &      207.788 &              -1.287 &      299.734 &              -1.359 &      401.014 &              -1.337 &      506.748 &              -1.318 &      610.612 &              -0.901 &      708.872 &              -0.274 &      801.285 &               0.028 &       913.57 &               0.093 \\
       11.93 &               0.003 &      115.877 &               0.021 &      208.503 &              -1.289 &      300.424 &              -1.359 &      401.949 &              -1.337 &       507.38 &              -1.317 &      611.547 &              -0.895 &      709.504 &              -0.271 &      802.139 &               0.029 &      914.341 &               0.094 \\
      12.702 &               0.002 &      116.649 &               0.021 &      209.192 &              -1.295 &      301.137 &              -1.358 &      402.663 &              -1.337 &      508.151 &              -1.317 &      612.483 &               -0.89 &      710.276 &              -0.264 &      802.911 &                0.03 &      915.196 &               0.094 \\
      13.333 &               0.003 &      117.281 &                0.02 &      209.823 &              -1.298 &      301.828 &              -1.359 &      403.434 &              -1.338 &      508.864 &              -1.317 &      613.419 &              -0.884 &      710.907 &              -0.262 &      803.624 &                0.03 &      916.132 &               0.094 \\
      14.105 &               0.003 &      117.971 &                0.02 &      210.595 &              -1.303 &       302.46 &              -1.359 &      404.288 &              -1.337 &      509.556 &              -1.317 &      614.354 &              -0.879 &      711.679 &              -0.256 &      804.397 &               0.031 &      917.066 &               0.094 \\
      14.737 &               0.003 &      118.603 &               0.021 &      211.228 &              -1.307 &      303.232 &              -1.358 &      405.225 &              -1.336 &      510.187 &              -1.316 &      615.068 &              -0.876 &      712.311 &              -0.252 &       805.25 &               0.032 &      918.002 &               0.095 \\
      15.509 &               0.003 &      119.374 &               0.021 &          212 &              -1.312 &      303.945 &              -1.358 &      406.159 &              -1.337 &      510.959 &              -1.316 &      615.921 &               -0.87 &      713.083 &              -0.246 &      806.185 &               0.032 &      918.939 &               0.095 \\
      16.222 &               0.003 &      120.006 &               0.021 &      212.631 &              -1.314 &      304.635 &              -1.358 &      407.095 &              -1.336 &      511.672 &              -1.316 &      616.694 &              -0.865 &      713.796 &              -0.243 &      807.121 &               0.034 &      919.874 &               0.096 \\
      16.913 &               0.004 &      120.778 &               0.021 &      213.403 &              -1.318 &      305.349 &              -1.357 &      408.031 &              -1.336 &      512.361 &              -1.316 &       617.63 &              -0.859 &      714.487 &              -0.237 &      808.058 &               0.034 &       920.81 &               0.097 \\
      17.544 &               0.003 &       121.41 &               0.022 &      214.035 &              -1.321 &      306.039 &              -1.357 &      408.745 &              -1.336 &      512.994 &              -1.316 &      618.565 &              -0.854 &      715.119 &              -0.234 &      808.992 &               0.035 &      921.746 &               0.096 \\
      18.316 &               0.003 &      122.182 &               0.021 &      214.807 &              -1.325 &      306.753 &              -1.357 &      409.517 &              -1.336 &      513.765 &              -1.316 &      619.501 &              -0.848 &      715.891 &              -0.228 &      809.929 &               0.035 &      922.459 &               0.096 \\
      19.029 &               0.003 &      122.813 &               0.021 &       215.52 &              -1.327 &      307.442 &              -1.357 &       410.37 &              -1.335 &      514.479 &              -1.316 &      620.436 &              -0.842 &      716.522 &              -0.225 &      810.864 &               0.038 &      923.313 &               0.098 \\
      19.719 &               0.004 &      123.586 &               0.022 &       216.21 &              -1.331 &      308.157 &              -1.357 &      411.084 &              -1.335 &       515.17 &              -1.316 &      621.372 &              -0.837 &      717.294 &              -0.219 &      811.577 &               0.037 &      924.166 &               0.097 \\
      20.351 &               0.004 &      124.218 &               0.022 &      216.924 &              -1.333 &      308.846 &              -1.357 &      411.937 &              -1.336 &      515.883 &              -1.315 &      622.085 &              -0.834 &      717.925 &              -0.215 &       812.35 &               0.038 &      925.021 &               0.098 \\
      21.123 &               0.004 &      124.988 &               0.023 &      217.613 &              -1.337 &      309.477 &              -1.356 &      412.792 &              -1.335 &      516.573 &              -1.314 &      622.857 &              -0.827 &      718.697 &              -0.209 &      813.204 &               0.038 &      925.957 &               0.099 \\
      21.755 &               0.004 &      125.621 &               0.021 &      218.245 &              -1.338 &      310.249 &              -1.357 &      413.645 &              -1.335 &      517.286 &              -1.315 &      623.711 &              -0.823 &      719.411 &              -0.206 &      814.139 &               0.039 &      926.892 &               0.099 \\
      22.527 &               0.004 &      126.392 &               0.022 &      219.017 &               -1.34 &      310.962 &              -1.357 &      414.359 &              -1.335 &      517.977 &              -1.314 &      624.647 &              -0.817 &      720.101 &                -0.2 &      815.075 &                0.04 &      927.827 &               0.099 \\
      23.158 &               0.004 &      127.024 &               0.022 &      219.648 &              -1.343 &      311.653 &              -1.355 &      415.131 &              -1.334 &       518.69 &              -1.313 &      625.582 &              -0.811 &      720.733 &              -0.196 &      816.011 &               0.041 &      928.542 &               0.098 \\
       23.93 &               0.005 &      127.796 &               0.023 &      220.421 &              -1.347 &      312.285 &              -1.356 &      415.985 &              -1.335 &       519.38 &              -1.314 &      626.518 &              -0.805 &      721.504 &               -0.19 &      816.947 &               0.042 &      929.231 &               0.099 \\
      24.644 &               0.004 &      128.428 &               0.023 &      221.053 &              -1.347 &      313.057 &              -1.356 &       416.92 &              -1.335 &      520.011 &              -1.313 &      627.455 &              -0.799 &      722.136 &              -0.188 &      817.881 &               0.042 &      929.945 &               0.099 \\
      25.417 &               0.004 &        129.2 &               0.023 &      221.825 &               -1.35 &      313.688 &              -1.356 &      417.634 &              -1.335 &      520.783 &              -1.312 &       628.39 &              -0.793 &      722.908 &              -0.181 &      818.818 &               0.043 &      930.716 &                 0.1 \\
       26.27 &               0.005 &      129.831 &               0.022 &      222.537 &              -1.351 &      314.459 &              -1.355 &      418.324 &              -1.335 &      521.415 &              -1.311 &      629.337 &              -0.788 &      723.539 &              -0.179 &      819.753 &               0.044 &      931.571 &                 0.1 \\
      26.983 &               0.006 &      130.603 &               0.023 &      223.229 &              -1.353 &      315.174 &              -1.356 &       419.26 &              -1.334 &      522.188 &              -1.311 &      630.273 &              -0.782 &      724.312 &              -0.172 &      820.689 &               0.044 &      932.506 &                 0.1 \\
      27.756 &               0.005 &      131.235 &               0.024 &       223.86 &              -1.355 &      315.863 &              -1.355 &      419.973 &              -1.334 &      522.819 &              -1.309 &      631.209 &              -0.777 &      724.943 &              -0.169 &      821.625 &               0.045 &       933.22 &               0.101 \\
      28.609 &               0.005 &      132.007 &               0.023 &      224.632 &              -1.356 &      316.495 &              -1.355 &      420.745 &              -1.333 &       523.59 &              -1.308 &      632.145 &               -0.77 &      725.715 &              -0.163 &       822.56 &               0.047 &      933.992 &               0.101 \\
      29.545 &               0.005 &      132.638 &               0.023 &      225.262 &              -1.358 &      317.268 &              -1.356 &      421.599 &              -1.334 &      524.304 &              -1.307 &       633.08 &              -0.765 &      726.346 &               -0.16 &      823.497 &               0.047 &      934.845 &               0.101 \\
      30.481 &               0.006 &       133.41 &               0.023 &      226.034 &               -1.36 &       317.98 &              -1.355 &      422.312 &              -1.334 &      524.995 &              -1.307 &      634.016 &              -0.759 &      727.118 &              -0.154 &      824.432 &               0.047 &      935.781 &               0.101 \\
      31.194 &               0.005 &      134.042 &               0.024 &      226.667 &               -1.36 &      318.671 &              -1.355 &      423.084 &              -1.334 &      525.626 &              -1.306 &      634.952 &              -0.753 &      727.832 &              -0.152 &      825.368 &               0.048 &      936.496 &               0.101 \\
      32.048 &               0.006 &      134.814 &               0.024 &      227.439 &              -1.362 &      319.302 &              -1.354 &      423.938 &              -1.333 &      526.398 &              -1.304 &      635.887 &              -0.747 &      728.522 &              -0.147 &      826.303 &               0.049 &      937.267 &               0.102 \\
       32.82 &               0.006 &      135.527 &               0.024 &       228.07 &              -1.361 &      320.075 &              -1.355 &      424.651 &              -1.333 &      527.111 &              -1.303 &      636.823 &              -0.741 &      729.236 &              -0.144 &      827.239 &               0.049 &      938.121 &               0.102 \\
      33.756 &               0.007 &      136.217 &               0.024 &      228.842 &              -1.364 &      320.706 &              -1.354 &      425.341 &              -1.332 &      527.801 &              -1.301 &      637.536 &              -0.739 &      729.926 &              -0.139 &      827.953 &                0.05 &      939.056 &               0.102 \\
      34.691 &               0.007 &      136.931 &               0.024 &      229.474 &              -1.364 &      321.478 &              -1.354 &      425.973 &              -1.333 &      528.515 &                -1.3 &      638.226 &              -0.733 &      730.558 &              -0.136 &      828.807 &               0.051 &      939.991 &               0.103 \\
      35.406 &               0.007 &      137.621 &               0.024 &      230.246 &              -1.365 &      322.192 &              -1.354 &      426.746 &              -1.333 &      529.287 &              -1.298 &       638.94 &               -0.73 &       731.33 &              -0.132 &      829.578 &               0.051 &      940.927 &               0.103 \\
      36.259 &               0.007 &      138.253 &               0.024 &      230.877 &              -1.366 &      322.881 &              -1.354 &      427.377 &              -1.332 &      530.141 &              -1.296 &      639.711 &              -0.724 &      732.043 &              -0.129 &      830.514 &               0.051 &      941.863 &               0.103 \\
