\begin{tabular}{llllllllllllllllllll}
\toprule
t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} & t/\mathrm{s} & \Delta T/\mathrm{K} \\
\midrule
       1.221 &               0.001 &      113.808 &               0.023 &      219.515 &              -1.270 &      332.264 &              -1.317 &      441.046 &              -1.294 &      535.011 &              -0.895 &      629.044 &              -0.292 &      723.091 &               0.236 &      817.124 &               0.333 &      911.158 &               0.372 \\
       1.993 &               0.000 &      114.742 &               0.023 &      220.228 &              -1.273 &      333.198 &              -1.317 &      441.736 &              -1.293 &      535.782 &              -0.889 &      629.817 &              -0.286 &      723.862 &               0.239 &      817.896 &               0.335 &      911.929 &               0.373 \\
       2.625 &               0.001 &      115.679 &               0.023 &      221.082 &              -1.278 &      334.135 &              -1.317 &      442.367 &              -1.293 &      536.413 &              -0.887 &      630.449 &              -0.283 &      724.576 &               0.239 &      818.528 &               0.334 &      912.562 &               0.373 \\
       3.397 &               0.001 &      116.614 &               0.023 &      221.854 &              -1.283 &      335.070 &              -1.316 &      443.140 &              -1.293 &      537.186 &              -0.881 &      631.220 &              -0.277 &      725.266 &               0.241 &      819.299 &               0.335 &      913.334 &               0.374 \\
       4.029 &               0.001 &      117.550 &               0.024 &      222.790 &              -1.289 &      335.784 &              -1.316 &      443.771 &              -1.293 &      537.899 &              -0.878 &      631.851 &              -0.273 &      725.897 &               0.242 &      819.931 &               0.336 &      913.966 &               0.374 \\
       4.801 &               0.002 &      118.486 &               0.023 &      223.725 &              -1.293 &      336.556 &              -1.316 &      444.543 &              -1.293 &      538.590 &              -0.872 &      632.624 &              -0.267 &      726.669 &               0.245 &      820.703 &               0.336 &      914.737 &               0.374 \\
       5.514 &               0.002 &      119.421 &               0.023 &      224.661 &              -1.297 &      337.408 &              -1.316 &      445.175 &              -1.292 &      539.221 &              -0.869 &      633.337 &              -0.264 &      727.301 &               0.245 &      821.335 &               0.336 &      915.368 &               0.375 \\
       6.204 &               0.001 &      120.357 &               0.023 &      225.596 &              -1.301 &      338.123 &              -1.316 &      445.947 &              -1.291 &      539.993 &              -0.863 &      634.027 &              -0.257 &      728.073 &               0.247 &      822.107 &               0.336 &      916.140 &               0.374 \\
       6.835 &               0.002 &      121.293 &               0.024 &      226.310 &              -1.303 &      338.813 &              -1.316 &      446.579 &              -1.291 &      540.625 &              -0.860 &      634.658 &              -0.255 &      728.705 &               0.248 &      822.738 &               0.337 &      916.854 &               0.375 \\
       7.607 &               0.002 &      122.228 &               0.024 &      227.082 &              -1.306 &      339.526 &              -1.315 &      447.350 &              -1.291 &      541.397 &              -0.855 &      635.430 &              -0.248 &      729.477 &               0.250 &      823.511 &               0.337 &      917.544 &               0.375 \\
       8.238 &               0.002 &      123.164 &               0.025 &      227.937 &              -1.310 &      340.216 &              -1.316 &      447.983 &              -1.290 &      542.028 &              -0.852 &      636.062 &              -0.245 &      730.190 &               0.250 &      824.224 &               0.338 &      918.175 &               0.375 \\
       9.011 &               0.002 &      124.099 &               0.024 &      228.872 &              -1.312 &      341.151 &              -1.315 &      448.754 &              -1.289 &      542.800 &              -0.847 &      636.834 &              -0.239 &      730.880 &               0.252 &      824.914 &               0.337 &      918.947 &               0.375 \\
       9.725 &               0.002 &      125.036 &               0.024 &      229.807 &              -1.315 &      341.866 &              -1.315 &      449.385 &              -1.289 &      543.431 &              -0.844 &      637.547 &              -0.236 &      731.512 &               0.253 &      825.545 &               0.339 &      919.579 &               0.376 \\
      10.415 &               0.002 &      125.971 &               0.024 &      230.743 &              -1.317 &      342.555 &              -1.315 &      450.157 &              -1.288 &      544.203 &              -0.838 &      638.238 &              -0.229 &      732.284 &               0.255 &      826.318 &               0.339 &      920.351 &               0.376 \\
      11.047 &               0.003 &      126.907 &               0.026 &      231.679 &              -1.320 &      343.269 &              -1.314 &      450.870 &              -1.288 &      544.917 &              -0.835 &      638.869 &              -0.227 &      732.997 &               0.255 &      826.949 &               0.339 &      920.983 &               0.376 \\
      11.900 &               0.002 &      127.842 &               0.025 &      232.614 &              -1.322 &      344.041 &              -1.314 &      451.561 &              -1.286 &      545.607 &              -0.830 &      639.641 &              -0.219 &      733.687 &               0.257 &      827.721 &               0.340 &      921.754 &               0.376 \\
