index	original	background	difference
-----------------------------------------------------
1	1137	1099	38
2	1133	1102	31
3	1168	1106	62
4	1186	1108	78
5	1192	1105	87
6	1167	1099	68
7	1178	1105	73
8	1197	1107	90
9	1178	1109	69
10	1158	1109	49
11	1163	1111	52
12	1180	1110	70
13	1187	1111	76
14	1152	1120	32
15	1146	1130	16
16	1153	1117	36
17	1164	1111	53
18	1178	1111	67
19	1183	1123	60
20	1171	1116	55
21	1177	1102	75
22	1212	1121	91
23	1190	1117	73
24	1197	1121	76
25	1201	1121	80
26	1165	1122	43
27	1188	1126	62
28	1206	1123	83
29	1187	1118	69
30	1188	1116	72
31	1195	1124	71
32	1198	1123	75
33	1210	1128	82
34	1199	1131	68
35	1190	1125	65
36	1189	1128	61
37	1183	1122	61
38	1202	1126	76
39	1209	1125	84
40	1213	1128	85
41	1218	1123	95
42	1193	1114	79
43	1220	1124	96
44	1207	1139	68
45	1196	1133	63
46	1194	1125	69
47	1204	1128	76
48	1199	1137	62
49	1203	1143	60
50	1188	1136	52
51	1210	1138	72
52	1210	1139	71
53	1205	1136	69
54	1203	1138	65
55	1199	1130	69
56	1220	1132	88
57	1219	1126	93
58	1213	1130	83
59	1212	1141	71
60	1190	1130	60
61	1217	1126	91
62	1204	1138	66
63	1197	1144	53
64	1191	1140	51
65	1220	1132	88
66	1247	1129	118
67	1213	1131	82
68	1182	1131	51
69	1197	1136	61
70	1207	1134	73
71	1218	1135	83
72	1208	1142	66
73	1205	1152	53
74	1203	1147	56
75	1230	1140	90
76	1206	1141	65
77	1194	1142	52
78	1214	1147	67
79	1211	1147	64
80	1183	1142	41
81	1200	1137	63
82	1226	1132	94
83	1225	1129	96
84	1208	1131	77
85	1215	1137	78
86	1214	1133	81
87	1217	1137	80
88	1229	1146	83
89	1229	1149	80
90	1194	1145	49
91	1195	1140	55
92	1185	1138	47
93	1189	1140	49
94	1211	1138	73
95	1232	1139	93
96	1225	1136	89
97	1221	1140	81
98	1227	1146	81
99	1227	1142	85
100	1233	1135	98
101	1226	1141	85
102	1191	1140	51
103	1211	1135	76
104	1225	1139	86
105	1215	1152	63
106	1174	1144	30
107	1232	1138	94
108	1263	1141	122
109	1232	1145	87
110	1195	1142	53
111	1200	1135	65
112	1204	1136	68
113	1212	1138	74
114	1204	1132	72
115	1205	1136	69
116	1219	1129	90
117	1224	1132	92
118	1221	1140	81
119	1224	1144	80
120	1216	1139	77
121	1219	1140	79
122	1239	1146	93
123	1234	1139	95
124	1219	1137	82
125	1223	1134	89
126	1231	1130	101
127	1223	1134	89
128	1218	1135	83
129	1231	1142	89
130	1201	1149	52
131	1189	1159	30
132	1219	1156	63
133	1226	1146	80
134	1219	1141	78
135	1227	1136	91
136	1211	1139	72
137	1204	1138	66
138	1182	1142	40
139	1207	1144	63
140	1233	1144	89
141	1221	1144	77
142	1218	1134	84
143	1238	1141	97
144	1232	1145	87
145	1226	1140	86
146	1207	1141	66
147	1229	1151	78
148	1218	1144	74
149	1224	1134	90
150	1239	1137	102
151	1237	1144	93
152	1231	1141	90
153	1227	1144	83
154	1229	1143	86
155	1233	1138	95
156	1211	1138	73
157	1209	1140	69
158	1221	1143	78
159	1256	1152	104
160	1244	1146	98
161	1217	1140	77
162	1222	1144	78
163	1220	1145	75
164	1215	1139	76
165	1225	1148	77
166	1220	1145	75
167	1214	1142	72
168	1233	1139	94
169	1238	1142	96
170	1213	1137	76
171	1205	1143	62
172	1223	1146	77
173	1221	1154	67
174	1222	1145	77
175	1238	1139	99
176	1244	1139	105
177	1227	1137	90
178	1222	1143	79
179	1257	1145	112
180	1245	1134	111
181	1226	1132	94
182	1222	1134	88
183	1237	1133	104
184	1229	1140	89
185	1231	1143	88
186	1243	1153	90
187	1257	1152	105
188	1259	1145	114
189	1255	1151	104
190	1247	1149	98
191	1245	1150	95
192	1228	1136	92
193	1250	1126	124
194	1254	1130	124
195	1232	1153	79
196	1226	1147	79
197	1245	1146	99
198	1238	1145	93
199	1236	1150	86
200	1245	1146	99
201	1262	1146	116
202	1248	1135	113
203	1260	1132	128
204	1265	1139	126
205	1241	1146	95
206	1229	1143	86
207	1220	1139	81
208	1231	1152	79
209	1245	1152	93
210	1241	1145	96
211	1234	1137	97
212	1251	1140	111
213	1240	1137	103
214	1252	1136	116
215	1240	1134	106
216	1225	1135	90
217	1229	1141	88
218	1254	1148	106
219	1266	1144	122
220	1241	1132	109
221	1227	1128	99
222	1234	1132	102
223	1253	1138	115
224	1245	1138	107
225	1251	1136	115
226	1228	1134	94
227	1243	1130	113
228	1233	1132	101
229	1247	1146	101
230	1234	1145	89
231	1234	1138	96
232	1237	1139	98
233	1247	1140	107
234	1224	1139	85
235	1270	1132	138
236	1270	1134	136
237	1256	1144	112
238	1241	1145	96
239	1245	1147	98
240	1245	1150	95
241	1228	1150	78
242	1227	1137	90
243	1243	1138	105
244	1254	1144	110
245	1269	1157	112
246	1257	1149	108
247	1250	1148	102
248	1256	1143	113
249	1264	1137	127
250	1260	1145	115
251	1252	1140	112
252	1246	1141	105
253	1288	1148	140
254	1279	1146	133
255	1273	1151	122
256	1259	1137	122
257	1277	1142	135
258	1265	1151	114
259	1263	1150	113
260	1281	1143	138
261	1294	1140	154
262	1295	1133	162
263	1298	1139	159
264	1294	1142	152
265	1305	1136	169
266	1300	1138	162
267	1305	1136	169
268	1305	1135	170
269	1326	1141	185
270	1305	1142	163
271	1318	1148	170
272	1332	1148	184
273	1314	1149	165
274	1291	1138	153
275	1326	1139	187
276	1330	1147	183
277	1351	1143	208
278	1352	1146	206
279	1340	1140	200
280	1330	1130	200
281	1340	1136	204
282	1335	1145	190
283	1335	1139	196
284	1336	1139	197
285	1347	1148	199
286	1349	1146	203
287	1376	1152	224
288	1370	1152	218
289	1368	1150	218
290	1346	1150	196
291	1349	1147	202
292	1363	1140	223
293	1360	1146	214
294	1375	1142	233
295	1396	1143	253
296	1387	1148	239
297	1385	1158	227
298	1383	1153	230
299	1375	1147	228
300	1354	1142	212
301	1366	1150	216
302	1393	1143	250
303	1413	1149	264
304	1408	1147	261
305	1413	1135	278
306	1403	1123	280
307	1429	1134	295
308	1435	1148	287
309	1429	1143	286
310	1454	1144	310
311	1440	1139	301
312	1409	1128	281
313	1445	1137	308
314	1455	1142	313
315	1457	1143	314
316	1449	1135	314
317	1447	1130	317
318	1454	1134	320
319	1481	1136	345
320	1495	1140	355
321	1493	1138	355
322	1508	1138	370
323	1532	1133	399
324	1528	1131	397
325	1540	1136	404
326	1529	1139	390
327	1545	1143	402
328	1555	1154	401
329	1539	1150	389
330	1548	1151	397
331	1558	1159	399
332	1540	1148	392
333	1565	1151	414
334	1578	1142	436
335	1598	1139	459
336	1599	1149	450
337	1587	1139	448
338	1575	1140	435
339	1592	1146	446
340	1609	1150	459
341	1624	1158	466
342	1622	1149	473
343	1631	1140	491
344	1623	1136	487
345	1649	1145	504
346	1673	1141	532
347	1672	1144	528
348	1651	1145	506
349	1654	1143	511
350	1685	1142	543
351	1707	1141	566
352	1705	1137	568
353	1702	1140	562
354	1680	1143	537
355	1714	1147	567
356	1690	1140	550
357	1683	1141	542
358	1743	1143	600
359	1749	1143	606
360	1721	1146	575
361	1758	1148	610
362	1754	1140	614
363	1774	1134	640
364	1774	1136	638
365	1784	1129	655
366	1825	1125	700
367	1823	1144	679
368	1816	1136	680
369	1829	1140	689
370	1843	1142	701
371	1843	1146	697
372	1859	1151	708
373	1859	1143	716
374	1851	1140	711
375	1850	1139	711
376	1844	1140	704
377	1846	1150	696
378	1891	1153	738
379	1904	1142	762
380	1910	1131	779
381	1917	1141	776
382	1970	1150	820
383	1973	1153	820
384	1937	1140	797
385	1935	1141	794
386	1929	1135	794
387	1940	1141	799
388	1943	1149	794
389	1980	1132	848
390	1957	1135	822
391	1948	1155	793
392	1982	1154	828
393	2011	1147	864
394	2005	1151	854
395	2016	1153	863
396	2052	1147	905
397	2047	1148	899
398	2044	1156	888
399	2041	1150	891
400	2044	1152	892
401	2063	1155	908
402	2061	1142	919
403	2082	1151	931
404	2091	1142	949
405	2105	1140	965
406	2124	1146	978
407	2119	1144	975
408	2098	1141	957
409	2113	1141	972
410	2129	1147	982
411	2148	1150	998
412	2154	1143	1011
413	2158	1154	1004
414	2175	1146	1029
415	2213	1142	1071
416	2196	1136	1060
417	2182	1134	1048
418	2211	1133	1078
419	2212	1140	1072
420	2196	1151	1045
421	2196	1149	1047
422	2214	1148	1066
423	2233	1147	1086
424	2198	1142	1056
425	2245	1142	1103
426	2267	1142	1125
427	2282	1144	1138
428	2244	1146	1098
429	2241	1150	1091
430	2271	1147	1124
431	2270	1143	1127
432	2227	1135	1092
433	2311	1143	1168
434	2339	1146	1193
435	2319	1147	1172
436	2343	1140	1203
437	2331	1131	1200
438	2325	1145	1180
439	2347	1146	1201
440	2349	1151	1198
441	2362	1148	1214
442	2364	1151	1213
443	2337	1148	1189
444	2350	1141	1209
445	2425	1142	1283
446	2400	1130	1270
447	2388	1143	1245
448	2329	1153	1176
449	2365	1149	1216
450	2418	1145	1273
451	2420	1146	1274
452	2402	1147	1255
453	2395	1147	1248
454	2433	1138	1295
455	2487	1139	1348
456	2483	1133	1350
457	2411	1135	1276
458	2416	1139	1277
459	2504	1150	1354
460	2519	1148	1371
461	2513	1134	1379
462	2518	1134	1384
463	2545	1134	1411
464	2538	1132	1406
465	2520	1138	1382
466	2532	1141	1391
