index	original	background	difference
-----------------------------------------------------
1	1180	1160	20
2	1174	1166	8
3	1163	1164	-1
4	1184	1164	20
5	1156	1162	-6
6	1140	1160	-20
7	1172	1155	17
8	1187	1150	37
9	1189	1155	34
10	1186	1162	24
11	1201	1169	32
12	1191	1163	28
13	1177	1171	6
14	1173	1170	3
15	1176	1167	9
16	1179	1168	11
17	1181	1172	9
18	1187	1172	15
19	1187	1169	18
20	1193	1175	18
21	1205	1174	31
22	1178	1173	5
23	1193	1175	18
24	1202	1171	31
25	1197	1167	30
26	1193	1162	31
27	1209	1164	45
28	1212	1169	43
29	1193	1175	18
30	1185	1180	5
31	1185	1184	1
32	1213	1181	32
33	1204	1181	23
34	1203	1182	21
35	1199	1185	14
36	1206	1183	23
37	1198	1182	16
38	1193	1183	10
39	1196	1186	10
40	1202	1180	22
41	1203	1179	24
42	1210	1181	29
43	1201	1185	16
44	1193	1173	20
45	1209	1176	33
46	1219	1183	36
47	1202	1183	19
48	1202	1180	22
49	1195	1178	17
50	1178	1185	-7
51	1190	1193	-3
52	1201	1183	18
53	1217	1185	32
54	1200	1183	17
55	1202	1181	21
56	1211	1188	23
57	1190	1190	0
58	1190	1185	5
59	1197	1195	2
60	1170	1194	-24
61	1188	1183	5
62	1205	1184	21
63	1203	1185	18
64	1199	1192	7
65	1213	1194	19
66	1218	1183	35
67	1225	1186	39
68	1229	1183	46
69	1219	1186	33
70	1230	1185	45
71	1212	1185	27
72	1190	1188	2
73	1213	1194	19
74	1217	1193	24
75	1223	1186	37
76	1221	1189	32
77	1208	1194	14
78	1205	1193	12
79	1228	1193	35
80	1221	1185	36
81	1225	1193	32
82	1215	1202	13
83	1194	1189	5
84	1224	1178	46
85	1227	1183	44
86	1207	1184	23
87	1192	1189	3
88	1201	1190	11
89	1228	1185	43
90	1215	1190	25
91	1198	1183	15
92	1210	1189	21
93	1239	1201	38
94	1232	1193	39
95	1219	1188	31
96	1190	1185	5
97	1188	1195	-7
98	1204	1201	3
99	1246	1211	35
100	1190	1201	-11
101	1183	1192	-9
102	1208	1188	20
103	1210	1191	19
104	1204	1188	16
105	1204	1191	13
106	1208	1201	7
107	1221	1201	20
108	1208	1200	8
109	1186	1196	-10
110	1170	1192	-22
111	1181	1193	-12
112	1212	1197	15
113	1199	1193	6
114	1208	1196	12
115	1218	1192	26
116	1220	1195	25
117	1219	1194	25
118	1224	1202	22
119	1211	1200	11
120	1204	1194	10
121	1207	1195	12
122	1218	1194	24
123	1220	1192	28
124	1211	1201	10
125	1227	1204	23
126	1231	1196	35
127	1231	1194	37
128	1209	1197	12
129	1202	1193	9
130	1194	1190	4
131	1198	1191	7
132	1214	1197	17
133	1218	1197	21
134	1234	1190	44
135	1205	1189	16
136	1196	1186	10
137	1206	1185	21
138	1207	1184	23
139	1220	1197	23
140	1232	1203	29
141	1223	1194	29
142	1200	1199	1
