index	original	background	difference
-----------------------------------------------------
1	1234	1187	47
2	1224	1193	31
3	1206	1188	18
4	1216	1187	29
5	1225	1192	33
6	1206	1190	16
7	1210	1194	16
8	1210	1183	27
9	1199	1183	16
10	1202	1186	16
11	1231	1191	40
12	1207	1187	20
13	1216	1190	26
14	1209	1192	17
15	1250	1189	61
16	1222	1202	20
17	1205	1201	4
18	1220	1192	28
19	1223	1195	28
20	1228	1196	32
21	1229	1191	38
22	1230	1199	31
23	1245	1202	43
24	1244	1202	42
25	1228	1204	24
26	1203	1197	6
27	1223	1213	10
28	1231	1206	25
29	1245	1198	47
30	1241	1192	49
31	1244	1202	42
32	1255	1213	42
33	1225	1208	17
34	1227	1207	20
35	1250	1220	30
36	1248	1218	30
37	1209	1215	-6
38	1211	1207	4
39	1226	1216	10
40	1219	1216	3
41	1260	1221	39
42	1231	1219	12
43	1214	1208	6
44	1215	1204	11
45	1227	1209	18
46	1215	1206	9
47	1234	1202	32
48	1223	1213	10
49	1232	1215	17
50	1221	1212	9
51	1222	1226	-4
52	1229	1225	4
53	1245	1220	25
54	1247	1223	24
55	1278	1228	50
56	1259	1223	36
57	1242	1223	19
58	1251	1218	33
59	1265	1222	43
60	1262	1222	40
61	1251	1230	21
62	1227	1224	3
63	1241	1221	20
64	1243	1211	32
65	1261	1215	46
66	1271	1223	48
67	1271	1225	46
68	1247	1222	25
69	1234	1223	11
70	1244	1224	20
71	1259	1228	31
72	1236	1224	12
73	1227	1227	0
74	1244	1222	22
75	1248	1219	29
76	1249	1225	24
77	1257	1214	43
78	1240	1215	25
79	1245	1214	31
80	1264	1210	54
81	1262	1212	50
82	1235	1220	15
83	1236	1221	15
84	1251	1216	35
85	1256	1219	37
86	1237	1219	18
87	1260	1229	31
88	1250	1232	18
89	1236	1236	0
90	1234	1225	9
91	1231	1224	7
92	1252	1229	23
93	1259	1225	34
94	1235	1229	6
95	1244	1228	16
96	1243	1222	21
97	1248	1226	22
98	1266	1227	39
99	1263	1224	39
100	1240	1221	19
101	1246	1224	22
102	1254	1229	25
103	1275	1225	50
104	1252	1213	39
105	1262	1219	43
106	1260	1225	35
107	1241	1234	7
108	1251	1240	11
109	1254	1235	19
110	1245	1221	24
111	1237	1223	14
112	1273	1231	42
113	1253	1228	25
114	1236	1226	10
115	1260	1243	17
116	1262	1241	21
117	1237	1231	6
118	1229	1230	-1
119	1229	1237	-8
120	1225	1230	-5
121	1255	1232	23
122	1230	1230	0
123	1241	1238	3
124	1261	1233	28
125	1250	1230	20
126	1250	1231	19
127	1268	1226	42
128	1256	1220	36
129	1259	1223	36
130	1245	1223	22
131	1252	1226	26
132	1265	1221	44
133	1263	1229	34
134	1255	1229	26
135	1234	1231	3
136	1239	1228	11
137	1243	1228	15
138	1253	1226	27
139	1269	1228	41
140	1251	1215	36
141	1240	1225	15
142	1241	1223	18
143	1251	1230	21
144	1239	1228	11
145	1249	1227	22
146	1234	1222	12
147	1242	1225	17
148	1239	1230	9
149	1240	1227	13
150	1234	1225	9
151	1245	1236	9
152	1250	1234	16
153	1250	1227	23
154	1254	1222	32
155	1255	1225	30
156	1231	1235	-4
157	1256	1233	23
158	1260	1233	27
159	1259	1235	24
160	1276	1225	51
161	1258	1220	38
162	1245	1224	21
163	1262	1235	27
164	1238	1222	16
165	1244	1225	19
166	1261	1218	43
167	1256	1225	31
168	1247	1223	24
169	1279	1232	47
170	1289	1229	60
171	1255	1219	36
172	1235	1219	16
173	1251	1225	26
174	1252	1225	27
175	1252	1223	29
176	1239	1226	13
177	1253	1222	31
178	1274	1221	53
179	1261	1232	29
180	1271	1229	42
181	1266	1225	41
182	1233	1228	5
183	1240	1227	13
184	1250	1225	25
185	1249	1234	15
186	1242	1234	8
187	1243	1236	7
188	1246	1234	12
189	1247	1226	21
190	1247	1217	30
191	1271	1230	41
192	1259	1224	35
193	1248	1222	26
194	1235	1221	14
195	1243	1226	17
196	1246	1218	28
197	1271	1214	57
198	1258	1229	29
199	1242	1237	5
200	1243	1236	7
201	1227	1229	-2
202	1233	1228	5
203	1240	1221	19
