index	original	background	difference
-----------------------------------------------------
1	1162	1099	63
2	1175	1102	73
3	1156	1106	50
4	1135	1108	27
5	1160	1105	55
6	1155	1099	56
7	1163	1105	58
8	1182	1107	75
9	1178	1109	69
10	1162	1109	53
11	1168	1111	57
12	1165	1110	55
13	1169	1111	58
14	1163	1120	43
15	1158	1130	28
16	1194	1117	77
17	1194	1111	83
18	1200	1111	89
19	1178	1123	55
20	1191	1116	75
21	1199	1102	97
22	1191	1121	70
23	1174	1117	57
24	1188	1121	67
25	1185	1121	64
26	1184	1122	62
27	1168	1126	42
28	1175	1123	52
29	1182	1118	64
30	1181	1116	65
31	1174	1124	50
32	1188	1123	65
33	1180	1128	52
34	1205	1131	74
35	1198	1125	73
36	1179	1128	51
37	1190	1122	68
38	1186	1126	60
39	1188	1125	63
40	1192	1128	64
41	1180	1123	57
42	1202	1114	88
43	1205	1124	81
44	1202	1139	63
45	1194	1133	61
46	1194	1125	69
47	1185	1128	57
48	1208	1137	71
49	1193	1143	50
50	1206	1136	70
51	1219	1138	81
52	1207	1139	68
53	1209	1136	73
54	1221	1138	83
55	1197	1130	67
56	1206	1132	74
57	1217	1126	91
58	1199	1130	69
59	1181	1141	40
60	1204	1130	74
61	1210	1126	84
62	1203	1138	65
63	1208	1144	64
64	1205	1140	65
65	1196	1132	64
66	1209	1129	80
67	1187	1131	56
68	1206	1131	75
69	1203	1136	67
70	1216	1134	82
71	1215	1135	80
72	1211	1142	69
73	1215	1152	63
74	1215	1147	68
75	1203	1140	63
76	1210	1141	69
77	1203	1142	61
78	1204	1147	57
79	1214	1147	67
80	1223	1142	81
81	1210	1137	73
82	1197	1132	65
83	1196	1129	67
84	1215	1131	84
85	1214	1137	77
86	1232	1133	99
87	1227	1137	90
88	1210	1146	64
89	1182	1149	33
90	1204	1145	59
91	1204	1140	64
92	1218	1138	80
93	1209	1140	69
94	1209	1138	71
95	1207	1139	68
96	1205	1136	69
97	1175	1140	35
98	1207	1146	61
99	1223	1142	81
100	1223	1135	88
101	1206	1141	65
102	1184	1140	44
103	1201	1135	66
104	1213	1139	74
105	1194	1152	42
106	1199	1144	55
107	1218	1138	80
108	1216	1141	75
109	1210	1145	65
110	1220	1142	78
111	1223	1135	88
112	1220	1136	84
113	1215	1138	77
114	1223	1132	91
115	1205	1136	69
116	1210	1129	81
117	1214	1132	82
118	1219	1140	79
119	1212	1144	68
120	1226	1139	87
121	1232	1140	92
122	1217	1146	71
123	1208	1139	69
124	1224	1137	87
125	1208	1134	74
126	1210	1130	80
127	1221	1134	87
128	1213	1135	78
129	1205	1142	63
130	1213	1149	64
131	1209	1159	50
132	1220	1156	64
133	1222	1146	76
134	1222	1141	81
135	1220	1136	84
