index	original	background	difference
-----------------------------------------------------
1	1175	1099	76
2	1191	1102	89
3	1207	1106	101
4	1196	1108	88
5	1185	1105	80
6	1185	1099	86
7	1194	1105	89
8	1179	1107	72
9	1190	1109	81
10	1189	1109	80
11	1197	1111	86
12	1185	1110	75
13	1185	1111	74
14	1185	1120	65
15	1171	1130	41
16	1187	1117	70
17	1210	1111	99
18	1194	1111	83
19	1217	1123	94
20	1215	1116	99
21	1207	1102	105
22	1184	1121	63
23	1193	1117	76
24	1210	1121	89
25	1190	1121	69
26	1180	1122	58
27	1203	1126	77
28	1209	1123	86
29	1209	1118	91
30	1212	1116	96
31	1215	1124	91
32	1195	1123	72
33	1211	1128	83
34	1202	1131	71
35	1205	1125	80
36	1200	1128	72
37	1195	1122	73
38	1199	1126	73
39	1224	1125	99
40	1224	1128	96
41	1236	1123	113
42	1231	1114	117
43	1219	1124	95
44	1210	1139	71
45	1219	1133	86
46	1214	1125	89
47	1225	1128	97
48	1218	1137	81
49	1234	1143	91
50	1213	1136	77
51	1199	1138	61
52	1222	1139	83
53	1226	1136	90
54	1223	1138	85
55	1239	1130	109
56	1242	1132	110
57	1217	1126	91
58	1219	1130	89
59	1227	1141	86
60	1212	1130	82
61	1227	1126	101
62	1236	1138	98
63	1238	1144	94
64	1211	1140	71
65	1232	1132	100
66	1245	1129	116
67	1248	1131	117
68	1241	1131	110
69	1261	1136	125
70	1270	1134	136
71	1255	1135	120
72	1243	1142	101
73	1244	1152	92
74	1258	1147	111
75	1260	1140	120
76	1252	1141	111
77	1263	1142	121
78	1260	1147	113
79	1273	1147	126
80	1269	1142	127
81	1255	1137	118
82	1238	1132	106
83	1246	1129	117
84	1232	1131	101
85	1244	1137	107
86	1257	1133	124
87	1235	1137	98
88	1256	1146	110
89	1261	1149	112
90	1236	1145	91
91	1246	1140	106
92	1261	1138	123
93	1275	1140	135
94	1286	1138	148
95	1282	1139	143
96	1237	1136	101
97	1245	1140	105
98	1285	1146	139
99	1287	1142	145
100	1262	1135	127
101	1275	1141	134
102	1263	1140	123
103	1264	1135	129
104	1253	1139	114
105	1268	1152	116
106	1265	1144	121
107	1264	1138	126
108	1268	1141	127
109	1277	1145	132
110	1282	1142	140
111	1290	1135	155
112	1299	1136	163
113	1287	1138	149
114	1280	1132	148
115	1286	1136	150
116	1286	1129	157
117	1286	1132	154
118	1288	1140	148
119	1285	1144	141
120	1292	1139	153
121	1323	1140	183
122	1301	1146	155
123	1296	1139	157
124	1306	1137	169
125	1318	1134	184
126	1319	1130	189
127	1303	1134	169
128	1294	1135	159
129	1304	1142	162
130	1311	1149	162
131	1289	1159	130
132	1295	1156	139
133	1312	1146	166
134	1320	1141	179
135	1320	1136	184
136	1291	1139	152
137	1310	1138	172
138	1340	1142	198
139	1323	1144	179
140	1302	1144	158
141	1320	1144	176
142	1313	1134	179
143	1314	1141	173
144	1316	1145	171
145	1328	1140	188
146	1309	1141	168
147	1339	1151	188
148	1347	1144	203
149	1354	1134	220
150	1327	1137	190
151	1317	1144	173
152	1321	1141	180
153	1336	1144	192
154	1338	1143	195
155	1346	1138	208
156	1347	1138	209
157	1350	1140	210
158	1339	1143	196
159	1361	1152	209
160	1375	1146	229
161	1360	1140	220
162	1325	1144	181
163	1361	1145	216
164	1359	1139	220
165	1368	1148	220
166	1360	1145	215
167	1356	1142	214
168	1362	1139	223
169	1369	1142	227
170	1354	1137	217
171	1354	1143	211
172	1377	1146	231
173	1379	1154	225
174	1365	1145	220
175	1391	1139	252
176	1384	1139	245
177	1383	1137	246
178	1387	1143	244
179	1386	1145	241
180	1395	1134	261
181	1388	1132	256
182	1397	1134	263
183	1410	1133	277
184	1396	1140	256
185	1407	1143	264
186	1411	1153	258
187	1436	1152	284
188	1451	1145	306
189	1416	1151	265
190	1416	1149	267
191	1421	1150	271
192	1406	1136	270
193	1421	1126	295
194	1432	1130	302
195	1433	1153	280
196	1434	1147	287
197	1448	1146	302
198	1432	1145	287
199	1453	1150	303
200	1453	1146	307
201	1465	1146	319
202	1464	1135	329
203	1462	1132	330
204	1446	1139	307
205	1453	1146	307
206	1460	1143	317
207	1485	1139	346
208	1506	1152	354
209	1503	1152	351
210	1498	1145	353
211	1490	1137	353
212	1477	1140	337
213	1493	1137	356
214	1486	1136	350
215	1466	1134	332
216	1467	1135	332
217	1496	1141	355
218	1489	1148	341
219	1483	1144	339
220	1489	1132	357
