index	original	background	difference
-----------------------------------------------------
1	1185	1099	86
2	1179	1102	77
3	1176	1106	70
4	1187	1108	79
5	1182	1105	77
6	1176	1099	77
7	1175	1105	70
8	1176	1107	69
9	1184	1109	75
10	1195	1109	86
11	1194	1111	83
12	1180	1110	70
13	1178	1111	67
14	1186	1120	66
15	1177	1130	47
16	1189	1117	72
17	1185	1111	74
18	1184	1111	73
19	1185	1123	62
20	1198	1116	82
21	1190	1102	88
22	1194	1121	73
23	1195	1117	78
24	1195	1121	74
25	1199	1121	78
26	1197	1122	75
27	1193	1126	67
28	1204	1123	81
29	1203	1118	85
30	1203	1116	87
31	1208	1124	84
32	1200	1123	77
33	1203	1128	75
34	1200	1131	69
35	1202	1125	77
36	1198	1128	70
37	1195	1122	73
38	1199	1126	73
39	1204	1125	79
40	1215	1128	87
41	1212	1123	89
42	1206	1114	92
43	1200	1124	76
44	1201	1139	62
45	1205	1133	72
46	1209	1125	84
47	1213	1128	85
48	1211	1137	74
49	1207	1143	64
50	1215	1136	79
51	1226	1138	88
52	1222	1139	83
53	1216	1136	80
54	1213	1138	75
55	1210	1130	80
56	1217	1132	85
57	1210	1126	84
58	1212	1130	82
59	1222	1141	81
60	1222	1130	92
61	1222	1126	96
62	1228	1138	90
63	1226	1144	82
64	1225	1140	85
65	1219	1132	87
66	1225	1129	96
67	1237	1131	106
68	1225	1131	94
69	1219	1136	83
70	1231	1134	97
71	1241	1135	106
72	1238	1142	96
73	1231	1152	79
74	1232	1147	85
75	1243	1140	103
76	1236	1141	95
77	1234	1142	92
78	1236	1147	89
79	1236	1147	89
80	1236	1142	94
81	1236	1137	99
82	1234	1132	102
83	1239	1129	110
84	1235	1131	104
85	1236	1137	99
86	1250	1133	117
87	1248	1137	111
88	1238	1146	92
89	1246	1149	97
90	1238	1145	93
91	1239	1140	99
92	1233	1138	95
93	1242	1140	102
94	1240	1138	102
95	1247	1139	108
96	1248	1136	112
97	1254	1140	114
98	1256	1146	110
99	1251	1142	109
100	1256	1135	121
101	1260	1141	119
102	1258	1140	118
103	1256	1135	121
104	1260	1139	121
105	1264	1152	112
106	1264	1144	120
107	1270	1138	132
108	1263	1141	122
109	1267	1145	122
110	1275	1142	133
111	1275	1135	140
112	1272	1136	136
113	1278	1138	140
114	1284	1132	152
115	1281	1136	145
116	1275	1129	146
117	1274	1132	142
118	1287	1140	147
119	1287	1144	143
120	1290	1139	151
121	1304	1140	164
122	1297	1146	151
123	1286	1139	147
124	1286	1137	149
125	1291	1134	157
126	1297	1130	167
127	1304	1134	170
128	1308	1135	173
129	1299	1142	157
130	1308	1149	159
131	1313	1159	154
132	1303	1156	147
133	1308	1146	162
134	1313	1141	172
135	1306	1136	170
136	1298	1139	159
137	1309	1138	171
138	1319	1142	177
139	1320	1144	176
140	1318	1144	174
141	1316	1144	172
142	1310	1134	176
143	1323	1141	182
144	1328	1145	183
145	1326	1140	186
146	1321	1141	180
147	1326	1151	175
148	1342	1144	198
149	1329	1134	195
150	1329	1137	192
151	1331	1144	187
152	1333	1141	192
153	1336	1144	192
154	1342	1143	199
155	1332	1138	194
156	1338	1138	200
157	1341	1140	201
158	1344	1143	201
159	1355	1152	203
160	1360	1146	214
161	1358	1140	218
162	1355	1144	211
163	1353	1145	208
164	1361	1139	222
165	1360	1148	212
166	1358	1145	213
167	1374	1142	232
168	1363	1139	224
169	1357	1142	215
170	1358	1137	221
171	1369	1143	226
172	1376	1146	230
173	1377	1154	223
174	1368	1145	223
175	1380	1139	241
176	1394	1139	255
177	1387	1137	250
178	1392	1143	249
179	1386	1145	241
180	1403	1134	269
181	1412	1132	280
182	1401	1134	267
183	1401	1133	268
184	1413	1140	273
185	1409	1143	266
186	1407	1153	254
187	1412	1152	260
188	1425	1145	280
189	1433	1151	282
190	1412	1149	263
191	1412	1150	262
192	1426	1136	290
193	1429	1126	303
194	1426	1130	296
195	1420	1153	267
196	1425	1147	278
197	1423	1146	277
198	1437	1145	292
199	1453	1150	303
200	1429	1146	283
201	1434	1146	288
202	1443	1135	308
203	1447	1132	315
204	1450	1139	311
205	1458	1146	312
206	1455	1143	312
207	1453	1139	314
208	1454	1152	302
209	1461	1152	309
210	1472	1145	327
211	1470	1137	333
212	1465	1140	325
213	1463	1137	326
214	1472	1136	336
215	1484	1134	350
216	1481	1135	346
217	1476	1141	335
218	1491	1148	343
219	1501	1144	357
220	1510	1132	378
221	1509	1128	381
222	1499	1132	367
223	1507	1138	369
224	1504	1138	366
225	1514	1136	378
226	1519	1134	385
227	1522	1130	392
228	1528	1132	396
229	1520	1146	374
230	1525	1145	380
231	1524	1138	386
232	1541	1139	402
233	1550	1140	410
234	1554	1139	415
235	1557	1132	425
236	1543	1134	409
237	1549	1144	405
238	1553	1145	408
239	1558	1147	411
240	1563	1150	413
241	1580	1150	430
242	1574	1137	437
243	1566	1138	428
244	1578	1144	434
245	1590	1157	433
246	1586	1149	437
247	1583	1148	435
248	1588	1143	445
249	1596	1137	459
250	1600	1145	455
251	1596	1140	456
252	1596	1141	455
253	1611	1148	463
254	1624	1146	478
255	1617	1151	466
256	1625	1137	488
257	1632	1142	490
258	1621	1151	470
259	1631	1150	481
260	1635	1143	492
261	1631	1140	491
262	1644	1133	511
263	1653	1139	514
264	1655	1142	513
265	1671	1136	535
266	1664	1138	526
267	1669	1136	533
268	1680	1135	545
269	1684	1141	543
270	1693	1142	551
271	1707	1148	559
272	1703	1148	555
273	1703	1149	554
274	1714	1138	576
275	1706	1139	567
276	1715	1147	568
277	1742	1143	599
278	1752	1146	606
279	1748	1140	608
280	1747	1130	617
281	1754	1136	618
282	1759	1145	614
283	1773	1139	634
284	1777	1139	638
285	1764	1148	616
286	1780	1146	634
287	1805	1152	653
288	1811	1152	659
289	1809	1150	659
290	1815	1150	665
291	1819	1147	672
292	1830	1140	690
293	1824	1146	678
294	1827	1142	685
295	1837	1143	694
296	1851	1148	703
297	1849	1158	691
298	1862	1153	709
299	1874	1147	727
300	1872	1142	730
301	1866	1150	716
302	1882	1143	739
303	1901	1149	752
304	1909	1147	762
305	1914	1135	779
306	1925	1123	802
307	1933	1134	799
308	1929	1148	781
309	1941	1143	798
310	1944	1144	800
311	1949	1139	810
312	1943	1128	815
313	1954	1137	817
314	1982	1142	840
315	1982	1143	839
316	1989	1135	854
317	2008	1130	878
318	2008	1134	874
319	2014	1136	878
320	2042	1140	902
321	2041	1138	903
322	2038	1138	900
323	2068	1133	935
324	2073	1131	942
325	2075	1136	939
326	2085	1139	946
327	2088	1143	945
328	2078	1154	924
329	2088	1150	938
330	2101	1151	950
331	2093	1159	934
332	2112	1148	964
333	2130	1151	979
334	2134	1142	992
335	2127	1139	988
336	2155	1149	1006
337	2172	1139	1033
338	2181	1140	1041
339	2194	1146	1048
340	2203	1150	1053
341	2196	1158	1038
342	2180	1149	1031
343	2198	1140	1058
344	2200	1136	1064
345	2224	1145	1079
346	2227	1141	1086
347	2232	1144	1088
348	2251	1145	1106
349	2274	1143	1131
350	2259	1142	1117
351	2263	1141	1122
352	2283	1137	1146
353	2285	1140	1145
354	2286	1143	1143
355	2297	1147	1150
356	2306	1140	1166
357	2313	1141	1172
358	2328	1143	1185
359	2346	1143	1203
360	2365	1146	1219
361	2374	1148	1226
362	2376	1140	1236
363	2377	1134	1243
364	2387	1136	1251
365	2395	1129	1266
366	2391	1125	1266
367	2410	1144	1266
368	2412	1136	1276
369	2413	1140	1273
370	2431	1142	1289
371	2445	1146	1299
372	2450	1151	1299
373	2454	1143	1311
374	2456	1140	1316
375	2476	1139	1337
376	2467	1140	1327
377	2463	1150	1313
378	2479	1153	1326
379	2499	1142	1357
380	2510	1131	1379
381	2522	1141	1381
382	2527	1150	1377
383	2541	1153	1388
384	2528	1140	1388
385	2549	1141	1408
386	2541	1135	1406
387	2555	1141	1414
388	2569	1149	1420
389	2563	1132	1431
390	2574	1135	1439
391	2575	1155	1420
392	2599	1154	1445
393	2627	1147	1480
394	2640	1151	1489
395	2633	1153	1480
396	2636	1147	1489
397	2648	1148	1500
398	2667	1156	1511
399	2660	1150	1510
400	2653	1152	1501
401	2668	1155	1513
402	2680	1142	1538
403	2697	1151	1546
404	2707	1142	1565
405	2678	1140	1538
406	2681	1146	1535
407	2694	1144	1550
408	2687	1141	1546
409	2705	1141	1564
410	2719	1147	1572
411	2724	1150	1574
412	2717	1143	1574
413	2746	1154	1592
414	2774	1146	1628
415	2771	1142	1629
416	2783	1136	1647
417	2787	1134	1653
418	2789	1133	1656
419	2784	1140	1644
420	2756	1151	1605
421	2771	1149	1622
422	2800	1148	1652
423	2817	1147	1670
424	2815	1142	1673
425	2817	1142	1675
426	2816	1142	1674
427	2836	1144	1692
428	2829	1146	1683
429	2827	1150	1677
430	2831	1147	1684
431	2852	1143	1709
432	2846	1135	1711
433	2867	1143	1724
434	2877	1146	1731
435	2891	1147	1744
436	2891	1140	1751
437	2896	1131	1765
438	2921	1145	1776
439	2918	1146	1772
440	2917	1151	1766
441	2928	1148	1780
442	2938	1151	1787
443	2927	1148	1779
444	2949	1141	1808
445	2953	1142	1811
446	2959	1130	1829
447	2969	1143	1826
448	2960	1153	1807
449	2964	1149	1815
450	2978	1145	1833
451	2984	1146	1838
452	2978	1147	1831
453	2976	1147	1829
454	2997	1138	1859
455	3011	1139	1872
456	3028	1133	1895
457	3015	1135	1880
458	3015	1139	1876
459	3047	1150	1897
460	3048	1148	1900
461	3056	1134	1922
462	3044	1134	1910
463	3083	1134	1949
464	3092	1132	1960
465	3084	1138	1946
466	3100	1141	1959
467	3119	1150	1969
468	3122	1147	1975
469	3108	1156	1952
470	3104	1153	1951
471	3105	1137	1968
472	3117	1130	1987
473	3133	1137	1996
474	3127	1136	1991
475	3139	1133	2006
476	3163	1142	2021
477	3178	1148	2030
478	3161	1143	2018
479	3152	1141	2011
480	3155	1150	2005
481	3167	1141	2026
482	3174	1132	2042
483	3171	1148	2023
484	3165	1146	2019
485	3199	1143	2056
486	3214	1136	2078
487	3220	1141	2079
488	3235	1141	2094
489	3246	1129	2117
490	3254	1127	2127
491	3259	1140	2119
492	3267	1140	2127
493	3262	1145	2117
494	3267	1139	2128
495	3272	1140	2132
496	3278	1146	2132
497	3304	1156	2148
498	3305	1150	2155
499	3299	1149	2150
500	3305	1145	2160
501	3313	1138	2175
502	3339	1141	2198
503	3333	1141	2192
504	3339	1142	2197
505	3338	1142	2196
506	3342	1141	2201
507	3347	1153	2194
