index	original	background	difference
-----------------------------------------------------
1	1165	1158	7
2	1180	1145	35
3	1168	1160	8
4	1172	1170	2
5	1167	1164	3
6	1166	1165	1
7	1172	1151	21
8	1179	1166	13
9	1179	1175	4
10	1178	1177	1
11	1190	1169	21
12	1207	1168	39
13	1185	1152	33
14	1195	1168	27
15	1197	1183	14
16	1188	1173	15
17	1179	1182	-3
18	1189	1196	-7
19	1191	1193	-2
20	1191	1197	-6
21	1184	1177	7
22	1186	1171	15
23	1178	1185	-7
24	1201	1186	15
25	1214	1179	35
26	1192	1171	21
27	1169	1168	1
28	1176	1162	14
29	1177	1178	-1
30	1205	1186	19
31	1212	1175	37
32	1180	1185	-5
33	1171	1207	-36
34	1195	1209	-14
35	1205	1190	15
36	1188	1184	4
37	1206	1181	25
38	1223	1198	25
39	1216	1195	21
40	1211	1182	29
41	1203	1189	14
42	1220	1196	24
43	1205	1188	17
44	1208	1176	32
45	1213	1191	22
46	1201	1196	5
47	1202	1199	3
48	1205	1189	16
49	1202	1182	20
50	1212	1183	29
51	1211	1178	33
52	1220	1172	48
53	1217	1194	23
54	1206	1209	-3
55	1213	1196	17
56	1191	1184	7
57	1205	1197	8
58	1190	1200	-10
59	1181	1198	-17
60	1200	1209	-9
61	1215	1194	21
62	1229	1185	44
63	1205	1180	25
64	1225	1181	44
65	1224	1178	46
66	1201	1193	8
67	1200	1198	2
68	1206	1190	16
69	1217	1202	15
70	1223	1171	52
71	1208	1173	35
72	1202	1194	8
73	1189	1190	-1
74	1210	1192	18
75	1220	1196	24
76	1233	1198	35
77	1206	1210	-4
78	1220	1228	-8
79	1212	1228	-16
80	1198	1198	0
81	1201	1204	-3
82	1219	1198	21
83	1188	1177	11
84	1180	1177	3
85	1184	1195	-11
86	1209	1200	9
87	1235	1212	23
88	1216	1205	11
89	1206	1216	-10
90	1220	1218	2
91	1226	1203	23
92	1219	1185	34
93	1211	1190	21
94	1229	1185	44
95	1219	1189	30
96	1205	1182	23
97	1218	1192	26
98	1193	1186	7
99	1181	1206	-25
100	1200	1199	1
101	1211	1209	2
102	1213	1215	-2
103	1212	1184	28
104	1211	1199	12
105	1205	1198	7
106	1205	1181	24
107	1198	1201	-3
108	1200	1199	1
109	1193	1196	-3
110	1214	1213	1
111	1213	1188	25
112	1208	1200	8
113	1193	1220	-27
114	1213	1194	19
115	1217	1202	15
116	1205	1206	-1
117	1184	1201	-17
118	1186	1198	-12
119	1210	1196	14
120	1213	1214	-1
121	1225	1225	0
122	1235	1208	27
123	1227	1202	25
124	1218	1220	-2
125	1199	1229	-30
126	1209	1222	-13
127	1205	1216	-11
128	1202	1215	-13
129	1214	1208	6
130	1221	1209	12
131	1194	1216	-22
132	1186	1205	-19
133	1195	1187	8
134	1210	1180	30
135	1196	1190	6
136	1209	1210	-1
137	1199	1219	-20
138	1195	1195	0
139	1190	1177	13
140	1211	1205	6
141	1210	1207	3
142	1231	1193	38
143	1217	1189	28
144	1207	1224	-17
145	1231	1208	23
146	1211	1193	18
147	1213	1212	1
148	1229	1240	-11
149	1232	1231	1
150	1234	1224	10
151	1223	1213	10
152	1216	1202	14
153	1222	1191	31
154	1216	1220	-4
155	1193	1226	-33
156	1218	1200	18
157	1219	1211	8
158	1218	1208	10
159	1215	1202	13
160	1224	1202	22
161	1213	1199	14
162	1209	1204	5
163	1197	1207	-10
164	1201	1195	6
165	1205	1192	13
166	1225	1201	24
167	1211	1216	-5
168	1210	1223	-13
169	1197	1201	-4
170	1202	1217	-15
171	1207	1218	-11
172	1190	1210	-20
173	1193	1187	6
174	1206	1201	5
175	1209	1192	17
176	1209	1178	31
177	1209	1196	13
178	1214	1199	15
179	1184	1182	2
180	1192	1188	4
181	1213	1187	26
182	1215	1190	25
183	1201	1204	-3
184	1202	1202	0
185	1209	1182	27
186	1231	1183	48
187	1227	1204	23
188	1210	1197	13
189	1200	1184	16
190	1206	1184	22
191	1198	1200	-2
192	1193	1217	-24
193	1208	1217	-9
194	1200	1220	-20
195	1201	1217	-16
196	1214	1217	-3
197	1217	1229	-12
198	1231	1223	8
199	1226	1192	34
200	1207	1198	9
201	1203	1207	-4
202	1198	1205	-7
203	1216	1222	-6
204	1223	1224	-1
205	1194	1189	5
206	1215	1204	11
207	1240	1214	26
208	1225	1225	0
209	1218	1209	9
210	1227	1209	18
211	1234	1205	29
212	1217	1215	2
213	1209	1217	-8
214	1213	1212	1
215	1214	1211	3
216	1209	1198	11
217	1214	1197	17
218	1218	1185	33
219	1219	1220	-1
220	1213	1226	-13
221	1209	1200	9
222	1212	1196	16
223	1228	1212	16
224	1214	1215	-1
225	1210	1193	17
226	1214	1195	19
227	1210	1214	-4
228	1217	1220	-3
229	1216	1211	5
230	1214	1207	7
231	1208	1194	14
232	1212	1195	17
233	1231	1206	25
234	1231	1216	15
235	1198	1220	-22
236	1194	1197	-3
237	1214	1200	14
238	1230	1188	42
239	1231	1202	29
240	1218	1219	-1
241	1217	1223	-6
242	1213	1192	21
243	1213	1180	33
244	1227	1202	25
245	1240	1205	35
246	1229	1201	28
247	1220	1218	2
248	1228	1200	28
249	1209	1178	31
250	1197	1189	8
251	1214	1201	13
252	1222	1219	3
253	1230	1191	39
254	1232	1200	32
255	1211	1211	0
256	1224	1206	18
257	1215	1200	15
258	1212	1213	-1
259	1217	1203	14
260	1211	1191	20
261	1201	1201	0
262	1219	1211	8
263	1237	1220	17
264	1212	1201	11
265	1210	1205	5
266	1223	1188	35
267	1218	1193	25
268	1223	1197	26
269	1229	1207	22
270	1246	1224	22
271	1255	1217	38
272	1246	1198	48
273	1213	1208	5
274	1213	1212	1
275	1216	1195	21
276	1221	1211	10
277	1213	1201	12
278	1233	1194	39
279	1222	1206	16
280	1228	1206	22
281	1219	1202	17
282	1232	1190	42
283	1222	1191	31
284	1222	1225	-3
285	1209	1225	-16
286	1221	1217	4
287	1210	1219	-9
288	1218	1218	0
289	1211	1219	-8
