index	original	background	difference
-----------------------------------------------------
1	1198	1187	11
2	1211	1193	18
3	1213	1188	25
4	1224	1187	37
5	1201	1192	9
6	1186	1190	-4
7	1192	1194	-2
8	1205	1183	22
9	1215	1183	32
10	1225	1186	39
11	1222	1191	31
12	1216	1187	29
13	1218	1190	28
14	1204	1192	12
15	1204	1189	15
16	1233	1202	31
17	1216	1201	15
18	1190	1192	-2
19	1225	1195	30
20	1216	1196	20
21	1203	1191	12
22	1211	1199	12
23	1197	1202	-5
24	1225	1202	23
25	1239	1204	35
26	1227	1197	30
27	1239	1213	26
28	1210	1206	4
29	1237	1198	39
30	1256	1192	64
31	1222	1202	20
32	1241	1213	28
33	1258	1208	50
34	1241	1207	34
35	1223	1220	3
36	1216	1218	-2
37	1238	1215	23
38	1244	1207	37
39	1259	1216	43
40	1250	1216	34
41	1239	1221	18
42	1236	1219	17
43	1241	1208	33
44	1237	1204	33
45	1235	1209	26
46	1232	1206	26
47	1234	1202	32
48	1236	1213	23
49	1238	1215	23
50	1239	1212	27
51	1218	1226	-8
52	1224	1225	-1
53	1236	1220	16
54	1238	1223	15
55	1252	1228	24
56	1232	1223	9
57	1222	1223	-1
58	1241	1218	23
59	1252	1222	30
60	1247	1222	25
61	1224	1230	-6
62	1204	1224	-20
63	1226	1221	5
64	1226	1211	15
65	1247	1215	32
66	1240	1223	17
67	1241	1225	16
68	1231	1222	9
69	1245	1223	22
70	1249	1224	25
71	1238	1228	10
72	1240	1224	16
73	1249	1227	22
74	1243	1222	21
75	1233	1219	14
76	1235	1225	10
77	1232	1214	18
78	1233	1215	18
79	1241	1214	27
80	1243	1210	33
81	1228	1212	16
82	1249	1220	29
83	1246	1221	25
84	1238	1216	22
85	1244	1219	25
86	1238	1219	19
87	1228	1229	-1
88	1235	1232	3
89	1222	1236	-14
90	1239	1225	14
91	1268	1224	44
92	1262	1229	33
93	1249	1225	24
94	1259	1229	30
95	1254	1228	26
96	1249	1222	27
97	1236	1226	10
98	1223	1227	-4
99	1238	1224	14
100	1242	1221	21
101	1232	1224	8
102	1242	1229	13
103	1251	1225	26
104	1241	1213	28
105	1251	1219	32
106	1253	1225	28
107	1235	1234	1
108	1229	1240	-11
109	1240	1235	5
110	1249	1221	28
111	1242	1223	19
112	1251	1231	20
113	1245	1228	17
114	1233	1226	7
115	1224	1243	-19
116	1250	1241	9
117	1255	1231	24
118	1249	1230	19
119	1256	1237	19
120	1230	1230	0
121	1225	1232	-7
122	1239	1230	9
123	1231	1238	-7
124	1244	1233	11
125	1227	1230	-3
126	1228	1231	-3
127	1257	1226	31
128	1267	1220	47
129	1233	1223	10
130	1241	1223	18
131	1236	1226	10
132	1232	1221	11
133	1229	1229	0
134	1227	1229	-2
135	1228	1231	-3
136	1225	1228	-3
137	1243	1228	15
138	1228	1226	2
139	1256	1228	28
140	1260	1215	45
141	1260	1225	35
142	1236	1223	13
143	1251	1230	21
144	1250	1228	22
145	1242	1227	15
146	1260	1222	38
147	1271	1225	46
148	1259	1230	29
149	1248	1227	21
150	1258	1225	33
151	1249	1236	13
152	1261	1234	27
153	1254	1227	27
154	1237	1222	15
155	1242	1225	17
156	1241	1235	6
157	1253	1233	20
158	1247	1233	14
159	1255	1235	20
160	1251	1225	26
161	1240	1220	20
162	1247	1224	23
163	1256	1235	21
164	1281	1222	59
165	1253	1225	28
166	1229	1218	11
167	1236	1225	11
168	1253	1223	30
169	1269	1232	37
170	1254	1229	25
171	1267	1219	48
172	1269	1219	50
173	1274	1225	49
174	1268	1225	43
175	1268	1223	45
176	1273	1226	47
177	1259	1222	37
178	1247	1221	26
179	1255	1232	23
180	1261	1229	32
181	1279	1225	54
182	1261	1228	33
183	1242	1227	15
184	1261	1225	36
185	1250	1234	16
186	1235	1234	1
187	1225	1236	-11
188	1235	1234	1
189	1242	1226	16
190	1242	1217	25
191	1241	1230	11
192	1258	1224	34
193	1247	1222	25
194	1239	1221	18
195	1251	1226	25
196	1258	1218	40
197	1252	1214	38
198	1258	1229	29
199	1250	1237	13
200	1236	1236	0
201	1243	1229	14
202	1232	1228	4
203	1235	1221	14
204	1229	1219	10
205	1240	1229	11
206	1257	1224	33
207	1264	1222	42
208	1243	1230	13
209	1219	1237	-18
210	1238	1234	4
211	1253	1227	26
212	1237	1216	21
213	1249	1217	32
214	1259	1226	33
215	1253	1237	16
216	1261	1225	36
217	1253	1222	31
218	1250	1226	24
219	1241	1230	11
220	1238	1222	16
221	1249	1227	22
222	1256	1234	22
223	1234	1238	-4
224	1250	1237	13
225	1248	1229	19
226	1234	1225	9
227	1231	1227	4
228	1254	1228	26
229	1253	1226	27
230	1233	1234	-1
231	1244	1230	14
232	1249	1226	23
233	1255	1225	30
234	1255	1222	33
235	1244	1220	24
236	1245	1228	17
237	1257	1230	27
238	1237	1225	12
239	1222	1230	-8
240	1231	1229	2
241	1232	1226	6
242	1222	1215	7
243	1237	1227	10
244	1244	1231	13
245	1240	1226	14
246	1252	1225	27
247	1254	1230	24
248	1255	1215	40
249	1259	1224	35
250	1247	1234	13
251	1263	1225	38
252	1255	1215	40
253	1250	1228	22
254	1246	1231	15
255	1260	1235	25
256	1246	1235	11
257	1235	1229	6
258	1254	1225	29
259	1262	1227	35
260	1231	1232	-1
261	1219	1238	-19
262	1218	1236	-18
263	1226	1231	-5
264	1239	1235	4
265	1222	1229	-7
266	1243	1234	9
267	1249	1233	16
268	1246	1225	21
269	1241	1222	19
270	1239	1232	7
271	1252	1240	12
272	1259	1227	32
273	1261	1230	31
274	1251	1228	23
275	1245	1220	25
276	1249	1221	28
277	1235	1232	3
278	1256	1227	29
279	1260	1221	39
280	1243	1215	28
281	1243	1220	23
282	1236	1217	19
283	1258	1220	38
284	1243	1229	14
285	1240	1222	18
286	1243	1226	17
287	1234	1233	1
288	1239	1233	6
289	1246	1225	21
290	1225	1229	-4
291	1246	1232	14
292	1252	1230	22
293	1244	1224	20
294	1252	1228	24
295	1272	1236	36
296	1269	1233	36
297	1231	1222	9
298	1236	1221	15
299	1238	1224	14
300	1241	1228	13
301	1230	1233	-3
302	1217	1229	-12
303	1238	1233	5
304	1264	1219	45
305	1255	1223	32
306	1243	1224	19
307	1246	1218	28
308	1246	1228	18
309	1234	1227	7
310	1240	1229	11
311	1258	1242	16
312	1234	1234	0
313	1235	1228	7
314	1243	1230	13
315	1250	1233	17
316	1240	1231	9
317	1234	1233	1
318	1260	1221	39
319	1263	1226	37
320	1251	1224	27
321	1264	1227	37
322	1249	1230	19
323	1241	1229	12
324	1265	1229	36
325	1255	1237	18
326	1229	1241	-12
327	1265	1236	29
328	1277	1229	48
329	1260	1232	28
330	1242	1231	11
331	1244	1236	8
332	1246	1235	11
333	1239	1243	-4
334	1244	1234	10
335	1266	1226	40
336	1264	1229	35
337	1254	1232	22
338	1245	1235	10
339	1236	1230	6
340	1223	1232	-9
341	1246	1221	25
342	1247	1210	37
343	1251	1225	26
344	1259	1236	23
345	1235	1225	10
346	1244	1223	21
347	1272	1226	46
348	1269	1230	39
349	1240	1225	15
350	1236	1220	16
351	1236	1233	3
352	1242	1232	10
353	1242	1211	31
354	1248	1212	36
355	1258	1228	30
356	1247	1234	13
357	1230	1235	-5
358	1235	1227	8
359	1249	1225	24
360	1262	1215	47
361	1272	1229	43
362	1269	1233	36
363	1251	1233	18
364	1261	1231	30
365	1261	1232	29
366	1240	1221	19
367	1254	1227	27
368	1267	1235	32
369	1251	1230	21
370	1242	1228	14
371	1250	1232	18
372	1255	1228	27
373	1251	1232	19
374	1249	1219	30
375	1227	1220	7
376	1241	1226	15
377	1251	1224	27
378	1257	1217	40
379	1254	1225	29
380	1254	1221	33
381	1280	1215	65
382	1283	1222	61
383	1274	1221	53
384	1250	1221	29
385	1237	1231	6
386	1254	1229	25
387	1252	1233	19
388	1230	1226	4
389	1225	1222	3
390	1266	1228	38
391	1266	1229	37
392	1243	1222	21
393	1229	1222	7
394	1251	1227	24
395	1261	1233	28
396	1262	1221	41
397	1243	1225	18
398	1233	1220	13
399	1253	1223	30
400	1266	1221	45
401	1260	1232	28
402	1247	1224	23
403	1266	1221	45
404	1266	1226	40
405	1249	1223	26
406	1252	1219	33
407	1258	1225	33
408	1278	1233	45
409	1273	1231	42
410	1273	1225	48
411	1257	1232	25
412	1224	1234	-10
413	1229	1234	-5
414	1268	1237	31
415	1264	1231	33
416	1257	1226	31
417	1242	1230	12
418	1231	1227	4
419	1233	1238	-5
420	1254	1226	28
421	1258	1222	36
422	1257	1232	25
423	1246	1226	20
424	1248	1228	20
425	1254	1227	27
426	1247	1230	17
427	1226	1229	-3
428	1216	1225	-9
429	1243	1232	11
430	1249	1221	28
431	1256	1230	26
432	1243	1236	7
433	1247	1237	10
434	1254	1225	29
435	1260	1225	35
436	1231	1216	15
437	1239	1219	20
438	1276	1249	27
439	1284	1238	46
440	1263	1226	37
441	1250	1227	23
442	1251	1230	21
443	1263	1234	29
444	1265	1226	39
445	1248	1229	19
446	1220	1230	-10
447	1213	1225	-12
448	1239	1219	20
449	1238	1221	17
450	1224	1224	0
451	1233	1231	2
452	1242	1228	14
453	1245	1236	9
454	1253	1225	28
455	1252	1220	32
456	1227	1231	-4
457	1252	1215	37
458	1275	1216	59
459	1243	1228	15
460	1246	1225	21
461	1242	1222	20
462	1230	1225	5
463	1247	1229	18
464	1238	1223	15
465	1235	1216	19
466	1239	1211	28
467	1238	1217	21
468	1245	1224	21
469	1253	1228	25
470	1237	1224	13
471	1260	1231	29
472	1259	1228	31
473	1234	1232	2
474	1259	1229	30
475	1243	1228	15
476	1243	1229	14
477	1227	1222	5
478	1227	1226	1
479	1245	1230	15
480	1258	1232	26
481	1253	1235	18
482	1265	1230	35
483	1253	1241	12
484	1272	1238	34
485	1278	1231	47
486	1251	1227	24
487	1260	1228	32
488	1258	1226	32
489	1244	1230	14
490	1238	1236	2
491	1249	1236	13
492	1236	1226	10
493	1236	1224	12
494	1246	1237	9
495	1253	1229	24
496	1246	1213	33
497	1259	1234	25
498	1250	1236	14
499	1261	1225	36
500	1248	1224	24
501	1239	1233	6
502	1249	1229	20
503	1248	1228	20
504	1255	1222	33
505	1243	1225	18
506	1232	1211	21
507	1244	1215	29
508	1255	1221	34
509	1237	1221	16
510	1241	1222	19
511	1224	1232	-8
512	1233	1238	-5
513	1231	1225	6
514	1223	1224	-1
515	1239	1225	14
516	1228	1225	3
517	1238	1229	9
518	1233	1230	3
519	1238	1229	9
520	1238	1221	17
521	1258	1229	29
522	1266	1229	37
523	1263	1229	34
524	1262	1227	35
525	1242	1224	18
526	1234	1219	15
527	1221	1222	-1
528	1208	1224	-16
529	1243	1228	15
530	1252	1231	21
531	1235	1226	9
532	1233	1228	5
533	1238	1230	8
534	1255	1232	23
535	1248	1229	19
536	1241	1224	17
537	1245	1222	23
538	1241	1227	14
539	1241	1227	14
540	1236	1224	12
541	1230	1221	9
542	1253	1223	30
543	1259	1230	29
544	1262	1223	39
545	1241	1233	8
546	1233	1235	-2
547	1257	1232	25
548	1253	1225	28
549	1266	1218	48
550	1256	1227	29
551	1251	1226	25
552	1234	1216	18
553	1202	1221	-19
554	1220	1218	2
555	1244	1216	28
556	1223	1232	-9
557	1226	1226	0
558	1229	1225	4
559	1260	1227	33
560	1257	1225	32
561	1259	1215	44
562	1264	1216	48
563	1262	1225	37
564	1252	1227	25
565	1243	1230	13
566	1235	1229	6
567	1228	1225	3
568	1237	1217	20
569	1256	1219	37
570	1259	1219	40
571	1258	1215	43
572	1246	1215	31
573	1231	1230	1
574	1245	1239	6
575	1249	1229	20
576	1247	1221	26
577	1254	1225	29
578	1254	1230	24
579	1252	1224	28
580	1246	1220	26
581	1240	1229	11
582	1231	1240	-9
583	1235	1229	6
584	1272	1224	48
585	1267	1223	44
586	1265	1220	45
587	1251	1228	23
588	1241	1228	13
589	1240	1224	16
590	1237	1224	13
591	1239	1217	22
592	1224	1214	10
593	1255	1228	27
594	1275	1234	41
595	1258	1227	31
596	1258	1219	39
597	1243	1217	26
598	1232	1220	12
599	1230	1225	5
600	1243	1232	11
601	1245	1234	11
602	1253	1220	33
603	1249	1221	28
604	1251	1222	29
605	1245	1225	20
606	1256	1217	39
607	1253	1226	27
608	1253	1225	28
609	1255	1226	29
610	1251	1224	27
611	1236	1237	-1
612	1235	1234	1
613	1226	1228	-2
614	1231	1222	9
615	1241	1237	4
616	1235	1224	11
617	1205	1215	-10
618	1225	1227	-2
619	1241	1230	11
620	1224	1231	-7
621	1238	1240	-2
622	1265	1231	34
623	1246	1230	16
624	1237	1227	10
625	1229	1235	-6
626	1273	1238	35
627	1264	1237	27
628	1251	1236	15
629	1254	1234	20
630	1249	1221	28
631	1237	1220	17
632	1241	1220	21
633	1251	1221	30
634	1244	1215	29
635	1238	1223	15
636	1252	1233	19
637	1238	1228	10
638	1231	1233	-2
639	1237	1235	2
640	1232	1228	4
641	1232	1236	-4
642	1240	1230	10
643	1237	1229	8
644	1229	1232	-3
645	1230	1238	-8
646	1236	1235	1
647	1233	1232	1
648	1234	1227	7
649	1250	1230	20
650	1274	1220	54
651	1248	1213	35
652	1238	1215	23
653	1245	1224	21
654	1230	1233	-3
655	1250	1223	27
656	1251	1222	29
657	1261	1229	32
658	1263	1225	38
659	1247	1228	19
660	1249	1233	16
661	1240	1230	10
662	1260	1224	36
663	1275	1223	52
664	1242	1222	20
665	1247	1230	17
666	1256	1228	28
667	1263	1224	39
668	1251	1219	32
669	1236	1222	14
670	1229	1224	5
671	1229	1221	8
672	1262	1229	33
673	1253	1222	31
674	1259	1222	37
675	1261	1229	32
676	1235	1221	14
677	1214	1228	-14
678	1220	1227	-7
679	1243	1234	9
680	1254	1228	26
681	1249	1220	29
682	1262	1225	37
683	1260	1237	23
684	1260	1234	26
685	1257	1236	21
686	1250	1228	22
687	1248	1224	24
688	1266	1230	36
689	1257	1227	30
690	1260	1223	37
691	1259	1219	40
692	1245	1219	26
693	1250	1226	24
694	1252	1223	29
695	1248	1233	15
696	1232	1222	10
697	1240	1224	16
698	1233	1222	11
699	1230	1226	4
700	1248	1224	24
701	1264	1215	49
702	1245	1224	21
703	1248	1226	22
704	1219	1224	-5
705	1239	1236	3
706	1267	1227	40
707	1274	1267	7
708	1262	1253	9
709	1253	1223	30
710	1227	1227	0
711	1248	1232	16
712	1259	1220	39
713	1255	1229	26
714	1240	1240	0
715	1227	1227	0
716	1247	1229	18
717	1238	1244	-6
718	1233	1228	5
719	1255	1233	22
720	1252	1228	24
721	1245	1221	24
722	1231	1232	-1
723	1235	1237	-2
724	1238	1225	13
725	1239	1230	9
726	1249	1227	22
727	1247	1228	19
728	1274	1222	52
729	1250	1227	23
730	1219	1220	-1
731	1224	1230	-6
732	1236	1230	6
733	1244	1220	24
734	1232	1228	4
735	1225	1240	-15
736	1260	1224	36
737	1258	1224	34
738	1243	1229	14
739	1269	1230	39
740	1263	1222	41
741	1261	1219	42
742	1238	1219	19
