index	original	background	difference
-----------------------------------------------------
1	1172	1063	109
2	1154	1069	85
3	1153	1062	91
4	1154	1073	81
5	1142	1073	69
6	1140	1071	69
7	1162	1074	88
8	1151	1070	81
9	1157	1069	88
10	1159	1072	87
11	1156	1077	79
12	1149	1074	75
13	1138	1072	66
14	1158	1084	74
15	1184	1089	95
16	1159	1079	80
17	1157	1075	82
18	1151	1087	64
19	1156	1092	64
20	1151	1081	70
21	1152	1081	71
22	1154	1085	69
23	1169	1080	89
24	1159	1079	80
25	1166	1085	81
26	1168	1094	74
27	1176	1096	80
28	1189	1095	94
29	1177	1086	91
30	1159	1090	69
31	1172	1087	85
32	1164	1090	74
33	1192	1090	102
34	1211	1084	127
35	1197	1086	111
36	1152	1095	57
37	1163	1092	71
38	1169	1099	70
39	1182	1098	84
40	1178	1091	87
41	1185	1089	96
42	1183	1088	95
43	1191	1095	96
44	1178	1089	89
45	1184	1097	87
46	1203	1099	104
47	1203	1096	107
48	1193	1092	101
49	1210	1084	126
50	1205	1096	109
51	1207	1094	113
52	1198	1094	104
53	1193	1103	90
54	1185	1093	92
55	1200	1098	102
56	1202	1098	104
57	1188	1094	94
58	1176	1099	77
59	1198	1103	95
60	1210	1095	115
61	1200	1096	104
62	1219	1101	118
63	1238	1100	138
64	1227	1095	132
65	1238	1098	140
66	1218	1098	120
67	1221	1098	123
68	1218	1106	112
69	1226	1108	118
70	1220	1104	116
71	1239	1101	138
72	1243	1100	143
73	1241	1097	144
74	1260	1088	172
75	1281	1102	179
76	1265	1106	159
77	1266	1104	162
78	1283	1105	178
79	1257	1107	150
80	1238	1098	140
81	1267	1096	171
82	1265	1104	161
83	1275	1105	170
84	1284	1096	188
85	1284	1100	184
86	1265	1098	167
87	1283	1101	182
88	1272	1113	159
89	1287	1109	178
90	1289	1091	198
91	1284	1103	181
92	1273	1112	161
93	1293	1110	183
94	1286	1097	189
95	1307	1093	214
96	1306	1098	208
97	1298	1097	201
98	1322	1095	227
99	1335	1099	236
100	1307	1104	203
101	1329	1104	225
102	1340	1107	233
103	1339	1113	226
104	1306	1105	201
105	1339	1095	244
106	1335	1100	235
107	1327	1102	225
108	1347	1098	249
109	1345	1100	245
110	1333	1109	224
111	1355	1106	249
112	1365	1100	265
113	1351	1100	251
114	1341	1107	234
115	1365	1107	258
116	1369	1104	265
117	1386	1097	289
118	1405	1105	300
119	1389	1102	287
120	1384	1100	284
121	1393	1112	281
122	1398	1107	291
123	1405	1102	303
124	1402	1096	306
125	1422	1103	319
126	1423	1105	318
127	1410	1106	304
128	1416	1110	306
129	1395	1113	282
130	1402	1102	300
131	1448	1103	345
132	1447	1100	347
133	1477	1100	377
134	1464	1103	361
135	1464	1113	351
136	1467	1104	363
137	1470	1092	378
138	1457	1095	362
139	1479	1106	373
140	1478	1102	376
141	1489	1103	386
142	1488	1105	383
143	1492	1108	384
144	1483	1110	373
145	1489	1097	392
146	1502	1105	397
147	1523	1120	403
148	1561	1110	451
