index	original	background	difference
-----------------------------------------------------
1	1187	1160	27
2	1169	1166	3
3	1179	1164	15
4	1189	1164	25
5	1192	1162	30
6	1183	1160	23
7	1172	1155	17
8	1166	1150	16
9	1177	1155	22
10	1161	1162	-1
11	1188	1169	19
12	1205	1163	42
13	1202	1171	31
14	1213	1170	43
15	1208	1167	41
16	1178	1168	10
17	1192	1172	20
18	1199	1172	27
19	1184	1169	15
20	1170	1175	-5
21	1186	1174	12
22	1190	1173	17
23	1179	1175	4
24	1179	1171	8
25	1200	1167	33
26	1216	1162	54
27	1213	1164	49
28	1188	1169	19
29	1191	1175	16
30	1187	1180	7
31	1188	1184	4
32	1177	1181	-4
33	1182	1181	1
34	1188	1182	6
35	1207	1185	22
36	1207	1183	24
37	1195	1182	13
38	1203	1183	20
39	1210	1186	24
40	1200	1180	20
41	1219	1179	40
42	1207	1181	26
43	1187	1185	2
44	1198	1173	25
45	1208	1176	32
46	1182	1183	-1
47	1196	1183	13
48	1205	1180	25
49	1193	1178	15
50	1181	1185	-4
51	1179	1193	-14
52	1198	1183	15
53	1209	1185	24
54	1211	1183	28
55	1209	1181	28
56	1195	1188	7
57	1209	1190	19
58	1226	1185	41
59	1220	1195	25
60	1192	1194	-2
61	1202	1183	19
62	1190	1184	6
63	1193	1185	8
64	1200	1192	8
65	1197	1194	3
66	1194	1183	11
67	1181	1186	-5
68	1174	1183	-9
69	1203	1186	17
70	1210	1185	25
71	1209	1185	24
72	1204	1188	16
73	1211	1194	17
74	1206	1193	13
75	1203	1186	17
76	1197	1189	8
77	1205	1194	11
78	1186	1193	-7
79	1197	1193	4
80	1213	1185	28
81	1221	1193	28
82	1219	1202	17
83	1236	1189	47
84	1212	1178	34
85	1207	1183	24
86	1194	1184	10
87	1179	1189	-10
88	1186	1190	-4
89	1216	1185	31
90	1202	1190	12
91	1189	1183	6
92	1197	1189	8
93	1213	1201	12
94	1198	1193	5
95	1218	1188	30
96	1225	1185	40
97	1220	1195	25
98	1206	1201	5
99	1190	1211	-21
100	1202	1201	1
101	1215	1192	23
102	1213	1188	25
103	1224	1191	33
104	1235	1188	47
105	1235	1191	44
106	1233	1201	32
107	1221	1201	20
108	1219	1200	19
109	1228	1196	32
110	1217	1192	25
111	1213	1193	20
112	1204	1197	7
113	1205	1193	12
114	1195	1196	-1
115	1198	1192	6
116	1186	1195	-9
117	1209	1194	15
118	1213	1202	11
119	1203	1200	3
120	1203	1194	9
121	1206	1195	11
122	1191	1194	-3
123	1223	1192	31
124	1227	1201	26
125	1199	1204	-5
126	1211	1196	15
127	1219	1194	25
128	1218	1197	21
129	1217	1193	24
130	1198	1190	8
131	1206	1191	15
132	1217	1197	20
133	1214	1197	17
134	1222	1190	32
135	1210	1189	21
136	1192	1186	6
137	1206	1185	21
138	1215	1184	31
139	1209	1197	12
140	1205	1203	2
141	1190	1194	-4
142	1185	1199	-14
143	1210	1204	6
144	1216	1189	27
145	1218	1189	29
146	1214	1199	15
147	1238	1198	40
148	1228	1199	29
149	1222	1202	20
150	1205	1190	15
151	1210	1190	20
152	1218	1195	23
153	1225	1198	27
154	1207	1204	3
155	1237	1210	27
156	1229	1206	23
157	1205	1202	3
158	1218	1201	17
159	1219	1202	17
160	1226	1187	39
161	1247	1189	58
162	1258	1186	72
163	1226	1193	33
164	1197	1201	-4
165	1238	1198	40
166	1249	1199	50
167	1226	1200	26
168	1219	1191	28
169	1223	1193	30
170	1206	1188	18
171	1216	1187	29
172	1201	1193	8
173	1224	1193	31
174	1214	1195	19
175	1216	1199	17
176	1217	1194	23
177	1219	1192	27
178	1217	1187	30
179	1227	1184	43
180	1223	1196	27
181	1204	1194	10
182	1206	1194	12
183	1204	1199	5
184	1193	1196	-3
185	1196	1199	-3
186	1190	1193	-3
187	1200	1195	5
188	1226	1194	32
189	1232	1199	33
190	1220	1188	32
191	1206	1193	13
192	1199	1196	3
193	1227	1192	35
194	1203	1189	14
195	1208	1202	6
196	1209	1206	3
197	1219	1200	19
198	1214	1194	20
199	1210	1199	11
200	1211	1192	19
201	1222	1194	28
202	1198	1201	-3
203	1217	1197	20
204	1210	1198	12
205	1207	1200	7
206	1225	1201	24
207	1228	1201	27
208	1226	1196	30
209	1237	1204	33
210	1233	1200	33
211	1214	1195	19
212	1198	1195	3
213	1224	1205	19
214	1219	1211	8
215	1221	1198	23
216	1204	1201	3
217	1223	1204	19
218	1231	1204	27
219	1232	1207	25
220	1223	1192	31
221	1218	1186	32
222	1212	1181	31
223	1215	1189	26
224	1214	1187	27
225	1217	1191	26
226	1225	1188	37
227	1207	1191	16
228	1224	1194	30
229	1231	1194	37
230	1212	1195	17
231	1213	1194	19
232	1209	1194	15
233	1221	1194	27
234	1216	1195	21
235	1221	1199	22
236	1196	1193	3
237	1189	1195	-6
238	1193	1198	-5
239	1216	1197	19
240	1213	1197	16
241	1210	1198	12
