index	original	background	difference
-----------------------------------------------------
1	1192	1149	43
2	1186	1142	44
3	1191	1143	48
4	1186	1139	47
5	1189	1138	51
6	1180	1135	45
7	1172	1142	30
8	1185	1139	46
9	1180	1141	39
10	1175	1149	26
11	1171	1148	23
12	1182	1146	36
13	1189	1150	39
14	1211	1139	72
15	1214	1146	68
16	1203	1153	50
17	1209	1158	51
18	1210	1150	60
19	1181	1156	25
20	1195	1153	42
21	1213	1151	62
22	1202	1141	61
23	1199	1159	40
24	1207	1156	51
25	1194	1159	35
26	1202	1152	50
27	1176	1150	26
28	1171	1156	15
29	1178	1160	18
30	1201	1158	43
31	1223	1165	58
32	1254	1163	91
33	1266	1161	105
34	1236	1159	77
35	1199	1162	37
36	1204	1157	47
37	1214	1158	56
38	1220	1154	66
39	1216	1160	56
40	1219	1160	59
41	1222	1166	56
42	1205	1164	41
43	1210	1172	38
44	1235	1167	68
45	1210	1165	45
46	1222	1162	60
47	1235	1162	73
48	1232	1168	64
49	1209	1169	40
50	1213	1163	50
51	1223	1166	57
52	1232	1162	70
53	1235	1173	62
54	1230	1167	63
55	1227	1166	61
56	1241	1159	82
57	1241	1159	82
58	1238	1166	72
59	1238	1176	62
60	1225	1174	51
61	1241	1173	68
62	1247	1163	84
63	1238	1160	78
64	1238	1161	77
65	1242	1168	74
66	1262	1171	91
67	1258	1181	77
68	1239	1171	68
69	1247	1169	78
70	1246	1165	81
71	1259	1163	96
72	1272	1156	116
73	1271	1175	96
74	1275	1172	103
75	1291	1174	117
76	1271	1168	103
77	1260	1165	95
78	1248	1164	84
79	1254	1175	79
80	1280	1176	104
81	1270	1168	102
82	1251	1172	79
83	1281	1176	105
84	1295	1168	127
85	1290	1169	121
86	1290	1170	120
87	1285	1175	110
88	1286	1170	116
89	1266	1177	89
90	1271	1172	99
91	1300	1177	123
92	1298	1175	123
93	1273	1173	100
94	1281	1173	108
95	1307	1175	132
96	1325	1172	153
97	1322	1183	139
98	1308	1170	138
99	1294	1176	118
100	1324	1176	148
101	1298	1174	124
102	1289	1175	114
103	1314	1179	135
104	1340	1169	171
105	1332	1172	160
106	1328	1164	164
107	1340	1170	170
108	1354	1171	183
109	1332	1178	154
110	1319	1166	153
111	1331	1181	150
112	1335	1178	157
113	1370	1182	188
114	1382	1176	206
115	1340	1184	156
116	1349	1175	174
117	1376	1176	200
118	1397	1180	217
119	1390	1177	213
120	1379	1172	207
121	1375	1178	197
122	1361	1185	176
123	1361	1192	169
124	1370	1181	189
125	1368	1187	181
126	1381	1186	195
127	1383	1178	205
128	1395	1169	226
129	1407	1176	231
130	1420	1174	246
131	1426	1179	247
132	1407	1178	229
133	1406	1175	231
134	1425	1176	249
135	1404	1179	225
136	1413	1177	236
137	1419	1179	240
138	1415	1171	244
139	1429	1180	249
140	1446	1176	270
141	1434	1187	247
142	1407	1179	228
143	1433	1165	268
144	1465	1167	298
145	1469	1175	294
146	1473	1170	303
147	1477	1181	296
148	1469	1181	288
149	1478	1186	292
150	1459	1179	280
151	1464	1187	277
152	1481	1178	303
153	1467	1183	284
154	1486	1181	305
155	1497	1184	313
156	1528	1171	357
157	1526	1184	342
158	1496	1181	315
159	1488	1174	314
160	1489	1176	313
161	1493	1177	316
162	1509	1174	335
163	1519	1178	341
164	1520	1177	343
165	1546	1183	363
166	1539	1186	353
167	1519	1191	328
168	1530	1182	348
169	1550	1179	371
170	1533	1173	360
171	1554	1174	380
172	1550	1174	376
173	1537	1183	354
174	1557	1169	388
175	1578	1183	395
176	1567	1186	381
177	1545	1179	366
178	1605	1169	436
179	1599	1178	421
180	1595	1179	416
181	1605	1172	433
182	1609	1176	433
183	1602	1178	424
184	1611	1175	436
185	1593	1181	412
186	1617	1178	439
187	1623	1182	441
188	1616	1169	447
189	1635	1167	468
190	1667	1168	499
191	1671	1176	495
192	1685	1178	507
193	1644	1182	462
194	1636	1179	457
195	1649	1176	473
196	1646	1165	481
197	1671	1172	499
198	1699	1175	524
199	1686	1181	505
200	1679	1176	503
201	1684	1180	504
202	1685	1180	505
203	1695	1184	511
204	1687	1179	508
205	1703	1171	532
206	1711	1169	542
207	1702	1183	519
208	1692	1181	511
209	1712	1181	531
210	1748	1168	580
211	1711	1178	533
212	1713	1180	533
213	1706	1184	522
214	1718	1179	539
215	1716	1180	536
216	1733	1180	553
217	1743	1180	563
218	1745	1176	569
219	1745	1180	565
220	1766	1171	595
221	1741	1178	563
222	1738	1170	568
223	1747	1170	577
224	1771	1180	591
225	1747	1179	568
226	1745	1172	573
227	1762	1169	593
228	1775	1170	605
229	1792	1174	618
230	1805	1167	638
231	1781	1175	606
232	1805	1174	631
233	1799	1181	618
234	1837	1178	659
235	1852	1177	675
236	1843	1178	665
237	1850	1179	671
238	1869	1167	702
239	1874	1177	697
240	1899	1179	720
241	1904	1187	717
242	1931	1184	747
243	1947	1176	771
244	1941	1176	765
245	1905	1180	725
246	1941	1175	766
247	1956	1182	774
248	1971	1176	795
249	1976	1189	787
250	1964	1190	774
251	1987	1186	801
252	2001	1171	830
253	2018	1181	837
254	2025	1176	849
255	2039	1176	863
256	2035	1164	871
257	2049	1165	884
258	2066	1188	878
259	2065	1191	874
260	2073	1174	899
261	2089	1178	911
262	2073	1187	886
263	2033	1190	843
264	2043	1184	859
265	2039	1186	853
266	2068	1178	890
267	2054	1175	879
268	2079	1173	906
269	2080	1173	907
270	2070	1180	890
271	2080	1179	901
272	2097	1176	921
273	2100	1189	911
274	2139	1189	950
275	2124	1189	935
276	2137	1171	966
277	2151	1177	974
278	2175	1179	996
279	2171	1178	993
280	2159	1179	980
281	2206	1186	1020
282	2195	1179	1016
283	2214	1168	1046
284	2224	1173	1051
285	2246	1186	1060
286	2282	1183	1099
287	2268	1179	1089
288	2314	1168	1146
289	2318	1176	1142
290	2303	1171	1132
291	2334	1177	1157
292	2383	1172	1211
293	2345	1175	1170
294	2321	1172	1149
295	2360	1183	1177
296	2385	1185	1200
297	2386	1188	1198
298	2443	1177	1266
299	2479	1179	1300
300	2474	1176	1298
301	2510	1181	1329
302	2491	1177	1314
303	2476	1170	1306
304	2518	1165	1353
305	2529	1170	1359
306	2527	1174	1353
307	2526	1180	1346
308	2553	1175	1378
309	2562	1174	1388
310	2575	1168	1407
311	2583	1172	1411
312	2599	1175	1424
313	2643	1183	1460
314	2644	1175	1469
315	2617	1181	1436
316	2677	1171	1506
317	2738	1183	1555
318	2739	1188	1551
319	2732	1186	1546
320	2748	1173	1575
321	2761	1179	1582
322	2767	1171	1596
323	2757	1174	1583
324	2756	1172	1584
325	2791	1174	1617
326	2842	1173	1669
327	2853	1179	1674
328	2866	1176	1690
329	2899	1177	1722
330	2912	1177	1735
331	2932	1179	1753
332	2983	1172	1811
333	2998	1173	1825
334	3001	1175	1826
335	3054	1181	1873
