index	original	background	difference
-----------------------------------------------------
1	1190	1099	91
2	1177	1102	75
3	1171	1106	65
4	1186	1108	78
5	1202	1105	97
6	1188	1099	89
7	1202	1105	97
8	1183	1107	76
9	1166	1109	57
10	1175	1109	66
11	1203	1111	92
12	1196	1110	86
13	1181	1111	70
14	1188	1120	68
15	1181	1130	51
16	1169	1117	52
17	1161	1111	50
18	1182	1111	71
19	1204	1123	81
20	1186	1116	70
21	1182	1102	80
22	1203	1121	82
23	1205	1117	88
24	1214	1121	93
25	1182	1121	61
26	1198	1122	76
27	1208	1126	82
28	1207	1123	84
29	1222	1118	104
30	1228	1116	112
31	1215	1124	91
32	1198	1123	75
33	1198	1128	70
34	1190	1131	59
35	1208	1125	83
36	1218	1128	90
37	1218	1122	96
38	1204	1126	78
39	1190	1125	65
40	1207	1128	79
41	1220	1123	97
42	1225	1114	111
43	1232	1124	108
44	1227	1139	88
45	1208	1133	75
46	1215	1125	90
47	1207	1128	79
48	1214	1137	77
49	1211	1143	68
50	1198	1136	62
51	1195	1138	57
52	1208	1139	69
53	1225	1136	89
54	1249	1138	111
55	1234	1130	104
56	1206	1132	74
57	1191	1126	65
58	1216	1130	86
59	1218	1141	77
60	1214	1130	84
61	1242	1126	116
62	1243	1138	105
63	1244	1144	100
64	1227	1140	87
65	1223	1132	91
66	1236	1129	107
67	1223	1131	92
68	1233	1131	102
69	1221	1136	85
70	1215	1134	81
71	1238	1135	103
72	1240	1142	98
73	1243	1152	91
74	1229	1147	82
75	1209	1140	69
76	1219	1141	78
77	1227	1142	85
78	1222	1147	75
79	1225	1147	78
80	1235	1142	93
81	1241	1137	104
82	1251	1132	119
83	1269	1129	140
84	1259	1131	128
85	1250	1137	113
86	1261	1133	128
87	1257	1137	120
88	1251	1146	105
89	1235	1149	86
90	1224	1145	79
91	1247	1140	107
92	1262	1138	124
93	1268	1140	128
94	1260	1138	122
95	1244	1139	105
96	1240	1136	104
97	1257	1140	117
98	1239	1146	93
99	1248	1142	106
100	1269	1135	134
101	1273	1141	132
102	1267	1140	127
103	1251	1135	116
104	1264	1139	125
105	1248	1152	96
106	1243	1144	99
107	1258	1138	120
108	1233	1141	92
109	1262	1145	117
110	1242	1142	100
111	1261	1135	126
112	1288	1136	152
113	1294	1138	156
114	1285	1132	153
115	1279	1136	143
116	1282	1129	153
117	1291	1132	159
118	1286	1140	146
119	1268	1144	124
120	1288	1139	149
121	1293	1140	153
122	1272	1146	126
123	1277	1139	138
124	1297	1137	160
125	1283	1134	149
126	1240	1130	110
127	1268	1134	134
128	1298	1135	163
129	1296	1142	154
130	1291	1149	142
131	1299	1159	140
132	1312	1156	156
133	1304	1146	158
134	1316	1141	175
135	1310	1136	174
136	1326	1139	187
137	1323	1138	185
138	1306	1142	164
139	1312	1144	168
140	1319	1144	175
141	1304	1144	160
142	1283	1134	149
143	1311	1141	170
144	1337	1145	192
145	1342	1140	202
146	1327	1141	186
147	1335	1151	184
148	1314	1144	170
149	1326	1134	192
150	1350	1137	213
151	1347	1144	203
152	1347	1141	206
153	1326	1144	182
154	1308	1143	165
155	1324	1138	186
156	1319	1138	181
157	1312	1140	172
158	1316	1143	173
159	1344	1152	192
160	1379	1146	233
161	1359	1140	219
162	1332	1144	188
163	1337	1145	192
164	1369	1139	230
165	1377	1148	229
166	1355	1145	210
167	1359	1142	217
168	1352	1139	213
169	1337	1142	195
170	1355	1137	218
171	1371	1143	228
172	1358	1146	212
173	1367	1154	213
174	1345	1145	200
175	1336	1139	197
176	1337	1139	198
177	1364	1137	227
178	1373	1143	230
179	1357	1145	212
180	1366	1134	232
181	1361	1132	229
182	1377	1134	243
183	1393	1133	260
184	1383	1140	243
185	1362	1143	219
186	1380	1153	227
187	1375	1152	223
188	1377	1145	232
189	1381	1151	230
190	1393	1149	244
191	1407	1150	257
192	1391	1136	255
193	1402	1126	276
194	1377	1130	247
195	1387	1153	234
196	1408	1147	261
197	1376	1146	230
198	1365	1145	220
199	1399	1150	249
200	1389	1146	243
201	1388	1146	242
202	1394	1135	259
203	1395	1132	263
204	1403	1139	264
205	1414	1146	268
206	1442	1143	299
207	1424	1139	285
208	1425	1152	273
209	1433	1152	281
210	1427	1145	282
211	1424	1137	287
212	1420	1140	280
213	1423	1137	286
214	1407	1136	271
215	1439	1134	305
216	1463	1135	328
217	1437	1141	296
218	1422	1148	274
219	1430	1144	286
220	1468	1132	336
221	1456	1128	328
222	1450	1132	318
223	1456	1138	318
224	1465	1138	327
225	1448	1136	312
226	1468	1134	334
227	1464	1130	334
228	1449	1132	317
229	1464	1146	318
230	1463	1145	318
231	1475	1138	337
232	1472	1139	333
233	1477	1140	337
234	1478	1139	339
235	1464	1132	332
236	1452	1134	318
237	1464	1144	320
238	1500	1145	355
239	1510	1147	363
240	1497	1150	347
241	1507	1150	357
242	1517	1137	380
243	1532	1138	394
244	1497	1144	353
245	1499	1157	342
246	1523	1149	374
247	1516	1148	368
248	1511	1143	368
249	1544	1137	407
250	1561	1145	416
251	1524	1140	384
252	1500	1141	359
253	1540	1148	392
254	1557	1146	411
255	1548	1151	397
256	1559	1137	422
257	1547	1142	405
258	1563	1151	412
259	1558	1150	408
260	1551	1143	408
261	1567	1140	427
262	1569	1133	436
263	1572	1139	433
264	1547	1142	405
265	1559	1136	423
266	1571	1138	433
267	1575	1136	439
268	1595	1135	460
269	1586	1141	445
270	1597	1142	455
271	1604	1148	456
272	1595	1148	447
273	1594	1149	445
274	1632	1138	494
275	1619	1139	480
276	1634	1147	487
277	1641	1143	498
278	1625	1146	479
279	1642	1140	502
280	1642	1130	512
281	1631	1136	495
282	1657	1145	512
283	1668	1139	529
284	1658	1139	519
285	1662	1148	514
286	1678	1146	532
287	1699	1152	547
288	1680	1152	528
289	1658	1150	508
290	1696	1150	546
291	1704	1147	557
292	1716	1140	576
293	1737	1146	591
294	1745	1142	603
295	1726	1143	583
296	1732	1148	584
297	1728	1158	570
298	1717	1153	564
299	1733	1147	586
300	1744	1142	602
301	1734	1150	584
302	1742	1143	599
303	1771	1149	622
304	1793	1147	646
305	1784	1135	649
306	1786	1123	663
307	1796	1134	662
308	1816	1148	668
309	1805	1143	662
310	1779	1144	635
311	1818	1139	679
312	1840	1128	712
313	1840	1137	703
314	1827	1142	685
315	1825	1143	682
316	1842	1135	707
317	1861	1130	731
318	1879	1134	745
319	1859	1136	723
320	1891	1140	751
321	1923	1138	785
322	1860	1138	722
323	1890	1133	757
324	1912	1131	781
325	1891	1136	755
326	1899	1139	760
327	1894	1143	751
328	1913	1154	759
329	1938	1150	788
330	1977	1151	826
331	1963	1159	804
332	1973	1148	825
333	1970	1151	819
334	1986	1142	844
335	1993	1139	854
336	2015	1149	866
337	2013	1139	874
338	1993	1140	853
339	2021	1146	875
340	2020	1150	870
341	2017	1158	859
342	1999	1149	850
343	2020	1140	880
344	2061	1136	925
345	2058	1145	913
346	2083	1141	942
347	2077	1144	933
348	2092	1145	947
349	2078	1143	935
350	2072	1142	930
351	2094	1141	953
352	2100	1137	963
353	2087	1140	947
354	2099	1143	956
355	2096	1147	949
356	2100	1140	960
357	2159	1141	1018
358	2128	1143	985
359	2148	1143	1005
360	2166	1146	1020
361	2171	1148	1023
362	2172	1140	1032
363	2167	1134	1033
364	2160	1136	1024
365	2194	1129	1065
366	2205	1125	1080
367	2211	1144	1067
368	2193	1136	1057
369	2213	1140	1073
370	2190	1142	1048
371	2189	1146	1043
372	2226	1151	1075
373	2264	1143	1121
374	2247	1140	1107
375	2269	1139	1130
376	2271	1140	1131
377	2293	1150	1143
378	2297	1153	1144
379	2312	1142	1170
380	2293	1131	1162
381	2330	1141	1189
382	2358	1150	1208
383	2375	1153	1222
384	2317	1140	1177
385	2331	1141	1190
386	2348	1135	1213
387	2342	1141	1201
388	2386	1149	1237
389	2370	1132	1238
390	2379	1135	1244
391	2393	1155	1238
392	2363	1154	1209
