index	original	background	difference
-----------------------------------------------------
1	1188	1149	39
2	1178	1142	36
3	1190	1143	47
4	1192	1139	53
5	1196	1138	58
6	1184	1135	49
7	1188	1142	46
8	1185	1139	46
9	1186	1141	45
10	1176	1149	27
11	1184	1148	36
12	1188	1146	42
13	1185	1150	35
14	1179	1139	40
15	1193	1146	47
16	1190	1153	37
17	1202	1158	44
18	1212	1150	62
19	1197	1156	41
20	1191	1153	38
21	1199	1151	48
22	1204	1141	63
23	1202	1159	43
24	1197	1156	41
25	1206	1159	47
26	1204	1152	52
27	1206	1150	56
28	1208	1156	52
29	1214	1160	54
30	1210	1158	52
31	1214	1165	49
32	1215	1163	52
33	1211	1161	50
34	1215	1159	56
35	1213	1162	51
36	1211	1157	54
37	1214	1158	56
38	1216	1154	62
39	1216	1160	56
40	1221	1160	61
41	1215	1166	49
42	1215	1164	51
43	1218	1172	46
44	1218	1167	51
45	1221	1165	56
46	1218	1162	56
47	1219	1162	57
48	1221	1168	53
49	1224	1169	55
50	1223	1163	60
51	1226	1166	60
52	1232	1162	70
53	1244	1173	71
54	1234	1167	67
55	1232	1166	66
56	1231	1159	72
57	1239	1159	80
58	1235	1166	69
59	1235	1176	59
60	1232	1174	58
61	1237	1173	64
62	1234	1163	71
63	1239	1160	79
64	1239	1161	78
65	1244	1168	76
66	1242	1171	71
67	1244	1181	63
68	1237	1171	66
69	1244	1169	75
70	1241	1165	76
71	1245	1163	82
72	1246	1156	90
73	1249	1175	74
74	1252	1172	80
75	1257	1174	83
76	1252	1168	84
77	1253	1165	88
78	1263	1164	99
79	1271	1175	96
80	1258	1176	82
81	1265	1168	97
82	1269	1172	97
83	1267	1176	91
84	1272	1168	104
85	1277	1169	108
86	1266	1170	96
87	1277	1175	102
88	1281	1170	111
89	1286	1177	109
90	1283	1172	111
91	1292	1177	115
92	1293	1175	118
93	1291	1173	118
94	1293	1173	120
95	1300	1175	125
96	1301	1172	129
97	1299	1183	116
98	1301	1170	131
99	1304	1176	128
100	1306	1176	130
101	1321	1174	147
102	1319	1175	144
103	1320	1179	141
104	1318	1169	149
105	1327	1172	155
106	1332	1164	168
107	1339	1170	169
108	1336	1171	165
109	1333	1178	155
110	1328	1166	162
111	1336	1181	155
112	1335	1178	157
113	1342	1182	160
114	1351	1176	175
115	1346	1184	162
116	1357	1175	182
117	1380	1176	204
118	1379	1180	199
119	1375	1177	198
120	1360	1172	188
121	1373	1178	195
122	1369	1185	184
123	1371	1192	179
124	1367	1181	186
125	1371	1187	184
126	1373	1186	187
127	1378	1178	200
128	1373	1169	204
129	1380	1176	204
130	1397	1174	223
131	1410	1179	231
132	1410	1178	232
133	1403	1175	228
134	1411	1176	235
135	1414	1179	235
136	1407	1177	230
137	1427	1179	248
138	1431	1171	260
139	1434	1180	254
140	1431	1176	255
141	1433	1187	246
142	1432	1179	253
143	1439	1165	274
