index	original	background	difference
-----------------------------------------------------
1	1169	1160	9
2	1189	1166	23
3	1177	1164	13
4	1187	1164	23
5	1159	1162	-3
6	1172	1160	12
7	1181	1155	26
8	1186	1150	36
9	1183	1155	28
10	1176	1162	14
11	1199	1169	30
12	1211	1163	48
13	1197	1171	26
14	1186	1170	16
15	1177	1167	10
16	1173	1168	5
17	1169	1172	-3
18	1178	1172	6
19	1182	1169	13
20	1222	1175	47
21	1226	1174	52
22	1223	1173	50
23	1209	1175	34
24	1210	1171	39
25	1200	1167	33
26	1208	1162	46
27	1217	1164	53
28	1190	1169	21
29	1194	1175	19
30	1192	1180	12
31	1208	1184	24
32	1225	1181	44
33	1205	1181	24
34	1196	1182	14
35	1188	1185	3
36	1192	1183	9
37	1177	1182	-5
38	1194	1183	11
39	1218	1186	32
40	1223	1180	43
41	1217	1179	38
42	1223	1181	42
43	1205	1185	20
44	1216	1173	43
45	1225	1176	49
46	1203	1183	20
47	1194	1183	11
48	1200	1180	20
49	1198	1178	20
50	1203	1185	18
51	1213	1193	20
52	1222	1183	39
53	1225	1185	40
54	1238	1183	55
55	1195	1181	14
56	1222	1188	34
57	1225	1190	35
58	1235	1185	50
59	1218	1195	23
60	1215	1194	21
61	1225	1183	42
62	1225	1184	41
63	1207	1185	22
64	1200	1192	8
65	1191	1194	-3
66	1203	1183	20
67	1213	1186	27
68	1215	1183	32
69	1204	1186	18
70	1214	1185	29
71	1208	1185	23
72	1192	1188	4
73	1191	1194	-3
74	1182	1193	-11
75	1204	1186	18
76	1209	1189	20
77	1212	1194	18
78	1209	1193	16
79	1209	1193	16
80	1200	1185	15
81	1195	1193	2
82	1217	1202	15
83	1220	1189	31
84	1200	1178	22
85	1187	1183	4
86	1203	1184	19
87	1187	1189	-2
88	1187	1190	-3
89	1220	1185	35
90	1228	1190	38
91	1208	1183	25
92	1201	1189	12
93	1199	1201	-2
94	1210	1193	17
95	1203	1188	15
96	1197	1185	12
97	1210	1195	15
98	1215	1201	14
99	1206	1211	-5
100	1208	1201	7
101	1188	1192	-4
102	1204	1188	16
103	1215	1191	24
104	1223	1188	35
105	1222	1191	31
106	1214	1201	13
107	1190	1201	-11
108	1199	1200	-1
109	1182	1196	-14
110	1207	1192	15
111	1212	1193	19
112	1215	1197	18
113	1206	1193	13
114	1200	1196	4
115	1216	1192	24
116	1214	1195	19
117	1197	1194	3
118	1201	1202	-1
119	1215	1200	15
120	1224	1194	30
121	1220	1195	25
122	1210	1194	16
123	1218	1192	26
124	1226	1201	25
125	1214	1204	10
126	1227	1196	31
127	1231	1194	37
128	1211	1197	14
129	1189	1193	-4
130	1206	1190	16
131	1225	1191	34
132	1202	1197	5
133	1206	1197	9
134	1214	1190	24
135	1197	1189	8
136	1208	1186	22
137	1219	1185	34
138	1227	1184	43
139	1201	1197	4
140	1194	1203	-9
141	1233	1194	39
142	1254	1199	55
143	1235	1204	31
144	1232	1189	43
145	1216	1189	27
146	1205	1199	6
147	1193	1198	-5
148	1207	1199	8
149	1203	1202	1
150	1219	1190	29
151	1220	1190	30
152	1226	1195	31
153	1198	1198	0
154	1209	1204	5
155	1216	1210	6
156	1219	1206	13
157	1200	1202	-2
158	1202	1201	1
159	1207	1202	5
160	1194	1187	7
161	1171	1189	-18
162	1172	1186	-14
163	1188	1193	-5
164	1215	1201	14
165	1226	1198	28
166	1216	1199	17
167	1225	1200	25
168	1227	1191	36
169	1204	1193	11
170	1188	1188	0
171	1184	1187	-3
172	1201	1193	8
173	1220	1193	27
174	1229	1195	34
175	1216	1199	17
176	1229	1194	35
177	1229	1192	37
178	1212	1187	25
179	1227	1184	43
180	1234	1196	38
181	1226	1194	32
182	1215	1194	21
183	1222	1199	23
184	1234	1196	38
185	1224	1199	25
186	1208	1193	15
187	1222	1195	27
188	1214	1194	20
189	1201	1199	2
190	1227	1188	39
191	1211	1193	18
192	1211	1196	15
193	1220	1192	28
194	1237	1189	48
195	1216	1202	14
196	1211	1206	5
197	1217	1200	17
198	1204	1194	10
199	1193	1199	-6
200	1216	1192	24
201	1204	1194	10
202	1218	1201	17
203	1225	1197	28
204	1211	1198	13
205	1204	1200	4
206	1214	1201	13
207	1217	1201	16
208	1215	1196	19
209	1213	1204	9
210	1214	1200	14
211	1211	1195	16
212	1225	1195	30
213	1212	1205	7
214	1238	1211	27
215	1252	1198	54
216	1219	1201	18
217	1205	1204	1
218	1236	1204	32
219	1226	1207	19
220	1213	1192	21
221	1207	1186	21
222	1218	1181	37
223	1223	1189	34
224	1214	1187	27
225	1218	1191	27
226	1214	1188	26
227	1205	1191	14
228	1228	1194	34
229	1216	1194	22
230	1205	1195	10
231	1214	1194	20
232	1219	1194	25
233	1209	1194	15
234	1214	1195	19
235	1214	1199	15
236	1228	1193	35
237	1223	1195	28
238	1220	1198	22
239	1199	1197	2
240	1215	1197	18
241	1208	1198	10
242	1199	1197	2
243	1213	1198	15
244	1212	1198	14
245	1210	1192	18
246	1202	1184	18
247	1195	1187	8
248	1226	1191	35
249	1240	1198	42
250	1239	1194	45
251	1228	1193	35
252	1226	1194	32
253	1216	1200	16
254	1207	1184	23
255	1221	1189	32
256	1211	1195	16
257	1202	1204	-2
258	1240	1202	38
259	1236	1198	38
260	1213	1204	9
261	1214	1203	11
262	1190	1193	-3
263	1194	1197	-3
264	1219	1197	22
265	1208	1189	19
266	1205	1192	13
267	1209	1202	7
268	1223	1192	31
269	1209	1196	13
270	1202	1201	1
271	1217	1196	21
272	1220	1195	25
273	1210	1201	9
274	1207	1197	10
275	1210	1203	7
276	1214	1204	10
277	1213	1196	17
278	1216	1191	25
