index	original	background	difference
-----------------------------------------------------
1	1213	1187	26
2	1201	1193	8
3	1201	1188	13
4	1220	1187	33
5	1240	1192	48
6	1232	1190	42
7	1231	1194	37
8	1233	1183	50
9	1218	1183	35
10	1220	1186	34
11	1238	1191	47
12	1243	1187	56
13	1230	1190	40
14	1230	1192	38
15	1214	1189	25
16	1221	1202	19
17	1229	1201	28
18	1224	1192	32
19	1213	1195	18
20	1218	1196	22
21	1231	1191	40
22	1234	1199	35
23	1211	1202	9
24	1203	1202	1
25	1229	1204	25
26	1215	1197	18
27	1229	1213	16
28	1215	1206	9
29	1231	1198	33
30	1246	1192	54
31	1241	1202	39
32	1246	1213	33
33	1244	1208	36
34	1232	1207	25
35	1238	1220	18
36	1212	1218	-6
37	1221	1215	6
38	1218	1207	11
39	1231	1216	15
40	1233	1216	17
41	1246	1221	25
42	1247	1219	28
43	1226	1208	18
44	1222	1204	18
45	1210	1209	1
46	1203	1206	-3
47	1225	1202	23
48	1234	1213	21
49	1245	1215	30
50	1232	1212	20
51	1235	1226	9
52	1229	1225	4
53	1222	1220	2
54	1238	1223	15
55	1266	1228	38
56	1248	1223	25
57	1235	1223	12
58	1234	1218	16
59	1225	1222	3
60	1224	1222	2
61	1257	1230	27
62	1264	1224	40
63	1230	1221	9
64	1220	1211	9
65	1242	1215	27
66	1228	1223	5
67	1216	1225	-9
68	1220	1222	-2
69	1217	1223	-6
70	1247	1224	23
71	1243	1228	15
72	1240	1224	16
73	1239	1227	12
74	1230	1222	8
75	1246	1219	27
76	1251	1225	26
77	1252	1214	38
78	1230	1215	15
79	1254	1214	40
80	1264	1210	54
81	1275	1212	63
82	1272	1220	52
83	1255	1221	34
84	1243	1216	27
85	1282	1219	63
86	1285	1219	66
87	1272	1229	43
88	1253	1232	21
89	1249	1236	13
90	1236	1225	11
91	1255	1224	31
92	1260	1229	31
93	1256	1225	31
94	1255	1229	26
95	1247	1228	19
96	1248	1222	26
97	1265	1226	39
98	1254	1227	27
99	1267	1224	43
100	1253	1221	32
101	1240	1224	16
102	1249	1229	20
103	1244	1225	19
104	1250	1213	37
105	1255	1219	36
106	1247	1225	22
107	1247	1234	13
108	1244	1240	4
109	1267	1235	32
110	1243	1221	22
111	1250	1223	27
112	1239	1231	8
113	1249	1228	21
114	1240	1226	14
115	1246	1243	3
116	1241	1241	0
117	1260	1231	29
118	1271	1230	41
119	1247	1237	10
120	1243	1230	13
121	1259	1232	27
122	1250	1230	20
123	1249	1238	11
124	1254	1233	21
125	1265	1230	35
126	1243	1231	12
127	1248	1226	22
128	1242	1220	22
129	1262	1223	39
130	1249	1223	26
131	1231	1226	5
132	1220	1221	-1
133	1221	1229	-8
134	1236	1229	7
135	1240	1231	9
136	1248	1228	20
137	1250	1228	22
138	1242	1226	16
139	1251	1228	23
140	1241	1215	26
141	1239	1225	14
142	1249	1223	26
143	1258	1230	28
144	1250	1228	22
145	1256	1227	29
146	1255	1222	33
147	1259	1225	34
148	1252	1230	22
149	1231	1227	4
150	1233	1225	8
151	1258	1236	22
152	1238	1234	4
153	1241	1227	14
154	1220	1222	-2
155	1231	1225	6
156	1236	1235	1
157	1246	1233	13
158	1251	1233	18
159	1255	1235	20
