index	original	background	difference
-----------------------------------------------------
1	1141	1099	42
2	1136	1102	34
3	1152	1106	46
4	1159	1108	51
5	1173	1105	68
6	1155	1099	56
7	1171	1105	66
8	1176	1107	69
9	1165	1109	56
10	1155	1109	46
11	1156	1111	45
12	1159	1110	49
13	1160	1111	49
14	1159	1120	39
15	1174	1130	44
16	1183	1117	66
17	1197	1111	86
18	1167	1111	56
19	1153	1123	30
20	1159	1116	43
21	1180	1102	78
22	1175	1121	54
23	1202	1117	85
24	1183	1121	62
25	1172	1121	51
26	1179	1122	57
27	1146	1126	20
28	1157	1123	34
29	1184	1118	66
30	1193	1116	77
31	1205	1124	81
32	1183	1123	60
33	1190	1128	62
34	1196	1131	65
35	1197	1125	72
36	1181	1128	53
37	1191	1122	69
38	1198	1126	72
39	1227	1125	102
40	1181	1128	53
41	1182	1123	59
42	1164	1114	50
43	1179	1124	55
44	1185	1139	46
45	1211	1133	78
46	1201	1125	76
47	1200	1128	72
48	1201	1137	64
49	1208	1143	65
50	1198	1136	62
51	1178	1138	40
52	1198	1139	59
53	1190	1136	54
54	1196	1138	58
55	1188	1130	58
56	1196	1132	64
57	1220	1126	94
58	1213	1130	83
59	1228	1141	87
60	1219	1130	89
61	1213	1126	87
62	1205	1138	67
63	1209	1144	65
64	1191	1140	51
65	1212	1132	80
66	1215	1129	86
67	1230	1131	99
68	1221	1131	90
69	1233	1136	97
70	1220	1134	86
71	1207	1135	72
72	1211	1142	69
73	1229	1152	77
74	1224	1147	77
75	1235	1140	95
76	1235	1141	94
77	1245	1142	103
78	1211	1147	64
79	1225	1147	78
80	1224	1142	82
81	1225	1137	88
82	1229	1132	97
83	1230	1129	101
84	1226	1131	95
85	1225	1137	88
86	1230	1133	97
87	1217	1137	80
88	1242	1146	96
89	1249	1149	100
90	1211	1145	66
91	1228	1140	88
92	1215	1138	77
93	1223	1140	83
94	1222	1138	84
95	1238	1139	99
96	1240	1136	104
97	1233	1140	93
98	1261	1146	115
99	1250	1142	108
100	1235	1135	100
101	1255	1141	114
102	1240	1140	100
103	1242	1135	107
104	1238	1139	99
105	1258	1152	106
106	1272	1144	128
107	1257	1138	119
108	1250	1141	109
109	1260	1145	115
110	1238	1142	96
111	1249	1135	114
112	1262	1136	126
113	1268	1138	130
114	1263	1132	131
115	1257	1136	121
116	1263	1129	134
117	1274	1132	142
118	1272	1140	132
119	1286	1144	142
120	1271	1139	132
121	1269	1140	129
122	1274	1146	128
123	1293	1139	154
124	1292	1137	155
125	1287	1134	153
126	1287	1130	157
127	1274	1134	140
128	1247	1135	112
129	1285	1142	143
130	1305	1149	156
131	1292	1159	133
132	1272	1156	116
133	1285	1146	139
134	1305	1141	164
135	1284	1136	148
136	1270	1139	131
137	1285	1138	147
138	1303	1142	161
139	1331	1144	187
140	1307	1144	163
141	1299	1144	155
142	1303	1134	169
143	1295	1141	154
144	1294	1145	149
145	1297	1140	157
146	1301	1141	160
147	1317	1151	166
148	1306	1144	162
149	1298	1134	164
150	1306	1137	169
151	1331	1144	187
152	1314	1141	173
153	1322	1144	178
154	1329	1143	186
155	1337	1138	199
156	1337	1138	199
157	1328	1140	188
158	1316	1143	173
159	1305	1152	153
160	1319	1146	173
161	1324	1140	184
162	1332	1144	188
163	1345	1145	200
164	1329	1139	190
165	1364	1148	216
166	1340	1145	195
167	1316	1142	174
168	1346	1139	207
169	1368	1142	226
170	1332	1137	195
171	1339	1143	196
172	1328	1146	182
173	1336	1154	182
174	1337	1145	192
175	1359	1139	220
176	1348	1139	209
177	1335	1137	198
178	1376	1143	233
179	1389	1145	244
180	1374	1134	240
181	1373	1132	241
182	1377	1134	243
183	1373	1133	240
184	1352	1140	212
185	1375	1143	232
186	1370	1153	217
187	1366	1152	214
188	1361	1145	216
189	1378	1151	227
190	1387	1149	238
191	1403	1150	253
192	1394	1136	258
193	1418	1126	292
194	1395	1130	265
195	1408	1153	255
196	1393	1147	246
197	1390	1146	244
198	1396	1145	251
199	1401	1150	251
200	1430	1146	284
201	1425	1146	279
202	1393	1135	258
203	1407	1132	275
204	1406	1139	267
205	1403	1146	257
206	1389	1143	246
207	1415	1139	276
208	1430	1152	278
209	1436	1152	284
210	1433	1145	288
211	1438	1137	301
212	1426	1140	286
213	1430	1137	293
214	1423	1136	287
215	1422	1134	288
216	1448	1135	313
217	1452	1141	311
218	1427	1148	279
219	1467	1144	323
220	1464	1132	332
221	1452	1128	324
222	1458	1132	326
223	1433	1138	295
224	1455	1138	317
225	1461	1136	325
226	1460	1134	326
227	1486	1130	356
228	1474	1132	342
229	1463	1146	317
230	1483	1145	338
231	1491	1138	353
232	1491	1139	352
233	1473	1140	333
234	1482	1139	343
235	1497	1132	365
236	1488	1134	354
237	1496	1144	352
238	1502	1145	357
239	1537	1147	390
240	1504	1150	354
241	1516	1150	366
242	1530	1137	393
243	1540	1138	402
244	1535	1144	391
245	1541	1157	384
246	1540	1149	391
247	1545	1148	397
248	1540	1143	397
249	1557	1137	420
250	1547	1145	402
251	1550	1140	410
252	1552	1141	411
253	1552	1148	404
254	1588	1146	442
255	1592	1151	441
256	1573	1137	436
257	1572	1142	430
258	1560	1151	409
259	1585	1150	435
260	1603	1143	460
261	1621	1140	481
262	1585	1133	452
263	1592	1139	453
264	1611	1142	469
265	1582	1136	446
266	1617	1138	479
