index	original	background	difference
-----------------------------------------------------
1	1720	1149	571
2	1719	1119	600
3	1727	1137	590
4	1713	1150	563
5	1705	1143	562
6	1729	1165	564
7	1745	1156	589
8	1708	1157	551
9	1734	1154	580
10	1754	1146	608
11	1769	1163	606
12	1762	1154	608
13	1766	1148	618
14	1788	1139	649
15	1758	1165	593
16	1759	1170	589
17	1757	1135	622
18	1755	1146	609
19	1766	1165	601
20	1756	1175	581
21	1779	1162	617
22	1747	1143	604
23	1755	1168	587
24	1747	1169	578
25	1773	1157	616
26	1792	1154	638
27	1772	1160	612
28	1803	1177	626
29	1835	1158	677
30	1795	1147	648
31	1766	1165	601
32	1775	1170	605
33	1775	1173	602
34	1756	1165	591
35	1789	1169	620
36	1791	1175	616
37	1805	1170	635
38	1801	1170	631
39	1827	1161	666
40	1820	1176	644
41	1822	1169	653
42	1795	1179	616
43	1810	1186	624
44	1831	1185	646
45	1824	1183	641
46	1841	1161	680
47	1833	1151	682
48	1821	1167	654
49	1811	1167	644
50	1812	1149	663
51	1850	1154	696
52	1837	1163	674
53	1819	1163	656
54	1822	1152	670
55	1812	1158	654
56	1819	1173	646
57	1828	1168	660
58	1781	1163	618
59	1794	1184	610
60	1824	1184	640
61	1808	1175	633
62	1828	1181	647
63	1820	1191	629
64	1824	1188	636
65	1851	1184	667
66	1865	1173	692
67	1838	1170	668
68	1822	1158	664
69	1826	1153	673
70	1849	1153	696
71	1863	1169	694
72	1844	1191	653
73	1865	1172	693
74	1841	1184	657
75	1848	1197	651
76	1833	1202	631
77	1802	1173	629
78	1778	1178	600
79	1818	1192	626
80	1810	1202	608
81	1826	1180	646
82	1836	1181	655
83	1862	1176	686
84	1819	1164	655
85	1831	1166	665
86	1850	1191	659
87	1864	1187	677
88	1847	1163	684
89	1803	1199	604
90	1843	1184	659
91	1881	1180	701
92	1838	1194	644
93	1863	1171	692
94	1851	1160	691
95	1820	1172	648
96	1852	1157	695
97	1869	1180	689
98	1854	1172	682
99	1855	1162	693
100	1856	1176	680
101	1848	1177	671
102	1863	1176	687
103	1875	1199	676
104	1888	1187	701
105	1882	1187	695
106	1843	1182	661
107	1840	1181	659
108	1823	1182	641
109	1854	1197	657
110	1851	1191	660
111	1851	1207	644
112	1840	1212	628
113	1885	1188	697
114	1855	1192	663
115	1813	1188	625
116	1782	1161	621
117	1774	1165	609
118	1808	1172	636
119	1826	1172	654
120	1821	1168	653
121	1832	1184	648
122	1826	1178	648
123	1818	1173	645
124	1821	1195	626
125	1834	1183	651
126	1845	1172	673
127	1839	1202	637
128	1845	1184	661
129	1871	1174	697
130	1836	1175	661
131	1841	1170	671
132	1859	1177	682
133	1878	1168	710
134	1850	1167	683
135	1849	1179	670
136	1841	1176	665
137	1853	1177	676
138	1864	1180	684
139	1863	1170	693
140	1837	1160	677
141	1836	1165	671
142	1880	1170	710
143	1880	1183	697
144	1854	1194	660
145	1866	1183	683
146	1859	1178	681
147	1886	1177	709
148	1852	1206	646
149	1876	1190	686
150	1905	1174	731
151	1921	1180	741
152	1889	1190	699
153	1861	1178	683
154	1882	1173	709
155	1880	1170	710
156	1909	1166	743
157	1908	1192	716
158	1895	1195	700
159	1903	1178	725
160	1893	1170	723
161	1910	1172	738
162	1897	1185	712
163	1890	1195	695
164	1904	1173	731
165	1908	1182	726
166	1909	1176	733
167	1901	1193	708
168	1931	1183	748
169	1971	1163	808
170	1949	1178	771
171	1941	1171	770
172	1936	1167	769
173	1962	1181	781
174	1935	1200	735
175	1929	1201	728
176	1953	1196	757
177	1936	1185	751
178	1906	1183	723
179	1941	1186	755
180	1933	1183	750
181	1966	1182	784
182	1974	1182	792
183	2004	1190	814
184	1984	1176	808
185	1957	1164	793
186	1922	1196	726
187	1943	1209	734
188	1963	1182	781
189	1966	1155	811
190	1987	1178	809
191	2017	1182	835
192	2016	1155	861
193	1989	1165	824
194	1977	1172	805
195	1986	1181	805
196	1993	1165	828
197	1961	1171	790
198	1958	1178	780
199	1983	1165	818
200	1988	1177	811
201	1997	1192	805
202	1984	1162	822
203	1998	1170	828
204	2013	1192	821
205	2027	1186	841
206	2007	1194	813
207	1994	1169	825
208	2010	1174	836
209	1999	1178	821
210	2004	1163	841
211	2034	1150	884
212	2037	1191	846
213	2049	1199	850
214	2025	1186	839
215	2018	1171	847
216	1998	1180	818
217	2034	1161	873
218	2032	1159	873
219	2069	1183	886
220	2059	1172	887
221	2050	1166	884
222	2039	1168	871
223	2070	1170	900
224	2047	1185	862
225	2061	1174	887
226	2074	1166	908
227	2069	1155	914
228	2042	1190	852
229	2059	1171	888
230	2047	1155	892
231	2064	1173	891
232	2063	1175	888
233	2055	1173	882
234	2072	1175	897
235	2083	1172	911
236	2077	1179	898
237	2079	1182	897
238	2093	1189	904
239	2081	1187	894
240	2069	1178	891
241	2087	1182	905
242	2098	1190	908
243	2104	1197	907
244	2120	1165	955
245	2108	1169	939
246	2113	1161	952
247	2099	1175	924
248	2081	1178	903
249	2112	1147	965
250	2130	1141	989
251	2117	1160	957
252	2095	1199	896
253	2149	1207	942
254	2132	1199	933
255	2118	1183	935
256	2122	1174	948
257	2131	1187	944
258	2133	1189	944
259	2166	1177	989
260	2151	1175	976
261	2153	1168	985
262	2141	1177	964
263	2174	1187	987
264	2175	1177	998
265	2161	1175	986
266	2166	1173	993
267	2179	1171	1008
268	2198	1177	1021
269	2214	1164	1050
270	2211	1187	1024
271	2154	1188	966
272	2158	1182	976
273	2190	1177	1013
274	2209	1181	1028
275	2188	1194	994
276	2185	1184	1001
277	2191	1190	1001
278	2231	1179	1052
279	2207	1175	1032
280	2221	1183	1038
281	2270	1194	1076
282	2233	1197	1036
283	2244	1181	1063
284	2251	1186	1065
285	2245	1189	1056
286	2251	1198	1053
287	2223	1203	1020
288	2209	1174	1035
289	2255	1175	1080
290	2236	1188	1048
291	2255	1178	1077
292	2282	1184	1098
293	2305	1192	1113
294	2277	1178	1099
295	2265	1184	1081
296	2257	1188	1069
297	2320	1193	1127
298	2296	1177	1119
299	2300	1159	1141
300	2298	1172	1126
301	2300	1188	1112
302	2268	1185	1083
303	2301	1185	1116
304	2346	1194	1152
305	2329	1169	1160
306	2303	1182	1121
307	2305	1175	1130
308	2311	1171	1140
309	2296	1163	1133
310	2251	1192	1059
311	2313	1190	1123
312	2346	1190	1156
313	2355	1184	1171
314	2362	1193	1169
