index	original	background	difference
-----------------------------------------------------
1	2166	1197	969
2	2163	1199	964
3	2148	1213	935
4	2145	1206	939
5	2180	1188	992
6	2173	1191	982
7	2136	1205	931
8	2179	1216	963
9	2153	1211	942
10	2149	1202	947
11	2198	1211	987
12	2176	1211	965
13	2166	1208	958
14	2189	1212	977
15	2188	1204	984
16	2194	1205	989
17	2162	1210	952
18	2163	1222	941
19	2196	1232	964
20	2155	1229	926
21	2178	1211	967
22	2178	1213	965
23	2159	1220	939
24	2172	1223	949
25	2191	1218	973
26	2225	1227	998
27	2209	1222	987
28	2194	1218	976
29	2207	1218	989
30	2198	1225	973
31	2238	1225	1013
32	2230	1221	1009
33	2217	1218	999
34	2209	1219	990
35	2224	1228	996
36	2235	1227	1008
37	2208	1230	978
38	2245	1233	1012
39	2261	1230	1031
40	2230	1226	1004
41	2239	1216	1023
42	2222	1217	1005
43	2205	1216	989
44	2216	1225	991
45	2212	1228	984
46	2233	1224	1009
47	2246	1223	1023
48	2288	1229	1059
49	2269	1234	1035
50	2244	1233	1011
51	2262	1232	1030
52	2244	1232	1012
53	2244	1232	1012
54	2273	1226	1047
55	2255	1218	1037
56	2221	1221	1000
57	2260	1224	1036
58	2306	1232	1074
59	2263	1229	1034
60	2251	1219	1032
61	2274	1223	1051
62	2255	1235	1020
63	2240	1245	995
64	2256	1235	1021
65	2265	1235	1030
66	2250	1227	1023
67	2303	1227	1076
68	2266	1226	1040
69	2266	1220	1046
70	2281	1235	1046
71	2286	1229	1057
72	2305	1230	1075
73	2320	1237	1083
74	2309	1237	1072
75	2309	1235	1074
76	2288	1229	1059
77	2299	1231	1068
78	2322	1239	1083
79	2292	1242	1050
80	2288	1241	1047
81	2290	1240	1050
82	2333	1236	1097
83	2285	1234	1051
84	2296	1232	1064
85	2293	1232	1061
86	2272	1232	1040
87	2287	1234	1053
88	2318	1235	1083
89	2279	1235	1044
90	2274	1238	1036
91	2286	1242	1044
92	2288	1244	1044
93	2303	1246	1057
94	2289	1234	1055
95	2300	1240	1060
96	2295	1246	1049
97	2315	1244	1071
98	2337	1236	1101
99	2334	1242	1092
100	2362	1243	1119
101	2356	1241	1115
102	2367	1244	1123
