index	original	background	difference
-----------------------------------------------------
1	3203	1204	1999
2	3345	1211	2134
3	3377	1201	2176
4	3284	1194	2090
5	3299	1206	2093
6	3318	1225	2093
7	3299	1209	2090
8	3311	1220	2091
9	3354	1224	2130
10	3346	1227	2119
11	3330	1227	2103
12	3409	1233	2176
13	3438	1210	2228
14	3383	1208	2175
15	3316	1229	2087
16	3341	1221	2120
17	3414	1203	2211
18	3495	1208	2287
19	3553	1232	2321
20	3576	1245	2331
21	3484	1244	2240
22	3455	1254	2201
23	3503	1241	2262
24	3531	1243	2288
25	3551	1234	2317
26	3563	1226	2337
27	3553	1228	2325
28	3562	1257	2305
29	3545	1252	2293
30	3566	1249	2317
31	3629	1243	2386
32	3665	1232	2433
33	3617	1245	2372
34	3670	1248	2422
35	3646	1225	2421
36	3675	1249	2426
37	3679	1247	2432
38	3714	1231	2483
39	3721	1242	2479
40	3695	1218	2477
41	3711	1229	2482
42	3728	1227	2501
43	3702	1240	2462
44	3728	1250	2478
45	3697	1255	2442
46	3787	1236	2551
47	3803	1252	2551
48	3767	1269	2498
49	3768	1264	2504
50	3800	1258	2542
51	3807	1245	2562
52	3831	1237	2594
53	3803	1261	2542
54	3785	1276	2509
55	3787	1267	2520
56	3857	1241	2616
57	3869	1216	2653
58	3859	1230	2629
59	3880	1255	2625
60	3893	1251	2642
61	3951	1237	2714
62	3986	1242	2744
63	3961	1266	2695
64	3964	1261	2703
65	3981	1242	2739
66	3977	1249	2728
67	4015	1276	2739
68	4038	1265	2773
69	4025	1264	2761
70	4064	1245	2819
71	4124	1257	2867
72	4149	1261	2888
73	4194	1273	2921
74	4228	1277	2951
75	4216	1269	2947
76	4229	1274	2955
77	4243	1256	2987
78	4221	1238	2983
79	4223	1245	2978
80	4272	1249	3023
81	4273	1261	3012
82	4246	1259	2987
83	4225	1225	3000
84	4272	1226	3046
85	4293	1251	3042
86	4306	1273	3033
87	4289	1254	3035
88	4281	1256	3025
89	4292	1274	3018
90	4291	1261	3030
91	4309	1277	3032
92	4371	1282	3089
93	4476	1271	3205
94	4435	1267	3168
95	4379	1253	3126
96	4462	1231	3231
97	4463	1222	3241
98	4405	1251	3154
99	4424	1258	3166
100	4479	1260	3219
101	4460	1252	3208
102	4473	1265	3208
103	4500	1255	3245
104	4541	1251	3290
105	4494	1250	3244
106	4472	1240	3232
107	4535	1256	3279
108	4567	1264	3303
109	4540	1269	3271
110	4545	1247	3298
111	4562	1225	3337
112	4660	1251	3409
113	4699	1257	3442
114	4692	1271	3421
115	4727	1272	3455
116	4789	1264	3525
117	4752	1260	3492
118	4732	1250	3482
119	4745	1252	3493
120	4818	1246	3572
121	4777	1251	3526
122	4767	1236	3531
123	4793	1218	3575
124	4816	1236	3580
125	4820	1263	3557
126	4841	1256	3585
127	4893	1233	3660
128	4893	1251	3642
129	4869	1248	3621
130	4930	1244	3686
131	4963	1256	3707
132	5026	1287	3739
133	5029	1259	3770
134	5025	1252	3773
135	5048	1246	3802
136	5041	1247	3794
137	4946	1252	3694
138	5035	1270	3765
139	5104	1276	3828
140	5093	1249	3844
141	5166	1254	3912
142	5158	1246	3912
143	5158	1255	3903
144	5180	1246	3934
145	5165	1244	3921
146	5182	1278	3904
147	5128	1263	3865
148	5106	1259	3847
149	5062	1256	3806
150	5110	1251	3859
151	5124	1246	3878
152	5106	1253	3853
153	5080	1254	3826
154	5101	1282	3819
155	5087	1288	3799
156	5013	1266	3747
157	5075	1269	3806
158	5066	1250	3816
159	5110	1250	3860
160	5221	1248	3973
161	5208	1261	3947
162	5152	1253	3899
163	5168	1276	3892
164	5263	1281	3982
165	5183	1264	3919
166	5112	1259	3853
167	5070	1249	3821
168	5092	1251	3841
169	5036	1257	3779
170	5085	1240	3845
171	5159	1249	3910
172	5125	1269	3856
173	5112	1251	3861
174	5112	1252	3860
175	5064	1274	3790
176	5156	1294	3862
177	5139	1247	3892
178	5087	1218	3869
179	5027	1237	3790
180	5076	1270	3806
181	5092	1261	3831
182	5068	1238	3830
183	5084	1242	3842
184	5080	1246	3834
185	5119	1243	3876
186	5167	1231	3936
187	5097	1217	3880
188	5074	1257	3817
189	5045	1281	3764
190	5053	1264	3789
191	5049	1248	3801
192	5046	1254	3792
193	5062	1227	3835
194	5099	1250	3849
195	5113	1261	3852
196	5068	1259	3809
197	5109	1248	3861
198	5035	1269	3766
199	5019	1252	3767
200	5096	1240	3856
201	5125	1268	3857
202	5049	1271	3778
203	5018	1270	3748
204	5056	1265	3791
205	5045	1250	3795
206	5149	1260	3889
207	5133	1255	3878
208	5116	1252	3864
209	5138	1253	3885
210	5132	1243	3889
211	5117	1251	3866
212	5105	1264	3841
213	5142	1254	3888
214	5116	1245	3871
215	5132	1247	3885
216	5145	1246	3899
217	5169	1265	3904
218	5135	1274	3861
219	5112	1265	3847
220	5138	1251	3887
221	5176	1257	3919
222	5187	1245	3942
223	5121	1236	3885
224	5155	1242	3913
225	5057	1234	3823
226	5007	1238	3769
227	5048	1282	3766
228	5065	1270	3795
229	5152	1251	3901
230	5182	1266	3916
231	5143	1275	3868
232	5135	1277	3858
233	5108	1273	3835
234	5104	1262	3842
235	5101	1258	3843
236	5128	1255	3873
237	5177	1252	3925
238	5221	1254	3967
239	5258	1241	4017
240	5185	1246	3939
241	5195	1267	3928
242	5204	1255	3949
243	5189	1261	3928
244	5208	1251	3957
245	5198	1244	3954
246	5205	1259	3946
247	5278	1262	4016
248	5272	1247	4025
249	5284	1257	4027
250	5303	1280	4023
251	5260	1273	3987
252	5296	1275	4021
253	5316	1262	4054
254	5288	1274	4014
255	5248	1267	3981
256	5279	1260	4019
257	5359	1278	4081
258	5416	1281	4135
259	5442	1251	4191
260	5414	1244	4170
261	5465	1261	4204
262	5444	1256	4188
263	5396	1268	4128
264	5393	1274	4119
265	5380	1263	4117
266	5396	1239	4157
267	5437	1243	4194
268	5518	1279	4239
269	5412	1262	4150
270	5406	1256	4150
271	5428	1272	4156
272	5418	1248	4170
273	5418	1280	4138
274	5516	1261	4255
275	5512	1237	4275
276	5448	1247	4201
277	5498	1265	4233
278	5491	1274	4217
279	5493	1266	4227
280	5527	1259	4268
281	5530	1252	4278
282	5552	1256	4296
283	5514	1245	4269
284	5584	1259	4325
285	5610	1246	4364
286	5578	1270	4308
287	5566	1281	4285
288	5511	1276	4235
289	5544	1263	4281
290	5594	1255	4339
291	5555	1245	4310
292	5593	1242	4351
293	5545	1265	4280
294	5536	1254	4282
295	5528	1257	4271
296	5528	1260	4268
297	5535	1255	4280
298	5512	1271	4241
299	5502	1269	4233
300	5534	1269	4265
301	5526	1269	4257
302	5532	1255	4277
303	5483	1256	4227
304	5471	1270	4201
305	5527	1269	4258
306	5561	1248	4313
307	5552	1248	4304
308	5538	1260	4278
309	5536	1247	4289
310	5543	1253	4290
311	5614	1253	4361
312	5620	1235	4385
313	5647	1238	4409
314	5662	1265	4397
315	5636	1273	4363
316	5707	1281	4426
317	5678	1273	4405
318	5606	1269	4337
319	5628	1253	4375
320	5655	1237	4418
321	5693	1250	4443
322	5737	1262	4475
323	5713	1269	4444
324	5684	1255	4429
325	5713	1242	4471
326	5801	1246	4555
327	5867	1275	4592
328	5860	1263	4597
329	5823	1240	4583
330	5840	1263	4577
331	5860	1276	4584
332	5937	1264	4673
333	5858	1258	4600
334	5975	1261	4714
335	6017	1259	4758
336	5955	1269	4686
337	6050	1268	4782
338	6095	1252	4843
339	6015	1244	4771
340	6047	1247	4800
341	6106	1270	4836
342	6099	1252	4847
343	6080	1252	4828
344	6025	1263	4762
345	6089	1269	4820
346	6067	1261	4806
347	6145	1253	4892
348	6234	1248	4986
349	6249	1252	4997
350	6144	1255	4889
351	6079	1259	4820
352	6195	1270	4925
353	6166	1261	4905
354	6172	1266	4906
355	6155	1265	4890
356	6126	1260	4866
357	6170	1268	4902
358	6210	1272	4938
359	6297	1263	5034
360	6179	1280	4899
361	6100	1285	4815
362	6076	1256	4820
363	6058	1252	4806
364	6140	1271	4869
365	6245	1270	4975
366	6278	1260	5018
367	6271	1271	5000
368	6335	1268	5067
369	6331	1270	5061
370	6251	1276	4975
371	6272	1275	4997
372	6289	1270	5019
373	6368	1274	5094
374	6353	1263	5090
375	6383	1238	5145
376	6393	1241	5152
377	6485	1258	5227
378	6499	1258	5241
379	6457	1257	5200
380	6431	1261	5170
381	6444	1280	5164
382	6506	1282	5224
383	6496	1263	5233
384	6515	1266	5249
385	6571	1254	5317
386	6527	1245	5282
387	6557	1225	5332
388	6586	1243	5343
389	6588	1251	5337
390	6672	1247	5425
391	6742	1257	5485
392	6849	1261	5588
393	6914	1276	5638
394	6970	1264	5706
395	6848	1256	5592
396	6813	1275	5538
397	6914	1260	5654
398	6905	1259	5646
399	6934	1293	5641
400	6903	1269	5634
401	6930	1248	5682
402	7004	1246	5758
403	6988	1273	5715
404	6984	1249	5735
405	7058	1252	5806
406	7109	1248	5861
407	7091	1239	5852
408	7047	1241	5806
409	7068	1274	5794
410	7094	1274	5820
411	7135	1264	5871
412	7146	1257	5889
413	7157	1248	5909
