index	original	background	difference
-----------------------------------------------------
1	1749	1149	600
2	1730	1119	611
3	1733	1137	596
4	1783	1150	633
5	1770	1143	627
6	1767	1165	602
7	1745	1156	589
8	1778	1157	621
9	1788	1154	634
10	1800	1146	654
11	1774	1163	611
12	1775	1154	621
13	1768	1148	620
14	1777	1139	638
15	1806	1165	641
16	1803	1170	633
17	1793	1135	658
18	1769	1146	623
19	1801	1165	636
20	1832	1175	657
21	1806	1162	644
22	1779	1143	636
23	1770	1168	602
24	1821	1169	652
25	1848	1157	691
26	1841	1154	687
27	1801	1160	641
28	1789	1177	612
29	1807	1158	649
30	1826	1147	679
31	1824	1165	659
32	1832	1170	662
33	1830	1173	657
34	1808	1165	643
35	1805	1169	636
36	1807	1175	632
37	1820	1170	650
38	1814	1170	644
39	1832	1161	671
40	1845	1176	669
41	1816	1169	647
42	1816	1179	637
43	1814	1186	628
44	1799	1185	614
45	1842	1183	659
46	1870	1161	709
47	1839	1151	688
48	1823	1167	656
49	1838	1167	671
50	1839	1149	690
51	1822	1154	668
52	1857	1163	694
53	1864	1163	701
54	1854	1152	702
55	1828	1158	670
56	1790	1173	617
57	1853	1168	685
58	1846	1163	683
59	1844	1184	660
60	1836	1184	652
61	1835	1175	660
62	1848	1181	667
63	1830	1191	639
64	1843	1188	655
65	1885	1184	701
66	1870	1173	697
67	1863	1170	693
68	1856	1158	698
69	1842	1153	689
70	1875	1153	722
71	1886	1169	717
72	1856	1191	665
73	1833	1172	661
74	1822	1184	638
75	1833	1197	636
76	1861	1202	659
77	1872	1173	699
78	1877	1178	699
79	1882	1192	690
80	1870	1202	668
81	1869	1180	689
82	1877	1181	696
83	1857	1176	681
84	1848	1164	684
85	1879	1166	713
86	1862	1191	671
87	1872	1187	685
88	1881	1163	718
89	1865	1199	666
90	1893	1184	709
91	1865	1180	685
92	1861	1194	667
93	1852	1171	681
94	1875	1160	715
95	1881	1172	709
96	1877	1157	720
97	1874	1180	694
98	1861	1172	689
99	1892	1162	730
100	1901	1176	725
101	1908	1177	731
102	1905	1176	729
103	1874	1199	675
104	1838	1187	651
105	1858	1187	671
106	1882	1182	700
107	1890	1181	709
108	1882	1182	700
109	1887	1197	690
110	1890	1191	699
111	1870	1207	663
112	1846	1212	634
113	1844	1188	656
114	1841	1192	649
115	1831	1188	643
116	1830	1161	669
117	1842	1165	677
118	1841	1172	669
119	1832	1172	660
120	1797	1168	629
121	1787	1184	603
122	1788	1178	610
123	1834	1173	661
124	1839	1195	644
125	1867	1183	684
126	1866	1172	694
127	1864	1202	662
128	1856	1184	672
129	1866	1174	692
130	1882	1175	707
131	1901	1170	731
132	1884	1177	707
133	1884	1168	716
134	1863	1167	696
135	1854	1179	675
136	1853	1176	677
137	1860	1177	683
138	1875	1180	695
139	1887	1170	717
140	1879	1160	719
141	1848	1165	683
142	1851	1170	681
143	1887	1183	704
144	1861	1194	667
145	1866	1183	683
146	1864	1178	686
147	1877	1177	700
148	1883	1206	677
149	1872	1190	682
150	1883	1174	709
151	1914	1180	734
152	1904	1190	714
153	1912	1178	734
154	1920	1173	747
155	1929	1170	759
156	1938	1166	772
157	1921	1192	729
158	1887	1195	692
159	1887	1178	709
160	1880	1170	710
161	1909	1172	737
162	1915	1185	730
163	1910	1195	715
164	1889	1173	716
165	1892	1182	710
166	1912	1176	736
167	1924	1193	731
