index	original	background	difference
-----------------------------------------------------
1	2304	1197	1107
2	2308	1199	1109
3	2305	1213	1092
4	2272	1206	1066
5	2257	1188	1069
6	2266	1191	1075
7	2298	1205	1093
8	2278	1216	1062
9	2270	1211	1059
10	2295	1202	1093
11	2339	1211	1128
12	2293	1211	1082
13	2305	1208	1097
14	2308	1212	1096
15	2349	1204	1145
16	2340	1205	1135
17	2354	1210	1144
18	2369	1222	1147
19	2328	1232	1096
20	2350	1229	1121
21	2336	1211	1125
22	2329	1213	1116
23	2333	1220	1113
24	2356	1223	1133
25	2353	1218	1135
26	2322	1227	1095
27	2330	1222	1108
28	2285	1218	1067
29	2305	1218	1087
30	2332	1225	1107
31	2320	1225	1095
32	2361	1221	1140
33	2348	1218	1130
34	2342	1219	1123
35	2330	1228	1102
36	2329	1227	1102
37	2342	1230	1112
38	2317	1233	1084
39	2352	1230	1122
40	2373	1226	1147
41	2347	1216	1131
42	2383	1217	1166
43	2412	1216	1196
44	2388	1225	1163
45	2375	1228	1147
46	2350	1224	1126
47	2383	1223	1160
48	2370	1229	1141
49	2385	1234	1151
50	2389	1233	1156
51	2376	1232	1144
52	2379	1232	1147
53	2389	1232	1157
54	2369	1226	1143
55	2364	1218	1146
56	2351	1221	1130
57	2415	1224	1191
58	2412	1232	1180
59	2424	1229	1195
60	2448	1219	1229
61	2458	1223	1235
62	2448	1235	1213
63	2450	1245	1205
64	2409	1235	1174
65	2395	1235	1160
66	2432	1227	1205
67	2440	1227	1213
68	2438	1226	1212
69	2448	1220	1228
70	2453	1235	1218
71	2418	1229	1189
72	2440	1230	1210
73	2443	1237	1206
74	2439	1237	1202
75	2453	1235	1218
76	2440	1229	1211
77	2463	1231	1232
78	2488	1239	1249
79	2478	1242	1236
80	2456	1241	1215
81	2477	1240	1237
82	2440	1236	1204
83	2427	1234	1193
84	2425	1232	1193
85	2469	1232	1237
86	2450	1232	1218
87	2475	1234	1241
88	2460	1235	1225
89	2487	1235	1252
90	2508	1238	1270
91	2493	1242	1251
92	2445	1244	1201
93	2447	1246	1201
94	2479	1234	1245
95	2548	1240	1308
96	2497	1246	1251
97	2457	1244	1213
98	2489	1236	1253
99	2559	1242	1317
100	2550	1243	1307
101	2572	1241	1331
102	2541	1244	1297
103	2457	1233	1224
104	2430	1232	1198
105	2436	1229	1207
106	2414	1232	1182
107	2399	1242	1157
108	2360	1239	1121
109	2319	1232	1087
110	2302	1236	1066
111	2332	1237	1095
112	2316	1234	1082
113	2411	1231	1180
114	2460	1226	1234
115	2465	1232	1233
116	2439	1234	1205
117	2418	1237	1181
118	2448	1243	1205
119	2518	1245	1273
120	2508	1238	1270
121	2538	1246	1292
122	2545	1240	1305
123	2520	1234	1286
124	2532	1241	1291
125	2523	1241	1282
126	2531	1250	1281
127	2504	1248	1256
128	2503	1237	1266
129	2573	1240	1333
130	2575	1247	1328
131	2515	1247	1268
132	2541	1244	1297
133	2582	1237	1345
134	2593	1235	1358
135	2626	1237	1389
136	2594	1240	1354
137	2585	1239	1346
138	2569	1242	1327
139	2553	1244	1309
140	2536	1237	1299
141	2561	1231	1330
142	2572	1235	1337
143	2627	1241	1386
144	2636	1235	1401
145	2608	1243	1365
146	2606	1244	1362
147	2603	1246	1357
148	2633	1245	1388
149	2619	1245	1374
150	2609	1250	1359
151	2637	1247	1390
152	2652	1239	1413
153	2641	1240	1401
154	2621	1234	1387
155	2656	1239	1417
156	2633	1231	1402
157	2654	1236	1418
158	2664	1224	1440
159	2652	1233	1419
160	2669	1237	1432
161	2651	1239	1412
162	2636	1242	1394
163	2663	1238	1425
164	2658	1244	1414
165	2674	1241	1433
166	2676	1229	1447
167	2656	1238	1418
168	2675	1241	1434
169	2710	1235	1475
170	2683	1236	1447
171	2695	1239	1456
172	2716	1245	1471
173	2706	1245	1461
174	2669	1245	1424
175	2703	1244	1459
176	2747	1237	1510
177	2717	1235	1482
178	2726	1243	1483
179	2719	1246	1473
180	2699	1249	1450
181	2702	1242	1460
182	2693	1237	1456
183	2694	1237	1457
184	2741	1240	1501
185	2732	1243	1489
186	2703	1243	1460
187	2740	1243	1497
188	2731	1235	1496
189	2759	1238	1521
190	2686	1240	1446
191	2694	1244	1450
192	2742	1242	1500
193	2763	1244	1519
194	2753	1241	1512
195	2775	1239	1536
196	2766	1244	1522
197	2771	1236	1535
198	2793	1236	1557
199	2772	1233	1539
200	2779	1237	1542
201	2834	1235	1599
202	2833	1234	1599
203	2807	1239	1568
204	2812	1234	1578
205	2814	1239	1575
206	2800	1238	1562
207	2836	1242	1594
208	2811	1243	1568
209	2814	1249	1565
210	2815	1254	1561
211	2831	1246	1585
212	2888	1243	1645
213	2871	1241	1630
214	2857	1238	1619
215	2875	1237	1638
216	2901	1237	1664
217	2924	1235	1689
218	2872	1225	1647
219	2868	1253	1615
220	2890	1250	1640
221	2894	1257	1637
222	2870	1252	1618
223	2874	1248	1626
224	2857	1242	1615
225	2870	1241	1629
226	2841	1241	1600
227	2865	1244	1621
228	2913	1241	1672
229	2930	1247	1683
230	2874	1240	1634
231	2866	1234	1632
232	2906	1241	1665
233	2922	1241	1681
234	2904	1245	1659
235	2867	1243	1624
236	2882	1245	1637
237	2947	1243	1704
238	2924	1234	1690
239	2920	1237	1683
240	2941	1238	1703
241	2942	1236	1706
242	2947	1242	1705
243	2981	1248	1733
244	2959	1247	1712
245	2955	1236	1719
246	2961	1236	1725
247	2954	1239	1715
248	2954	1235	1719
249	2968	1237	1731
250	2926	1245	1681
251	2964	1241	1723
252	2995	1239	1756
253	2983	1246	1737
254	2975	1248	1727
255	2989	1247	1742
256	3004	1238	1766
257	2985	1245	1740
258	2977	1248	1729
259	2978	1236	1742
260	2980	1242	1738
261	2962	1242	1720
262	2956	1240	1716
263	3013	1243	1770
264	3040	1239	1801
265	3068	1242	1826
266	3044	1246	1798
267	3088	1247	1841
268	3076	1239	1837
269	3068	1246	1822
270	3072	1246	1826
271	3027	1248	1779
272	3025	1247	1778
273	3039	1240	1799
274	3077	1246	1831
275	3127	1243	1884
276	3136	1237	1899
277	3096	1234	1862
278	3093	1229	1864
279	3075	1235	1840
280	3072	1240	1832
281	3059	1246	1813
282	3053	1253	1800
283	3044	1249	1795
284	3092	1242	1850
285	3095	1243	1852
286	3060	1243	1817
287	3099	1242	1857
288	3095	1246	1849
289	3112	1256	1856
290	3095	1253	1842
291	3084	1246	1838
292	3113	1236	1877
293	3129	1239	1890
294	3065	1239	1826
295	3051	1245	1806
296	3060	1256	1804
297	3097	1239	1858
298	3101	1245	1856
299	3113	1240	1873
300	3117	1237	1880
301	3105	1254	1851
302	3158	1245	1913
303	3144	1241	1903
304	3102	1234	1868
305	3170	1239	1931
306	3194	1239	1955
307	3173	1234	1939
308	3120	1235	1885
309	3080	1243	1837
310	3125	1247	1878
311	3107	1243	1864
312	3143	1241	1902
313	3152	1240	1912
314	3176	1239	1937
315	3170	1239	1931
