index	original	background	difference
-----------------------------------------------------
1	1240	1188	52
2	1266	1188	78
3	1291	1191	100
4	1298	1188	110
5	1281	1195	86
6	1264	1200	64
7	1272	1200	72
8	1280	1200	80
9	1279	1216	63
10	1289	1207	82
11	1297	1207	90
12	1277	1197	80
13	1277	1200	77
14	1285	1199	86
15	1296	1204	92
16	1287	1198	89
17	1301	1209	92
18	1282	1199	83
19	1294	1212	82
20	1299	1209	90
21	1309	1212	97
22	1284	1209	75
23	1278	1214	64
24	1290	1210	80
25	1318	1203	115
26	1307	1211	96
27	1334	1219	115
28	1335	1212	123
29	1337	1214	123
30	1329	1218	111
31	1315	1217	98
32	1322	1214	108
33	1341	1225	116
34	1333	1220	113
35	1347	1221	126
36	1327	1212	115
37	1328	1214	114
38	1349	1215	134
39	1346	1212	134
40	1331	1209	122
41	1315	1213	102
42	1319	1216	103
43	1332	1211	121
44	1326	1222	104
45	1350	1226	124
46	1353	1223	130
47	1323	1223	100
48	1318	1227	91
49	1341	1232	109
50	1329	1229	100
51	1317	1218	99
52	1350	1218	132
53	1357	1221	136
54	1352	1225	127
55	1360	1237	123
56	1344	1242	102
57	1352	1231	121
58	1357	1222	135
59	1363	1226	137
60	1326	1230	96
61	1342	1235	107
62	1353	1225	128
63	1348	1236	112
64	1344	1227	117
65	1368	1234	134
66	1376	1233	143
67	1385	1228	157
68	1361	1225	136
69	1363	1233	130
70	1370	1238	132
71	1352	1243	109
72	1348	1229	119
73	1333	1225	108
74	1355	1220	135
75	1374	1223	151
76	1346	1226	120
77	1358	1228	130
78	1356	1227	129
79	1362	1232	130
80	1364	1218	146
81	1377	1229	148
82	1347	1229	118
83	1379	1225	154
84	1364	1223	141
85	1377	1224	153
86	1395	1226	169
87	1368	1223	145
88	1373	1230	143
89	1379	1245	134
90	1369	1235	134
91	1369	1241	128
92	1368	1235	133
93	1356	1242	114
94	1352	1230	122
95	1361	1230	131
96	1362	1224	138
97	1367	1226	141
98	1374	1231	143
99	1371	1235	136
100	1382	1232	150
101	1386	1232	154
102	1364	1230	134
103	1367	1236	131
104	1358	1229	129
105	1372	1238	134
106	1363	1236	127
107	1384	1229	155
108	1372	1234	138
109	1363	1243	120
110	1382	1229	153
111	1382	1229	153
112	1359	1226	133
113	1367	1241	126
114	1392	1234	158
115	1403	1234	169
116	1396	1244	152
117	1379	1238	141
118	1368	1238	130
119	1376	1239	137
120	1389	1230	159
