index	original	background	difference
-----------------------------------------------------
1	1259	1188	71
2	1267	1188	79
3	1292	1191	101
4	1280	1188	92
5	1278	1195	83
6	1300	1200	100
7	1305	1200	105
8	1316	1200	116
9	1298	1216	82
10	1290	1207	83
11	1281	1207	74
12	1283	1197	86
13	1287	1200	87
14	1292	1199	93
15	1304	1204	100
16	1321	1198	123
17	1331	1209	122
18	1324	1199	125
19	1310	1212	98
20	1316	1209	107
21	1328	1212	116
22	1325	1209	116
23	1310	1214	96
24	1326	1210	116
25	1308	1203	105
26	1321	1211	110
27	1327	1219	108
28	1318	1212	106
29	1309	1214	95
30	1330	1218	112
31	1340	1217	123
32	1349	1214	135
33	1350	1225	125
34	1333	1220	113
35	1333	1221	112
36	1336	1212	124
37	1340	1214	126
38	1356	1215	141
39	1351	1212	139
40	1339	1209	130
41	1325	1213	112
42	1355	1216	139
43	1343	1211	132
44	1335	1222	113
45	1336	1226	110
46	1333	1223	110
47	1337	1223	114
48	1352	1227	125
49	1348	1232	116
50	1354	1229	125
51	1367	1218	149
52	1368	1218	150
53	1361	1221	140
54	1364	1225	139
55	1375	1237	138
56	1360	1242	118
57	1362	1231	131
58	1361	1222	139
59	1349	1226	123
60	1359	1230	129
61	1368	1235	133
62	1387	1225	162
63	1384	1236	148
64	1405	1227	178
65	1396	1234	162
66	1388	1233	155
67	1383	1228	155
68	1370	1225	145
69	1374	1233	141
70	1358	1238	120
71	1384	1243	141
72	1387	1229	158
73	1378	1225	153
74	1394	1220	174
75	1389	1223	166
76	1387	1226	161
77	1406	1228	178
78	1399	1227	172
79	1399	1232	167
80	1409	1218	191
81	1391	1229	162
82	1373	1229	144
83	1362	1225	137
84	1373	1223	150
85	1386	1224	162
86	1389	1226	163
87	1379	1223	156
88	1384	1230	154
89	1402	1245	157
90	1413	1235	178
91	1408	1241	167
92	1395	1235	160
93	1392	1242	150
94	1403	1230	173
95	1397	1230	167
96	1395	1224	171
97	1385	1226	159
98	1399	1231	168
99	1404	1235	169
100	1411	1232	179
101	1390	1232	158
102	1383	1230	153
103	1399	1236	163
104	1423	1229	194
105	1424	1238	186
106	1403	1236	167
107	1381	1229	152
108	1378	1234	144
109	1351	1243	108
110	1353	1229	124
111	1396	1229	167
112	1409	1226	183
113	1412	1241	171
114	1393	1234	159
115	1401	1234	167
116	1395	1244	151
117	1393	1238	155
118	1394	1238	156
119	1416	1239	177
120	1433	1230	203
121	1395	1233	162
122	1394	1237	157
123	1401	1234	167
124	1405	1220	185
125	1408	1220	188
126	1423	1233	190
127	1432	1241	191
128	1433	1229	204
129	1422	1234	188
130	1441	1227	214
131	1452	1234	218
132	1456	1233	223
133	1405	1232	173
134	1399	1227	172
135	1417	1242	175
136	1430	1245	185
137	1416	1238	178
138	1423	1236	187
139	1447	1244	203
140	1433	1232	201
141	1433	1246	187
142	1439	1235	204
143	1459	1235	224
144	1435	1237	198
145	1435	1248	187
146	1467	1247	220
147	1439	1246	193
148	1414	1243	171
149	1429	1238	191
150	1473	1235	238
151	1481	1244	237
152	1474	1235	239
153	1451	1241	210
154	1426	1233	193
155	1452	1236	216
156	1448	1237	211
157	1435	1244	191
158	1442	1239	203
159	1444	1240	204
160	1451	1245	206
161	1440	1243	197
162	1461	1236	225
163	1458	1237	221
164	1444	1231	213
165	1448	1242	206
166	1480	1236	244
167	1477	1241	236
168	1455	1240	215
169	1467	1236	231
170	1476	1231	245
171	1461	1236	225
172	1480	1235	245
173	1478	1234	244
174	1459	1237	222
175	1464	1244	220
176	1477	1235	242
177	1466	1233	233
178	1458	1229	229
179	1453	1233	220
180	1469	1242	227
181	1454	1248	206
182	1462	1240	222
183	1471	1249	222
184	1480	1247	233
185	1487	1240	247
186	1493	1234	259
187	1477	1243	234
188	1503	1231	272
189	1501	1226	275
190	1515	1226	289
191	1521	1231	290
192	1519	1223	296
193	1488	1234	254
194	1506	1238	268
195	1526	1250	276
196	1508	1242	266
197	1502	1236	266
198	1483	1238	245
199	1535	1246	289
200	1549	1238	311
201	1520	1232	288
202	1528	1232	296
203	1557	1238	319
204	1572	1233	339
205	1543	1236	307
206	1539	1241	298
207	1523	1235	288
208	1518	1232	286
209	1553	1239	314
210	1583	1239	344
211	1570	1247	323
212	1541	1233	308
213	1539	1242	297
214	1559	1244	315
215	1533	1254	279
216	1524	1239	285
217	1556	1240	316
218	1593	1241	352
219	1583	1236	347
220	1568	1232	336
221	1566	1242	324
222	1565	1240	325
223	1559	1231	328
224	1590	1243	347
225	1597	1247	350
226	1579	1233	346
227	1564	1238	326
228	1575	1235	340
229	1584	1239	345
230	1569	1235	334
231	1593	1242	351
