index	original	background	difference
-----------------------------------------------------
1	1217	1193	24
2	1217	1181	36
3	1227	1193	34
4	1222	1189	33
5	1232	1182	50
6	1232	1192	40
7	1234	1204	30
8	1228	1197	31
9	1236	1187	49
10	1230	1192	38
11	1234	1191	43
12	1232	1194	38
13	1237	1203	34
14	1241	1208	33
15	1243	1211	32
16	1239	1212	27
17	1246	1216	30
18	1247	1211	36
19	1246	1208	38
20	1240	1205	35
21	1244	1204	40
22	1248	1205	43
23	1252	1208	44
24	1250	1207	43
25	1257	1218	39
26	1247	1222	25
27	1241	1215	26
28	1252	1215	37
29	1260	1206	54
30	1259	1196	63
31	1265	1212	53
32	1256	1221	35
33	1255	1220	35
34	1259	1214	45
35	1263	1212	51
36	1252	1211	41
37	1258	1210	48
38	1263	1212	51
39	1262	1210	52
40	1252	1204	48
41	1256	1205	51
42	1262	1211	51
43	1269	1214	55
44	1264	1211	53
45	1258	1213	45
46	1259	1208	51
47	1271	1205	66
48	1270	1218	52
49	1269	1221	48
50	1258	1222	36
51	1263	1234	29
52	1261	1219	42
53	1268	1217	51
54	1273	1218	55
55	1270	1218	52
56	1268	1227	41
57	1268	1227	41
58	1263	1214	49
59	1265	1213	52
60	1267	1214	53
61	1271	1214	57
62	1258	1214	44
63	1264	1219	45
64	1250	1218	32
65	1256	1220	36
66	1261	1223	38
67	1264	1225	39
68	1272	1214	58
69	1280	1216	64
70	1275	1217	58
71	1275	1224	51
72	1275	1222	53
73	1281	1214	67
74	1278	1209	69
75	1281	1224	57
76	1280	1222	58
77	1286	1224	62
78	1275	1220	55
79	1276	1234	42
80	1272	1227	45
81	1278	1228	50
82	1287	1227	60
83	1289	1223	66
84	1282	1226	56
85	1280	1224	56
86	1274	1229	45
87	1293	1238	55
88	1287	1225	62
89	1294	1220	74
90	1286	1235	51
91	1287	1237	50
92	1297	1226	71
93	1300	1211	89
94	1287	1220	67
95	1286	1228	58
96	1286	1231	55
97	1291	1225	66
98	1281	1214	67
99	1285	1219	66
100	1288	1227	61
101	1293	1230	63
102	1291	1232	59
103	1293	1218	75
104	1295	1223	72
105	1302	1229	73
106	1295	1226	69
107	1294	1213	81
108	1297	1215	82
109	1305	1219	86
110	1289	1216	73
111	1292	1229	63
112	1300	1230	70
113	1303	1227	76
114	1301	1235	66
115	1299	1233	66
116	1299	1227	72
117	1304	1240	64
118	1302	1234	68
119	1304	1223	81
120	1299	1220	79
121	1310	1234	76
122	1314	1229	85
123	1309	1235	74
124	1307	1234	73
125	1313	1232	81
126	1316	1229	87
127	1315	1230	85
128	1316	1219	97
129	1321	1229	92
130	1317	1229	88
131	1317	1229	88
132	1308	1234	74
133	1311	1241	70
134	1319	1233	86
135	1324	1236	88
136	1332	1239	93
137	1322	1233	89
138	1327	1217	110
139	1334	1220	114
140	1312	1227	85
141	1327	1228	99
142	1330	1223	107
143	1328	1223	105
144	1336	1231	105
145	1342	1240	102
146	1334	1222	112
147	1338	1220	118
148	1331	1228	103
149	1335	1228	107
150	1332	1226	106
151	1335	1232	103
152	1342	1237	105
153	1355	1235	120
154	1346	1233	113
155	1345	1233	112
156	1347	1219	128
157	1345	1229	116
158	1341	1227	114
159	1353	1220	133
160	1351	1223	128
161	1351	1232	119
162	1342	1234	108
163	1347	1230	117
164	1350	1229	121
165	1360	1226	134
166	1349	1231	118
167	1345	1233	112
168	1348	1226	122
169	1353	1226	127
170	1354	1231	123
171	1358	1233	125
172	1357	1232	125
173	1363	1226	137
174	1367	1225	142
175	1380	1238	142
176	1378	1232	146
177	1370	1230	140
178	1367	1233	134
179	1373	1227	146
180	1375	1226	149
181	1377	1234	143
182	1375	1231	144
183	1374	1225	149
184	1380	1229	151
185	1389	1233	156
186	1386	1225	161
187	1392	1233	159
188	1393	1243	150
189	1393	1242	151
190	1394	1235	159
191	1393	1235	158
192	1386	1233	153
193	1394	1230	164
194	1397	1232	165
195	1389	1245	144
196	1384	1231	153
197	1391	1229	162
198	1396	1229	167
199	1403	1224	179
200	1403	1223	180
201	1402	1221	181
202	1399	1231	168
203	1401	1235	166
204	1406	1232	174
205	1405	1239	166
206	1401	1235	166
207	1411	1230	181
208	1406	1231	175
209	1408	1224	184
210	1406	1216	190
211	1412	1222	190
212	1411	1230	181
213	1411	1235	176
214	1407	1224	183
215	1404	1236	168
216	1404	1235	169
217	1406	1232	174
218	1390	1217	173
219	1429	1251	178
220	1422	1235	187
221	1411	1230	181
222	1407	1233	174
223	1419	1235	184
224	1408	1232	176
225	1410	1233	177
226	1408	1231	177
227	1415	1236	179
228	1406	1232	174
229	1410	1230	180
230	1419	1236	183
231	1419	1236	183
232	1416	1236	180
233	1405	1236	169
234	1409	1230	179
235	1417	1236	181
236	1417	1228	189
237	1432	1230	202
238	1428	1236	192
239	1420	1235	185
240	1422	1232	190
241	1429	1233	196
242	1421	1237	184
243	1421	1229	192
244	1423	1223	200
245	1436	1230	206
246	1430	1230	200
247	1428	1230	198
248	1417	1234	183
249	1425	1234	191
250	1426	1225	201
251	1426	1230	196
252	1425	1230	195
253	1447	1241	206
254	1445	1238	207
255	1433	1231	202
256	1431	1224	207
257	1443	1227	216
258	1438	1228	210
259	1449	1232	217
260	1450	1224	226
261	1444	1227	217
262	1447	1219	228
263	1450	1223	227
264	1437	1229	208
265	1440	1241	199
266	1447	1239	208
267	1458	1234	224
268	1457	1231	226
269	1457	1231	226
270	1448	1228	220
271	1456	1232	224
272	1453	1230	223
273	1452	1239	213
274	1456	1235	221
275	1458	1231	227
276	1459	1236	223
277	1462	1229	233
278	1462	1222	240
279	1466	1221	245
280	1466	1222	244
281	1458	1234	224
282	1453	1230	223
283	1467	1227	240
284	1462	1235	227
285	1460	1241	219
286	1452	1235	217
287	1455	1230	225
288	1454	1225	229
289	1459	1235	224
290	1459	1237	222
291	1454	1230	224
292	1458	1231	227
293	1451	1238	213
294	1447	1236	211
295	1458	1244	214
296	1460	1243	217
297	1461	1243	218
298	1459	1234	225
299	1460	1232	228
300	1471	1237	234
301	1478	1235	243
302	1467	1233	234
303	1464	1233	231
304	1464	1231	233
305	1481	1234	247
306	1482	1226	256
307	1498	1230	268
308	1497	1235	262
309	1490	1222	268
310	1487	1223	264
311	1490	1227	263
312	1485	1234	251
313	1497	1237	260
314	1500	1235	265
315	1485	1237	248
316	1488	1229	259
317	1515	1232	283
318	1521	1226	295
319	1519	1230	289
320	1514	1240	274
321	1524	1245	279
322	1526	1232	294
323	1534	1233	301
324	1532	1236	296
325	1549	1237	312
326	1549	1229	320
327	1554	1229	325
328	1548	1225	323
329	1550	1228	322
330	1548	1225	323
331	1543	1220	323
332	1541	1224	317
333	1549	1230	319
334	1553	1225	328
335	1559	1222	337
336	1557	1225	332
337	1551	1235	316
338	1554	1227	327
339	1556	1223	333
340	1561	1232	329
341	1553	1237	316
342	1545	1228	317
343	1548	1228	320
344	1549	1222	327
345	1549	1222	327
346	1548	1230	318
347	1561	1237	324
348	1570	1227	343
349	1575	1239	336
350	1569	1238	331
351	1571	1230	341
352	1578	1226	352
353	1589	1222	367
354	1591	1218	373
355	1604	1221	383
356	1608	1235	373
357	1610	1240	370
358	1601	1236	365
359	1611	1242	369
360	1616	1237	379
361	1614	1234	380
362	1607	1233	374
363	1622	1225	397
364	1621	1232	389
365	1629	1232	397
366	1620	1217	403
367	1622	1220	402
368	1635	1222	413
369	1649	1231	418
370	1643	1229	414
371	1667	1234	433
372	1672	1228	444
373	1669	1234	435
374	1665	1227	438
375	1658	1231	427
376	1662	1231	431
377	1689	1230	459
378	1700	1219	481
379	1699	1224	475
380	1696	1226	470
381	1698	1236	462
382	1691	1235	456
383	1685	1240	445
384	1703	1228	475
385	1706	1235	471
386	1697	1227	470
387	1719	1225	494
388	1721	1226	495
389	1733	1232	501
390	1743	1230	513
391	1738	1231	507
392	1744	1227	517
393	1743	1224	519
394	1744	1229	515
395	1762	1238	524
396	1752	1248	504
397	1774	1235	539
398	1784	1231	553
399	1784	1240	544
400	1781	1229	552
401	1770	1231	539
402	1763	1231	532
403	1780	1235	545
404	1780	1229	551
405	1804	1234	570
406	1819	1225	594
407	1840	1219	621
408	1857	1231	626
409	1852	1232	620
410	1869	1223	646
411	1886	1226	660
412	1885	1236	649
413	1890	1233	657
414	1895	1227	668
415	1912	1227	685
416	1909	1231	678
417	1895	1238	657
418	1897	1239	658
419	1898	1235	663
420	1895	1233	662
421	1906	1236	670
422	1899	1231	668
423	1904	1227	677
424	1911	1229	682
425	1913	1229	684
426	1925	1234	691
427	1929	1222	707
428	1909	1219	690
429	1929	1230	699
430	1930	1237	693
431	1960	1230	730
432	1956	1229	727
433	1952	1233	719
434	1946	1227	719
435	1944	1232	712
436	1951	1228	723
437	1956	1228	728
438	1944	1229	715
439	1952	1229	723
440	1944	1224	720
441	1938	1227	711
442	1941	1226	715
443	1945	1238	707
444	1925	1227	698
445	1935	1224	711
446	1946	1233	713
447	1968	1236	732
448	1976	1229	747
449	1962	1228	734
450	1961	1241	720
451	1962	1231	731
452	1956	1229	727
453	1959	1239	720
454	1955	1226	729
455	1958	1222	736
456	1967	1232	735
457	1962	1242	720
458	1955	1236	719
459	1955	1230	725
460	1938	1228	710
461	1943	1227	716
462	1949	1233	716
463	1951	1230	721
464	1956	1233	723
465	1965	1245	720
466	1952	1240	712
467	1947	1233	714
468	1945	1207	738
469	1978	1243	735
470	1955	1226	729
471	1952	1233	719
472	1963	1234	729
473	1953	1237	716
474	1952	1238	714
475	1959	1241	718
476	1959	1239	720
477	1967	1237	730
478	1953	1241	712
479	1971	1246	725
480	1963	1241	722
481	1950	1232	718
482	1949	1234	715
483	1956	1242	714
484	1948	1243	705
485	1954	1229	725
486	1950	1220	730
487	1948	1238	710
488	1963	1237	726
489	1973	1240	733
490	1959	1232	727
491	1950	1234	716
492	1951	1235	716
493	1955	1230	725
494	1950	1244	706
495	1966	1241	725
496	1967	1235	732
497	1961	1230	731
498	1945	1231	714
499	1949	1235	714
500	1940	1236	704
501	1948	1236	712
502	1955	1233	722
503	1950	1229	721
504	1937	1228	709
505	1950	1234	716
506	1935	1234	701
507	1932	1238	694
508	1947	1240	707
509	1966	1232	734
510	1949	1223	726
511	1952	1228	724
512	1959	1227	732
513	1955	1228	727
514	1954	1243	711
515	1971	1249	722
516	1975	1235	740
517	1977	1234	743
518	1974	1230	744
519	1973	1233	740
520	1987	1228	759
521	1993	1223	770
522	1972	1235	737
523	1965	1237	728
524	1971	1235	736
525	1985	1238	747
526	1982	1234	748
527	1983	1223	760
528	1993	1230	763
529	1992	1228	764
530	1997	1235	762
531	2004	1246	758
532	1989	1229	760
533	2005	1223	782
534	2019	1219	800
535	2032	1228	804
536	2034	1235	799
537	2030	1238	792
538	2032	1234	798
539	2059	1234	825
540	2061	1241	820
541	2053	1239	814
542	2057	1231	826
543	2054	1228	826
544	2059	1228	831
545	2066	1234	832
546	2059	1237	822
547	2066	1233	833
548	2068	1228	840
549	2083	1228	855
550	2072	1230	842
551	2061	1237	824
552	2067	1224	843
553	2059	1227	832
554	2063	1234	829
555	2069	1240	829
556	2056	1227	829
557	2070	1220	850
558	2068	1220	848
559	2059	1223	836
560	2062	1224	838
561	2065	1233	832
562	2046	1232	814
563	2050	1227	823
564	2059	1240	819
565	2058	1236	822
566	2063	1229	834
567	2062	1235	827
568	2051	1225	826
569	2062	1233	829
570	2059	1237	822
571	2066	1236	830
572	2060	1231	829
573	2050	1229	821
574	2063	1229	834
575	2085	1236	849
576	2096	1230	866
577	2137	1228	909
578	2137	1227	910
579	2141	1220	921
580	2159	1215	944
581	2169	1231	938
582	2190	1240	950
583	2178	1228	950
584	2180	1223	957
585	2215	1224	991
586	2237	1219	1018
587	2247	1220	1027
588	2236	1224	1012
589	2252	1241	1011
590	2266	1242	1024
591	2281	1240	1041
592	2288	1233	1055
593	2298	1236	1062
594	2313	1231	1082
595	2308	1225	1083
596	2328	1227	1101
597	2340	1224	1116
598	2340	1227	1113
599	2331	1228	1103
600	2328	1232	1096
601	2327	1241	1086
602	2302	1242	1060
603	2308	1233	1075
604	2328	1229	1099
605	2303	1228	1075
606	2294	1216	1078
607	2296	1211	1085
608	2305	1221	1084
609	2310	1228	1082
610	2301	1225	1076
611	2311	1235	1076
612	2328	1236	1092
613	2344	1236	1108
614	2353	1232	1121
615	2360	1239	1121
616	2344	1245	1099
617	2343	1236	1107
618	2358	1228	1130
619	2360	1232	1128
620	2353	1222	1131
621	2371	1225	1146
622	2381	1241	1140
623	2381	1237	1144
624	2366	1238	1128
625	2356	1241	1115
626	2344	1237	1107
627	2350	1238	1112
628	2354	1231	1123
629	2359	1223	1136
630	2344	1223	1121
631	2324	1232	1092
632	2336	1237	1099
633	2354	1233	1121
634	2368	1232	1136
635	2374	1235	1139
636	2385	1241	1144
637	2370	1242	1128
638	2374	1234	1140
639	2382	1222	1160
640	2388	1228	1160
641	2412	1240	1172
642	2424	1237	1187
643	2425	1231	1194
644	2433	1226	1207
645	2440	1227	1213
646	2435	1221	1214
647	2458	1230	1228
648	2472	1239	1233
649	2475	1232	1243
650	2479	1227	1252
651	2500	1224	1276
652	2513	1228	1285
653	2516	1237	1279
654	2518	1240	1278
655	2520	1240	1280
656	2545	1231	1314
657	2572	1227	1345
658	2585	1231	1354
659	2574	1240	1334
660	2581	1227	1354
661	2574	1232	1342
662	2555	1235	1320
663	2561	1243	1318
664	2571	1239	1332
665	2572	1235	1337
666	2561	1225	1336
667	2579	1231	1348
668	2592	1233	1359
669	2587	1229	1358
670	2586	1227	1359
671	2614	1238	1376
672	2620	1235	1385
673	2625	1234	1391
674	2628	1236	1392
675	2629	1236	1393
676	2616	1232	1384
677	2622	1225	1397
678	2609	1224	1385
679	2613	1234	1379
680	2587	1234	1353
681	2602	1238	1364
682	2591	1237	1354
683	2589	1242	1347
684	2580	1227	1353
685	2603	1234	1369
686	2612	1233	1379
687	2616	1236	1380
688	2612	1231	1381
689	2614	1221	1393
690	2624	1215	1409
691	2635	1229	1406
692	2620	1234	1386
693	2628	1237	1391
694	2631	1240	1391
695	2635	1237	1398
696	2659	1229	1430
697	2664	1225	1439
698	2635	1232	1403
699	2635	1230	1405
700	2657	1227	1430
701	2644	1228	1416
702	2635	1226	1409
703	2657	1227	1430
704	2674	1231	1443
705	2674	1234	1440
706	2690	1234	1456
707	2715	1241	1474
708	2717	1238	1479
709	2717	1230	1487
710	2693	1231	1462
711	2701	1233	1468
712	2703	1233	1470
713	2714	1240	1474
714	2733	1240	1493
715	2737	1239	1498
716	2721	1234	1487
717	2715	1237	1478
718	2692	1215	1477
719	2716	1236	1480
720	2725	1223	1502
721	2712	1229	1483
722	2714	1232	1482
723	2738	1232	1506
724	2715	1236	1479
725	2725	1236	1489
726	2742	1225	1517
727	2732	1234	1498
728	2725	1235	1490
729	2751	1233	1518
730	2743	1231	1512
731	2749	1235	1514
732	2766	1232	1534
733	2763	1235	1528
734	2775	1234	1541
735	2802	1234	1568
736	2805	1230	1575
737	2846	1236	1610
738	2863	1233	1630
739	2854	1227	1627
740	2893	1232	1661
741	2929	1235	1694
742	2941	1233	1708
743	2984	1229	1755
744	3025	1232	1793
745	3079	1233	1846
746	3127	1239	1888
747	3167	1238	1929
748	3294	1233	2061
749	3533	1231	2302
750	3729	1224	2505
751	3891	1233	2658
752	4008	1233	2775
753	4021	1243	2778
754	3994	1241	2753
755	3971	1233	2738
756	3933	1237	2696
757	3932	1239	2693
758	3910	1238	2672
759	3810	1232	2578
760	3591	1230	2361
761	3353	1230	2123
762	3208	1222	1986
763	3136	1223	1913
764	3071	1226	1845
765	3062	1234	1828
766	3023	1226	1797
767	2967	1231	1736
768	2921	1222	1699
769	2917	1230	1687
770	2911	1231	1680
771	2896	1232	1664
772	2860	1232	1628
773	2828	1235	1593
774	2798	1234	1564
775	2803	1235	1568
776	2796	1229	1567
777	2803	1235	1568
778	2778	1235	1543
779	2756	1238	1518
780	2753	1236	1517
781	2766	1238	1528
782	2753	1235	1518
783	2748	1244	1504
784	2738	1238	1500
785	2725	1232	1493
786	2712	1233	1479
787	2690	1239	1451
788	2674	1229	1445
789	2669	1229	1440
790	2663	1230	1433
791	2665	1223	1442
792	2632	1219	1413
793	2627	1229	1398
794	2604	1238	1366
795	2614	1235	1379
796	2601	1237	1364
797	2592	1234	1358
798	2578	1235	1343
799	2580	1239	1341
800	2575	1241	1334
801	2565	1250	1315
802	2553	1236	1317
803	2524	1224	1300
804	2514	1224	1290
805	2525	1223	1302
806	2520	1231	1289
807	2523	1235	1288
808	2512	1235	1277
809	2505	1229	1276
810	2486	1227	1259
811	2513	1228	1285
812	2514	1229	1285
813	2485	1241	1244
814	2473	1238	1235
815	2472	1242	1230
816	2474	1243	1231
817	2474	1236	1238
818	2464	1225	1239
819	2430	1232	1198
820	2360	1230	1130
821	2401	1240	1161
822	2443	1225	1218
823	2420	1225	1195
824	2406	1226	1180
825	2408	1221	1187
826	2373	1222	1151
827	2369	1231	1138
828	2376	1241	1135
829	2405	1240	1165
830	2404	1245	1159
831	2396	1249	1147
832	2413	1227	1186
833	2416	1233	1183
834	2416	1231	1185
835	2416	1231	1185
836	2405	1238	1167
837	2411	1232	1179
838	2413	1242	1171
839	2401	1243	1158
840	2377	1237	1140
841	2364	1237	1127
842	2349	1235	1114
843	2337	1231	1106
844	2322	1235	1087
845	2337	1234	1103
846	2330	1231	1099
847	2342	1230	1112
848	2363	1236	1127
849	2383	1226	1157
850	2362	1225	1137
851	2379	1226	1153
852	2391	1226	1165
853	2380	1231	1149
854	2350	1225	1125
855	2370	1231	1139
856	2364	1231	1133
857	2364	1234	1130
858	2369	1226	1143
859	2383	1213	1170
860	2388	1219	1169
861	2384	1222	1162
862	2367	1224	1143
863	2370	1234	1136
864	2375	1229	1146
865	2383	1230	1153
866	2373	1237	1136
867	2378	1232	1146
868	2404	1225	1179
869	2424	1236	1188
870	2413	1241	1172
871	2411	1234	1177
872	2418	1238	1180
873	2416	1231	1185
874	2403	1226	1177
875	2401	1233	1168
876	2438	1229	1209
877	2464	1225	1239
878	2475	1232	1243
879	2474	1230	1244
880	2462	1217	1245
881	2434	1227	1207
882	2450	1226	1224
883	2482	1228	1254
884	2499	1227	1272
885	2490	1237	1253
886	2493	1233	1260
887	2500	1233	1267
888	2487	1234	1253
889	2482	1236	1246
890	2479	1236	1243
891	2484	1221	1263
892	2497	1222	1275
893	2496	1230	1266
894	2482	1231	1251
895	2462	1245	1217
896	2458	1245	1213
