6.16,a,4.19,a,3.12,a
200.91,4.2,155.34,8.8,180.64,11.95
33,3.6,30.8,8.5,50.53,10.55
27.18,3.2,28.66,8.35,36.66,9.8
28.47,2.8,25.35,7.95,42.69,9.35
18.86,2.3,26.3,7.4,38.52,8.9
23.27,1.8,29.63,7.1,34.24,8.15
36.4,1.4,23.05,6.9,34.99,7.7
28,0.9,34.36,6.2,39.84,7.2
30.4,0.2,28.78,5.55,40.67,6.9
29.73,-0.05,33.1,5.3,55.65,6.5
28,-0.2,42.24,5,46.87,5.85
36.08,-0.55,31.25,4.7,43.89,5.5
41.58,-0.9,21.11,4.25,65.34,5.05
20.93,-1.05,25.84,4.1,56.75,4.75
31.07,-1.35,31.62,3.65,58.31,4.6
23.27,-1.75,54.35,3.15,78.8,4.1
21.48,-1.8,51.89,3,50.98,3.6
18.05,-1.9,38.51,2.75,67.84,3.2
28.11,-2,26.72,2.55,70.36,2.6
19.64,-2.15,41.12,2,54.34,2.3
27.41,-2.35,38.41,1.6,67.49,2.05
75.1,-2.7,46.08,1.3,101.65,1.7
,,83.26,0.55,120.94,1.4
,,83,-0.15,92.07,1
,,,,129.89,0.5
,,,,101.21,0
,,,,109.2,-0.1
,,,,27.34,-0.13
