Oct. 11, 2023   14:23:06
Cyclic Voltammetry
File: c:\users\pku\desktop\zj.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0
High E (V) = 1.1
Low E (V) = -0.275
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 2e-6

Segment 1:

Segment 2:

Segment 3:
Ep = 0.437V
ip = 1.670e-6A
Ah = 1.475e-6C

Ep = -0.173V
ip = 1.598e-6A
Ah = 1.667e-6C

Segment 4:
Ep = 0.284V
ip = -2.602e-8A
Ah = -1.900e-8C

Segment 5:
Ep = 0.438V
ip = 1.748e-6A
Ah = 1.519e-6C

Ep = -0.174V
ip = 1.633e-6A
Ah = 1.670e-6C

Segment 6:

Potential/V, Current/A, Charge/C

Segment 1:
-0.001, 1.972e-7, 1.972e-9
-0.002, 2.370e-7, 4.342e-9
-0.003, 2.442e-7, 6.784e-9
-0.004, 2.608e-7, 9.392e-9
-0.005, 2.644e-7, 1.204e-8
-0.006, 2.746e-7, 1.478e-8
-0.007, 2.788e-7, 1.757e-8
-0.008, 2.931e-7, 2.050e-8
-0.009, 2.902e-7, 2.340e-8
-0.010, 3.066e-7, 2.647e-8
-0.011, 3.094e-7, 2.956e-8
-0.012, 3.202e-7, 3.277e-8
-0.013, 3.200e-7, 3.597e-8
-0.014, 3.349e-7, 3.932e-8
-0.015, 3.371e-7, 4.269e-8
-0.016, 3.479e-7, 4.617e-8
-0.017, 3.489e-7, 4.965e-8
-0.018, 3.666e-7, 5.332e-8
-0.019, 3.646e-7, 5.697e-8
-0.020, 3.771e-7, 6.074e-8
-0.021, 3.805e-7, 6.454e-8
-0.022, 3.956e-7, 6.850e-8
-0.023, 3.972e-7, 7.247e-8
-0.024, 4.115e-7, 7.658e-8
-0.025, 4.118e-7, 8.070e-8
-0.026, 4.285e-7, 8.499e-8
-0.027, 4.272e-7, 8.926e-8
-0.028, 4.451e-7, 9.371e-8
-0.029, 4.446e-7, 9.816e-8
-0.030, 4.616e-7, 1.028e-7
-0.031, 4.600e-7, 1.074e-7
-0.032, 4.760e-7, 1.121e-7
-0.033, 4.751e-7, 1.169e-7
-0.034, 4.971e-7, 1.219e-7
-0.035, 4.935e-7, 1.268e-7
-0.036, 5.084e-7, 1.319e-7
-0.037, 5.116e-7, 1.370e-7
-0.038, 5.349e-7, 1.423e-7
-0.039, 5.333e-7, 1.477e-7
-0.040, 5.538e-7, 1.532e-7
-0.041, 5.500e-7, 1.587e-7
-0.042, 5.728e-7, 1.644e-7
-0.043, 5.709e-7, 1.701e-7
-0.044, 5.941e-7, 1.761e-7
-0.045, 5.937e-7, 1.820e-7
-0.046, 6.189e-7, 1.882e-7
-0.047, 6.162e-7, 1.944e-7
-0.048, 6.403e-7, 2.008e-7
-0.049, 6.496e-7, 2.073e-7
-0.050, 6.710e-7, 2.140e-7
-0.051, 6.672e-7, 2.207e-7
-0.052, 6.941e-7, 2.276e-7
-0.053, 6.916e-7, 2.345e-7
-0.054, 7.248e-7, 2.418e-7
-0.055, 7.176e-7, 2.489e-7
-0.056, 7.409e-7, 2.563e-7
-0.057, 7.389e-7, 2.637e-7
-0.058, 7.824e-7, 2.716e-7
-0.059, 7.729e-7, 2.793e-7
-0.060, 7.964e-7, 2.873e-7
-0.061, 8.018e-7, 2.953e-7
-0.062, 8.306e-7, 3.036e-7
-0.063, 8.272e-7, 3.118e-7
-0.064, 8.586e-7, 3.204e-7
-0.065, 8.472e-7, 3.289e-7
-0.066, 8.884e-7, 3.378e-7
-0.067, 8.869e-7, 3.467e-7
-0.068, 9.135e-7, 3.558e-7
-0.069, 9.159e-7, 3.650e-7
-0.070, 9.476e-7, 3.744e-7
-0.071, 9.434e-7, 3.839e-7
-0.072, 9.784e-7, 3.936e-7
-0.073, 9.715e-7, 4.034e-7
-0.074, 1.007e-6, 4.134e-7
-0.075, 1.003e-6, 4.235e-7
-0.076, 1.037e-6, 4.338e-7
-0.077, 1.026e-6, 4.441e-7
-0.078, 1.058e-6, 4.547e-7
-0.079, 1.061e-6, 4.653e-7
-0.080, 1.096e-6, 4.762e-7
-0.081, 1.083e-6, 4.871e-7
-0.082, 1.132e-6, 4.984e-7
-0.083, 1.104e-6, 5.094e-7
-0.084, 1.143e-6, 5.209e-7
-0.085, 1.141e-6, 5.323e-7
-0.086, 1.182e-6, 5.441e-7
-0.087, 1.159e-6, 5.557e-7
-0.088, 1.208e-6, 5.678e-7
-0.089, 1.186e-6, 5.796e-7
-0.090, 1.225e-6, 5.919e-7
-0.091, 1.221e-6, 6.041e-7
-0.092, 1.241e-6, 6.165e-7
-0.093, 1.239e-6, 6.289e-7
-0.094, 1.263e-6, 6.415e-7
-0.095, 1.257e-6, 6.541e-7
-0.096, 1.293e-6, 6.670e-7
-0.097, 1.279e-6, 6.798e-7
-0.098, 1.314e-6, 6.930e-7
-0.099, 1.287e-6, 7.058e-7
-0.100, 1.331e-6, 7.191e-7
-0.101, 1.304e-6, 7.322e-7
-0.102, 1.338e-6, 7.455e-7
-0.103, 1.347e-6, 7.590e-7
-0.104, 1.366e-6, 7.727e-7
-0.105, 1.330e-6, 7.860e-7
-0.106, 1.375e-6, 7.997e-7
-0.107, 1.361e-6, 8.133e-7
-0.108, 1.397e-6, 8.273e-7
-0.109, 1.364e-6, 8.409e-7
-0.110, 1.391e-6, 8.548e-7
-0.111, 1.369e-6, 8.685e-7
-0.112, 1.416e-6, 8.827e-7
-0.113, 1.382e-6, 8.965e-7
-0.114, 1.411e-6, 9.106e-7
-0.115, 1.383e-6, 9.245e-7
-0.116, 1.408e-6, 9.385e-7
-0.117, 1.389e-6, 9.524e-7
-0.118, 1.412e-6, 9.665e-7
-0.119, 1.382e-6, 9.804e-7
-0.120, 1.424e-6, 9.946e-7
-0.121, 1.383e-6, 1.008e-6
-0.122, 1.410e-6, 1.023e-6
-0.123, 1.394e-6, 1.036e-6
-0.124, 1.414e-6, 1.051e-6
-0.125, 1.392e-6, 1.065e-6
-0.126, 1.414e-6, 1.079e-6
-0.127, 1.405e-6, 1.093e-6
-0.128, 1.407e-6, 1.107e-6
-0.129, 1.375e-6, 1.121e-6
-0.130, 1.422e-6, 1.135e-6
-0.131, 1.388e-6, 1.149e-6
-0.132, 1.417e-6, 1.163e-6
-0.133, 1.398e-6, 1.177e-6
-0.134, 1.431e-6, 1.191e-6
-0.135, 1.396e-6, 1.205e-6
-0.136, 1.423e-6, 1.219e-6
-0.137, 1.403e-6, 1.233e-6
-0.138, 1.442e-6, 1.248e-6
-0.139, 1.403e-6, 1.262e-6
-0.140, 1.444e-6, 1.276e-6
-0.141, 1.430e-6, 1.291e-6
-0.142, 1.443e-6, 1.305e-6
-0.143, 1.433e-6, 1.319e-6
-0.144, 1.462e-6, 1.334e-6
-0.145, 1.429e-6, 1.348e-6
-0.146, 1.485e-6, 1.363e-6
-0.147, 1.453e-6, 1.378e-6
-0.148, 1.471e-6, 1.392e-6
-0.149, 1.472e-6, 1.407e-6
-0.150, 1.504e-6, 1.422e-6
-0.151, 1.470e-6, 1.437e-6
-0.152, 1.522e-6, 1.452e-6
-0.153, 1.494e-6, 1.467e-6
-0.154, 1.554e-6, 1.482e-6
-0.155, 1.522e-6, 1.498e-6
-0.156, 1.554e-6, 1.513e-6
-0.157, 1.541e-6, 1.529e-6
-0.158, 1.587e-6, 1.544e-6
-0.159, 1.571e-6, 1.560e-6
-0.160, 1.608e-6, 1.576e-6
-0.161, 1.585e-6, 1.592e-6
-0.162, 1.635e-6, 1.608e-6
-0.163, 1.616e-6, 1.625e-6
-0.164, 1.661e-6, 1.641e-6
-0.165, 1.651e-6, 1.658e-6
-0.166, 1.688e-6, 1.675e-6
-0.167, 1.675e-6, 1.691e-6
-0.168, 1.727e-6, 1.709e-6
-0.169, 1.707e-6, 1.726e-6
-0.170, 1.757e-6, 1.743e-6
-0.171, 1.736e-6, 1.761e-6
-0.172, 1.782e-6, 1.778e-6
-0.173, 1.771e-6, 1.796e-6
-0.174, 1.813e-6, 1.814e-6
-0.175, 1.809e-6, 1.832e-6
-0.176, 1.862e-6, 1.851e-6
-0.177, 1.836e-6, 1.869e-6
-0.178, 1.906e-6, 1.888e-6
-0.179, 1.880e-6, 1.907e-6
-0.180, 1.930e-6, 1.927e-6
-0.181, 1.928e-6, 1.946e-6
-0.182, 1.974e-6, 1.966e-6
-0.183, 1.971e-6, 1.985e-6
-0.184, 2.025e-6, 2.006e-6
-0.185, 2.010e-6, 2.026e-6
-0.186, 2.073e-6, 2.046e-6
-0.187, 2.059e-6, 2.067e-6
-0.188, 2.111e-6, 2.088e-6
-0.189, 2.096e-6, 2.109e-6
-0.190, 2.161e-6, 2.131e-6
-0.191, 2.150e-6, 2.152e-6
-0.192, 2.204e-6, 2.174e-6
-0.193, 2.184e-6, 2.196e-6
-0.194, 2.272e-6, 2.219e-6
-0.195, 2.250e-6, 2.241e-6
-0.196, 2.306e-6, 2.264e-6
-0.197, 2.296e-6, 2.287e-6
-0.198, 2.352e-6, 2.311e-6
-0.199, 2.331e-6, 2.334e-6
-0.200, 2.410e-6, 2.358e-6
-0.201, 2.372e-6, 2.382e-6
-0.202, 2.447e-6, 2.406e-6
-0.203, 2.420e-6, 2.431e-6
-0.204, 2.499e-6, 2.456e-6
-0.205, 2.400e-6, 2.480e-6
-0.206, 2.490e-6, 2.504e-6
-0.207, 2.489e-6, 2.529e-6
-0.208, 2.570e-6, 2.555e-6
-0.209, 2.549e-6, 2.581e-6
-0.210, 2.614e-6, 2.607e-6
