Nov. 23, 2023   13:12:06
Cyclic Voltammetry
File: c:\users\pku\desktop\wzc\oxi\o2 + stirring.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.25
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 10
Sample Interval (V) = 0.002
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = 0.218V
ip = 8.693e-6A
Ah = 1.447e-6C

Segment 2:

Segment 3:
Ep = 0.152V
ip = 3.901e-6A
Ah = 2.441e-6C

Segment 4:

Segment 5:
Ep = 0.118V
ip = 6.576e-6A
Ah = 2.804e-6C

Segment 6:

Segment 7:

Segment 8:
Segment 9:
Ep = -0.032V
ip = 7.784e-6A
Ah = 4.195e-7C

Segment 10:
Potential/V, Current/A, Charge/C

Segment 1:
0.648, 1.106e-7, 2.212e-9
0.646, 1.190e-7, 4.593e-9
0.644, 1.609e-7, 7.811e-9
0.642, 1.580e-7, 1.097e-8
0.640, 1.868e-7, 1.471e-8
0.638, 1.895e-7, 1.850e-8
0.636, 2.143e-7, 2.278e-8
0.634, 2.058e-7, 2.690e-8
0.632, 2.333e-7, 3.157e-8
0.630, 2.246e-7, 3.606e-8
0.628, 2.530e-7, 4.112e-8
0.626, 2.499e-7, 4.612e-8
0.624, 2.774e-7, 5.166e-8
0.622, 2.638e-7, 5.694e-8
0.620, 2.895e-7, 6.273e-8
0.618, 2.871e-7, 6.847e-8
0.616, 3.072e-7, 7.462e-8
0.614, 2.981e-7, 8.058e-8
0.612, 3.260e-7, 8.710e-8
0.610, 3.109e-7, 9.331e-8
0.608, 3.364e-7, 1.000e-7
0.606, 3.384e-7, 1.068e-7
0.604, 3.640e-7, 1.141e-7
0.602, 3.543e-7, 1.212e-7
0.600, 3.829e-7, 1.288e-7
0.598, 3.825e-7, 1.365e-7
0.596, 4.081e-7, 1.446e-7
0.594, 4.014e-7, 1.527e-7
0.592, 4.295e-7, 1.613e-7
0.590, 4.239e-7, 1.697e-7
0.588, 4.518e-7, 1.788e-7
0.586, 4.483e-7, 1.877e-7
0.584, 4.777e-7, 1.973e-7
0.582, 4.749e-7, 2.068e-7
0.580, 5.082e-7, 2.170e-7
0.578, 5.018e-7, 2.270e-7
0.576, 5.333e-7, 2.377e-7
0.574, 5.386e-7, 2.484e-7
0.572, 5.684e-7, 2.598e-7
0.570, 5.670e-7, 2.711e-7
0.568, 6.023e-7, 2.832e-7
0.566, 5.990e-7, 2.952e-7
0.564, 6.355e-7, 3.079e-7
0.562, 6.402e-7, 3.207e-7
0.560, 6.727e-7, 3.341e-7
0.558, 6.825e-7, 3.478e-7
0.556, 7.167e-7, 3.621e-7
0.554, 7.218e-7, 3.766e-7
0.552, 7.602e-7, 3.918e-7
0.550, 7.698e-7, 4.072e-7
0.548, 8.118e-7, 4.234e-7
0.546, 8.199e-7, 4.398e-7
0.544, 8.601e-7, 4.570e-7
0.542, 8.720e-7, 4.744e-7
0.540, 9.116e-7, 4.927e-7
0.538, 9.199e-7, 5.111e-7
0.536, 9.665e-7, 5.304e-7
0.534, 9.870e-7, 5.501e-7
0.532, 1.035e-6, 5.708e-7
0.530, 1.057e-6, 5.920e-7
0.528, 1.105e-6, 6.141e-7
0.526, 1.129e-6, 6.367e-7
0.524, 1.181e-6, 6.603e-7
0.522, 1.204e-6, 6.843e-7
0.520, 1.262e-6, 7.096e-7
0.518, 1.282e-6, 7.352e-7
0.516, 1.338e-6, 7.620e-7
0.514, 1.370e-6, 7.894e-7
0.512, 1.449e-6, 8.184e-7
0.510, 1.496e-6, 8.483e-7
0.508, 1.564e-6, 8.796e-7
0.506, 1.608e-6, 9.117e-7
0.504, 1.679e-6, 9.453e-7
0.502, 1.720e-6, 9.797e-7
0.500, 1.802e-6, 1.016e-6
0.498, 1.851e-6, 1.053e-6
0.496, 1.931e-6, 1.091e-6
0.494, 1.984e-6, 1.131e-6
0.492, 2.067e-6, 1.172e-6
0.490, 2.131e-6, 1.215e-6
0.488, 2.234e-6, 1.260e-6
0.486, 2.299e-6, 1.306e-6
0.484, 2.412e-6, 1.354e-6
0.482, 2.488e-6, 1.404e-6
0.480, 2.607e-6, 1.456e-6
0.478, 2.692e-6, 1.510e-6
0.476, 2.820e-6, 1.566e-6
0.474, 2.920e-6, 1.624e-6
0.472, 3.060e-6, 1.686e-6
0.470, 3.168e-6, 1.749e-6
0.468, 3.307e-6, 1.815e-6
0.466, 3.440e-6, 1.884e-6
0.464, 3.616e-6, 1.956e-6
0.462, 3.762e-6, 2.032e-6
0.460, 3.953e-6, 2.111e-6
0.458, 4.114e-6, 2.193e-6
0.456, 4.311e-6, 2.279e-6
0.454, 4.498e-6, 2.369e-6
0.452, 4.739e-6, 2.464e-6
0.450, 4.938e-6, 2.563e-6
0.448, 5.176e-6, 2.666e-6
0.446, 5.385e-6, 2.774e-6
0.444, 5.629e-6, 2.886e-6
0.442, 5.884e-6, 3.004e-6
0.440, 6.191e-6, 3.128e-6
0.438, 6.459e-6, 3.257e-6
0.436, 6.763e-6, 3.392e-6
0.434, 7.034e-6, 3.533e-6
0.432, 7.351e-6, 3.680e-6
0.430, 7.655e-6, 3.833e-6
0.428, 8.005e-6, 3.993e-6
0.426, 8.312e-6, 4.159e-6
0.424, 8.654e-6, 4.333e-6
0.422, 8.946e-6, 4.511e-6
0.420, 9.275e-6, 4.697e-6
0.418, 9.633e-6, 4.890e-6
0.416, 1.001e-5, 5.090e-6
0.414, 1.036e-5, 5.297e-6
0.412, 1.078e-5, 5.513e-6
0.410, 1.116e-5, 5.736e-6
0.408, 1.155e-5, 5.967e-6
0.406, 1.189e-5, 6.205e-6
0.404, 1.224e-5, 6.449e-6
0.402, 1.259e-5, 6.701e-6
0.400, 1.296e-5, 6.960e-6
0.398, 1.322e-5, 7.225e-6
0.396, 1.362e-5, 7.497e-6
0.394, 1.403e-5, 7.778e-6
0.392, 1.433e-5, 8.064e-6
0.390, 1.464e-5, 8.357e-6
0.388, 1.514e-5, 8.660e-6
0.386, 1.557e-5, 8.971e-6
0.384, 1.600e-5, 9.291e-6
0.382, 1.622e-5, 9.616e-6
0.380, 1.644e-5, 9.944e-6
0.378, 1.667e-5, 1.028e-5
0.376, 1.691e-5, 1.062e-5
0.374, 1.711e-5, 1.096e-5
0.372, 1.762e-5, 1.131e-5
0.370, 1.775e-5, 1.167e-5
0.368, 1.782e-5, 1.202e-5
0.366, 1.804e-5, 1.238e-5
0.364, 1.847e-5, 1.275e-5
0.362, 1.902e-5, 1.313e-5
0.360, 1.942e-5, 1.352e-5
0.358, 1.942e-5, 1.391e-5
0.356, 1.950e-5, 1.430e-5
0.354, 1.967e-5, 1.469e-5
0.352, 1.991e-5, 1.509e-5
0.350, 2.038e-5, 1.550e-5
0.348, 2.082e-5, 1.591e-5
0.346, 2.053e-5, 1.633e-5
0.344, 2.055e-5, 1.674e-5
0.342, 2.108e-5, 1.716e-5
0.340, 2.181e-5, 1.759e-5
0.338, 2.250e-5, 1.804e-5
0.336, 2.264e-5, 1.850e-5
0.334, 2.238e-5, 1.894e-5
0.332, 2.255e-5, 1.940e-5
0.330, 2.300e-5, 1.986e-5
0.328, 2.350e-5, 2.033e-5
0.326, 2.430e-5, 2.081e-5
0.324, 2.411e-5, 2.129e-5
0.322, 2.318e-5, 2.176e-5
0.320, 2.294e-5, 2.222e-5
0.318, 2.371e-5, 2.269e-5
0.316, 2.464e-5, 2.318e-5
0.314, 2.484e-5, 2.368e-5
0.312, 2.411e-5, 2.416e-5
0.310, 2.346e-5, 2.463e-5
0.308, 2.343e-5, 2.510e-5
0.306, 2.381e-5, 2.558e-5
0.304, 2.369e-5, 2.605e-5
0.302, 2.406e-5, 2.653e-5
0.300, 2.365e-5, 2.700e-5
0.298, 2.285e-5, 2.746e-5
0.296, 2.300e-5, 2.792e-5
0.294, 2.434e-5, 2.841e-5
0.292, 2.578e-5, 2.892e-5
0.290, 2.600e-5, 2.944e-5
0.288, 2.513e-5, 2.995e-5
0.286, 2.451e-5, 3.044e-5
0.284, 2.458e-5, 3.093e-5
0.282, 2.515e-5, 3.143e-5
0.280, 2.507e-5, 3.193e-5
0.278, 2.459e-5, 3.242e-5
0.276, 2.392e-5, 3.290e-5
0.274, 2.354e-5, 3.337e-5
0.272, 2.450e-5, 3.386e-5
0.270, 2.635e-5, 3.439e-5
0.268, 2.769e-5, 3.494e-5
0.266, 2.768e-5, 3.550e-5
0.264, 2.632e-5, 3.602e-5
0.262, 2.523e-5, 3.653e-5
0.260, 2.519e-5, 3.703e-5
0.258, 2.551e-5, 3.754e-5
0.256, 2.547e-5, 3.805e-5
0.254, 2.647e-5, 3.858e-5
0.252, 2.579e-5, 3.910e-5
0.250, 2.423e-5, 3.958e-5
0.248, 2.395e-5, 4.006e-5
0.246, 2.531e-5, 4.057e-5
0.244, 2.730e-5, 4.111e-5
0.242, 2.817e-5, 4.168e-5
0.240, 2.689e-5, 4.221e-5
0.238, 2.544e-5, 4.272e-5
0.236, 2.414e-5, 4.321e-5
0.234, 2.322e-5, 4.367e-5
0.232, 2.347e-5, 4.414e-5
0.230, 2.460e-5, 4.463e-5
0.228, 2.398e-5, 4.511e-5
0.226, 2.415e-5, 4.559e-5
0.224, 2.589e-5, 4.611e-5
0.222, 2.868e-5, 4.669e-5
0.220, 3.185e-5, 4.732e-5
0.218, 3.299e-5, 4.798e-5
0.216, 3.137e-5, 4.861e-5
0.214, 3.023e-5, 4.921e-5
0.212, 2.966e-5, 4.981e-5
0.210, 2.950e-5, 5.040e-5
0.208, 2.936e-5, 5.098e-5
