Oct. 11, 2023   14:31:02
Cyclic Voltammetry
File: c:\users\pku\desktop\zjx绯ѧ\o2-.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0
High E (V) = 1.1
Low E (V) = -0.275
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 2e-6

Segment 1:
Ep = -0.274V
ip = 2.696e-6A
Ah = 3.852e-6C

Segment 2:
Segment 3:
Ep = 0.392V
ip = 3.763e-6A
Ah = 3.275e-6C

Ep = -0.229V
ip = 1.501e-6A
Ah = 7.209e-7C

Segment 4:
Segment 5:
Ep = 0.380V
ip = 4.559e-6A
Ah = 4.173e-6C

Segment 6:

Potential/V, Current/A, Charge/C

Segment 1:
-0.001, 3.016e-6, 3.016e-8
-0.002, 3.052e-6, 6.068e-8
-0.003, 3.063e-6, 9.131e-8
-0.004, 3.061e-6, 1.219e-7
-0.005, 3.064e-6, 1.526e-7
-0.006, 3.056e-6, 1.831e-7
-0.007, 3.058e-6, 2.137e-7
-0.008, 3.059e-6, 2.443e-7
-0.009, 3.061e-6, 2.749e-7
-0.010, 3.055e-6, 3.054e-7
-0.011, 3.055e-6, 3.360e-7
-0.012, 3.054e-6, 3.665e-7
-0.013, 3.056e-6, 3.971e-7
-0.014, 3.059e-6, 4.277e-7
-0.015, 3.067e-6, 4.583e-7
-0.016, 3.063e-6, 4.890e-7
-0.017, 3.065e-6, 5.196e-7
-0.018, 3.075e-6, 5.504e-7
-0.019, 3.074e-6, 5.811e-7
-0.020, 3.079e-6, 6.119e-7
-0.021, 3.086e-6, 6.428e-7
-0.022, 3.084e-6, 6.736e-7
-0.023, 3.089e-6, 7.045e-7
-0.024, 3.099e-6, 7.355e-7
-0.025, 3.103e-6, 7.665e-7
-0.026, 3.102e-6, 7.975e-7
-0.027, 3.104e-6, 8.286e-7
-0.028, 3.116e-6, 8.597e-7
-0.029, 3.116e-6, 8.909e-7
-0.030, 3.122e-6, 9.221e-7
-0.031, 3.122e-6, 9.533e-7
-0.032, 3.129e-6, 9.846e-7
-0.033, 3.128e-6, 1.016e-6
-0.034, 3.142e-6, 1.047e-6
-0.035, 3.153e-6, 1.079e-6
-0.036, 3.162e-6, 1.110e-6
-0.037, 3.176e-6, 1.142e-6
-0.038, 3.178e-6, 1.174e-6
-0.039, 3.181e-6, 1.206e-6
-0.040, 3.205e-6, 1.238e-6
-0.041, 3.206e-6, 1.270e-6
-0.042, 3.227e-6, 1.302e-6
-0.043, 3.230e-6, 1.334e-6
-0.044, 3.247e-6, 1.367e-6
-0.045, 3.265e-6, 1.400e-6
-0.046, 3.282e-6, 1.432e-6
-0.047, 3.296e-6, 1.465e-6
-0.048, 3.307e-6, 1.498e-6
-0.049, 3.316e-6, 1.532e-6
-0.050, 3.346e-6, 1.565e-6
-0.051, 3.356e-6, 1.599e-6
-0.052, 3.386e-6, 1.633e-6
-0.053, 3.393e-6, 1.666e-6
-0.054, 3.404e-6, 1.700e-6
-0.055, 3.417e-6, 1.735e-6
-0.056, 3.449e-6, 1.769e-6
-0.057, 3.470e-6, 1.804e-6
-0.058, 3.495e-6, 1.839e-6
-0.059, 3.506e-6, 1.874e-6
-0.060, 3.536e-6, 1.909e-6
-0.061, 3.563e-6, 1.945e-6
-0.062, 3.591e-6, 1.981e-6
-0.063, 3.614e-6, 2.017e-6
-0.064, 3.645e-6, 2.053e-6
-0.065, 3.651e-6, 2.090e-6
-0.066, 3.693e-6, 2.127e-6
-0.067, 3.706e-6, 2.164e-6
-0.068, 3.745e-6, 2.201e-6
-0.069, 3.764e-6, 2.239e-6
-0.070, 3.792e-6, 2.277e-6
-0.071, 3.805e-6, 2.315e-6
-0.072, 3.847e-6, 2.353e-6
-0.073, 3.849e-6, 2.392e-6
-0.074, 3.887e-6, 2.431e-6
-0.075, 3.893e-6, 2.470e-6
-0.076, 3.923e-6, 2.509e-6
-0.077, 3.920e-6, 2.548e-6
-0.078, 3.952e-6, 2.588e-6
-0.079, 3.970e-6, 2.627e-6
-0.080, 3.999e-6, 2.667e-6
-0.081, 3.992e-6, 2.707e-6
-0.082, 4.036e-6, 2.748e-6
-0.083, 4.029e-6, 2.788e-6
-0.084, 4.070e-6, 2.829e-6
-0.085, 4.071e-6, 2.869e-6
-0.086, 4.096e-6, 2.910e-6
-0.087, 4.085e-6, 2.951e-6
-0.088, 4.123e-6, 2.992e-6
-0.089, 4.102e-6, 3.033e-6
-0.090, 4.129e-6, 3.075e-6
-0.091, 4.125e-6, 3.116e-6
-0.092, 4.160e-6, 3.157e-6
-0.093, 4.138e-6, 3.199e-6
-0.094, 4.140e-6, 3.240e-6
-0.095, 4.149e-6, 3.282e-6
-0.096, 4.168e-6, 3.323e-6
-0.097, 4.154e-6, 3.365e-6
-0.098, 4.183e-6, 3.407e-6
-0.099, 4.155e-6, 3.448e-6
-0.100, 4.175e-6, 3.490e-6
-0.101, 4.175e-6, 3.532e-6
-0.102, 4.186e-6, 3.574e-6
-0.103, 4.197e-6, 3.616e-6
-0.104, 4.210e-6, 3.658e-6
-0.105, 4.186e-6, 3.700e-6
-0.106, 4.207e-6, 3.742e-6
-0.107, 4.199e-6, 3.784e-6
-0.108, 4.219e-6, 3.826e-6
-0.109, 4.211e-6, 3.868e-6
-0.110, 4.218e-6, 3.910e-6
-0.111, 4.216e-6, 3.952e-6
-0.112, 4.233e-6, 3.995e-6
-0.113, 4.223e-6, 4.037e-6
-0.114, 4.249e-6, 4.079e-6
-0.115, 4.235e-6, 4.122e-6
-0.116, 4.257e-6, 4.164e-6
-0.117, 4.237e-6, 4.207e-6
-0.118, 4.265e-6, 4.249e-6
-0.119, 4.247e-6, 4.292e-6
-0.120, 4.278e-6, 4.335e-6
-0.121, 4.244e-6, 4.377e-6
-0.122, 4.269e-6, 4.420e-6
-0.123, 4.252e-6, 4.462e-6
-0.124, 4.282e-6, 4.505e-6
-0.125, 4.262e-6, 4.548e-6
-0.126, 4.282e-6, 4.590e-6
-0.127, 4.277e-6, 4.633e-6
-0.128, 4.280e-6, 4.676e-6
-0.129, 4.264e-6, 4.719e-6
-0.130, 4.302e-6, 4.762e-6
-0.131, 4.282e-6, 4.804e-6
-0.132, 4.296e-6, 4.847e-6
-0.133, 4.280e-6, 4.890e-6
-0.134, 4.302e-6, 4.933e-6
-0.135, 4.285e-6, 4.976e-6
-0.136, 4.300e-6, 5.019e-6
-0.137, 4.288e-6, 5.062e-6
-0.138, 4.302e-6, 5.105e-6
-0.139, 4.295e-6, 5.148e-6
-0.140, 4.321e-6, 5.191e-6
-0.141, 4.299e-6, 5.234e-6
-0.142, 4.322e-6, 5.277e-6
-0.143, 4.324e-6, 5.321e-6
-0.144, 4.342e-6, 5.364e-6
-0.145, 4.312e-6, 5.407e-6
-0.146, 4.361e-6, 5.451e-6
-0.147, 4.339e-6, 5.494e-6
-0.148, 4.377e-6, 5.538e-6
-0.149, 4.369e-6, 5.582e-6
-0.150, 4.388e-6, 5.625e-6
-0.151, 4.379e-6, 5.669e-6
-0.152, 4.414e-6, 5.713e-6
-0.153, 4.397e-6, 5.757e-6
-0.154, 4.448e-6, 5.802e-6
-0.155, 4.418e-6, 5.846e-6
-0.156, 4.452e-6, 5.891e-6
-0.157, 4.439e-6, 5.935e-6
-0.158, 4.479e-6, 5.980e-6
-0.159, 4.491e-6, 6.025e-6
-0.160, 4.526e-6, 6.070e-6
-0.161, 4.512e-6, 6.115e-6
-0.162, 4.574e-6, 6.161e-6
-0.163, 4.558e-6, 6.206e-6
-0.164, 4.609e-6, 6.252e-6
-0.165, 4.601e-6, 6.298e-6
-0.166, 4.640e-6, 6.345e-6
-0.167, 4.635e-6, 6.391e-6
-0.168, 4.693e-6, 6.438e-6
-0.169, 4.695e-6, 6.485e-6
-0.170, 4.754e-6, 6.533e-6
-0.171, 4.753e-6, 6.580e-6
-0.172, 4.804e-6, 6.628e-6
-0.173, 4.805e-6, 6.676e-6
-0.174, 4.851e-6, 6.725e-6
-0.175, 4.866e-6, 6.773e-6
-0.176, 4.924e-6, 6.823e-6
-0.177, 4.909e-6, 6.872e-6
-0.178, 4.972e-6, 6.921e-6
-0.179, 4.961e-6, 6.971e-6
-0.180, 5.022e-6, 7.021e-6
-0.181, 5.031e-6, 7.072e-6
-0.182, 5.082e-6, 7.122e-6
-0.183, 5.070e-6, 7.173e-6
-0.184, 5.136e-6, 7.224e-6
-0.185, 5.131e-6, 7.276e-6
-0.186, 5.203e-6, 7.328e-6
-0.187, 5.197e-6, 7.380e-6
-0.188, 5.258e-6, 7.432e-6
-0.189, 5.260e-6, 7.485e-6
-0.190, 5.322e-6, 7.538e-6
-0.191, 5.338e-6, 7.592e-6
-0.192, 5.400e-6, 7.646e-6
-0.193, 5.370e-6, 7.699e-6
-0.194, 5.458e-6, 7.754e-6
-0.195, 5.431e-6, 7.808e-6
-0.196, 5.499e-6, 7.863e-6
-0.197, 5.499e-6, 7.918e-6
-0.198, 5.546e-6, 7.974e-6
-0.199, 5.536e-6, 8.029e-6
-0.200, 5.593e-6, 8.085e-6
-0.201, 5.564e-6, 8.141e-6
-0.202, 5.634e-6, 8.197e-6
-0.203, 5.602e-6, 8.253e-6
-0.204, 5.659e-6, 8.309e-6
-0.205, 5.547e-6, 8.365e-6
-0.206, 5.645e-6, 8.421e-6
-0.207, 5.633e-6, 8.478e-6
-0.208, 5.685e-6, 8.535e-6
-0.209, 5.650e-6, 8.591e-6
-0.210, 5.723e-6, 8.648e-6
-0.211, 5.685e-6, 8.705e-6
-0.212, 5.708e-6, 8.762e-6
