Nov. 23, 2023   13:08:10
Cyclic Voltammetry
File: c:\users\pku\desktop\wzc\oxi\only o2.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.25
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 10
Sample Interval (V) = 0.002
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = 0.352V
ip = 9.691e-6A
Ah = 9.568e-6C

Ep = -0.116V
ip = 6.496e-7A
Ah = 2.456e-7C

Segment 2:
Segment 3:
Ep = 0.344V
ip = 1.107e-5A
Ah = 9.002e-6C

Ep = -0.120V
ip = 5.500e-7A
Ah = 2.168e-7C

Segment 4:
Segment 5:
Ep = 0.348V
ip = 1.094e-5A
Ah = 8.818e-6C

Ep = -0.120V
ip = 6.260e-7A
Ah = 2.643e-7C

Segment 6:
Segment 7:
Ep = 0.352V
ip = 1.125e-5A
Ah = 8.813e-6C

Ep = -0.116V
ip = 6.794e-7A
Ah = 2.745e-7C

Segment 8:
Segment 9:
Ep = 0.352V
ip = 1.125e-5A
Ah = 9.025e-6C

Ep = -0.116V
ip = 6.674e-7A
Ah = 2.691e-7C

Segment 10:
Potential/V, Current/A, Charge/C

Segment 1:
0.648, -8.119e-8, -1.624e-9
0.646, -2.236e-8, -2.071e-9
0.644, 3.265e-8, -1.418e-9
0.642, 5.546e-8, -3.089e-10
0.640, 9.540e-8, 1.599e-9
0.638, 1.081e-7, 3.761e-9
0.636, 1.425e-7, 6.611e-9
0.634, 1.517e-7, 9.646e-9
0.632, 1.847e-7, 1.334e-8
0.630, 1.863e-7, 1.707e-8
0.628, 2.168e-7, 2.140e-8
0.626, 2.076e-7, 2.556e-8
0.624, 2.364e-7, 3.028e-8
0.622, 2.409e-7, 3.510e-8
0.620, 2.699e-7, 4.050e-8
0.618, 2.583e-7, 4.566e-8
0.616, 2.863e-7, 5.139e-8
0.614, 2.831e-7, 5.705e-8
0.612, 3.112e-7, 6.328e-8
0.610, 3.027e-7, 6.933e-8
0.608, 3.319e-7, 7.597e-8
0.606, 3.283e-7, 8.253e-8
0.604, 3.522e-7, 8.958e-8
0.602, 3.495e-7, 9.657e-8
0.600, 3.801e-7, 1.042e-7
0.598, 3.749e-7, 1.117e-7
0.596, 4.033e-7, 1.197e-7
0.594, 3.999e-7, 1.277e-7
0.592, 4.298e-7, 1.363e-7
0.590, 4.301e-7, 1.449e-7
0.588, 4.611e-7, 1.541e-7
0.586, 4.525e-7, 1.632e-7
0.584, 4.834e-7, 1.729e-7
0.582, 4.920e-7, 1.827e-7
0.580, 5.250e-7, 1.932e-7
0.578, 5.195e-7, 2.036e-7
0.576, 5.536e-7, 2.147e-7
0.574, 5.519e-7, 2.257e-7
0.572, 5.894e-7, 2.375e-7
0.570, 5.965e-7, 2.494e-7
0.568, 6.313e-7, 2.621e-7
0.566, 6.435e-7, 2.749e-7
0.564, 6.799e-7, 2.885e-7
0.562, 6.913e-7, 3.023e-7
0.560, 7.270e-7, 3.169e-7
0.558, 7.407e-7, 3.317e-7
0.556, 7.804e-7, 3.473e-7
0.554, 7.933e-7, 3.632e-7
0.552, 8.405e-7, 3.800e-7
0.550, 8.532e-7, 3.970e-7
0.548, 9.093e-7, 4.152e-7
0.546, 9.272e-7, 4.338e-7
0.544, 9.743e-7, 4.533e-7
0.542, 9.916e-7, 4.731e-7
0.540, 1.055e-6, 4.942e-7
0.538, 1.083e-6, 5.159e-7
0.536, 1.130e-6, 5.385e-7
0.534, 1.167e-6, 5.618e-7
0.532, 1.224e-6, 5.863e-7
0.530, 1.262e-6, 6.115e-7
0.528, 1.321e-6, 6.379e-7
0.526, 1.368e-6, 6.653e-7
0.524, 1.441e-6, 6.941e-7
0.522, 1.495e-6, 7.240e-7
0.520, 1.570e-6, 7.554e-7
0.518, 1.623e-6, 7.879e-7
0.516, 1.706e-6, 8.220e-7
0.514, 1.759e-6, 8.572e-7
0.512, 1.851e-6, 8.942e-7
0.510, 1.907e-6, 9.323e-7
0.508, 1.999e-6, 9.723e-7
0.506, 2.061e-6, 1.014e-6
0.504, 2.159e-6, 1.057e-6
0.502, 2.234e-6, 1.101e-6
0.500, 2.339e-6, 1.148e-6
0.498, 2.418e-6, 1.197e-6
0.496, 2.530e-6, 1.247e-6
0.494, 2.619e-6, 1.299e-6
0.492, 2.734e-6, 1.354e-6
0.490, 2.831e-6, 1.411e-6
0.488, 2.961e-6, 1.470e-6
0.486, 3.064e-6, 1.531e-6
0.484, 3.202e-6, 1.595e-6
0.482, 3.307e-6, 1.661e-6
0.480, 3.450e-6, 1.730e-6
0.478, 3.562e-6, 1.802e-6
0.476, 3.713e-6, 1.876e-6
0.474, 3.839e-6, 1.953e-6
0.472, 3.995e-6, 2.033e-6
0.470, 4.128e-6, 2.115e-6
0.468, 4.292e-6, 2.201e-6
0.466, 4.431e-6, 2.290e-6
0.464, 4.619e-6, 2.382e-6
0.462, 4.771e-6, 2.477e-6
0.460, 4.952e-6, 2.577e-6
0.458, 5.102e-6, 2.679e-6
0.456, 5.287e-6, 2.784e-6
0.454, 5.444e-6, 2.893e-6
0.452, 5.633e-6, 3.006e-6
0.450, 5.794e-6, 3.122e-6
0.448, 5.987e-6, 3.241e-6
0.446, 6.173e-6, 3.365e-6
0.444, 6.370e-6, 3.492e-6
0.442, 6.533e-6, 3.623e-6
0.440, 6.737e-6, 3.758e-6
0.438, 6.905e-6, 3.896e-6
0.436, 7.105e-6, 4.038e-6
0.434, 7.272e-6, 4.183e-6
0.432, 7.475e-6, 4.333e-6
0.430, 7.641e-6, 4.486e-6
0.428, 7.860e-6, 4.643e-6
0.426, 8.023e-6, 4.803e-6
0.424, 8.218e-6, 4.968e-6
0.422, 8.376e-6, 5.135e-6
0.420, 8.568e-6, 5.307e-6
0.418, 8.723e-6, 5.481e-6
0.416, 8.908e-6, 5.659e-6
0.414, 9.058e-6, 5.840e-6
0.412, 9.235e-6, 6.025e-6
0.410, 9.380e-6, 6.213e-6
0.408, 9.550e-6, 6.404e-6
0.406, 9.680e-6, 6.597e-6
0.404, 9.842e-6, 6.794e-6
0.402, 9.959e-6, 6.993e-6
0.400, 1.011e-5, 7.196e-6
0.398, 1.023e-5, 7.400e-6
0.396, 1.036e-5, 7.607e-6
0.394, 1.046e-5, 7.817e-6
0.392, 1.059e-5, 8.028e-6
0.390, 1.068e-5, 8.242e-6
0.388, 1.080e-5, 8.458e-6
0.386, 1.089e-5, 8.676e-6
0.384, 1.099e-5, 8.895e-6
0.382, 1.105e-5, 9.116e-6
0.380, 1.115e-5, 9.339e-6
0.378, 1.120e-5, 9.563e-6
0.376, 1.128e-5, 9.789e-6
0.374, 1.132e-5, 1.002e-5
0.372, 1.139e-5, 1.024e-5
0.370, 1.142e-5, 1.047e-5
0.368, 1.148e-5, 1.070e-5
0.366, 1.149e-5, 1.093e-5
0.364, 1.154e-5, 1.116e-5
0.362, 1.155e-5, 1.139e-5
0.360, 1.159e-5, 1.162e-5
0.358, 1.159e-5, 1.186e-5
0.356, 1.162e-5, 1.209e-5
0.354, 1.162e-5, 1.232e-5
0.352, 1.162e-5, 1.255e-5
0.350, 1.162e-5, 1.279e-5
0.348, 1.162e-5, 1.302e-5
0.346, 1.159e-5, 1.325e-5
0.344, 1.161e-5, 1.348e-5
0.342, 1.157e-5, 1.371e-5
0.340, 1.157e-5, 1.395e-5
0.338, 1.153e-5, 1.418e-5
0.336, 1.152e-5, 1.441e-5
0.334, 1.148e-5, 1.464e-5
0.332, 1.147e-5, 1.486e-5
0.330, 1.142e-5, 1.509e-5
0.328, 1.141e-5, 1.532e-5
0.326, 1.135e-5, 1.555e-5
0.324, 1.133e-5, 1.578e-5
0.322, 1.128e-5, 1.600e-5
0.320, 1.126e-5, 1.623e-5
0.318, 1.119e-5, 1.645e-5
0.316, 1.117e-5, 1.667e-5
0.314, 1.111e-5, 1.690e-5
0.312, 1.108e-5, 1.712e-5
0.310, 1.103e-5, 1.734e-5
0.308, 1.099e-5, 1.756e-5
0.306, 1.094e-5, 1.778e-5
0.304, 1.090e-5, 1.799e-5
0.302, 1.083e-5, 1.821e-5
0.300, 1.079e-5, 1.843e-5
0.298, 1.073e-5, 1.864e-5
0.296, 1.069e-5, 1.885e-5
0.294, 1.063e-5, 1.907e-5
0.292, 1.059e-5, 1.928e-5
0.290, 1.054e-5, 1.949e-5
0.288, 1.050e-5, 1.970e-5
0.286, 1.044e-5, 1.991e-5
0.284, 1.040e-5, 2.012e-5
0.282, 1.034e-5, 2.032e-5
0.280, 1.030e-5, 2.053e-5
0.278, 1.024e-5, 2.073e-5
0.276, 1.021e-5, 2.094e-5
0.274, 1.015e-5, 2.114e-5
0.272, 1.011e-5, 2.134e-5
0.270, 1.006e-5, 2.155e-5
0.268, 1.002e-5, 2.175e-5
0.266, 9.961e-6, 2.194e-5
0.264, 9.933e-6, 2.214e-5
0.262, 9.864e-6, 2.234e-5
0.260, 9.842e-6, 2.254e-5
0.258, 9.770e-6, 2.273e-5
0.256, 9.752e-6, 2.293e-5
0.254, 9.682e-6, 2.312e-5
0.252, 9.662e-6, 2.331e-5
0.250, 9.606e-6, 2.351e-5
0.248, 9.575e-6, 2.370e-5
0.246, 9.520e-6, 2.389e-5
0.244, 9.498e-6, 2.408e-5
0.242, 9.432e-6, 2.427e-5
0.240, 9.412e-6, 2.446e-5
0.238, 9.355e-6, 2.464e-5
0.236, 9.322e-6, 2.483e-5
0.234, 9.273e-6, 2.501e-5
0.232, 9.249e-6, 2.520e-5
0.230, 9.184e-6, 2.538e-5
