Nov. 23, 2023   12:24:58
Cyclic Voltammetry
File: c:\users\pku\desktop\wzc\blank1.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.3
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 5
Sample Interval (V) = 0.01
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = 0.410V
ip = 8.363e-9A
Ah = 1.640e-9C

Ep = -0.120V
ip = 1.300e-6A
Ah = 8.067e-7C

Segment 2:
Ep = -0.090V
ip = -2.232e-7A
Ah = -7.753e-8C

Segment 3:
Ep = 0.420V
ip = 1.549e-6A
Ah = 1.497e-6C

Ep = -0.180V
ip = 1.226e-6A
Ah = 1.375e-6C

Segment 4:
Ep = -0.080V
ip = -2.560e-7A
Ah = -1.046e-7C

Segment 5:
Ep = 0.420V
ip = 1.702e-6A
Ah = 1.637e-6C

Ep = -0.170V
ip = 1.118e-6A
Ah = 1.270e-6C

Potential/V, Current/A, Charge/C

Segment 1:
0.640, -2.089e-8, -2.089e-9
0.630, 6.864e-8, 4.775e-9
0.620, 1.159e-7, 1.636e-8
0.610, 1.585e-7, 3.221e-8
0.600, 1.796e-7, 5.017e-8
0.590, 2.111e-7, 7.128e-8
0.580, 2.211e-7, 9.339e-8
0.570, 2.423e-7, 1.176e-7
0.560, 2.589e-7, 1.435e-7
0.550, 2.746e-7, 1.710e-7
0.540, 2.877e-7, 1.997e-7
0.530, 3.079e-7, 2.305e-7
0.520, 3.145e-7, 2.620e-7
0.510, 3.277e-7, 2.948e-7
0.500, 3.432e-7, 3.291e-7
0.490, 3.631e-7, 3.654e-7
0.480, 3.687e-7, 4.023e-7
0.470, 3.864e-7, 4.409e-7
0.460, 4.013e-7, 4.810e-7
0.450, 4.167e-7, 5.227e-7
0.440, 4.193e-7, 5.646e-7
0.430, 4.331e-7, 6.079e-7
0.420, 4.443e-7, 6.524e-7
0.410, 4.584e-7, 6.982e-7
0.400, 4.586e-7, 7.441e-7
0.390, 4.674e-7, 7.908e-7
0.380, 4.647e-7, 8.373e-7
0.370, 4.703e-7, 8.843e-7
0.360, 4.685e-7, 9.312e-7
0.350, 4.719e-7, 9.783e-7
0.340, 4.681e-7, 1.025e-6
0.330, 4.701e-7, 1.072e-6
0.320, 4.645e-7, 1.119e-6
0.310, 4.677e-7, 1.165e-6
0.300, 4.598e-7, 1.211e-6
0.290, 4.626e-7, 1.258e-6
0.280, 4.520e-7, 1.303e-6
0.270, 4.512e-7, 1.348e-6
0.260, 4.428e-7, 1.392e-6
0.250, 4.384e-7, 1.436e-6
0.240, 4.316e-7, 1.479e-6
0.230, 4.274e-7, 1.522e-6
0.220, 4.220e-7, 1.564e-6
0.210, 4.213e-7, 1.606e-6
0.200, 4.156e-7, 1.648e-6
0.190, 4.190e-7, 1.690e-6
0.180, 4.120e-7, 1.731e-6
0.170, 4.166e-7, 1.773e-6
0.160, 4.087e-7, 1.814e-6
0.150, 4.130e-7, 1.855e-6
0.140, 4.050e-7, 1.895e-6
0.130, 4.085e-7, 1.936e-6
0.120, 4.014e-7, 1.976e-6
0.110, 4.053e-7, 2.017e-6
0.100, 3.993e-7, 2.057e-6
0.090, 4.035e-7, 2.097e-6
0.080, 3.986e-7, 2.137e-6
0.070, 4.044e-7, 2.177e-6
0.060, 4.019e-7, 2.218e-6
0.050, 4.123e-7, 2.259e-6
0.040, 4.103e-7, 2.300e-6
0.030, 4.207e-7, 2.342e-6
0.020, 4.339e-7, 2.385e-6
0.010, 4.604e-7, 2.431e-6
0.000, 4.808e-7, 2.479e-6
-0.010, 5.179e-7, 2.531e-6
-0.020, 5.662e-7, 2.588e-6
-0.030, 6.300e-7, 2.651e-6
-0.040, 7.028e-7, 2.721e-6
-0.050, 8.006e-7, 2.801e-6
-0.060, 9.089e-7, 2.892e-6
-0.070, 1.050e-6, 2.997e-6
-0.080, 1.208e-6, 3.118e-6
-0.090, 1.387e-6, 3.257e-6
-0.100, 1.576e-6, 3.414e-6
-0.110, 1.687e-6, 3.583e-6
-0.120, 1.711e-6, 3.754e-6
-0.130, 1.674e-6, 3.921e-6
-0.140, 1.604e-6, 4.082e-6
-0.150, 1.561e-6, 4.238e-6
-0.160, 1.553e-6, 4.393e-6
-0.170, 1.592e-6, 4.552e-6
-0.180, 1.658e-6, 4.718e-6
-0.190, 1.768e-6, 4.895e-6
-0.200, 1.889e-6, 5.084e-6
-0.210, 2.055e-6, 5.289e-6
-0.220, 2.197e-6, 5.509e-6
-0.230, 2.309e-6, 5.740e-6
-0.240, 2.394e-6, 5.979e-6
-0.250, 2.449e-6, 6.224e-6
-0.260, 2.468e-6, 6.471e-6
-0.270, 2.486e-6, 6.720e-6
-0.280, 2.516e-6, 6.971e-6
-0.290, 2.622e-6, 7.234e-6
-0.300, 5.793e-7, 7.292e-6

Segment 2:
-0.290, -3.789e-7, 7.254e-6
-0.280, -6.960e-7, 7.184e-6
-0.270, -9.007e-7, 7.094e-6
-0.260, -1.066e-6, 6.987e-6
-0.250, -1.182e-6, 6.869e-6
-0.240, -1.265e-6, 6.743e-6
-0.230, -1.297e-6, 6.613e-6
-0.220, -1.308e-6, 6.482e-6
-0.210, -1.281e-6, 6.354e-6
-0.200, -1.257e-6, 6.228e-6
-0.190, -1.201e-6, 6.108e-6
-0.180, -1.150e-6, 5.993e-6
-0.170, -1.120e-6, 5.881e-6
-0.160, -1.116e-6, 5.770e-6
-0.150, -1.128e-6, 5.657e-6
-0.140, -1.161e-6, 5.541e-6
-0.130, -1.193e-6, 5.421e-6
-0.120, -1.231e-6, 5.298e-6
-0.110, -1.273e-6, 5.171e-6
-0.100, -1.325e-6, 5.038e-6
-0.090, -1.360e-6, 4.903e-6
-0.080, -1.357e-6, 4.767e-6
-0.070, -1.288e-6, 4.638e-6
-0.060, -1.160e-6, 4.522e-6
-0.050, -9.996e-7, 4.422e-6
-0.040, -8.450e-7, 4.338e-6
-0.030, -7.201e-7, 4.266e-6
-0.020, -6.253e-7, 4.203e-6
-0.010, -5.490e-7, 4.148e-6
-0.000, -4.878e-7, 4.099e-6
0.010, -4.416e-7, 4.055e-6
0.020, -4.011e-7, 4.015e-6
0.030, -3.706e-7, 3.978e-6
0.040, -3.428e-7, 3.944e-6
0.050, -3.310e-7, 3.911e-6
0.060, -3.104e-7, 3.880e-6
0.070, -2.933e-7, 3.850e-6
0.080, -2.859e-7, 3.822e-6
0.090, -2.679e-7, 3.795e-6
0.100, -2.541e-7, 3.769e-6
0.110, -2.455e-7, 3.745e-6
0.120, -2.418e-7, 3.721e-6
0.130, -2.366e-7, 3.697e-6
0.140, -2.327e-7, 3.674e-6
0.150, -2.191e-7, 3.652e-6
0.160, -2.096e-7, 3.631e-6
0.170, -2.015e-7, 3.611e-6
0.180, -1.953e-7, 3.591e-6
0.190, -1.917e-7, 3.572e-6
0.200, -1.897e-7, 3.553e-6
0.210, -1.815e-7, 3.535e-6
0.220, -1.794e-7, 3.517e-6
0.230, -1.688e-7, 3.500e-6
0.240, -1.642e-7, 3.484e-6
0.250, -1.583e-7, 3.468e-6
0.260, -1.529e-7, 3.453e-6
0.270, -1.515e-7, 3.437e-6
0.280, -1.487e-7, 3.423e-6
0.290, -1.487e-7, 3.408e-6
0.300, -1.478e-7, 3.393e-6
0.310, -1.485e-7, 3.378e-6
0.320, -1.485e-7, 3.363e-6
0.330, -1.501e-7, 3.348e-6
0.340, -1.518e-7, 3.333e-6
0.350, -1.571e-7, 3.317e-6
0.360, -1.647e-7, 3.301e-6
0.370, -1.720e-7, 3.284e-6
0.380, -1.844e-7, 3.265e-6
0.390, -1.888e-7, 3.246e-6
0.400, -1.964e-7, 3.227e-6
0.410, -2.099e-7, 3.206e-6
0.420, -2.314e-7, 3.183e-6
0.430, -2.404e-7, 3.159e-6
0.440, -2.550e-7, 3.133e-6
0.450, -2.818e-7, 3.105e-6
0.460, -3.103e-7, 3.074e-6
0.470, -3.409e-7, 3.040e-6
0.480, -3.879e-7, 3.001e-6
0.490, -4.389e-7, 2.957e-6
0.500, -5.108e-7, 2.906e-6
0.510, -5.941e-7, 2.847e-6
0.520, -6.849e-7, 2.778e-6
0.530, -7.712e-7, 2.701e-6
0.540, -8.552e-7, 2.615e-6
0.550, -9.301e-7, 2.522e-6
0.560, -9.999e-7, 2.422e-6
0.570, -1.057e-6, 2.317e-6
0.580, -1.115e-6, 2.205e-6
0.590, -1.156e-6, 2.090e-6
0.600, -1.203e-6, 1.969e-6
0.610, -1.237e-6, 1.846e-6
0.620, -1.271e-6, 1.718e-6
0.630, -1.299e-6, 1.589e-6
0.640, -1.324e-6, 1.456e-6
0.650, -1.349e-6, 1.321e-6
0.660, -1.373e-6, 1.184e-6
0.670, -1.394e-6, 1.045e-6
0.680, -1.415e-6, 9.030e-7
0.690, -1.432e-6, 7.598e-7
0.700, -1.455e-6, 6.142e-7
0.710, -1.472e-6, 4.671e-7
0.720, -1.496e-6, 3.175e-7
0.730, -1.509e-6, 1.666e-7
0.740, -1.523e-6, 1.427e-8
0.750, -1.547e-6, -1.404e-7
0.760, -1.565e-6, -2.969e-7
0.770, -1.588e-6, -4.557e-7
0.780, -1.609e-6, -6.166e-7
0.790, -1.626e-6, -7.792e-7
0.800, -1.658e-6, -9.450e-7
0.810, -1.689e-6, -1.114e-6
0.820, -1.710e-6, -1.285e-6
0.830, -1.734e-6, -1.458e-6
0.840, -1.761e-6, -1.634e-6
0.850, -1.792e-6, -1.814e-6
0.860, -1.815e-6, -1.995e-6
0.870, -1.847e-6, -2.180e-6
