Nov. 1, 2023   14:19:55
Cyclic Voltammetry
File: c:\users\pku\desktop\zqk\ ״ .txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.29
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.005
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:
Ep = -0.285V
ip = 1.120e-6A
Ah = 1.230e-6C

Segment 2:
Ep = 0.500V
ip = -3.878e-6A
Ah = -3.674e-6C

Segment 3:
Ep = 0.470V
ip = 1.083e-6A
Ah = 9.032e-7C

Segment 4:
Ep = 0.495V
ip = -5.422e-6A
Ah = -4.749e-6C

Segment 5:
Ep = 0.475V
ip = 1.217e-6A
Ah = 9.452e-7C

Segment 6:
Ep = 0.490V
ip = -5.865e-6A
Ah = -4.600e-6C

Potential/V, Current/A, Charge/C

Segment 1:
0.645, -1.617e-6, -8.086e-8
0.640, -1.494e-6, -1.556e-7
0.635, -1.417e-6, -2.264e-7
0.630, -1.364e-6, -2.946e-7
0.625, -1.334e-6, -3.613e-7
0.620, -1.311e-6, -4.268e-7
0.615, -1.305e-6, -4.921e-7
0.610, -1.300e-6, -5.571e-7
0.605, -1.307e-6, -6.225e-7
0.600, -1.323e-6, -6.886e-7
0.595, -1.343e-6, -7.558e-7
0.590, -1.369e-6, -8.242e-7
0.585, -1.402e-6, -8.944e-7
0.580, -1.441e-6, -9.664e-7
0.575, -1.485e-6, -1.041e-6
0.570, -1.535e-6, -1.117e-6
0.565, -1.588e-6, -1.197e-6
0.560, -1.651e-6, -1.279e-6
0.555, -1.717e-6, -1.365e-6
0.550, -1.789e-6, -1.455e-6
0.545, -1.867e-6, -1.548e-6
0.540, -1.950e-6, -1.646e-6
0.535, -2.041e-6, -1.748e-6
0.530, -2.137e-6, -1.854e-6
0.525, -2.237e-6, -1.966e-6
0.520, -2.345e-6, -2.084e-6
0.515, -2.463e-6, -2.207e-6
0.510, -2.583e-6, -2.336e-6
0.505, -2.708e-6, -2.471e-6
0.500, -2.838e-6, -2.613e-6
0.495, -2.971e-6, -2.762e-6
0.490, -3.107e-6, -2.917e-6
0.485, -3.252e-6, -3.080e-6
0.480, -3.394e-6, -3.249e-6
0.475, -3.534e-6, -3.426e-6
0.470, -3.678e-6, -3.610e-6
0.465, -3.819e-6, -3.801e-6
0.460, -3.963e-6, -3.999e-6
0.455, -4.105e-6, -4.204e-6
0.450, -4.240e-6, -4.416e-6
0.445, -4.371e-6, -4.635e-6
0.440, -4.496e-6, -4.860e-6
0.435, -4.613e-6, -5.090e-6
0.430, -4.722e-6, -5.326e-6
0.425, -4.821e-6, -5.567e-6
0.420, -4.906e-6, -5.813e-6
0.415, -4.979e-6, -6.062e-6
0.410, -5.037e-6, -6.314e-6
0.405, -5.076e-6, -6.567e-6
0.400, -5.103e-6, -6.822e-6
0.395, -5.113e-6, -7.078e-6
0.390, -5.107e-6, -7.333e-6
0.385, -5.086e-6, -7.588e-6
0.380, -5.051e-6, -7.840e-6
0.375, -4.999e-6, -8.090e-6
0.370, -4.937e-6, -8.337e-6
0.365, -4.865e-6, -8.580e-6
0.360, -4.778e-6, -8.819e-6
0.355, -4.684e-6, -9.053e-6
0.350, -4.584e-6, -9.283e-6
0.345, -4.478e-6, -9.507e-6
0.340, -4.363e-6, -9.725e-6
0.335, -4.244e-6, -9.937e-6
0.330, -4.120e-6, -1.014e-5
0.325, -3.993e-6, -1.034e-5
0.320, -3.859e-6, -1.054e-5
0.315, -3.727e-6, -1.072e-5
0.310, -3.593e-6, -1.090e-5
0.305, -3.459e-6, -1.107e-5
0.300, -3.324e-6, -1.124e-5
0.295, -3.184e-6, -1.140e-5
0.290, -3.046e-6, -1.155e-5
0.285, -2.912e-6, -1.170e-5
0.280, -2.777e-6, -1.184e-5
0.275, -2.644e-6, -1.197e-5
0.270, -2.513e-6, -1.209e-5
0.265, -2.381e-6, -1.221e-5
0.260, -2.252e-6, -1.233e-5
0.255, -2.128e-6, -1.243e-5
0.250, -2.009e-6, -1.253e-5
0.245, -1.892e-6, -1.263e-5
0.240, -1.777e-6, -1.272e-5
0.235, -1.668e-6, -1.280e-5
0.230, -1.565e-6, -1.288e-5
0.225, -1.463e-6, -1.295e-5
0.220, -1.369e-6, -1.302e-5
0.215, -1.275e-6, -1.308e-5
0.210, -1.188e-6, -1.314e-5
0.205, -1.108e-6, -1.320e-5
0.200, -1.027e-6, -1.325e-5
0.195, -9.511e-7, -1.330e-5
0.190, -8.780e-7, -1.334e-5
0.185, -8.039e-7, -1.338e-5
0.180, -7.396e-7, -1.342e-5
0.175, -6.779e-7, -1.345e-5
0.170, -6.200e-7, -1.348e-5
0.165, -5.672e-7, -1.351e-5
0.160, -5.142e-7, -1.354e-5
0.155, -4.643e-7, -1.356e-5
0.150, -4.177e-7, -1.358e-5
0.145, -3.741e-7, -1.360e-5
0.140, -3.320e-7, -1.362e-5
0.135, -2.921e-7, -1.363e-5
0.130, -2.553e-7, -1.364e-5
0.125, -2.186e-7, -1.365e-5
0.120, -1.845e-7, -1.366e-5
0.115, -1.547e-7, -1.367e-5
0.110, -1.222e-7, -1.368e-5
0.105, -9.291e-8, -1.368e-5
0.100, -6.650e-8, -1.369e-5
0.095, -3.869e-8, -1.369e-5
0.090, -1.268e-8, -1.369e-5
0.085, 1.030e-8, -1.369e-5
0.080, 3.163e-8, -1.369e-5
0.075, 5.480e-8, -1.368e-5
0.070, 7.615e-8, -1.368e-5
0.065, 9.796e-8, -1.367e-5
0.060, 1.172e-7, -1.367e-5
0.055, 1.382e-7, -1.366e-5
0.050, 1.551e-7, -1.365e-5
0.045, 1.748e-7, -1.365e-5
0.040, 1.948e-7, -1.364e-5
0.035, 2.129e-7, -1.363e-5
0.030, 2.299e-7, -1.361e-5
0.025, 2.488e-7, -1.360e-5
0.020, 2.685e-7, -1.359e-5
0.015, 2.899e-7, -1.357e-5
0.010, 3.094e-7, -1.356e-5
0.005, 3.326e-7, -1.354e-5
0.000, 3.526e-7, -1.352e-5
-0.005, 3.789e-7, -1.350e-5
-0.010, 4.032e-7, -1.348e-5
-0.015, 4.307e-7, -1.346e-5
-0.020, 4.582e-7, -1.344e-5
-0.025, 4.904e-7, -1.342e-5
-0.030, 5.229e-7, -1.339e-5
-0.035, 5.571e-7, -1.336e-5
-0.040, 5.960e-7, -1.333e-5
-0.045, 6.354e-7, -1.330e-5
-0.050, 6.810e-7, -1.327e-5
-0.055, 7.268e-7, -1.323e-5
-0.060, 7.785e-7, -1.319e-5
-0.065, 8.301e-7, -1.315e-5
-0.070, 8.804e-7, -1.311e-5
-0.075, 9.357e-7, -1.306e-5
-0.080, 9.914e-7, -1.301e-5
-0.085, 1.050e-6, -1.296e-5
-0.090, 1.108e-6, -1.290e-5
-0.095, 1.167e-6, -1.284e-5
-0.100, 1.233e-6, -1.278e-5
-0.105, 1.289e-6, -1.272e-5
-0.110, 1.349e-6, -1.265e-5
-0.115, 1.410e-6, -1.258e-5
-0.120, 1.469e-6, -1.250e-5
-0.125, 1.529e-6, -1.243e-5
-0.130, 1.587e-6, -1.235e-5
-0.135, 1.640e-6, -1.227e-5
-0.140, 1.695e-6, -1.218e-5
-0.145, 1.749e-6, -1.209e-5
-0.150, 1.797e-6, -1.201e-5
-0.155, 1.852e-6, -1.191e-5
-0.160, 1.900e-6, -1.182e-5
-0.165, 1.945e-6, -1.172e-5
-0.170, 1.989e-6, -1.162e-5
-0.175, 2.038e-6, -1.152e-5
-0.180, 2.077e-6, -1.142e-5
-0.185, 2.115e-6, -1.131e-5
-0.190, 2.160e-6, -1.120e-5
-0.195, 2.201e-6, -1.109e-5
-0.200, 2.241e-6, -1.098e-5
-0.205, 2.262e-6, -1.087e-5
-0.210, 2.324e-6, -1.075e-5
-0.215, 2.365e-6, -1.063e-5
-0.220, 2.405e-6, -1.051e-5
-0.225, 2.444e-6, -1.039e-5
-0.230, 2.482e-6, -1.027e-5
-0.235, 2.533e-6, -1.014e-5
-0.240, 2.577e-6, -1.001e-5
-0.245, 2.628e-6, -9.878e-6
-0.250, 2.677e-6, -9.744e-6
-0.255, 2.740e-6, -9.607e-6
-0.260, 2.792e-6, -9.468e-6
-0.265, 2.863e-6, -9.325e-6
-0.270, 2.940e-6, -9.178e-6
-0.275, 3.030e-6, -9.026e-6
-0.280, 3.141e-6, -8.869e-6
-0.285, 3.275e-6, -8.705e-6
-0.290, 1.900e-6, -8.610e-6

Segment 2:
-0.285, 7.335e-7, -8.574e-6
-0.280, 3.267e-7, -8.557e-6
-0.275, 6.431e-8, -8.554e-6
-0.270, -1.255e-7, -8.560e-6
-0.265, -2.757e-7, -8.574e-6
-0.260, -3.979e-7, -8.594e-6
-0.255, -5.071e-7, -8.619e-6
-0.250, -6.027e-7, -8.649e-6
-0.245, -6.851e-7, -8.684e-6
-0.240, -7.659e-7, -8.722e-6
-0.235, -8.483e-7, -8.764e-6
-0.230, -9.093e-7, -8.810e-6
-0.225, -9.752e-7, -8.859e-6
-0.220, -1.028e-6, -8.910e-6
-0.215, -1.079e-6, -8.964e-6
-0.210, -1.120e-6, -9.020e-6
-0.205, -1.145e-6, -9.077e-6
-0.200, -1.193e-6, -9.137e-6
-0.195, -1.222e-6, -9.198e-6
-0.190, -1.246e-6, -9.260e-6
-0.185, -1.266e-6, -9.324e-6
-0.180, -1.280e-6, -9.388e-6
-0.175, -1.293e-6, -9.452e-6
-0.170, -1.304e-6, -9.517e-6
-0.165, -1.311e-6, -9.583e-6
-0.160, -1.318e-6, -9.649e-6
