Nov. 1, 2023   13:51:06
Cyclic Voltammetry
File: c:\users\pku\desktop\zqk\o2-no.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.29
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.005
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:
Ep = 0.390V
ip = 1.227e-5A
Ah = 8.855e-6C

Ep = -0.090V
ip = 7.273e-7A
Ah = 3.235e-7C

Segment 2:
Segment 3:
Ep = 0.390V
ip = 1.051e-5A
Ah = 7.731e-6C

Ep = -0.095V
ip = 8.221e-7A
Ah = 3.991e-7C

Segment 4:
Segment 5:
Ep = 0.390V
ip = 1.047e-5A
Ah = 7.740e-6C

Ep = -0.090V
ip = 8.681e-7A
Ah = 3.904e-7C

Segment 6:
Potential/V, Current/A, Charge/C

Segment 1:
0.645, 2.774e-7, 1.387e-8
0.640, 3.292e-7, 3.033e-8
0.635, 3.729e-7, 4.897e-8
0.630, 4.090e-7, 6.942e-8
0.625, 4.472e-7, 9.178e-8
0.620, 4.841e-7, 1.160e-7
0.615, 5.209e-7, 1.420e-7
0.610, 5.611e-7, 1.701e-7
0.605, 6.048e-7, 2.003e-7
0.600, 6.499e-7, 2.328e-7
0.595, 6.989e-7, 2.678e-7
0.590, 7.589e-7, 3.057e-7
0.585, 8.165e-7, 3.465e-7
0.580, 8.768e-7, 3.904e-7
0.575, 9.409e-7, 4.374e-7
0.570, 1.010e-6, 4.879e-7
0.565, 1.090e-6, 5.425e-7
0.560, 1.171e-6, 6.010e-7
0.555, 1.262e-6, 6.641e-7
0.550, 1.359e-6, 7.321e-7
0.545, 1.468e-6, 8.055e-7
0.540, 1.586e-6, 8.848e-7
0.535, 1.715e-6, 9.705e-7
0.530, 1.855e-6, 1.063e-6
0.525, 2.011e-6, 1.164e-6
0.520, 2.186e-6, 1.273e-6
0.515, 2.386e-6, 1.392e-6
0.510, 2.598e-6, 1.522e-6
0.505, 2.836e-6, 1.664e-6
0.500, 3.110e-6, 1.820e-6
0.495, 3.412e-6, 1.990e-6
0.490, 3.752e-6, 2.178e-6
0.485, 4.144e-6, 2.385e-6
0.480, 4.578e-6, 2.614e-6
0.475, 5.070e-6, 2.867e-6
0.470, 5.622e-6, 3.148e-6
0.465, 6.231e-6, 3.460e-6
0.460, 6.902e-6, 3.805e-6
0.455, 7.619e-6, 4.186e-6
0.450, 8.375e-6, 4.605e-6
0.445, 9.160e-6, 5.063e-6
0.440, 9.949e-6, 5.560e-6
0.435, 1.073e-5, 6.097e-6
0.430, 1.147e-5, 6.670e-6
0.425, 1.217e-5, 7.279e-6
0.420, 1.280e-5, 7.919e-6
0.415, 1.334e-5, 8.586e-6
0.410, 1.378e-5, 9.274e-6
0.405, 1.411e-5, 9.980e-6
0.400, 1.434e-5, 1.070e-5
0.395, 1.447e-5, 1.142e-5
0.390, 1.450e-5, 1.215e-5
0.385, 1.445e-5, 1.287e-5
0.380, 1.434e-5, 1.359e-5
0.375, 1.416e-5, 1.429e-5
0.370, 1.394e-5, 1.499e-5
0.365, 1.369e-5, 1.568e-5
0.360, 1.342e-5, 1.635e-5
0.355, 1.312e-5, 1.700e-5
0.350, 1.282e-5, 1.764e-5
0.345, 1.253e-5, 1.827e-5
0.340, 1.222e-5, 1.888e-5
0.335, 1.194e-5, 1.948e-5
0.330, 1.166e-5, 2.006e-5
0.325, 1.139e-5, 2.063e-5
0.320, 1.114e-5, 2.119e-5
0.315, 1.090e-5, 2.173e-5
0.310, 1.067e-5, 2.226e-5
0.305, 1.045e-5, 2.279e-5
0.300, 1.025e-5, 2.330e-5
0.295, 1.005e-5, 2.380e-5
0.290, 9.860e-6, 2.430e-5
0.285, 9.683e-6, 2.478e-5
0.280, 9.517e-6, 2.526e-5
0.275, 9.359e-6, 2.572e-5
0.270, 9.202e-6, 2.618e-5
0.265, 9.059e-6, 2.664e-5
0.260, 8.923e-6, 2.708e-5
0.255, 8.794e-6, 2.752e-5
0.250, 8.670e-6, 2.796e-5
0.245, 8.548e-6, 2.838e-5
0.240, 8.429e-6, 2.880e-5
0.235, 8.321e-6, 2.922e-5
0.230, 8.217e-6, 2.963e-5
0.225, 8.118e-6, 3.004e-5
0.220, 8.023e-6, 3.044e-5
0.215, 7.931e-6, 3.083e-5
0.210, 7.843e-6, 3.123e-5
0.205, 7.755e-6, 3.161e-5
0.200, 7.675e-6, 3.200e-5
0.195, 7.598e-6, 3.238e-5
0.190, 7.524e-6, 3.275e-5
0.185, 7.452e-6, 3.313e-5
0.180, 7.383e-6, 3.350e-5
0.175, 7.315e-6, 3.386e-5
0.170, 7.253e-6, 3.422e-5
0.165, 7.191e-6, 3.458e-5
0.160, 7.134e-6, 3.494e-5
0.155, 7.078e-6, 3.530e-5
0.150, 7.023e-6, 3.565e-5
0.145, 6.962e-6, 3.599e-5
0.140, 6.909e-6, 3.634e-5
0.135, 6.861e-6, 3.668e-5
0.130, 6.817e-6, 3.702e-5
0.125, 6.771e-6, 3.736e-5
0.120, 6.728e-6, 3.770e-5
0.115, 6.685e-6, 3.803e-5
0.110, 6.646e-6, 3.837e-5
0.105, 6.607e-6, 3.870e-5
0.100, 6.570e-6, 3.902e-5
0.095, 6.532e-6, 3.935e-5
0.090, 6.497e-6, 3.968e-5
0.085, 6.463e-6, 4.000e-5
0.080, 6.431e-6, 4.032e-5
0.075, 6.399e-6, 4.064e-5
0.070, 6.372e-6, 4.096e-5
0.065, 6.342e-6, 4.128e-5
0.060, 6.318e-6, 4.159e-5
0.055, 6.292e-6, 4.191e-5
0.050, 6.270e-6, 4.222e-5
0.045, 6.248e-6, 4.253e-5
0.040, 6.229e-6, 4.284e-5
0.035, 6.209e-6, 4.315e-5
0.030, 6.197e-6, 4.346e-5
0.025, 6.179e-6, 4.377e-5
0.020, 6.164e-6, 4.408e-5
0.015, 6.155e-6, 4.439e-5
0.010, 6.150e-6, 4.470e-5
0.005, 6.146e-6, 4.500e-5
0.000, 6.144e-6, 4.531e-5
-0.005, 6.150e-6, 4.562e-5
-0.010, 6.160e-6, 4.593e-5
-0.015, 6.177e-6, 4.624e-5
-0.020, 6.204e-6, 4.655e-5
-0.025, 6.233e-6, 4.686e-5
-0.030, 6.277e-6, 4.717e-5
-0.035, 6.329e-6, 4.749e-5
-0.040, 6.394e-6, 4.781e-5
-0.045, 6.464e-6, 4.813e-5
-0.050, 6.558e-6, 4.846e-5
-0.055, 6.637e-6, 4.879e-5
-0.060, 6.722e-6, 4.913e-5
-0.065, 6.793e-6, 4.947e-5
-0.070, 6.852e-6, 4.981e-5
-0.075, 6.891e-6, 5.015e-5
-0.080, 6.920e-6, 5.050e-5
-0.085, 6.930e-6, 5.085e-5
-0.090, 6.930e-6, 5.119e-5
-0.095, 6.920e-6, 5.154e-5
-0.100, 6.919e-6, 5.188e-5
-0.105, 6.888e-6, 5.223e-5
-0.110, 6.873e-6, 5.257e-5
-0.115, 6.846e-6, 5.291e-5
-0.120, 6.826e-6, 5.326e-5
-0.125, 6.802e-6, 5.360e-5
-0.130, 6.787e-6, 5.394e-5
-0.135, 6.773e-6, 5.427e-5
-0.140, 6.769e-6, 5.461e-5
-0.145, 6.770e-6, 5.495e-5
-0.150, 6.786e-6, 5.529e-5
-0.155, 6.804e-6, 5.563e-5
-0.160, 6.831e-6, 5.597e-5
-0.165, 6.868e-6, 5.632e-5
-0.170, 6.913e-6, 5.666e-5
-0.175, 6.969e-6, 5.701e-5
-0.180, 7.040e-6, 5.736e-5
-0.185, 7.125e-6, 5.772e-5
-0.190, 7.213e-6, 5.808e-5
-0.195, 7.299e-6, 5.844e-5
-0.200, 7.396e-6, 5.881e-5
-0.205, 7.442e-6, 5.918e-5
-0.210, 7.548e-6, 5.956e-5
-0.215, 7.616e-6, 5.994e-5
-0.220, 7.692e-6, 6.033e-5
-0.225, 7.754e-6, 6.072e-5
-0.230, 7.814e-6, 6.111e-5
-0.235, 7.871e-6, 6.150e-5
-0.240, 7.917e-6, 6.190e-5
-0.245, 7.948e-6, 6.229e-5
-0.250, 7.973e-6, 6.269e-5
-0.255, 7.989e-6, 6.309e-5
-0.260, 7.978e-6, 6.349e-5
-0.265, 7.973e-6, 6.389e-5
-0.270, 7.960e-6, 6.429e-5
-0.275, 7.949e-6, 6.468e-5
-0.280, 7.943e-6, 6.508e-5
-0.285, 7.949e-6, 6.548e-5
-0.290, 5.838e-6, 6.577e-5

Segment 2:
-0.285, 4.492e-6, 6.600e-5
-0.280, 4.123e-6, 6.620e-5
-0.275, 3.867e-6, 6.639e-5
-0.270, 3.657e-6, 6.658e-5
-0.265, 3.492e-6, 6.675e-5
-0.260, 3.343e-6, 6.692e-5
-0.255, 3.205e-6, 6.708e-5
-0.250, 3.088e-6, 6.723e-5
-0.245, 2.982e-6, 6.738e-5
-0.240, 2.891e-6, 6.753e-5
-0.235, 2.822e-6, 6.767e-5
-0.230, 2.783e-6, 6.781e-5
-0.225, 2.753e-6, 6.795e-5
-0.220, 2.740e-6, 6.808e-5
-0.215, 2.740e-6, 6.822e-5
-0.210, 2.742e-6, 6.836e-5
-0.205, 2.768e-6, 6.849e-5
-0.200, 2.744e-6, 6.863e-5
-0.195, 2.754e-6, 6.877e-5
-0.190, 2.778e-6, 6.891e-5
-0.185, 2.807e-6, 6.905e-5
-0.180, 2.847e-6, 6.919e-5
-0.175, 2.877e-6, 6.934e-5
-0.170, 2.903e-6, 6.948e-5
-0.165, 2.913e-6, 6.963e-5
-0.160, 2.929e-6, 6.977e-5
