Nov. 1, 2023   13:13:08
Cyclic Voltammetry
File: c:\users\pku\desktop\zqk\empty-01-1.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.29
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.005
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:
Ep = -0.175V
ip = 1.704e-6A
Ah = 1.955e-6C

Segment 2:

Segment 3:
Ep = 0.425V
ip = 2.100e-6A
Ah = 1.938e-6C

Ep = -0.285V
ip = 1.581e-6A
Ah = 1.162e-6C

Segment 4:
Ep = -0.065V
ip = -3.605e-7A
Ah = -1.310e-7C

Segment 5:
Ep = 0.430V
ip = 2.216e-6A
Ah = 1.901e-6C

Segment 6:

Potential/V, Current/A, Charge/C

Segment 1:
0.645, -2.741e-7, -1.371e-8
0.640, -1.571e-7, -2.156e-8
0.635, -7.111e-8, -2.512e-8
0.630, -3.692e-9, -2.530e-8
0.625, 5.242e-8, -2.268e-8
0.620, 1.049e-7, -1.744e-8
0.615, 1.472e-7, -1.008e-8
0.610, 1.927e-7, -4.412e-10
0.605, 2.339e-7, 1.125e-8
0.600, 2.756e-7, 2.503e-8
0.595, 3.139e-7, 4.073e-8
0.590, 3.513e-7, 5.830e-8
0.585, 3.912e-7, 7.786e-8
0.580, 4.291e-7, 9.931e-8
0.575, 4.674e-7, 1.227e-7
0.570, 5.043e-7, 1.479e-7
0.565, 5.450e-7, 1.751e-7
0.560, 5.820e-7, 2.042e-7
0.555, 6.205e-7, 2.353e-7
0.550, 6.578e-7, 2.682e-7
0.545, 6.983e-7, 3.031e-7
0.540, 7.436e-7, 3.403e-7
0.535, 7.852e-7, 3.795e-7
0.530, 8.238e-7, 4.207e-7
0.525, 8.625e-7, 4.638e-7
0.520, 8.999e-7, 5.088e-7
0.515, 9.380e-7, 5.557e-7
0.510, 9.751e-7, 6.045e-7
0.505, 1.010e-6, 6.550e-7
0.500, 1.041e-6, 7.070e-7
0.495, 1.073e-6, 7.607e-7
0.490, 1.101e-6, 8.157e-7
0.485, 1.127e-6, 8.720e-7
0.480, 1.148e-6, 9.295e-7
0.475, 1.167e-6, 9.878e-7
0.470, 1.180e-6, 1.047e-6
0.465, 1.193e-6, 1.106e-6
0.460, 1.198e-6, 1.166e-6
0.455, 1.198e-6, 1.226e-6
0.450, 1.193e-6, 1.286e-6
0.445, 1.183e-6, 1.345e-6
0.440, 1.170e-6, 1.404e-6
0.435, 1.151e-6, 1.461e-6
0.430, 1.130e-6, 1.518e-6
0.425, 1.107e-6, 1.573e-6
0.420, 1.079e-6, 1.627e-6
0.415, 1.052e-6, 1.680e-6
0.410, 1.022e-6, 1.731e-6
0.405, 9.940e-7, 1.780e-6
0.400, 9.639e-7, 1.829e-6
0.395, 9.342e-7, 1.875e-6
0.390, 9.047e-7, 1.921e-6
0.385, 8.756e-7, 1.964e-6
0.380, 8.452e-7, 2.007e-6
0.375, 8.172e-7, 2.047e-6
0.370, 7.870e-7, 2.087e-6
0.365, 7.611e-7, 2.125e-6
0.360, 7.339e-7, 2.162e-6
0.355, 7.063e-7, 2.197e-6
0.350, 6.838e-7, 2.231e-6
0.345, 6.639e-7, 2.264e-6
0.340, 6.449e-7, 2.297e-6
0.335, 6.281e-7, 2.328e-6
0.330, 6.101e-7, 2.358e-6
0.325, 5.940e-7, 2.388e-6
0.320, 5.803e-7, 2.417e-6
0.315, 5.637e-7, 2.445e-6
0.310, 5.497e-7, 2.473e-6
0.305, 5.367e-7, 2.500e-6
0.300, 5.220e-7, 2.526e-6
0.295, 5.103e-7, 2.551e-6
0.290, 4.950e-7, 2.576e-6
0.285, 4.864e-7, 2.600e-6
0.280, 4.748e-7, 2.624e-6
0.275, 4.641e-7, 2.647e-6
0.270, 4.534e-7, 2.670e-6
0.265, 4.433e-7, 2.692e-6
0.260, 4.371e-7, 2.714e-6
0.255, 4.313e-7, 2.736e-6
0.250, 4.210e-7, 2.757e-6
0.245, 4.153e-7, 2.777e-6
0.240, 4.069e-7, 2.798e-6
0.235, 3.994e-7, 2.818e-6
0.230, 3.932e-7, 2.837e-6
0.225, 3.898e-7, 2.857e-6
0.220, 3.828e-7, 2.876e-6
0.215, 3.725e-7, 2.895e-6
0.210, 3.655e-7, 2.913e-6
0.205, 3.555e-7, 2.931e-6
0.200, 3.486e-7, 2.948e-6
0.195, 3.437e-7, 2.965e-6
0.190, 3.392e-7, 2.982e-6
0.185, 3.334e-7, 2.999e-6
0.180, 3.244e-7, 3.015e-6
0.175, 3.204e-7, 3.031e-6
0.170, 3.170e-7, 3.047e-6
0.165, 3.153e-7, 3.063e-6
0.160, 3.115e-7, 3.078e-6
0.155, 3.090e-7, 3.094e-6
0.150, 3.032e-7, 3.109e-6
0.145, 3.023e-7, 3.124e-6
0.140, 2.998e-7, 3.139e-6
0.135, 2.997e-7, 3.154e-6
0.130, 2.978e-7, 3.169e-6
0.125, 2.989e-7, 3.184e-6
0.120, 2.984e-7, 3.199e-6
0.115, 2.975e-7, 3.214e-6
0.110, 2.958e-7, 3.228e-6
0.105, 2.965e-7, 3.243e-6
0.100, 2.942e-7, 3.258e-6
0.095, 2.943e-7, 3.273e-6
0.090, 2.941e-7, 3.287e-6
0.085, 2.949e-7, 3.302e-6
0.080, 2.953e-7, 3.317e-6
0.075, 2.986e-7, 3.332e-6
0.070, 3.020e-7, 3.347e-6
0.065, 3.097e-7, 3.362e-6
0.060, 3.153e-7, 3.378e-6
0.055, 3.206e-7, 3.394e-6
0.050, 3.260e-7, 3.410e-6
0.045, 3.341e-7, 3.427e-6
0.040, 3.398e-7, 3.444e-6
0.035, 3.473e-7, 3.462e-6
0.030, 3.597e-7, 3.480e-6
0.025, 3.721e-7, 3.498e-6
0.020, 3.878e-7, 3.518e-6
0.015, 4.031e-7, 3.538e-6
0.010, 4.231e-7, 3.559e-6
0.005, 4.454e-7, 3.581e-6
0.000, 4.685e-7, 3.605e-6
-0.005, 4.981e-7, 3.629e-6
-0.010, 5.307e-7, 3.656e-6
-0.015, 5.679e-7, 3.684e-6
-0.020, 6.077e-7, 3.715e-6
-0.025, 6.540e-7, 3.747e-6
-0.030, 7.102e-7, 3.783e-6
-0.035, 7.785e-7, 3.822e-6
-0.040, 8.422e-7, 3.864e-6
-0.045, 9.157e-7, 3.910e-6
-0.050, 9.983e-7, 3.960e-6
-0.055, 1.078e-6, 4.014e-6
-0.060, 1.164e-6, 4.072e-6
-0.065, 1.244e-6, 4.134e-6
-0.070, 1.328e-6, 4.200e-6
-0.075, 1.405e-6, 4.271e-6
-0.080, 1.487e-6, 4.345e-6
-0.085, 1.562e-6, 4.423e-6
-0.090, 1.625e-6, 4.504e-6
-0.095, 1.685e-6, 4.589e-6
-0.100, 1.736e-6, 4.675e-6
-0.105, 1.771e-6, 4.764e-6
-0.110, 1.792e-6, 4.854e-6
-0.115, 1.806e-6, 4.944e-6
-0.120, 1.804e-6, 5.034e-6
-0.125, 1.797e-6, 5.124e-6
-0.130, 1.786e-6, 5.213e-6
-0.135, 1.778e-6, 5.302e-6
-0.140, 1.771e-6, 5.391e-6
-0.145, 1.774e-6, 5.479e-6
-0.150, 1.781e-6, 5.568e-6
-0.155, 1.816e-6, 5.659e-6
-0.160, 1.842e-6, 5.751e-6
-0.165, 1.892e-6, 5.846e-6
-0.170, 1.948e-6, 5.943e-6
-0.175, 2.015e-6, 6.044e-6
-0.180, 2.087e-6, 6.148e-6
-0.185, 2.176e-6, 6.257e-6
-0.190, 2.273e-6, 6.371e-6
-0.195, 2.379e-6, 6.490e-6
-0.200, 2.478e-6, 6.614e-6
-0.205, 2.534e-6, 6.740e-6
-0.210, 2.623e-6, 6.872e-6
-0.215, 2.695e-6, 7.006e-6
-0.220, 2.757e-6, 7.144e-6
-0.225, 2.809e-6, 7.285e-6
-0.230, 2.864e-6, 7.428e-6
-0.235, 2.914e-6, 7.574e-6
-0.240, 2.963e-6, 7.722e-6
-0.245, 3.007e-6, 7.872e-6
-0.250, 3.051e-6, 8.025e-6
-0.255, 3.107e-6, 8.180e-6
-0.260, 3.133e-6, 8.337e-6
-0.265, 3.175e-6, 8.495e-6
-0.270, 3.220e-6, 8.656e-6
-0.275, 3.270e-6, 8.820e-6
-0.280, 3.335e-6, 8.987e-6
-0.285, 3.424e-6, 9.158e-6
-0.290, 1.511e-6, 9.233e-6

Segment 2:
-0.285, 1.325e-7, 9.240e-6
-0.280, -2.763e-7, 9.226e-6
-0.275, -5.410e-7, 9.199e-6
-0.270, -7.434e-7, 9.162e-6
-0.265, -9.012e-7, 9.117e-6
-0.260, -1.031e-6, 9.065e-6
-0.255, -1.143e-6, 9.008e-6
-0.250, -1.236e-6, 8.946e-6
-0.245, -1.320e-6, 8.880e-6
-0.240, -1.386e-6, 8.811e-6
-0.235, -1.444e-6, 8.739e-6
-0.230, -1.483e-6, 8.665e-6
-0.225, -1.519e-6, 8.589e-6
-0.220, -1.540e-6, 8.512e-6
-0.215, -1.558e-6, 8.434e-6
-0.210, -1.569e-6, 8.355e-6
-0.205, -1.558e-6, 8.277e-6
-0.200, -1.585e-6, 8.198e-6
-0.195, -1.584e-6, 8.119e-6
-0.190, -1.578e-6, 8.040e-6
-0.185, -1.552e-6, 7.962e-6
-0.180, -1.522e-6, 7.886e-6
-0.175, -1.494e-6, 7.812e-6
-0.170, -1.463e-6, 7.739e-6
-0.165, -1.445e-6, 7.666e-6
-0.160, -1.429e-6, 7.595e-6
-0.155, -1.426e-6, 7.524e-6
-0.150, -1.419e-6, 7.453e-6
