Nov. 1, 2023   13:17:16
Cyclic Voltammetry
File: c:\users\pku\desktop\zqk\empty-02-1.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.29
Init P/N = N
Scan Rate (V/s) = 0.2
Segment = 6
Sample Interval (V) = 0.005
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:
Ep = 0.420V
ip = 4.312e-6A
Ah = 2.047e-6C

Segment 2:

Segment 3:
Ep = 0.420V
ip = 4.035e-6A
Ah = 1.811e-6C

Segment 4:

Segment 5:
Ep = 0.420V
ip = 4.115e-6A
Ah = 1.852e-6C

Segment 6:

Potential/V, Current/A, Charge/C

Segment 1:
0.645, 4.141e-7, 1.035e-8
0.640, 4.701e-7, 2.210e-8
0.635, 5.285e-7, 3.532e-8
0.630, 5.858e-7, 4.996e-8
0.625, 6.472e-7, 6.614e-8
0.620, 7.192e-7, 8.412e-8
0.615, 7.982e-7, 1.041e-7
0.610, 8.851e-7, 1.262e-7
0.605, 9.782e-7, 1.507e-7
0.600, 1.079e-6, 1.776e-7
0.595, 1.188e-6, 2.073e-7
0.590, 1.299e-6, 2.398e-7
0.585, 1.422e-6, 2.753e-7
0.580, 1.548e-6, 3.140e-7
0.575, 1.678e-6, 3.560e-7
0.570, 1.810e-6, 4.013e-7
0.565, 1.952e-6, 4.501e-7
0.560, 2.091e-6, 5.023e-7
0.555, 2.234e-6, 5.582e-7
0.550, 2.390e-6, 6.179e-7
0.545, 2.541e-6, 6.815e-7
0.540, 2.693e-6, 7.488e-7
0.535, 2.856e-6, 8.202e-7
0.530, 3.023e-6, 8.957e-7
0.525, 3.199e-6, 9.757e-7
0.520, 3.376e-6, 1.060e-6
0.515, 3.565e-6, 1.149e-6
0.510, 3.755e-6, 1.243e-6
0.505, 3.963e-6, 1.342e-6
0.500, 4.165e-6, 1.446e-6
0.495, 4.377e-6, 1.556e-6
0.490, 4.591e-6, 1.671e-6
0.485, 4.815e-6, 1.791e-6
0.480, 5.035e-6, 1.917e-6
0.475, 5.262e-6, 2.048e-6
0.470, 5.490e-6, 2.186e-6
0.465, 5.714e-6, 2.328e-6
0.460, 5.932e-6, 2.477e-6
0.455, 6.136e-6, 2.630e-6
0.450, 6.328e-6, 2.788e-6
0.445, 6.501e-6, 2.951e-6
0.440, 6.648e-6, 3.117e-6
0.435, 6.771e-6, 3.286e-6
0.430, 6.866e-6, 3.458e-6
0.425, 6.928e-6, 3.631e-6
0.420, 6.955e-6, 3.805e-6
0.415, 6.948e-6, 3.979e-6
0.410, 6.904e-6, 4.151e-6
0.405, 6.826e-6, 4.322e-6
0.400, 6.714e-6, 4.490e-6
0.395, 6.574e-6, 4.654e-6
0.390, 6.403e-6, 4.814e-6
0.385, 6.211e-6, 4.970e-6
0.380, 5.999e-6, 5.120e-6
0.375, 5.784e-6, 5.264e-6
0.370, 5.556e-6, 5.403e-6
0.365, 5.317e-6, 5.536e-6
0.360, 5.091e-6, 5.663e-6
0.355, 4.867e-6, 5.785e-6
0.350, 4.644e-6, 5.901e-6
0.345, 4.431e-6, 6.012e-6
0.340, 4.227e-6, 6.117e-6
0.335, 4.035e-6, 6.218e-6
0.330, 3.845e-6, 6.314e-6
0.325, 3.672e-6, 6.406e-6
0.320, 3.510e-6, 6.494e-6
0.315, 3.363e-6, 6.578e-6
0.310, 3.223e-6, 6.659e-6
0.305, 3.095e-6, 6.736e-6
0.300, 2.966e-6, 6.810e-6
0.295, 2.856e-6, 6.882e-6
0.290, 2.752e-6, 6.950e-6
0.285, 2.658e-6, 7.017e-6
0.280, 2.568e-6, 7.081e-6
0.275, 2.487e-6, 7.143e-6
0.270, 2.410e-6, 7.203e-6
0.265, 2.338e-6, 7.262e-6
0.260, 2.260e-6, 7.318e-6
0.255, 2.199e-6, 7.373e-6
0.250, 2.140e-6, 7.427e-6
0.245, 2.086e-6, 7.479e-6
0.240, 2.033e-6, 7.530e-6
0.235, 1.985e-6, 7.579e-6
0.230, 1.940e-6, 7.628e-6
0.225, 1.895e-6, 7.675e-6
0.220, 1.853e-6, 7.722e-6
0.215, 1.815e-6, 7.767e-6
0.210, 1.777e-6, 7.811e-6
0.205, 1.738e-6, 7.855e-6
0.200, 1.708e-6, 7.898e-6
0.195, 1.675e-6, 7.939e-6
0.190, 1.645e-6, 7.981e-6
0.185, 1.617e-6, 8.021e-6
0.180, 1.586e-6, 8.061e-6
0.175, 1.562e-6, 8.100e-6
0.170, 1.537e-6, 8.138e-6
0.165, 1.512e-6, 8.176e-6
0.160, 1.490e-6, 8.213e-6
0.155, 1.471e-6, 8.250e-6
0.150, 1.449e-6, 8.286e-6
0.145, 1.432e-6, 8.322e-6
0.140, 1.416e-6, 8.357e-6
0.135, 1.403e-6, 8.392e-6
0.130, 1.389e-6, 8.427e-6
0.125, 1.377e-6, 8.462e-6
0.120, 1.365e-6, 8.496e-6
0.115, 1.355e-6, 8.530e-6
0.110, 1.343e-6, 8.563e-6
0.105, 1.338e-6, 8.597e-6
0.100, 1.328e-6, 8.630e-6
0.095, 1.320e-6, 8.663e-6
0.090, 1.314e-6, 8.696e-6
0.085, 1.310e-6, 8.728e-6
0.080, 1.304e-6, 8.761e-6
0.075, 1.302e-6, 8.794e-6
0.070, 1.300e-6, 8.826e-6
0.065, 1.298e-6, 8.859e-6
0.060, 1.298e-6, 8.891e-6
0.055, 1.301e-6, 8.924e-6
0.050, 1.307e-6, 8.956e-6
0.045, 1.312e-6, 8.989e-6
0.040, 1.320e-6, 9.022e-6
0.035, 1.329e-6, 9.055e-6
0.030, 1.341e-6, 9.089e-6
0.025, 1.358e-6, 9.123e-6
0.020, 1.376e-6, 9.157e-6
0.015, 1.403e-6, 9.192e-6
0.010, 1.429e-6, 9.228e-6
0.005, 1.466e-6, 9.265e-6
0.000, 1.501e-6, 9.302e-6
-0.005, 1.552e-6, 9.341e-6
-0.010, 1.601e-6, 9.381e-6
-0.015, 1.661e-6, 9.422e-6
-0.020, 1.729e-6, 9.466e-6
-0.025, 1.812e-6, 9.511e-6
-0.030, 1.910e-6, 9.559e-6
-0.035, 2.022e-6, 9.609e-6
-0.040, 2.148e-6, 9.663e-6
-0.045, 2.294e-6, 9.720e-6
-0.050, 2.462e-6, 9.782e-6
-0.055, 2.610e-6, 9.847e-6
-0.060, 2.763e-6, 9.916e-6
-0.065, 2.912e-6, 9.989e-6
-0.070, 3.059e-6, 1.007e-5
-0.075, 3.177e-6, 1.014e-5
-0.080, 3.278e-6, 1.023e-5
-0.085, 3.365e-6, 1.031e-5
-0.090, 3.437e-6, 1.040e-5
-0.095, 3.496e-6, 1.048e-5
-0.100, 3.553e-6, 1.057e-5
-0.105, 3.576e-6, 1.066e-5
-0.110, 3.598e-6, 1.075e-5
-0.115, 3.608e-6, 1.084e-5
-0.120, 3.609e-6, 1.093e-5
-0.125, 3.612e-6, 1.102e-5
-0.130, 3.611e-6, 1.111e-5
-0.135, 3.605e-6, 1.120e-5
-0.140, 3.614e-6, 1.129e-5
-0.145, 3.638e-6, 1.138e-5
-0.150, 3.672e-6, 1.148e-5
-0.155, 3.730e-6, 1.157e-5
-0.160, 3.791e-6, 1.166e-5
-0.165, 3.877e-6, 1.176e-5
-0.170, 3.981e-6, 1.186e-5
-0.175, 4.094e-6, 1.196e-5
-0.180, 4.223e-6, 1.207e-5
-0.185, 4.392e-6, 1.218e-5
-0.190, 4.561e-6, 1.229e-5
-0.195, 4.753e-6, 1.241e-5
-0.200, 4.935e-6, 1.254e-5
-0.205, 5.069e-6, 1.266e-5
-0.210, 5.275e-6, 1.279e-5
-0.215, 5.429e-6, 1.293e-5
-0.220, 5.559e-6, 1.307e-5
-0.225, 5.681e-6, 1.321e-5
-0.230, 5.775e-6, 1.335e-5
-0.235, 5.882e-6, 1.350e-5
-0.240, 5.950e-6, 1.365e-5
-0.245, 6.004e-6, 1.380e-5
-0.250, 6.046e-6, 1.395e-5
-0.255, 6.104e-6, 1.410e-5
-0.260, 6.101e-6, 1.426e-5
-0.265, 6.129e-6, 1.441e-5
-0.270, 6.149e-6, 1.456e-5
-0.275, 6.189e-6, 1.472e-5
-0.280, 6.227e-6, 1.487e-5
-0.285, 6.306e-6, 1.503e-5
-0.290, 2.442e-6, 1.509e-5

Segment 2:
-0.285, 2.670e-8, 1.509e-5
-0.280, -6.689e-7, 1.508e-5
-0.275, -1.139e-6, 1.505e-5
-0.270, -1.504e-6, 1.501e-5
-0.265, -1.789e-6, 1.497e-5
-0.260, -2.034e-6, 1.492e-5
-0.255, -2.250e-6, 1.486e-5
-0.250, -2.420e-6, 1.480e-5
-0.245, -2.580e-6, 1.473e-5
-0.240, -2.690e-6, 1.467e-5
-0.235, -2.793e-6, 1.460e-5
-0.230, -2.835e-6, 1.453e-5
-0.225, -2.882e-6, 1.445e-5
-0.220, -2.892e-6, 1.438e-5
-0.215, -2.881e-6, 1.431e-5
-0.210, -2.872e-6, 1.424e-5
-0.205, -2.806e-6, 1.417e-5
-0.200, -2.827e-6, 1.410e-5
-0.195, -2.797e-6, 1.403e-5
-0.190, -2.748e-6, 1.396e-5
-0.185, -2.680e-6, 1.389e-5
-0.180, -2.591e-6, 1.383e-5
-0.175, -2.508e-6, 1.376e-5
-0.170, -2.448e-6, 1.370e-5
-0.165, -2.385e-6, 1.364e-5
-0.160, -2.336e-6, 1.358e-5
-0.155, -2.329e-6, 1.353e-5
-0.150, -2.308e-6, 1.347e-5
-0.145, -2.303e-6, 1.341e-5
-0.140, -2.321e-6, 1.335e-5
-0.135, -2.337e-6, 1.329e-5
