Nov. 1, 2023   13:17:59
Cyclic Voltammetry
File: c:\users\pku\desktop\zqk\empty-05-1.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.29
Init P/N = N
Scan Rate (V/s) = 0.5
Segment = 6
Sample Interval (V) = 0.005
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:
Ep = 0.400V
ip = 1.124e-5A
Ah = 2.219e-6C

Ep = -0.085V
ip = 5.311e-6A
Ah = 5.349e-7C

Segment 2:
Ep = 1.095V
ip = -1.116e-6A
Ah = -2.880e-7C

Segment 3:
Ep = 0.410V
ip = 8.602e-6A
Ah = 1.544e-6C

Ep = -0.085V
ip = 5.434e-6A
Ah = 5.575e-7C

Segment 4:

Segment 5:
Ep = 0.410V
ip = 8.698e-6A
Ah = 1.559e-6C

Ep = -0.085V
ip = 5.486e-6A
Ah = 5.656e-7C

Segment 6:

Potential/V, Current/A, Charge/C

Segment 1:
0.645, 7.607e-7, 7.607e-9
0.640, 8.626e-7, 1.623e-8
0.635, 9.407e-7, 2.564e-8
0.630, 1.033e-6, 3.596e-8
0.625, 1.116e-6, 4.712e-8
0.620, 1.222e-6, 5.935e-8
0.615, 1.310e-6, 7.245e-8
0.610, 1.453e-6, 8.698e-8
0.605, 1.591e-6, 1.029e-7
0.600, 1.753e-6, 1.204e-7
0.595, 1.919e-6, 1.396e-7
0.590, 2.120e-6, 1.608e-7
0.585, 2.333e-6, 1.841e-7
0.580, 2.572e-6, 2.099e-7
0.575, 2.817e-6, 2.380e-7
0.570, 3.093e-6, 2.690e-7
0.565, 3.373e-6, 3.027e-7
0.560, 3.668e-6, 3.394e-7
0.555, 3.975e-6, 3.791e-7
0.550, 4.293e-6, 4.221e-7
0.545, 4.612e-6, 4.682e-7
0.540, 4.947e-6, 5.177e-7
0.535, 5.286e-6, 5.705e-7
0.530, 5.646e-6, 6.270e-7
0.525, 6.013e-6, 6.871e-7
0.520, 6.400e-6, 7.511e-7
0.515, 6.790e-6, 8.190e-7
0.510, 7.220e-6, 8.912e-7
0.505, 7.638e-6, 9.676e-7
0.500, 8.080e-6, 1.048e-6
0.495, 8.538e-6, 1.134e-6
0.490, 9.012e-6, 1.224e-6
0.485, 9.502e-6, 1.319e-6
0.480, 1.001e-5, 1.419e-6
0.475, 1.052e-5, 1.524e-6
0.470, 1.105e-5, 1.635e-6
0.465, 1.158e-5, 1.751e-6
0.460, 1.213e-5, 1.872e-6
0.455, 1.267e-5, 1.999e-6
0.450, 1.320e-5, 2.131e-6
0.445, 1.371e-5, 2.268e-6
0.440, 1.419e-5, 2.410e-6
0.435, 1.464e-5, 2.556e-6
0.430, 1.506e-5, 2.707e-6
0.425, 1.543e-5, 2.861e-6
0.420, 1.575e-5, 3.018e-6
0.415, 1.599e-5, 3.178e-6
0.410, 1.616e-5, 3.340e-6
0.405, 1.626e-5, 3.502e-6
0.400, 1.627e-5, 3.665e-6
0.395, 1.620e-5, 3.827e-6
0.390, 1.603e-5, 3.987e-6
0.385, 1.579e-5, 4.145e-6
0.380, 1.547e-5, 4.300e-6
0.375, 1.508e-5, 4.451e-6
0.370, 1.464e-5, 4.597e-6
0.365, 1.414e-5, 4.739e-6
0.360, 1.362e-5, 4.875e-6
0.355, 1.307e-5, 5.005e-6
0.350, 1.250e-5, 5.130e-6
0.345, 1.191e-5, 5.250e-6
0.340, 1.133e-5, 5.363e-6
0.335, 1.077e-5, 5.471e-6
0.330, 1.023e-5, 5.573e-6
0.325, 9.704e-6, 5.670e-6
0.320, 9.207e-6, 5.762e-6
0.315, 8.733e-6, 5.849e-6
0.310, 8.287e-6, 5.932e-6
0.305, 7.877e-6, 6.011e-6
0.300, 7.489e-6, 6.086e-6
0.295, 7.127e-6, 6.157e-6
0.290, 6.788e-6, 6.225e-6
0.285, 6.474e-6, 6.290e-6
0.280, 6.190e-6, 6.352e-6
0.275, 5.920e-6, 6.411e-6
0.270, 5.678e-6, 6.468e-6
0.265, 5.448e-6, 6.522e-6
0.260, 5.235e-6, 6.575e-6
0.255, 5.042e-6, 6.625e-6
0.250, 4.863e-6, 6.674e-6
0.245, 4.694e-6, 6.721e-6
0.240, 4.541e-6, 6.766e-6
0.235, 4.393e-6, 6.810e-6
0.230, 4.260e-6, 6.853e-6
0.225, 4.130e-6, 6.894e-6
0.220, 4.018e-6, 6.934e-6
0.215, 3.905e-6, 6.973e-6
0.210, 3.796e-6, 7.011e-6
0.205, 3.685e-6, 7.048e-6
0.200, 3.604e-6, 7.084e-6
0.195, 3.514e-6, 7.119e-6
0.190, 3.434e-6, 7.153e-6
0.185, 3.347e-6, 7.187e-6
0.180, 3.277e-6, 7.220e-6
0.175, 3.203e-6, 7.252e-6
0.170, 3.137e-6, 7.283e-6
0.165, 3.066e-6, 7.314e-6
0.160, 3.001e-6, 7.344e-6
0.155, 2.943e-6, 7.373e-6
0.150, 2.892e-6, 7.402e-6
0.145, 2.834e-6, 7.430e-6
0.140, 2.791e-6, 7.458e-6
0.135, 2.743e-6, 7.486e-6
0.130, 2.707e-6, 7.513e-6
0.125, 2.662e-6, 7.539e-6
0.120, 2.636e-6, 7.566e-6
0.115, 2.597e-6, 7.592e-6
0.110, 2.573e-6, 7.617e-6
0.105, 2.544e-6, 7.643e-6
0.100, 2.527e-6, 7.668e-6
0.095, 2.497e-6, 7.693e-6
0.090, 2.489e-6, 7.718e-6
0.085, 2.466e-6, 7.743e-6
0.080, 2.461e-6, 7.767e-6
0.075, 2.448e-6, 7.792e-6
0.070, 2.444e-6, 7.816e-6
0.065, 2.439e-6, 7.841e-6
0.060, 2.450e-6, 7.865e-6
0.055, 2.448e-6, 7.890e-6
0.050, 2.474e-6, 7.914e-6
0.045, 2.483e-6, 7.939e-6
0.040, 2.518e-6, 7.964e-6
0.035, 2.539e-6, 7.990e-6
0.030, 2.588e-6, 8.016e-6
0.025, 2.622e-6, 8.042e-6
0.020, 2.687e-6, 8.069e-6
0.015, 2.746e-6, 8.096e-6
0.010, 2.835e-6, 8.124e-6
0.005, 2.907e-6, 8.154e-6
0.000, 3.014e-6, 8.184e-6
-0.005, 3.137e-6, 8.215e-6
-0.010, 3.303e-6, 8.248e-6
-0.015, 3.457e-6, 8.283e-6
-0.020, 3.673e-6, 8.319e-6
-0.025, 3.919e-6, 8.359e-6
-0.030, 4.222e-6, 8.401e-6
-0.035, 4.547e-6, 8.446e-6
-0.040, 4.942e-6, 8.496e-6
-0.045, 5.364e-6, 8.549e-6
-0.050, 5.852e-6, 8.608e-6
-0.055, 6.299e-6, 8.671e-6
-0.060, 6.726e-6, 8.738e-6
-0.065, 7.102e-6, 8.809e-6
-0.070, 7.411e-6, 8.883e-6
-0.075, 7.601e-6, 8.959e-6
-0.080, 7.759e-6, 9.037e-6
-0.085, 7.800e-6, 9.115e-6
-0.090, 7.773e-6, 9.193e-6
-0.095, 7.746e-6, 9.270e-6
-0.100, 7.720e-6, 9.347e-6
-0.105, 7.649e-6, 9.424e-6
-0.110, 7.569e-6, 9.499e-6
-0.115, 7.509e-6, 9.575e-6
-0.120, 7.469e-6, 9.649e-6
-0.125, 7.451e-6, 9.724e-6
-0.130, 7.424e-6, 9.798e-6
-0.135, 7.428e-6, 9.872e-6
-0.140, 7.476e-6, 9.947e-6
-0.145, 7.532e-6, 1.002e-5
-0.150, 7.637e-6, 1.010e-5
-0.155, 7.760e-6, 1.018e-5
-0.160, 7.893e-6, 1.026e-5
-0.165, 8.078e-6, 1.034e-5
-0.170, 8.301e-6, 1.042e-5
-0.175, 8.576e-6, 1.050e-5
-0.180, 8.875e-6, 1.059e-5
-0.185, 9.240e-6, 1.069e-5
-0.190, 9.650e-6, 1.078e-5
-0.195, 1.009e-5, 1.088e-5
-0.200, 1.050e-5, 1.099e-5
-0.205, 1.083e-5, 1.110e-5
-0.210, 1.128e-5, 1.121e-5
-0.215, 1.168e-5, 1.133e-5
-0.220, 1.199e-5, 1.145e-5
-0.225, 1.230e-5, 1.157e-5
-0.230, 1.253e-5, 1.169e-5
-0.235, 1.279e-5, 1.182e-5
-0.240, 1.292e-5, 1.195e-5
-0.245, 1.300e-5, 1.208e-5
-0.250, 1.304e-5, 1.221e-5
-0.255, 1.311e-5, 1.234e-5
-0.260, 1.306e-5, 1.247e-5
-0.265, 1.302e-5, 1.260e-5
-0.270, 1.297e-5, 1.273e-5
-0.275, 1.296e-5, 1.286e-5
-0.280, 1.293e-5, 1.299e-5
-0.285, 1.296e-5, 1.312e-5
-0.290, 8.242e-6, 1.320e-5

Segment 2:
-0.285, -6.576e-7, 1.320e-5
-0.280, -2.500e-6, 1.317e-5
-0.275, -3.584e-6, 1.314e-5
-0.270, -4.353e-6, 1.309e-5
-0.265, -5.026e-6, 1.304e-5
-0.260, -5.571e-6, 1.299e-5
-0.255, -6.068e-6, 1.293e-5
-0.250, -6.435e-6, 1.286e-5
-0.245, -6.771e-6, 1.279e-5
-0.240, -7.070e-6, 1.272e-5
-0.235, -7.277e-6, 1.265e-5
-0.230, -7.408e-6, 1.258e-5
-0.225, -7.487e-6, 1.250e-5
-0.220, -7.515e-6, 1.243e-5
-0.215, -7.461e-6, 1.235e-5
-0.210, -7.394e-6, 1.228e-5
-0.205, -7.225e-6, 1.221e-5
-0.200, -7.247e-6, 1.213e-5
-0.195, -7.149e-6, 1.206e-5
-0.190, -6.972e-6, 1.199e-5
-0.185, -6.767e-6, 1.192e-5
-0.180, -6.525e-6, 1.186e-5
-0.175, -6.259e-6, 1.180e-5
-0.170, -6.037e-6, 1.174e-5
