Nov. 9, 2023   13:14:01
Cyclic Voltammetry
File: c:\users\pku\desktop\tyq\02v.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.3
Init P/N = N
Scan Rate (V/s) = 0.2
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = 0.413V
ip = 6.166e-6A
Ah = 2.356e-6C

Ep = -0.075V
ip = 2.510e-6A
Ah = 5.209e-7C

Segment 2:
Ep = -0.067V
ip = -1.039e-6A
Ah = -1.305e-7C

Segment 3:
Ep = 0.418V
ip = 4.318e-6A
Ah = 1.836e-6C

Ep = -0.074V
ip = 2.461e-6A
Ah = 4.951e-7C

Segment 4:
Ep = -0.060V
ip = -1.093e-6A
Ah = -1.726e-7C

Segment 5:
Ep = 0.419V
ip = 4.348e-6A
Ah = 1.811e-6C

Ep = -0.073V
ip = 2.543e-6A
Ah = 5.014e-7C

Segment 6:
Ep = -0.065V
ip = -1.256e-6A
Ah = -1.848e-7C

Potential/V, Current/A, Charge/C

Segment 1:
0.649, 1.934e-7, 9.671e-10
0.648, 1.931e-7, 1.933e-9
0.647, 1.970e-7, 2.918e-9
0.646, 2.230e-7, 4.033e-9
0.645, 2.282e-7, 5.174e-9
0.644, 2.217e-7, 6.282e-9
0.643, 2.206e-7, 7.385e-9
0.642, 2.468e-7, 8.619e-9
0.641, 2.516e-7, 9.877e-9
0.640, 2.412e-7, 1.108e-8
0.639, 2.426e-7, 1.230e-8
0.638, 2.658e-7, 1.363e-8
0.637, 2.714e-7, 1.498e-8
0.636, 2.594e-7, 1.628e-8
0.635, 2.644e-7, 1.760e-8
0.634, 2.846e-7, 1.902e-8
0.633, 2.827e-7, 2.044e-8
0.632, 2.804e-7, 2.184e-8
0.631, 2.735e-7, 2.321e-8
0.630, 3.018e-7, 2.472e-8
0.629, 3.026e-7, 2.623e-8
0.628, 2.930e-7, 2.769e-8
0.627, 2.889e-7, 2.914e-8
0.626, 3.132e-7, 3.070e-8
0.625, 3.150e-7, 3.228e-8
0.624, 3.068e-7, 3.381e-8
0.623, 3.059e-7, 3.534e-8
0.622, 3.274e-7, 3.698e-8
0.621, 3.311e-7, 3.863e-8
0.620, 3.205e-7, 4.024e-8
0.619, 3.223e-7, 4.185e-8
0.618, 3.446e-7, 4.357e-8
0.617, 3.527e-7, 4.534e-8
0.616, 3.444e-7, 4.706e-8
0.615, 3.371e-7, 4.874e-8
0.614, 3.554e-7, 5.052e-8
0.613, 3.681e-7, 5.236e-8
0.612, 3.592e-7, 5.416e-8
0.611, 3.612e-7, 5.596e-8
0.610, 3.853e-7, 5.789e-8
0.609, 3.905e-7, 5.984e-8
0.608, 3.786e-7, 6.174e-8
0.607, 3.774e-7, 6.362e-8
0.606, 4.094e-7, 6.567e-8
0.605, 4.126e-7, 6.773e-8
0.604, 4.027e-7, 6.975e-8
0.603, 4.058e-7, 7.177e-8
0.602, 4.290e-7, 7.392e-8
0.601, 4.376e-7, 7.611e-8
0.600, 4.262e-7, 7.824e-8
0.599, 4.262e-7, 8.037e-8
0.598, 4.580e-7, 8.266e-8
0.597, 4.621e-7, 8.497e-8
0.596, 4.537e-7, 8.724e-8
0.595, 4.569e-7, 8.952e-8
0.594, 4.841e-7, 9.194e-8
0.593, 4.944e-7, 9.442e-8
0.592, 4.917e-7, 9.687e-8
0.591, 4.881e-7, 9.931e-8
0.590, 5.168e-7, 1.019e-7
0.589, 5.236e-7, 1.045e-7
0.588, 5.224e-7, 1.071e-7
0.587, 5.293e-7, 1.098e-7
0.586, 5.543e-7, 1.125e-7
0.585, 5.695e-7, 1.154e-7
0.584, 5.660e-7, 1.182e-7
0.583, 5.654e-7, 1.211e-7
0.582, 6.014e-7, 1.241e-7
0.581, 6.134e-7, 1.271e-7
0.580, 6.085e-7, 1.302e-7
0.579, 6.116e-7, 1.332e-7
0.578, 6.503e-7, 1.365e-7
0.577, 6.614e-7, 1.398e-7
0.576, 6.613e-7, 1.431e-7
0.575, 6.683e-7, 1.464e-7
0.574, 7.011e-7, 1.499e-7
0.573, 7.156e-7, 1.535e-7
0.572, 7.143e-7, 1.571e-7
0.571, 7.263e-7, 1.607e-7
0.570, 7.667e-7, 1.646e-7
0.569, 7.812e-7, 1.685e-7
0.568, 7.849e-7, 1.724e-7
0.567, 7.872e-7, 1.763e-7
0.566, 8.299e-7, 1.805e-7
0.565, 8.524e-7, 1.847e-7
0.564, 8.508e-7, 1.890e-7
0.563, 8.707e-7, 1.933e-7
0.562, 9.002e-7, 1.978e-7
0.561, 9.244e-7, 2.025e-7
0.560, 9.250e-7, 2.071e-7
0.559, 9.342e-7, 2.118e-7
0.558, 9.884e-7, 2.167e-7
0.557, 1.007e-6, 2.217e-7
0.556, 1.011e-6, 2.268e-7
0.555, 1.027e-6, 2.319e-7
0.554, 1.071e-6, 2.373e-7
0.553, 1.091e-6, 2.427e-7
0.552, 1.105e-6, 2.483e-7
0.551, 1.113e-6, 2.538e-7
0.550, 1.170e-6, 2.597e-7
0.549, 1.191e-6, 2.656e-7
0.548, 1.201e-6, 2.716e-7
0.547, 1.221e-6, 2.777e-7
0.546, 1.267e-6, 2.841e-7
0.545, 1.295e-6, 2.905e-7
0.544, 1.307e-6, 2.971e-7
0.543, 1.322e-6, 3.037e-7
0.542, 1.378e-6, 3.106e-7
0.541, 1.415e-6, 3.177e-7
0.540, 1.428e-6, 3.248e-7
0.539, 1.453e-6, 3.321e-7
0.538, 1.510e-6, 3.396e-7
0.537, 1.548e-6, 3.473e-7
0.536, 1.564e-6, 3.552e-7
0.535, 1.583e-6, 3.631e-7
0.534, 1.641e-6, 3.713e-7
0.533, 1.681e-6, 3.797e-7
0.532, 1.689e-6, 3.881e-7
0.531, 1.722e-6, 3.967e-7
0.530, 1.777e-6, 4.056e-7
0.529, 1.812e-6, 4.147e-7
0.528, 1.837e-6, 4.239e-7
0.527, 1.857e-6, 4.332e-7
0.526, 1.919e-6, 4.428e-7
0.525, 1.956e-6, 4.525e-7
0.524, 1.975e-6, 4.624e-7
0.523, 2.011e-6, 4.725e-7
0.522, 2.072e-6, 4.828e-7
0.521, 2.111e-6, 4.934e-7
0.520, 2.137e-6, 5.041e-7
0.519, 2.168e-6, 5.149e-7
0.518, 2.231e-6, 5.261e-7
0.517, 2.275e-6, 5.374e-7
0.516, 2.303e-6, 5.490e-7
0.515, 2.333e-6, 5.606e-7
0.514, 2.404e-6, 5.727e-7
0.513, 2.451e-6, 5.849e-7
0.512, 2.488e-6, 5.973e-7
0.511, 2.514e-6, 6.099e-7
0.510, 2.582e-6, 6.228e-7
0.509, 2.638e-6, 6.360e-7
0.508, 2.662e-6, 6.493e-7
0.507, 2.698e-6, 6.628e-7
0.506, 2.768e-6, 6.767e-7
0.505, 2.827e-6, 6.908e-7
0.504, 2.856e-6, 7.051e-7
0.503, 2.890e-6, 7.195e-7
0.502, 2.974e-6, 7.344e-7
0.501, 3.027e-6, 7.495e-7
0.500, 3.063e-6, 7.648e-7
0.499, 3.103e-6, 7.804e-7
0.498, 3.180e-6, 7.963e-7
0.497, 3.236e-6, 8.124e-7
0.496, 3.273e-6, 8.288e-7
0.495, 3.308e-6, 8.453e-7
0.494, 3.399e-6, 8.623e-7
0.493, 3.452e-6, 8.796e-7
0.492, 3.492e-6, 8.970e-7
0.491, 3.538e-6, 9.147e-7
0.490, 3.608e-6, 9.328e-7
0.489, 3.677e-6, 9.512e-7
0.488, 3.723e-6, 9.698e-7
0.487, 3.765e-6, 9.886e-7
0.486, 3.844e-6, 1.008e-6
0.485, 3.913e-6, 1.027e-6
0.484, 3.953e-6, 1.047e-6
0.483, 3.999e-6, 1.067e-6
0.482, 4.084e-6, 1.088e-6
0.481, 4.157e-6, 1.108e-6
0.480, 4.198e-6, 1.129e-6
0.479, 4.241e-6, 1.151e-6
0.478, 4.328e-6, 1.172e-6
0.477, 4.399e-6, 1.194e-6
0.476, 4.443e-6, 1.216e-6
0.475, 4.493e-6, 1.239e-6
0.474, 4.590e-6, 1.262e-6
0.473, 4.671e-6, 1.285e-6
0.472, 4.727e-6, 1.309e-6
0.471, 4.772e-6, 1.333e-6
0.470, 4.851e-6, 1.357e-6
0.469, 4.931e-6, 1.382e-6
0.468, 4.977e-6, 1.406e-6
0.467, 5.023e-6, 1.432e-6
0.466, 5.106e-6, 1.457e-6
0.465, 5.183e-6, 1.483e-6
0.464, 5.232e-6, 1.509e-6
0.463, 5.278e-6, 1.536e-6
0.462, 5.365e-6, 1.562e-6
0.461, 5.448e-6, 1.590e-6
0.460, 5.494e-6, 1.617e-6
0.459, 5.546e-6, 1.645e-6
0.458, 5.622e-6, 1.673e-6
0.457, 5.697e-6, 1.701e-6
0.456, 5.748e-6, 1.730e-6
0.455, 5.787e-6, 1.759e-6
0.454, 5.874e-6, 1.788e-6
0.453, 5.948e-6, 1.818e-6
0.452, 5.992e-6, 1.848e-6
0.451, 6.034e-6, 1.878e-6
0.450, 6.125e-6, 1.909e-6
0.449, 6.201e-6, 1.940e-6
0.448, 6.245e-6, 1.971e-6
0.447, 6.280e-6, 2.003e-6
0.446, 6.365e-6, 2.034e-6
0.445, 6.427e-6, 2.067e-6
0.444, 6.460e-6, 2.099e-6
0.443, 6.500e-6, 2.131e-6
0.442, 6.567e-6, 2.164e-6
0.441, 6.634e-6, 2.197e-6
0.440, 6.674e-6, 2.231e-6
0.439, 6.704e-6, 2.264e-6
0.438, 6.770e-6, 2.298e-6
0.437, 6.831e-6, 2.332e-6
0.436, 6.854e-6, 2.367e-6
