Nov. 9, 2023   13:08:31
Cyclic Voltammetry
File: c:\users\pku\desktop\tyq\05v.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.3
Init P/N = N
Scan Rate (V/s) = 0.5
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = 0.404V
ip = 1.269e-5A
Ah = 2.078e-6C

Ep = -0.076V
ip = 5.951e-6A
Ah = 4.977e-7C

Segment 2:

Segment 3:
Ep = 0.406V
ip = 8.725e-6A
Ah = 1.530e-6C

Ep = -0.075V
ip = 5.936e-6A
Ah = 4.803e-7C

Segment 4:
Ep = -0.059V
ip = -2.750e-6A
Ah = -1.965e-7C

Segment 5:
Ep = 0.404V
ip = 8.835e-6A
Ah = 1.605e-6C

Ep = -0.077V
ip = 6.047e-6A
Ah = 5.199e-7C

Segment 6:

Potential/V, Current/A, Charge/C

Segment 1:
0.649, 2.814e-7, 5.629e-10
0.648, 5.015e-7, 1.566e-9
0.647, 5.352e-7, 2.636e-9
0.646, 5.441e-7, 3.725e-9
0.645, 5.802e-7, 4.885e-9
0.644, 5.806e-7, 6.046e-9
0.643, 5.796e-7, 7.205e-9
0.642, 5.857e-7, 8.377e-9
0.641, 6.064e-7, 9.590e-9
0.640, 6.139e-7, 1.082e-8
0.639, 6.287e-7, 1.207e-8
0.638, 6.566e-7, 1.339e-8
0.637, 6.731e-7, 1.473e-8
0.636, 6.569e-7, 1.605e-8
0.635, 6.769e-7, 1.740e-8
0.634, 6.827e-7, 1.877e-8
0.633, 6.700e-7, 2.011e-8
0.632, 6.786e-7, 2.146e-8
0.631, 6.961e-7, 2.286e-8
0.630, 7.051e-7, 2.427e-8
0.629, 7.195e-7, 2.571e-8
0.628, 7.508e-7, 2.721e-8
0.627, 7.494e-7, 2.871e-8
0.626, 7.532e-7, 3.021e-8
0.625, 7.676e-7, 3.175e-8
0.624, 7.652e-7, 3.328e-8
0.623, 7.659e-7, 3.481e-8
0.622, 7.721e-7, 3.635e-8
0.621, 7.845e-7, 3.792e-8
0.620, 7.976e-7, 3.952e-8
0.619, 8.051e-7, 4.113e-8
0.618, 8.488e-7, 4.283e-8
0.617, 8.498e-7, 4.453e-8
0.616, 8.447e-7, 4.622e-8
0.615, 8.684e-7, 4.795e-8
0.614, 8.371e-7, 4.963e-8
0.613, 8.430e-7, 5.131e-8
0.612, 8.715e-7, 5.306e-8
0.611, 8.815e-7, 5.482e-8
0.610, 9.038e-7, 5.663e-8
0.609, 9.303e-7, 5.849e-8
0.608, 9.609e-7, 6.041e-8
0.607, 9.702e-7, 6.235e-8
0.606, 9.740e-7, 6.430e-8
0.605, 9.877e-7, 6.627e-8
0.604, 9.912e-7, 6.825e-8
0.603, 9.922e-7, 7.024e-8
0.602, 9.977e-7, 7.223e-8
0.601, 1.025e-6, 7.428e-8
0.600, 1.044e-6, 7.637e-8
0.599, 1.076e-6, 7.853e-8
0.598, 1.099e-6, 8.072e-8
0.597, 1.116e-6, 8.296e-8
0.596, 1.126e-6, 8.521e-8
0.595, 1.138e-6, 8.748e-8
0.594, 1.165e-6, 8.981e-8
0.593, 1.166e-6, 9.215e-8
0.592, 1.172e-6, 9.449e-8
0.591, 1.201e-6, 9.689e-8
0.590, 1.221e-6, 9.933e-8
0.589, 1.248e-6, 1.018e-7
0.588, 1.288e-6, 1.044e-7
0.587, 1.311e-6, 1.070e-7
0.586, 1.331e-6, 1.097e-7
0.585, 1.364e-6, 1.124e-7
0.584, 1.369e-6, 1.152e-7
0.583, 1.386e-6, 1.179e-7
0.582, 1.390e-6, 1.207e-7
0.581, 1.433e-6, 1.236e-7
0.580, 1.495e-6, 1.266e-7
0.579, 1.516e-6, 1.296e-7
0.578, 1.568e-6, 1.327e-7
0.577, 1.615e-6, 1.360e-7
0.576, 1.607e-6, 1.392e-7
0.575, 1.649e-6, 1.425e-7
0.574, 1.679e-6, 1.458e-7
0.573, 1.681e-6, 1.492e-7
0.572, 1.715e-6, 1.526e-7
0.571, 1.754e-6, 1.561e-7
0.570, 1.805e-6, 1.597e-7
0.569, 1.846e-6, 1.634e-7
0.568, 1.898e-6, 1.672e-7
0.567, 1.950e-6, 1.711e-7
0.566, 1.959e-6, 1.750e-7
0.565, 2.008e-6, 1.791e-7
0.564, 2.049e-6, 1.832e-7
0.563, 2.068e-6, 1.873e-7
0.562, 2.103e-6, 1.915e-7
0.561, 2.149e-6, 1.958e-7
0.560, 2.197e-6, 2.002e-7
0.559, 2.248e-6, 2.047e-7
0.558, 2.315e-6, 2.093e-7
0.557, 2.362e-6, 2.140e-7
0.556, 2.394e-6, 2.188e-7
0.555, 2.447e-6, 2.237e-7
0.554, 2.492e-6, 2.287e-7
0.553, 2.532e-6, 2.338e-7
0.552, 2.564e-6, 2.389e-7
0.551, 2.626e-6, 2.442e-7
0.550, 2.670e-6, 2.495e-7
0.549, 2.732e-6, 2.550e-7
0.548, 2.820e-6, 2.606e-7
0.547, 2.877e-6, 2.664e-7
0.546, 2.910e-6, 2.722e-7
0.545, 2.983e-6, 2.781e-7
0.544, 3.026e-6, 2.842e-7
0.543, 3.065e-6, 2.903e-7
0.542, 3.123e-6, 2.966e-7
0.541, 3.185e-6, 3.029e-7
0.540, 3.245e-6, 3.094e-7
0.539, 3.319e-6, 3.161e-7
0.538, 3.406e-6, 3.229e-7
0.537, 3.459e-6, 3.298e-7
0.536, 3.515e-6, 3.368e-7
0.535, 3.588e-6, 3.440e-7
0.534, 3.647e-6, 3.513e-7
0.533, 3.687e-6, 3.587e-7
0.532, 3.753e-6, 3.662e-7
0.531, 3.815e-6, 3.738e-7
0.530, 3.891e-6, 3.816e-7
0.529, 3.968e-6, 3.895e-7
0.528, 4.063e-6, 3.976e-7
0.527, 4.149e-6, 4.059e-7
0.526, 4.199e-6, 4.143e-7
0.525, 4.276e-6, 4.229e-7
0.524, 4.349e-6, 4.316e-7
0.523, 4.396e-6, 4.404e-7
0.522, 4.457e-6, 4.493e-7
0.521, 4.543e-6, 4.584e-7
0.520, 4.642e-6, 4.677e-7
0.519, 4.731e-6, 4.771e-7
0.518, 4.829e-6, 4.868e-7
0.517, 4.919e-6, 4.966e-7
0.516, 4.982e-6, 5.066e-7
0.515, 5.077e-6, 5.167e-7
0.514, 5.149e-6, 5.270e-7
0.513, 5.212e-6, 5.375e-7
0.512, 5.286e-6, 5.480e-7
0.511, 5.388e-6, 5.588e-7
0.510, 5.473e-6, 5.698e-7
0.509, 5.567e-6, 5.809e-7
0.508, 5.678e-6, 5.923e-7
0.507, 5.769e-6, 6.038e-7
0.506, 5.851e-6, 6.155e-7
0.505, 5.941e-6, 6.274e-7
0.504, 6.026e-6, 6.394e-7
0.503, 6.122e-6, 6.517e-7
0.502, 6.197e-6, 6.641e-7
0.501, 6.287e-6, 6.766e-7
0.500, 6.386e-6, 6.894e-7
0.499, 6.496e-6, 7.024e-7
0.498, 6.609e-6, 7.156e-7
0.497, 6.713e-6, 7.290e-7
0.496, 6.797e-6, 7.426e-7
0.495, 6.913e-6, 7.565e-7
0.494, 7.007e-6, 7.705e-7
0.493, 7.087e-6, 7.847e-7
0.492, 7.161e-6, 7.990e-7
0.491, 7.280e-6, 8.135e-7
0.490, 7.379e-6, 8.283e-7
0.489, 7.482e-6, 8.433e-7
0.488, 7.614e-6, 8.585e-7
0.487, 7.762e-6, 8.740e-7
0.486, 7.836e-6, 8.897e-7
0.485, 7.965e-6, 9.056e-7
0.484, 8.074e-6, 9.218e-7
0.483, 8.152e-6, 9.381e-7
0.482, 8.236e-6, 9.545e-7
0.481, 8.355e-6, 9.712e-7
0.480, 8.468e-6, 9.882e-7
0.479, 8.578e-6, 1.005e-6
0.478, 8.724e-6, 1.023e-6
0.477, 8.846e-6, 1.040e-6
0.476, 8.949e-6, 1.058e-6
0.475, 9.078e-6, 1.077e-6
0.474, 9.184e-6, 1.095e-6
0.473, 9.271e-6, 1.113e-6
0.472, 9.372e-6, 1.132e-6
0.471, 9.491e-6, 1.151e-6
0.470, 9.614e-6, 1.170e-6
0.469, 9.724e-6, 1.190e-6
0.468, 9.882e-6, 1.210e-6
0.467, 1.001e-5, 1.230e-6
0.466, 1.011e-5, 1.250e-6
0.465, 1.024e-5, 1.270e-6
0.464, 1.035e-5, 1.291e-6
0.463, 1.045e-5, 1.312e-6
0.462, 1.055e-5, 1.333e-6
0.461, 1.067e-5, 1.354e-6
0.460, 1.079e-5, 1.376e-6
0.459, 1.094e-5, 1.398e-6
0.458, 1.109e-5, 1.420e-6
0.457, 1.122e-5, 1.442e-6
0.456, 1.133e-5, 1.465e-6
0.455, 1.146e-5, 1.488e-6
0.454, 1.157e-5, 1.511e-6
0.453, 1.166e-5, 1.535e-6
0.452, 1.177e-5, 1.558e-6
0.451, 1.187e-5, 1.582e-6
0.450, 1.200e-5, 1.606e-6
0.449, 1.212e-5, 1.630e-6
0.448, 1.226e-5, 1.655e-6
0.447, 1.240e-5, 1.679e-6
0.446, 1.250e-5, 1.704e-6
0.445, 1.262e-5, 1.730e-6
0.444, 1.274e-5, 1.755e-6
0.443, 1.281e-5, 1.781e-6
0.442, 1.291e-5, 1.807e-6
0.441, 1.301e-5, 1.833e-6
0.440, 1.313e-5, 1.859e-6
0.439, 1.323e-5, 1.885e-6
0.438, 1.337e-5, 1.912e-6
0.437, 1.349e-5, 1.939e-6
0.436, 1.360e-5, 1.966e-6
0.435, 1.369e-5, 1.994e-6
0.434, 1.378e-5, 2.021e-6
0.433, 1.386e-5, 2.049e-6
