Nov. 9, 2023   13:16:15
Cyclic Voltammetry
File: c:\users\pku\desktop\tyq\another01v.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.3
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = 0.430V
ip = 2.466e-6A
Ah = 1.720e-6C

Ep = -0.076V
ip = 1.311e-6A
Ah = 5.611e-7C

Segment 2:
Ep = -0.065V
ip = -7.466e-7A
Ah = -2.778e-7C

Segment 3:
Ep = 0.426V
ip = 2.511e-6A
Ah = 2.017e-6C

Ep = -0.072V
ip = 1.235e-6A
Ah = 4.594e-7C

Segment 4:
Ep = -0.065V
ip = -6.934e-7A
Ah = -2.335e-7C

Segment 5:
Ep = 0.427V
ip = 2.529e-6A
Ah = 2.023e-6C

Ep = -0.076V
ip = 1.250e-6A
Ah = 5.105e-7C

Segment 6:
Ep = -0.065V
ip = -7.605e-7A
Ah = -2.847e-7C

Potential/V, Current/A, Charge/C

Segment 1:
0.649, 4.219e-8, 4.219e-10
0.648, 9.127e-8, 1.335e-9
0.647, 9.539e-8, 2.289e-9
0.646, 1.281e-7, 3.570e-9
0.645, 1.294e-7, 4.863e-9
0.644, 1.446e-7, 6.310e-9
0.643, 1.477e-7, 7.787e-9
0.642, 1.756e-7, 9.543e-9
0.641, 1.709e-7, 1.125e-8
0.640, 1.913e-7, 1.317e-8
0.639, 1.903e-7, 1.507e-8
0.638, 1.935e-7, 1.700e-8
0.637, 1.934e-7, 1.894e-8
0.636, 2.102e-7, 2.104e-8
0.635, 2.072e-7, 2.311e-8
0.634, 2.336e-7, 2.545e-8
0.633, 2.232e-7, 2.768e-8
0.632, 2.405e-7, 3.008e-8
0.631, 2.380e-7, 3.246e-8
0.630, 2.438e-7, 3.490e-8
0.629, 2.438e-7, 3.734e-8
0.628, 2.608e-7, 3.995e-8
0.627, 2.525e-7, 4.247e-8
0.626, 2.804e-7, 4.528e-8
0.625, 2.709e-7, 4.799e-8
0.624, 2.884e-7, 5.087e-8
0.623, 2.849e-7, 5.372e-8
0.622, 2.899e-7, 5.662e-8
0.621, 2.896e-7, 5.951e-8
0.620, 2.931e-7, 6.244e-8
0.619, 2.926e-7, 6.537e-8
0.618, 3.097e-7, 6.847e-8
0.617, 3.005e-7, 7.147e-8
0.616, 3.302e-7, 7.477e-8
0.615, 3.176e-7, 7.795e-8
0.614, 3.338e-7, 8.129e-8
0.613, 3.325e-7, 8.461e-8
0.612, 3.401e-7, 8.801e-8
0.611, 3.398e-7, 9.141e-8
0.610, 3.537e-7, 9.495e-8
0.609, 3.498e-7, 9.845e-8
0.608, 3.781e-7, 1.022e-7
0.607, 3.664e-7, 1.059e-7
0.606, 3.867e-7, 1.098e-7
0.605, 3.841e-7, 1.136e-7
0.604, 3.877e-7, 1.175e-7
0.603, 3.878e-7, 1.214e-7
0.602, 3.960e-7, 1.253e-7
0.601, 3.929e-7, 1.292e-7
0.600, 4.189e-7, 1.334e-7
0.599, 4.079e-7, 1.375e-7
0.598, 4.348e-7, 1.419e-7
0.597, 4.317e-7, 1.462e-7
0.596, 4.370e-7, 1.505e-7
0.595, 4.373e-7, 1.549e-7
0.594, 4.517e-7, 1.594e-7
0.593, 4.476e-7, 1.639e-7
0.592, 4.782e-7, 1.687e-7
0.591, 4.701e-7, 1.734e-7
0.590, 4.851e-7, 1.782e-7
0.589, 4.841e-7, 1.831e-7
0.588, 4.905e-7, 1.880e-7
0.587, 4.907e-7, 1.929e-7
0.586, 5.223e-7, 1.981e-7
0.585, 5.144e-7, 2.033e-7
0.584, 5.337e-7, 2.086e-7
0.583, 5.334e-7, 2.139e-7
0.582, 5.439e-7, 2.194e-7
0.581, 5.458e-7, 2.248e-7
0.580, 5.763e-7, 2.306e-7
0.579, 5.710e-7, 2.363e-7
0.578, 5.829e-7, 2.421e-7
0.577, 5.829e-7, 2.480e-7
0.576, 5.976e-7, 2.539e-7
0.575, 5.958e-7, 2.599e-7
0.574, 6.296e-7, 2.662e-7
0.573, 6.270e-7, 2.725e-7
0.572, 6.360e-7, 2.788e-7
0.571, 6.386e-7, 2.852e-7
0.570, 6.692e-7, 2.919e-7
0.569, 6.666e-7, 2.986e-7
0.568, 6.805e-7, 3.054e-7
0.567, 6.813e-7, 3.122e-7
0.566, 7.054e-7, 3.192e-7
0.565, 7.054e-7, 3.263e-7
0.564, 7.292e-7, 3.336e-7
0.563, 7.318e-7, 3.409e-7
0.562, 7.617e-7, 3.485e-7
0.561, 7.602e-7, 3.561e-7
0.560, 7.781e-7, 3.639e-7
0.559, 7.788e-7, 3.717e-7
0.558, 8.076e-7, 3.798e-7
0.557, 8.036e-7, 3.878e-7
0.556, 8.270e-7, 3.961e-7
0.555, 8.295e-7, 4.044e-7
0.554, 8.638e-7, 4.130e-7
0.553, 8.626e-7, 4.216e-7
0.552, 8.767e-7, 4.304e-7
0.551, 8.804e-7, 4.392e-7
0.550, 9.185e-7, 4.484e-7
0.549, 9.203e-7, 4.576e-7
0.548, 9.427e-7, 4.670e-7
0.547, 9.462e-7, 4.765e-7
0.546, 9.734e-7, 4.862e-7
0.545, 9.758e-7, 4.960e-7
0.544, 1.016e-6, 5.061e-7
0.543, 1.016e-6, 5.163e-7
0.542, 1.043e-6, 5.267e-7
0.541, 1.051e-6, 5.372e-7
0.540, 1.071e-6, 5.479e-7
0.539, 1.077e-6, 5.587e-7
0.538, 1.117e-6, 5.699e-7
0.537, 1.120e-6, 5.811e-7
0.536, 1.159e-6, 5.927e-7
0.535, 1.163e-6, 6.043e-7
0.534, 1.180e-6, 6.161e-7
0.533, 1.192e-6, 6.280e-7
0.532, 1.219e-6, 6.402e-7
0.531, 1.230e-6, 6.525e-7
0.530, 1.266e-6, 6.652e-7
0.529, 1.270e-6, 6.779e-7
0.528, 1.314e-6, 6.910e-7
0.527, 1.318e-6, 7.042e-7
0.526, 1.363e-6, 7.178e-7
0.525, 1.365e-6, 7.315e-7
0.524, 1.409e-6, 7.456e-7
0.523, 1.415e-6, 7.597e-7
0.522, 1.459e-6, 7.743e-7
0.521, 1.471e-6, 7.890e-7
0.520, 1.511e-6, 8.041e-7
0.519, 1.523e-6, 8.194e-7
0.518, 1.560e-6, 8.350e-7
0.517, 1.571e-6, 8.507e-7
0.516, 1.610e-6, 8.668e-7
0.515, 1.629e-6, 8.831e-7
0.514, 1.658e-6, 8.996e-7
0.513, 1.677e-6, 9.164e-7
0.512, 1.718e-6, 9.336e-7
0.511, 1.739e-6, 9.510e-7
0.510, 1.773e-6, 9.687e-7
0.509, 1.795e-6, 9.866e-7
0.508, 1.839e-6, 1.005e-6
0.507, 1.851e-6, 1.024e-6
0.506, 1.897e-6, 1.043e-6
0.505, 1.903e-6, 1.062e-6
0.504, 1.949e-6, 1.081e-6
0.503, 1.958e-6, 1.101e-6
0.502, 2.000e-6, 1.121e-6
0.501, 2.022e-6, 1.141e-6
0.500, 2.055e-6, 1.161e-6
0.499, 2.086e-6, 1.182e-6
0.498, 2.133e-6, 1.204e-6
0.497, 2.146e-6, 1.225e-6
0.496, 2.194e-6, 1.247e-6
0.495, 2.204e-6, 1.269e-6
0.494, 2.246e-6, 1.291e-6
0.493, 2.270e-6, 1.314e-6
0.492, 2.319e-6, 1.337e-6
0.491, 2.341e-6, 1.361e-6
0.490, 2.388e-6, 1.385e-6
0.489, 2.402e-6, 1.409e-6
0.488, 2.440e-6, 1.433e-6
0.487, 2.465e-6, 1.458e-6
0.486, 2.510e-6, 1.483e-6
0.485, 2.533e-6, 1.508e-6
0.484, 2.583e-6, 1.534e-6
0.483, 2.596e-6, 1.560e-6
0.482, 2.636e-6, 1.586e-6
0.481, 2.661e-6, 1.613e-6
0.480, 2.713e-6, 1.640e-6
0.479, 2.731e-6, 1.667e-6
0.478, 2.780e-6, 1.695e-6
0.477, 2.792e-6, 1.723e-6
0.476, 2.832e-6, 1.751e-6
0.475, 2.863e-6, 1.780e-6
0.474, 2.912e-6, 1.809e-6
0.473, 2.926e-6, 1.838e-6
0.472, 2.975e-6, 1.868e-6
0.471, 2.991e-6, 1.898e-6
0.470, 3.035e-6, 1.928e-6
0.469, 3.063e-6, 1.959e-6
0.468, 3.116e-6, 1.990e-6
0.467, 3.123e-6, 2.021e-6
0.466, 3.170e-6, 2.053e-6
0.465, 3.181e-6, 2.085e-6
0.464, 3.220e-6, 2.117e-6
0.463, 3.235e-6, 2.150e-6
0.462, 3.281e-6, 2.182e-6
0.461, 3.305e-6, 2.215e-6
0.460, 3.344e-6, 2.249e-6
0.459, 3.361e-6, 2.282e-6
0.458, 3.410e-6, 2.317e-6
0.457, 3.414e-6, 2.351e-6
0.456, 3.459e-6, 2.385e-6
0.455, 3.463e-6, 2.420e-6
0.454, 3.510e-6, 2.455e-6
0.453, 3.513e-6, 2.490e-6
0.452, 3.555e-6, 2.526e-6
0.451, 3.559e-6, 2.561e-6
0.450, 3.592e-6, 2.597e-6
0.449, 3.602e-6, 2.633e-6
0.448, 3.621e-6, 2.669e-6
0.447, 3.630e-6, 2.706e-6
0.446, 3.663e-6, 2.742e-6
0.445, 3.667e-6, 2.779e-6
0.444, 3.707e-6, 2.816e-6
0.443, 3.707e-6, 2.853e-6
0.442, 3.726e-6, 2.890e-6
0.441, 3.722e-6, 2.928e-6
0.440, 3.756e-6, 2.965e-6
0.439, 3.756e-6, 3.003e-6
0.438, 3.776e-6, 3.040e-6
0.437, 3.764e-6, 3.078e-6
0.436, 3.803e-6, 3.116e-6
