Nov. 9, 2023   14:40:29
Cyclic Voltammetry
File: c:\users\pku\desktop\tyq\meoh Í¨Æø²»½Á°è.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.3
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 8
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 2e-5

Segment 1:

Segment 2:
Ep = 0.507V
ip = -2.958e-6A
Ah = -2.264e-6C

Segment 3:
Ep = 0.460V
ip = 1.188e-6A
Ah = 9.286e-7C

Segment 4:
Ep = 0.502V
ip = -3.671e-6A
Ah = -2.736e-6C

Segment 5:
Ep = 0.460V
ip = 1.262e-6A
Ah = 9.971e-7C

Segment 6:
Ep = 0.499V
ip = -3.905e-6A
Ah = -2.659e-6C

Segment 7:
Ep = 0.461V
ip = 1.297e-6A
Ah = 1.007e-6C

Segment 8:
Ep = 0.499V
ip = -4.003e-6A
Ah = -2.674e-6C

Potential/V, Current/A, Charge/C

Segment 1:
0.649, -2.057e-6, -2.057e-8
0.648, -1.933e-6, -3.989e-8
0.647, -1.830e-6, -5.819e-8
0.646, -1.765e-6, -7.585e-8
0.645, -1.681e-6, -9.266e-8
0.644, -1.645e-6, -1.091e-7
0.643, -1.579e-6, -1.249e-7
0.642, -1.548e-6, -1.404e-7
0.641, -1.491e-6, -1.553e-7
0.640, -1.471e-6, -1.700e-7
0.639, -1.431e-6, -1.843e-7
0.638, -1.410e-6, -1.984e-7
0.637, -1.367e-6, -2.121e-7
0.636, -1.355e-6, -2.256e-7
0.635, -1.310e-6, -2.387e-7
0.634, -1.304e-6, -2.518e-7
0.633, -1.275e-6, -2.645e-7
0.632, -1.268e-6, -2.772e-7
0.631, -1.243e-6, -2.896e-7
0.630, -1.238e-6, -3.020e-7
0.629, -1.204e-6, -3.140e-7
0.628, -1.205e-6, -3.261e-7
0.627, -1.177e-6, -3.378e-7
0.626, -1.177e-6, -3.496e-7
0.625, -1.153e-6, -3.611e-7
0.624, -1.152e-6, -3.727e-7
0.623, -1.129e-6, -3.840e-7
0.622, -1.132e-6, -3.953e-7
0.621, -1.110e-6, -4.064e-7
0.620, -1.114e-6, -4.175e-7
0.619, -1.094e-6, -4.285e-7
0.618, -1.097e-6, -4.394e-7
0.617, -1.079e-6, -4.502e-7
0.616, -1.084e-6, -4.610e-7
0.615, -1.067e-6, -4.717e-7
0.614, -1.081e-6, -4.825e-7
0.613, -1.060e-6, -4.931e-7
0.612, -1.064e-6, -5.038e-7
0.611, -1.050e-6, -5.143e-7
0.610, -1.056e-6, -5.248e-7
0.609, -1.040e-6, -5.352e-7
0.608, -1.047e-6, -5.457e-7
0.607, -1.032e-6, -5.560e-7
0.606, -1.038e-6, -5.664e-7
0.605, -1.024e-6, -5.766e-7
0.604, -1.030e-6, -5.869e-7
0.603, -1.014e-6, -5.971e-7
0.602, -1.027e-6, -6.073e-7
0.601, -1.012e-6, -6.175e-7
0.600, -1.019e-6, -6.276e-7
0.599, -1.007e-6, -6.377e-7
0.598, -1.019e-6, -6.479e-7
0.597, -1.004e-6, -6.579e-7
0.596, -1.011e-6, -6.681e-7
0.595, -9.995e-7, -6.780e-7
0.594, -1.009e-6, -6.881e-7
0.593, -9.977e-7, -6.981e-7
0.592, -1.009e-6, -7.082e-7
0.591, -9.987e-7, -7.182e-7
0.590, -1.009e-6, -7.283e-7
0.589, -9.973e-7, -7.383e-7
0.588, -1.013e-6, -7.484e-7
0.587, -9.967e-7, -7.583e-7
0.586, -1.008e-6, -7.684e-7
0.585, -9.992e-7, -7.784e-7
0.584, -1.008e-6, -7.885e-7
0.583, -1.003e-6, -7.985e-7
0.582, -1.017e-6, -8.087e-7
0.581, -1.004e-6, -8.187e-7
0.580, -1.017e-6, -8.289e-7
0.579, -1.007e-6, -8.390e-7
0.578, -1.020e-6, -8.492e-7
0.577, -1.011e-6, -8.593e-7
0.576, -1.025e-6, -8.695e-7
0.575, -1.016e-6, -8.797e-7
0.574, -1.029e-6, -8.900e-7
0.573, -1.019e-6, -9.002e-7
0.572, -1.037e-6, -9.105e-7
0.571, -1.028e-6, -9.208e-7
0.570, -1.042e-6, -9.312e-7
0.569, -1.035e-6, -9.416e-7
0.568, -1.049e-6, -9.521e-7
0.567, -1.044e-6, -9.625e-7
0.566, -1.057e-6, -9.731e-7
0.565, -1.049e-6, -9.836e-7
0.564, -1.062e-6, -9.942e-7
0.563, -1.054e-6, -1.005e-6
0.562, -1.069e-6, -1.015e-6
0.561, -1.066e-6, -1.026e-6
0.560, -1.076e-6, -1.037e-6
0.559, -1.075e-6, -1.048e-6
0.558, -1.085e-6, -1.058e-6
0.557, -1.083e-6, -1.069e-6
0.556, -1.099e-6, -1.080e-6
0.555, -1.094e-6, -1.091e-6
0.554, -1.108e-6, -1.102e-6
0.553, -1.104e-6, -1.113e-6
0.552, -1.119e-6, -1.125e-6
0.551, -1.117e-6, -1.136e-6
0.550, -1.134e-6, -1.147e-6
0.549, -1.132e-6, -1.158e-6
0.548, -1.148e-6, -1.170e-6
0.547, -1.147e-6, -1.181e-6
0.546, -1.166e-6, -1.193e-6
0.545, -1.163e-6, -1.205e-6
0.544, -1.181e-6, -1.216e-6
0.543, -1.178e-6, -1.228e-6
0.542, -1.193e-6, -1.240e-6
0.541, -1.197e-6, -1.252e-6
0.540, -1.213e-6, -1.264e-6
0.539, -1.212e-6, -1.276e-6
0.538, -1.231e-6, -1.289e-6
0.537, -1.232e-6, -1.301e-6
0.536, -1.249e-6, -1.313e-6
0.535, -1.249e-6, -1.326e-6
0.534, -1.264e-6, -1.339e-6
0.533, -1.264e-6, -1.351e-6
0.532, -1.280e-6, -1.364e-6
0.531, -1.282e-6, -1.377e-6
0.530, -1.301e-6, -1.390e-6
0.529, -1.300e-6, -1.403e-6
0.528, -1.322e-6, -1.416e-6
0.527, -1.324e-6, -1.429e-6
0.526, -1.345e-6, -1.443e-6
0.525, -1.349e-6, -1.456e-6
0.524, -1.370e-6, -1.470e-6
0.523, -1.371e-6, -1.484e-6
0.522, -1.391e-6, -1.498e-6
0.521, -1.392e-6, -1.512e-6
0.520, -1.416e-6, -1.526e-6
0.519, -1.420e-6, -1.540e-6
0.518, -1.441e-6, -1.554e-6
0.517, -1.444e-6, -1.569e-6
0.516, -1.462e-6, -1.583e-6
0.515, -1.465e-6, -1.598e-6
0.514, -1.487e-6, -1.613e-6
0.513, -1.489e-6, -1.628e-6
0.512, -1.509e-6, -1.643e-6
0.511, -1.514e-6, -1.658e-6
0.510, -1.538e-6, -1.673e-6
0.509, -1.545e-6, -1.689e-6
0.508, -1.566e-6, -1.704e-6
0.507, -1.573e-6, -1.720e-6
0.506, -1.596e-6, -1.736e-6
0.505, -1.602e-6, -1.752e-6
0.504, -1.626e-6, -1.768e-6
0.503, -1.633e-6, -1.785e-6
0.502, -1.655e-6, -1.801e-6
0.501, -1.658e-6, -1.818e-6
0.500, -1.676e-6, -1.835e-6
0.499, -1.686e-6, -1.852e-6
0.498, -1.709e-6, -1.869e-6
0.497, -1.720e-6, -1.886e-6
0.496, -1.741e-6, -1.903e-6
0.495, -1.751e-6, -1.921e-6
0.494, -1.772e-6, -1.938e-6
0.493, -1.782e-6, -1.956e-6
0.492, -1.809e-6, -1.974e-6
0.491, -1.818e-6, -1.993e-6
0.490, -1.841e-6, -2.011e-6
0.489, -1.847e-6, -2.029e-6
0.488, -1.864e-6, -2.048e-6
0.487, -1.874e-6, -2.067e-6
0.486, -1.899e-6, -2.086e-6
0.485, -1.909e-6, -2.105e-6
0.484, -1.934e-6, -2.124e-6
0.483, -1.942e-6, -2.144e-6
0.482, -1.966e-6, -2.163e-6
0.481, -1.975e-6, -2.183e-6
0.480, -2.002e-6, -2.203e-6
0.479, -2.015e-6, -2.223e-6
0.478, -2.035e-6, -2.244e-6
0.477, -2.043e-6, -2.264e-6
0.476, -2.062e-6, -2.285e-6
0.475, -2.071e-6, -2.305e-6
0.474, -2.097e-6, -2.326e-6
0.473, -2.109e-6, -2.347e-6
0.472, -2.133e-6, -2.369e-6
0.471, -2.147e-6, -2.390e-6
0.470, -2.172e-6, -2.412e-6
0.469, -2.185e-6, -2.434e-6
0.468, -2.212e-6, -2.456e-6
0.467, -2.223e-6, -2.478e-6
0.466, -2.242e-6, -2.501e-6
0.465, -2.250e-6, -2.523e-6
0.464, -2.268e-6, -2.546e-6
0.463, -2.281e-6, -2.568e-6
0.462, -2.305e-6, -2.592e-6
0.461, -2.315e-6, -2.615e-6
0.460, -2.338e-6, -2.638e-6
0.459, -2.349e-6, -2.662e-6
0.458, -2.374e-6, -2.685e-6
0.457, -2.389e-6, -2.709e-6
0.456, -2.413e-6, -2.733e-6
0.455, -2.424e-6, -2.758e-6
0.454, -2.446e-6, -2.782e-6
0.453, -2.454e-6, -2.807e-6
0.452, -2.474e-6, -2.831e-6
0.451, -2.486e-6, -2.856e-6
0.450, -2.513e-6, -2.881e-6
0.449, -2.525e-6, -2.907e-6
0.448, -2.548e-6, -2.932e-6
0.447, -2.560e-6, -2.958e-6
0.446, -2.582e-6, -2.983e-6
0.445, -2.595e-6, -3.009e-6
0.444, -2.618e-6, -3.036e-6
0.443, -2.631e-6, -3.062e-6
0.442, -2.650e-6, -3.088e-6
0.441, -2.659e-6, -3.115e-6
0.440, -2.681e-6, -3.142e-6
0.439, -2.696e-6, -3.169e-6
0.438, -2.716e-6, -3.196e-6
0.437, -2.729e-6, -3.223e-6
0.436, -2.751e-6, -3.251e-6
0.435, -2.765e-6, -3.278e-6
0.434, -2.785e-6, -3.306e-6
