Nov. 9, 2023   13:47:53
Cyclic Voltammetry
File: c:\users\pku\desktop\tyq\oxy½öÍ¨Æø01v.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.3
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 8
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:
Ep = 0.376V
ip = 1.673e-5A
Ah = 1.181e-5C

Ep = -0.262V
ip = 1.349e-6A
Ah = 9.313e-7C

Segment 2:
Segment 3:
Ep = 0.377V
ip = 1.594e-5A
Ah = 1.127e-5C

Segment 4:

Segment 5:
Ep = 0.377V
ip = 1.617e-5A
Ah = 1.151e-5C

Ep = -0.077V
ip = 8.030e-7A
Ah = 2.359e-7C

Segment 6:
Segment 7:
Ep = 0.378V
ip = 1.617e-5A
Ah = 1.138e-5C

Ep = -0.090V
ip = 1.311e-6A
Ah = 6.804e-7C

Segment 8:
Potential/V, Current/A, Charge/C

Segment 1:
0.649, 3.924e-8, 3.924e-10
0.648, 8.175e-8, 1.210e-9
0.647, 1.011e-7, 2.221e-9
0.646, 1.203e-7, 3.424e-9
0.645, 1.311e-7, 4.736e-9
0.644, 1.437e-7, 6.172e-9
0.643, 1.517e-7, 7.689e-9
0.642, 1.638e-7, 9.327e-9
0.641, 1.696e-7, 1.102e-8
0.640, 1.768e-7, 1.279e-8
0.639, 1.815e-7, 1.461e-8
0.638, 1.934e-7, 1.654e-8
0.637, 1.971e-7, 1.851e-8
0.636, 2.057e-7, 2.057e-8
0.635, 2.118e-7, 2.268e-8
0.634, 2.187e-7, 2.487e-8
0.633, 2.205e-7, 2.708e-8
0.632, 2.300e-7, 2.938e-8
0.631, 2.318e-7, 3.170e-8
0.630, 2.412e-7, 3.411e-8
0.629, 2.432e-7, 3.654e-8
0.628, 2.493e-7, 3.903e-8
0.627, 2.521e-7, 4.155e-8
0.626, 2.607e-7, 4.416e-8
0.625, 2.626e-7, 4.679e-8
0.624, 2.691e-7, 4.948e-8
0.623, 2.712e-7, 5.219e-8
0.622, 2.784e-7, 5.497e-8
0.621, 2.819e-7, 5.779e-8
0.620, 2.894e-7, 6.069e-8
0.619, 2.916e-7, 6.360e-8
0.618, 2.980e-7, 6.658e-8
0.617, 3.025e-7, 6.961e-8
0.616, 3.094e-7, 7.270e-8
0.615, 3.102e-7, 7.580e-8
0.614, 3.130e-7, 7.893e-8
0.613, 3.191e-7, 8.213e-8
0.612, 3.276e-7, 8.540e-8
0.611, 3.309e-7, 8.871e-8
0.610, 3.397e-7, 9.211e-8
0.609, 3.411e-7, 9.552e-8
0.608, 3.480e-7, 9.900e-8
0.607, 3.509e-7, 1.025e-7
0.606, 3.596e-7, 1.061e-7
0.605, 3.606e-7, 1.097e-7
0.604, 3.694e-7, 1.134e-7
0.603, 3.731e-7, 1.171e-7
0.602, 3.812e-7, 1.209e-7
0.601, 3.815e-7, 1.248e-7
0.600, 3.946e-7, 1.287e-7
0.599, 3.955e-7, 1.327e-7
0.598, 4.079e-7, 1.367e-7
0.597, 4.070e-7, 1.408e-7
0.596, 4.179e-7, 1.450e-7
0.595, 4.205e-7, 1.492e-7
0.594, 4.298e-7, 1.535e-7
0.593, 4.320e-7, 1.578e-7
0.592, 4.428e-7, 1.622e-7
0.591, 4.450e-7, 1.667e-7
0.590, 4.583e-7, 1.713e-7
0.589, 4.579e-7, 1.759e-7
0.588, 4.678e-7, 1.805e-7
0.587, 4.733e-7, 1.853e-7
0.586, 4.858e-7, 1.901e-7
0.585, 4.868e-7, 1.950e-7
0.584, 5.016e-7, 2.000e-7
0.583, 5.020e-7, 2.050e-7
0.582, 5.153e-7, 2.102e-7
0.581, 5.199e-7, 2.154e-7
0.580, 5.332e-7, 2.207e-7
0.579, 5.355e-7, 2.261e-7
0.578, 5.468e-7, 2.315e-7
0.577, 5.509e-7, 2.370e-7
0.576, 5.643e-7, 2.427e-7
0.575, 5.680e-7, 2.484e-7
0.574, 5.841e-7, 2.542e-7
0.573, 5.870e-7, 2.601e-7
0.572, 6.020e-7, 2.661e-7
0.571, 6.068e-7, 2.722e-7
0.570, 6.200e-7, 2.784e-7
0.569, 6.251e-7, 2.846e-7
0.568, 6.405e-7, 2.910e-7
0.567, 6.447e-7, 2.975e-7
0.566, 6.613e-7, 3.041e-7
0.565, 6.666e-7, 3.107e-7
0.564, 6.829e-7, 3.176e-7
0.563, 6.933e-7, 3.245e-7
0.562, 7.084e-7, 3.316e-7
0.561, 7.162e-7, 3.388e-7
0.560, 7.402e-7, 3.462e-7
0.559, 7.446e-7, 3.536e-7
0.558, 7.652e-7, 3.613e-7
0.557, 7.697e-7, 3.689e-7
0.556, 7.893e-7, 3.768e-7
0.555, 7.979e-7, 3.848e-7
0.554, 8.203e-7, 3.930e-7
0.553, 8.266e-7, 4.013e-7
0.552, 8.479e-7, 4.098e-7
0.551, 8.570e-7, 4.183e-7
0.550, 8.769e-7, 4.271e-7
0.549, 8.833e-7, 4.359e-7
0.548, 9.072e-7, 4.450e-7
0.547, 9.164e-7, 4.542e-7
0.546, 9.376e-7, 4.636e-7
0.545, 9.494e-7, 4.730e-7
0.544, 9.733e-7, 4.828e-7
0.543, 9.829e-7, 4.926e-7
0.542, 1.008e-6, 5.027e-7
0.541, 1.018e-6, 5.129e-7
0.540, 1.045e-6, 5.233e-7
0.539, 1.057e-6, 5.339e-7
0.538, 1.082e-6, 5.447e-7
0.537, 1.095e-6, 5.557e-7
0.536, 1.124e-6, 5.669e-7
0.535, 1.134e-6, 5.782e-7
0.534, 1.166e-6, 5.899e-7
0.533, 1.180e-6, 6.017e-7
0.532, 1.213e-6, 6.138e-7
0.531, 1.225e-6, 6.261e-7
0.530, 1.257e-6, 6.387e-7
0.529, 1.273e-6, 6.514e-7
0.528, 1.309e-6, 6.645e-7
0.527, 1.323e-6, 6.777e-7
0.526, 1.359e-6, 6.913e-7
0.525, 1.375e-6, 7.050e-7
0.524, 1.413e-6, 7.192e-7
0.523, 1.431e-6, 7.335e-7
0.522, 1.467e-6, 7.482e-7
0.521, 1.490e-6, 7.631e-7
0.520, 1.532e-6, 7.784e-7
0.519, 1.551e-6, 7.939e-7
0.518, 1.594e-6, 8.098e-7
0.517, 1.619e-6, 8.260e-7
0.516, 1.661e-6, 8.426e-7
0.515, 1.688e-6, 8.595e-7
0.514, 1.731e-6, 8.768e-7
0.513, 1.758e-6, 8.944e-7
0.512, 1.807e-6, 9.125e-7
0.511, 1.836e-6, 9.308e-7
0.510, 1.884e-6, 9.497e-7
0.509, 1.913e-6, 9.688e-7
0.508, 1.967e-6, 9.885e-7
0.507, 1.998e-6, 1.008e-6
0.506, 2.051e-6, 1.029e-6
0.505, 2.086e-6, 1.050e-6
0.504, 2.143e-6, 1.071e-6
0.503, 2.179e-6, 1.093e-6
0.502, 2.238e-6, 1.115e-6
0.501, 2.282e-6, 1.138e-6
0.500, 2.350e-6, 1.162e-6
0.499, 2.392e-6, 1.186e-6
0.498, 2.457e-6, 1.210e-6
0.497, 2.502e-6, 1.235e-6
0.496, 2.570e-6, 1.261e-6
0.495, 2.617e-6, 1.287e-6
0.494, 2.689e-6, 1.314e-6
0.493, 2.740e-6, 1.341e-6
0.492, 2.815e-6, 1.370e-6
0.491, 2.871e-6, 1.398e-6
0.490, 2.950e-6, 1.428e-6
0.489, 3.007e-6, 1.458e-6
0.488, 3.100e-6, 1.489e-6
0.487, 3.163e-6, 1.520e-6
0.486, 3.248e-6, 1.553e-6
0.485, 3.313e-6, 1.586e-6
0.484, 3.406e-6, 1.620e-6
0.483, 3.476e-6, 1.655e-6
0.482, 3.573e-6, 1.691e-6
0.481, 3.648e-6, 1.727e-6
0.480, 3.748e-6, 1.765e-6
0.479, 3.827e-6, 1.803e-6
0.478, 3.944e-6, 1.842e-6
0.477, 4.026e-6, 1.883e-6
0.476, 4.138e-6, 1.924e-6
0.475, 4.230e-6, 1.966e-6
0.474, 4.346e-6, 2.010e-6
0.473, 4.440e-6, 2.054e-6
0.472, 4.565e-6, 2.100e-6
0.471, 4.665e-6, 2.146e-6
0.470, 4.796e-6, 2.194e-6
0.469, 4.900e-6, 2.243e-6
0.468, 5.037e-6, 2.294e-6
0.467, 5.148e-6, 2.345e-6
0.466, 5.291e-6, 2.398e-6
0.465, 5.411e-6, 2.452e-6
0.464, 5.565e-6, 2.508e-6
0.463, 5.686e-6, 2.565e-6
0.462, 5.844e-6, 2.623e-6
0.461, 5.972e-6, 2.683e-6
0.460, 6.137e-6, 2.744e-6
0.459, 6.278e-6, 2.807e-6
0.458, 6.444e-6, 2.871e-6
0.457, 6.587e-6, 2.937e-6
0.456, 6.758e-6, 3.005e-6
0.455, 6.905e-6, 3.074e-6
0.454, 7.096e-6, 3.145e-6
0.453, 7.249e-6, 3.217e-6
0.452, 7.434e-6, 3.292e-6
0.451, 7.594e-6, 3.368e-6
0.450, 7.786e-6, 3.446e-6
0.449, 7.952e-6, 3.525e-6
0.448, 8.148e-6, 3.607e-6
0.447, 8.315e-6, 3.690e-6
0.446, 8.520e-6, 3.775e-6
0.445, 8.699e-6, 3.862e-6
0.444, 8.905e-6, 3.951e-6
0.443, 9.084e-6, 4.042e-6
0.442, 9.294e-6, 4.135e-6
0.441, 9.479e-6, 4.230e-6
0.440, 9.693e-6, 4.326e-6
0.439, 9.874e-6, 4.425e-6
0.438, 1.010e-5, 4.526e-6
0.437, 1.029e-5, 4.629e-6
0.436, 1.050e-5, 4.734e-6
0.435, 1.069e-5, 4.841e-6
0.434, 1.091e-5, 4.950e-6
