Nov. 23, 2023   13:15:36
Cyclic Voltammetry
File: c:\users\pku\desktop\wzc\oxi\none.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.25
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 10
Sample Interval (V) = 0.002
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = 0.336V
ip = 1.251e-5A
Ah = 1.073e-5C

Segment 2:
Segment 3:
Ep = 0.348V
ip = 8.279e-6A
Ah = 6.718e-6C

Ep = -0.120V
ip = 6.814e-7A
Ah = 2.820e-7C

Segment 4:
Segment 5:
Ep = 0.352V
ip = 7.506e-6A
Ah = 6.301e-6C

Ep = -0.120V
ip = 7.731e-7A
Ah = 3.523e-7C

Segment 6:
Segment 7:
Ep = 0.360V
ip = 7.186e-6A
Ah = 5.719e-6C

Ep = -0.116V
ip = 8.306e-7A
Ah = 3.581e-7C

Segment 8:
Segment 9:
Ep = 0.364V
ip = 7.004e-6A
Ah = 5.531e-6C

Ep = -0.116V
ip = 8.970e-7A
Ah = 3.992e-7C

Segment 10:
Potential/V, Current/A, Charge/C

Segment 1:
0.648, 9.391e-8, 1.878e-9
0.646, 1.083e-7, 4.044e-9
0.644, 1.405e-7, 6.854e-9
0.642, 1.493e-7, 9.840e-9
0.640, 1.802e-7, 1.344e-8
0.638, 1.694e-7, 1.683e-8
0.636, 1.969e-7, 2.077e-8
0.634, 1.987e-7, 2.474e-8
0.632, 2.272e-7, 2.929e-8
0.630, 2.090e-7, 3.347e-8
0.628, 2.360e-7, 3.819e-8
0.626, 2.337e-7, 4.286e-8
0.624, 2.577e-7, 4.802e-8
0.622, 2.508e-7, 5.303e-8
0.620, 2.801e-7, 5.864e-8
0.618, 2.653e-7, 6.394e-8
0.616, 2.880e-7, 6.970e-8
0.614, 2.844e-7, 7.539e-8
0.612, 3.086e-7, 8.156e-8
0.610, 2.999e-7, 8.756e-8
0.608, 3.296e-7, 9.415e-8
0.606, 3.128e-7, 1.004e-7
0.604, 3.382e-7, 1.072e-7
0.602, 3.411e-7, 1.140e-7
0.600, 3.668e-7, 1.213e-7
0.598, 3.537e-7, 1.284e-7
0.596, 3.818e-7, 1.360e-7
0.594, 3.825e-7, 1.437e-7
0.592, 4.065e-7, 1.518e-7
0.590, 3.992e-7, 1.598e-7
0.588, 4.293e-7, 1.684e-7
0.586, 4.234e-7, 1.769e-7
0.584, 4.506e-7, 1.859e-7
0.582, 4.478e-7, 1.948e-7
0.580, 4.783e-7, 2.044e-7
0.578, 4.758e-7, 2.139e-7
0.576, 5.040e-7, 2.240e-7
0.574, 4.987e-7, 2.340e-7
0.572, 5.287e-7, 2.445e-7
0.570, 5.334e-7, 2.552e-7
0.568, 5.632e-7, 2.665e-7
0.566, 5.552e-7, 2.776e-7
0.564, 5.907e-7, 2.894e-7
0.562, 5.953e-7, 3.013e-7
0.560, 6.262e-7, 3.138e-7
0.558, 6.338e-7, 3.265e-7
0.556, 6.706e-7, 3.399e-7
0.554, 6.709e-7, 3.533e-7
0.552, 7.067e-7, 3.675e-7
0.550, 7.010e-7, 3.815e-7
0.548, 7.401e-7, 3.963e-7
0.546, 7.456e-7, 4.112e-7
0.544, 7.855e-7, 4.269e-7
0.542, 7.934e-7, 4.428e-7
0.540, 8.342e-7, 4.595e-7
0.538, 8.430e-7, 4.763e-7
0.536, 8.856e-7, 4.940e-7
0.534, 8.917e-7, 5.119e-7
0.532, 9.369e-7, 5.306e-7
0.530, 9.489e-7, 5.496e-7
0.528, 1.005e-6, 5.697e-7
0.526, 1.022e-6, 5.901e-7
0.524, 1.069e-6, 6.115e-7
0.522, 1.085e-6, 6.332e-7
0.520, 1.128e-6, 6.557e-7
0.518, 1.147e-6, 6.787e-7
0.516, 1.211e-6, 7.029e-7
0.514, 1.232e-6, 7.276e-7
0.512, 1.288e-6, 7.533e-7
0.510, 1.318e-6, 7.797e-7
0.508, 1.371e-6, 8.071e-7
0.506, 1.407e-6, 8.352e-7
0.504, 1.484e-6, 8.649e-7
0.502, 1.523e-6, 8.954e-7
0.500, 1.585e-6, 9.271e-7
0.498, 1.624e-6, 9.595e-7
0.496, 1.698e-6, 9.935e-7
0.494, 1.730e-6, 1.028e-6
0.492, 1.812e-6, 1.064e-6
0.490, 1.865e-6, 1.102e-6
0.488, 1.945e-6, 1.141e-6
0.486, 1.996e-6, 1.180e-6
0.484, 2.083e-6, 1.222e-6
0.482, 2.143e-6, 1.265e-6
0.480, 2.239e-6, 1.310e-6
0.478, 2.304e-6, 1.356e-6
0.476, 2.400e-6, 1.404e-6
0.474, 2.477e-6, 1.453e-6
0.472, 2.588e-6, 1.505e-6
0.470, 2.669e-6, 1.558e-6
0.468, 2.787e-6, 1.614e-6
0.466, 2.881e-6, 1.672e-6
0.464, 3.017e-6, 1.732e-6
0.462, 3.122e-6, 1.795e-6
0.460, 3.263e-6, 1.860e-6
0.458, 3.376e-6, 1.927e-6
0.456, 3.532e-6, 1.998e-6
0.454, 3.655e-6, 2.071e-6
0.452, 3.825e-6, 2.148e-6
0.450, 3.964e-6, 2.227e-6
0.448, 4.143e-6, 2.310e-6
0.446, 4.297e-6, 2.396e-6
0.444, 4.493e-6, 2.486e-6
0.442, 4.680e-6, 2.579e-6
0.440, 4.888e-6, 2.677e-6
0.438, 5.067e-6, 2.778e-6
0.436, 5.290e-6, 2.884e-6
0.434, 5.488e-6, 2.994e-6
0.432, 5.722e-6, 3.108e-6
0.430, 5.932e-6, 3.227e-6
0.428, 6.197e-6, 3.351e-6
0.426, 6.416e-6, 3.479e-6
0.424, 6.677e-6, 3.613e-6
0.422, 6.905e-6, 3.751e-6
0.420, 7.174e-6, 3.894e-6
0.418, 7.412e-6, 4.043e-6
0.416, 7.698e-6, 4.197e-6
0.414, 7.953e-6, 4.356e-6
0.412, 8.234e-6, 4.520e-6
0.410, 8.484e-6, 4.690e-6
0.408, 8.769e-6, 4.865e-6
0.406, 9.019e-6, 5.046e-6
0.404, 9.306e-6, 5.232e-6
0.402, 9.553e-6, 5.423e-6
0.400, 9.831e-6, 5.620e-6
0.398, 1.007e-5, 5.821e-6
0.396, 1.035e-5, 6.028e-6
0.394, 1.059e-5, 6.240e-6
0.392, 1.086e-5, 6.457e-6
0.390, 1.110e-5, 6.679e-6
0.388, 1.135e-5, 6.906e-6
0.386, 1.157e-5, 7.137e-6
0.384, 1.181e-5, 7.373e-6
0.382, 1.200e-5, 7.613e-6
0.380, 1.223e-5, 7.858e-6
0.378, 1.243e-5, 8.107e-6
0.376, 1.264e-5, 8.359e-6
0.374, 1.280e-5, 8.615e-6
0.372, 1.299e-5, 8.875e-6
0.370, 1.313e-5, 9.138e-6
0.368, 1.331e-5, 9.404e-6
0.366, 1.343e-5, 9.673e-6
0.364, 1.359e-5, 9.944e-6
0.362, 1.369e-5, 1.022e-5
0.360, 1.382e-5, 1.049e-5
0.358, 1.392e-5, 1.077e-5
0.356, 1.405e-5, 1.105e-5
0.354, 1.411e-5, 1.134e-5
0.352, 1.420e-5, 1.162e-5
0.350, 1.425e-5, 1.191e-5
0.348, 1.432e-5, 1.219e-5
0.346, 1.435e-5, 1.248e-5
0.344, 1.440e-5, 1.277e-5
0.342, 1.441e-5, 1.306e-5
0.340, 1.445e-5, 1.334e-5
0.338, 1.445e-5, 1.363e-5
0.336, 1.447e-5, 1.392e-5
0.334, 1.445e-5, 1.421e-5
0.332, 1.445e-5, 1.450e-5
0.330, 1.442e-5, 1.479e-5
0.328, 1.442e-5, 1.508e-5
0.326, 1.437e-5, 1.537e-5
0.324, 1.436e-5, 1.565e-5
0.322, 1.430e-5, 1.594e-5
0.320, 1.428e-5, 1.622e-5
0.318, 1.421e-5, 1.651e-5
0.316, 1.418e-5, 1.679e-5
0.314, 1.411e-5, 1.707e-5
0.312, 1.406e-5, 1.736e-5
0.310, 1.398e-5, 1.763e-5
0.308, 1.392e-5, 1.791e-5
0.306, 1.384e-5, 1.819e-5
0.304, 1.379e-5, 1.847e-5
0.302, 1.370e-5, 1.874e-5
0.300, 1.364e-5, 1.901e-5
0.298, 1.355e-5, 1.928e-5
0.296, 1.349e-5, 1.955e-5
0.294, 1.339e-5, 1.982e-5
0.292, 1.333e-5, 2.009e-5
0.290, 1.323e-5, 2.035e-5
0.288, 1.317e-5, 2.062e-5
0.286, 1.307e-5, 2.088e-5
0.284, 1.301e-5, 2.114e-5
0.282, 1.291e-5, 2.140e-5
0.280, 1.285e-5, 2.165e-5
0.278, 1.274e-5, 2.191e-5
0.276, 1.268e-5, 2.216e-5
0.274, 1.258e-5, 2.241e-5
0.272, 1.252e-5, 2.266e-5
0.270, 1.242e-5, 2.291e-5
0.268, 1.235e-5, 2.316e-5
0.266, 1.225e-5, 2.340e-5
0.264, 1.219e-5, 2.365e-5
0.262, 1.209e-5, 2.389e-5
0.260, 1.203e-5, 2.413e-5
0.258, 1.194e-5, 2.437e-5
0.256, 1.188e-5, 2.461e-5
0.254, 1.179e-5, 2.484e-5
0.252, 1.173e-5, 2.508e-5
0.250, 1.164e-5, 2.531e-5
0.248, 1.158e-5, 2.554e-5
0.246, 1.149e-5, 2.577e-5
0.244, 1.144e-5, 2.600e-5
0.242, 1.135e-5, 2.623e-5
0.240, 1.129e-5, 2.645e-5
0.238, 1.121e-5, 2.668e-5
0.236, 1.116e-5, 2.690e-5
0.234, 1.107e-5, 2.712e-5
0.232, 1.102e-5, 2.734e-5
0.230, 1.094e-5, 2.756e-5
0.228, 1.089e-5, 2.778e-5
0.226, 1.080e-5, 2.799e-5
