Nov. 23, 2023   12:22:34
Cyclic Voltammetry
File: c:\users\pku\desktop\wzc\blank2.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.3
Init P/N = N
Scan Rate (V/s) = 0.2
Segment = 5
Sample Interval (V) = 0.01
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = -0.120V
ip = 2.680e-6A
Ah = 8.442e-7C

Segment 2:

Segment 3:
Ep = 0.420V
ip = 2.572e-6A
Ah = 1.220e-6C

Ep = -0.180V
ip = 2.229e-6A
Ah = 1.307e-6C

Segment 4:

Segment 5:
Ep = 0.420V
ip = 2.904e-6A
Ah = 1.323e-6C

Ep = -0.170V
ip = 2.182e-6A
Ah = 1.285e-6C

Potential/V, Current/A, Charge/C

Segment 1:
0.640, 2.051e-7, 1.026e-8
0.630, 3.002e-7, 2.527e-8
0.620, 3.693e-7, 4.373e-8
0.610, 4.481e-7, 6.613e-8
0.600, 5.183e-7, 9.205e-8
0.590, 5.948e-7, 1.218e-7
0.580, 6.650e-7, 1.550e-7
0.570, 7.348e-7, 1.918e-7
0.560, 7.966e-7, 2.316e-7
0.550, 8.595e-7, 2.746e-7
0.540, 9.063e-7, 3.199e-7
0.530, 9.549e-7, 3.676e-7
0.520, 9.956e-7, 4.174e-7
0.510, 1.034e-6, 4.691e-7
0.500, 1.054e-6, 5.218e-7
0.490, 1.088e-6, 5.762e-7
0.480, 1.097e-6, 6.311e-7
0.470, 1.109e-6, 6.865e-7
0.460, 1.120e-6, 7.425e-7
0.450, 1.128e-6, 7.989e-7
0.440, 1.123e-6, 8.550e-7
0.430, 1.115e-6, 9.107e-7
0.420, 1.099e-6, 9.657e-7
0.410, 1.098e-6, 1.021e-6
0.400, 1.069e-6, 1.074e-6
0.390, 1.052e-6, 1.127e-6
0.380, 1.016e-6, 1.177e-6
0.370, 1.001e-6, 1.228e-6
0.360, 9.610e-7, 1.276e-6
0.350, 9.460e-7, 1.323e-6
0.340, 9.085e-7, 1.368e-6
0.330, 8.999e-7, 1.413e-6
0.320, 8.643e-7, 1.456e-6
0.310, 8.553e-7, 1.499e-6
0.300, 8.215e-7, 1.540e-6
0.290, 8.089e-7, 1.581e-6
0.280, 7.842e-7, 1.620e-6
0.270, 7.645e-7, 1.658e-6
0.260, 7.499e-7, 1.696e-6
0.250, 7.286e-7, 1.732e-6
0.240, 7.088e-7, 1.768e-6
0.230, 7.082e-7, 1.803e-6
0.220, 6.887e-7, 1.837e-6
0.210, 6.717e-7, 1.871e-6
0.200, 6.592e-7, 1.904e-6
0.190, 6.612e-7, 1.937e-6
0.180, 6.493e-7, 1.970e-6
0.170, 6.421e-7, 2.002e-6
0.160, 6.306e-7, 2.033e-6
0.150, 6.257e-7, 2.064e-6
0.140, 6.175e-7, 2.095e-6
0.130, 6.195e-7, 2.126e-6
0.120, 6.134e-7, 2.157e-6
0.110, 6.178e-7, 2.188e-6
0.100, 6.119e-7, 2.218e-6
0.090, 6.180e-7, 2.249e-6
0.080, 6.145e-7, 2.280e-6
0.070, 6.243e-7, 2.311e-6
0.060, 6.329e-7, 2.343e-6
0.050, 6.531e-7, 2.376e-6
0.040, 6.579e-7, 2.408e-6
0.030, 6.828e-7, 2.443e-6
0.020, 7.080e-7, 2.478e-6
0.010, 7.546e-7, 2.516e-6
0.000, 8.089e-7, 2.556e-6
-0.010, 8.844e-7, 2.600e-6
-0.020, 9.780e-7, 2.649e-6
-0.030, 1.104e-6, 2.704e-6
-0.040, 1.243e-6, 2.767e-6
-0.050, 1.433e-6, 2.838e-6
-0.060, 1.666e-6, 2.922e-6
-0.070, 1.944e-6, 3.019e-6
-0.080, 2.269e-6, 3.132e-6
-0.090, 2.629e-6, 3.264e-6
-0.100, 2.979e-6, 3.413e-6
-0.110, 3.226e-6, 3.574e-6
-0.120, 3.297e-6, 3.739e-6
-0.130, 3.197e-6, 3.899e-6
-0.140, 3.017e-6, 4.049e-6
-0.150, 2.887e-6, 4.194e-6
-0.160, 2.834e-6, 4.336e-6
-0.170, 2.873e-6, 4.479e-6
-0.180, 2.985e-6, 4.628e-6
-0.190, 3.183e-6, 4.788e-6
-0.200, 3.416e-6, 4.958e-6
-0.210, 3.734e-6, 5.145e-6
-0.220, 4.015e-6, 5.346e-6
-0.230, 4.234e-6, 5.557e-6
-0.240, 4.390e-6, 5.777e-6
-0.250, 4.472e-6, 6.001e-6
-0.260, 4.474e-6, 6.224e-6
-0.270, 4.432e-6, 6.446e-6
-0.280, 4.404e-6, 6.666e-6
-0.290, 4.479e-6, 6.890e-6
-0.300, 4.229e-7, 6.911e-6

Segment 2:
-0.290, -1.158e-6, 6.853e-6
-0.280, -1.685e-6, 6.769e-6
-0.270, -2.053e-6, 6.666e-6
-0.260, -2.342e-6, 6.549e-6
-0.250, -2.548e-6, 6.422e-6
-0.240, -2.682e-6, 6.288e-6
-0.230, -2.728e-6, 6.151e-6
-0.220, -2.707e-6, 6.016e-6
-0.210, -2.629e-6, 5.885e-6
-0.200, -2.544e-6, 5.757e-6
-0.190, -2.408e-6, 5.637e-6
-0.180, -2.288e-6, 5.523e-6
-0.170, -2.226e-6, 5.411e-6
-0.160, -2.212e-6, 5.301e-6
-0.150, -2.242e-6, 5.189e-6
-0.140, -2.312e-6, 5.073e-6
-0.130, -2.394e-6, 4.953e-6
-0.120, -2.486e-6, 4.829e-6
-0.110, -2.581e-6, 4.700e-6
-0.100, -2.663e-6, 4.567e-6
-0.090, -2.684e-6, 4.433e-6
-0.080, -2.602e-6, 4.303e-6
-0.070, -2.407e-6, 4.182e-6
-0.060, -2.117e-6, 4.076e-6
-0.050, -1.808e-6, 3.986e-6
-0.040, -1.517e-6, 3.910e-6
-0.030, -1.306e-6, 3.845e-6
-0.020, -1.136e-6, 3.788e-6
-0.010, -9.997e-7, 3.738e-6
-0.000, -8.928e-7, 3.693e-6
0.010, -8.032e-7, 3.653e-6
0.020, -7.314e-7, 3.617e-6
0.030, -6.755e-7, 3.583e-6
0.040, -6.345e-7, 3.551e-6
0.050, -6.046e-7, 3.521e-6
0.060, -5.747e-7, 3.492e-6
0.070, -5.547e-7, 3.464e-6
0.080, -5.375e-7, 3.437e-6
0.090, -5.245e-7, 3.411e-6
0.100, -5.131e-7, 3.386e-6
0.110, -4.918e-7, 3.361e-6
0.120, -4.793e-7, 3.337e-6
0.130, -4.653e-7, 3.314e-6
0.140, -4.539e-7, 3.291e-6
0.150, -4.396e-7, 3.269e-6
0.160, -4.313e-7, 3.248e-6
0.170, -4.212e-7, 3.226e-6
0.180, -4.129e-7, 3.206e-6
0.190, -3.990e-7, 3.186e-6
0.200, -3.896e-7, 3.166e-6
0.210, -3.831e-7, 3.147e-6
0.220, -3.778e-7, 3.128e-6
0.230, -3.692e-7, 3.110e-6
0.240, -3.643e-7, 3.092e-6
0.250, -3.550e-7, 3.074e-6
0.260, -3.510e-7, 3.056e-6
0.270, -3.451e-7, 3.039e-6
0.280, -3.430e-7, 3.022e-6
0.290, -3.407e-7, 3.005e-6
0.300, -3.402e-7, 2.988e-6
0.310, -3.390e-7, 2.971e-6
0.320, -3.391e-7, 2.954e-6
0.330, -3.395e-7, 2.937e-6
0.340, -3.406e-7, 2.920e-6
0.350, -3.420e-7, 2.903e-6
0.360, -3.464e-7, 2.886e-6
0.370, -3.521e-7, 2.868e-6
0.380, -3.637e-7, 2.850e-6
0.390, -3.743e-7, 2.831e-6
0.400, -3.890e-7, 2.812e-6
0.410, -4.030e-7, 2.791e-6
0.420, -4.256e-7, 2.770e-6
0.430, -4.443e-7, 2.748e-6
0.440, -4.710e-7, 2.724e-6
0.450, -5.000e-7, 2.699e-6
0.460, -5.412e-7, 2.672e-6
0.470, -5.881e-7, 2.643e-6
0.480, -6.519e-7, 2.610e-6
0.490, -7.328e-7, 2.574e-6
0.500, -8.461e-7, 2.531e-6
0.510, -9.901e-7, 2.482e-6
0.520, -1.155e-6, 2.424e-6
0.530, -1.327e-6, 2.358e-6
0.540, -1.495e-6, 2.283e-6
0.550, -1.648e-6, 2.201e-6
0.560, -1.791e-6, 2.111e-6
0.570, -1.904e-6, 2.016e-6
0.580, -2.005e-6, 1.916e-6
0.590, -2.089e-6, 1.811e-6
0.600, -2.169e-6, 1.703e-6
0.610, -2.224e-6, 1.592e-6
0.620, -2.285e-6, 1.477e-6
0.630, -2.329e-6, 1.361e-6
0.640, -2.374e-6, 1.242e-6
0.650, -2.413e-6, 1.121e-6
0.660, -2.451e-6, 9.989e-7
0.670, -2.482e-6, 8.748e-7
0.680, -2.514e-6, 7.491e-7
0.690, -2.542e-6, 6.220e-7
0.700, -2.574e-6, 4.933e-7
0.710, -2.604e-6, 3.632e-7
0.720, -2.639e-6, 2.312e-7
0.730, -2.665e-6, 9.796e-8
0.740, -2.692e-6, -3.666e-8
0.750, -2.719e-6, -1.726e-7
0.760, -2.751e-6, -3.101e-7
0.770, -2.781e-6, -4.492e-7
0.780, -2.811e-6, -5.897e-7
0.790, -2.840e-6, -7.317e-7
0.800, -2.876e-6, -8.755e-7
0.810, -2.907e-6, -1.021e-6
0.820, -2.947e-6, -1.168e-6
0.830, -2.985e-6, -1.317e-6
0.840, -3.027e-6, -1.469e-6
0.850, -3.068e-6, -1.622e-6
0.860, -3.114e-6, -1.778e-6
0.870, -3.162e-6, -1.936e-6
0.880, -3.208e-6, -2.096e-6
0.890, -3.259e-6, -2.259e-6
0.900, -3.308e-6, -2.425e-6
0.910, -3.359e-6, -2.593e-6
0.920, -3.408e-6, -2.763e-6
0.930, -3.456e-6, -2.936e-6
