Oct. 25, 2023   14:01:30
Cyclic Voltammetry
File: c:\users\pku\desktop\zbh\o2 µÍËÙ.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.287
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 8
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:

Segment 2:
Ep = 0.388V
ip = 1.603e-5A
Ah = 1.128e-5C

Ep = -0.100V
ip = 2.189e-6A
Ah = 1.990e-6C

Segment 3:
Segment 4:
Ep = 0.391V
ip = 1.657e-5A
Ah = 1.138e-5C

Segment 5:
Segment 6:
Ep = 0.390V
ip = 1.693e-5A
Ah = 1.172e-5C

Segment 7:
Segment 8:
Ep = 0.390V
ip = 1.675e-5A
Ah = 1.169e-5C

Potential/V, Current/A, Charge/C

Segment 1:
0.651, -3.530e-7, -3.530e-9
0.652, -3.976e-7, -7.506e-9
0.653, -4.154e-7, -1.166e-8
0.654, -4.293e-7, -1.595e-8
0.655, -4.428e-7, -2.038e-8
0.656, -4.533e-7, -2.491e-8
0.657, -4.594e-7, -2.951e-8
0.658, -4.697e-7, -3.420e-8
0.659, -4.719e-7, -3.892e-8
0.660, -4.836e-7, -4.376e-8
0.661, -4.883e-7, -4.864e-8
0.662, -4.955e-7, -5.360e-8
0.663, -4.988e-7, -5.859e-8
0.664, -5.129e-7, -6.371e-8
0.665, -5.141e-7, -6.886e-8
0.666, -5.306e-7, -7.416e-8
0.667, -5.299e-7, -7.946e-8
0.668, -5.417e-7, -8.488e-8
0.669, -5.437e-7, -9.031e-8
0.670, -5.554e-7, -9.587e-8
0.671, -5.604e-7, -1.015e-7
0.672, -5.672e-7, -1.071e-7
0.673, -5.681e-7, -1.128e-7
0.674, -5.828e-7, -1.187e-7
0.675, -5.853e-7, -1.245e-7
0.676, -5.928e-7, -1.304e-7
0.677, -5.982e-7, -1.364e-7
0.678, -6.094e-7, -1.425e-7
0.679, -6.125e-7, -1.486e-7
0.680, -6.252e-7, -1.549e-7
0.681, -6.282e-7, -1.612e-7
0.682, -6.411e-7, -1.676e-7
0.683, -6.444e-7, -1.740e-7
0.684, -6.599e-7, -1.806e-7
0.685, -6.568e-7, -1.872e-7
0.686, -6.718e-7, -1.939e-7
0.687, -6.777e-7, -2.007e-7
0.688, -6.891e-7, -2.076e-7
0.689, -6.910e-7, -2.145e-7
0.690, -7.084e-7, -2.216e-7
0.691, -7.097e-7, -2.287e-7
0.692, -7.205e-7, -2.359e-7
0.693, -7.296e-7, -2.432e-7
0.694, -7.405e-7, -2.506e-7
0.695, -7.467e-7, -2.580e-7
0.696, -7.604e-7, -2.656e-7
0.697, -7.638e-7, -2.733e-7
0.698, -7.801e-7, -2.811e-7
0.699, -7.807e-7, -2.889e-7
0.700, -7.955e-7, -2.968e-7
0.701, -7.999e-7, -3.048e-7
0.702, -8.127e-7, -3.130e-7
0.703, -8.212e-7, -3.212e-7
0.704, -8.400e-7, -3.296e-7
0.705, -8.448e-7, -3.380e-7
0.706, -8.612e-7, -3.466e-7
0.707, -8.647e-7, -3.553e-7
0.708, -8.801e-7, -3.641e-7
0.709, -8.839e-7, -3.729e-7
0.710, -8.961e-7, -3.819e-7
0.711, -9.030e-7, -3.909e-7
0.712, -9.260e-7, -4.002e-7
0.713, -9.276e-7, -4.095e-7
0.714, -9.458e-7, -4.189e-7
0.715, -9.500e-7, -4.284e-7
0.716, -9.621e-7, -4.380e-7
0.717, -9.735e-7, -4.478e-7
0.718, -9.832e-7, -4.576e-7
0.719, -9.867e-7, -4.675e-7
0.720, -1.005e-6, -4.775e-7
0.721, -1.008e-6, -4.876e-7
0.722, -1.029e-6, -4.979e-7
0.723, -1.031e-6, -5.082e-7
0.724, -1.049e-6, -5.187e-7
0.725, -1.051e-6, -5.292e-7
0.726, -1.066e-6, -5.399e-7
0.727, -1.072e-6, -5.506e-7
0.728, -1.084e-6, -5.614e-7
0.729, -1.087e-6, -5.723e-7
0.730, -1.105e-6, -5.833e-7
0.731, -1.110e-6, -5.944e-7
0.732, -1.130e-6, -6.058e-7
0.733, -1.132e-6, -6.171e-7
0.734, -1.150e-6, -6.286e-7
0.735, -1.152e-6, -6.401e-7
0.736, -1.169e-6, -6.518e-7
0.737, -1.168e-6, -6.634e-7
0.738, -1.182e-6, -6.753e-7
0.739, -1.183e-6, -6.871e-7
0.740, -1.204e-6, -6.992e-7
0.741, -1.209e-6, -7.112e-7
0.742, -1.225e-6, -7.235e-7
0.743, -1.226e-6, -7.358e-7
0.744, -1.245e-6, -7.482e-7
0.745, -1.245e-6, -7.607e-7
0.746, -1.259e-6, -7.732e-7
0.747, -1.263e-6, -7.859e-7
0.748, -1.274e-6, -7.986e-7
0.749, -1.275e-6, -8.114e-7
0.750, -1.291e-6, -8.243e-7
0.751, -1.294e-6, -8.372e-7
0.752, -1.314e-6, -8.504e-7
0.753, -1.311e-6, -8.635e-7
0.754, -1.332e-6, -8.768e-7
0.755, -1.330e-6, -8.901e-7
0.756, -1.346e-6, -9.036e-7
0.757, -1.346e-6, -9.170e-7
0.758, -1.359e-6, -9.306e-7
0.759, -1.362e-6, -9.442e-7
0.760, -1.372e-6, -9.579e-7
0.761, -1.372e-6, -9.717e-7
0.762, -1.385e-6, -9.855e-7
0.763, -1.385e-6, -9.994e-7
0.764, -1.403e-6, -1.013e-6
0.765, -1.404e-6, -1.027e-6
0.766, -1.420e-6, -1.042e-6
0.767, -1.420e-6, -1.056e-6
0.768, -1.436e-6, -1.070e-6
0.769, -1.437e-6, -1.085e-6
0.770, -1.449e-6, -1.099e-6
0.771, -1.445e-6, -1.114e-6
0.772, -1.461e-6, -1.128e-6
0.773, -1.458e-6, -1.143e-6
0.774, -1.471e-6, -1.157e-6
0.775, -1.470e-6, -1.172e-6
0.776, -1.483e-6, -1.187e-6
0.777, -1.480e-6, -1.202e-6
0.778, -1.496e-6, -1.217e-6
0.779, -1.494e-6, -1.232e-6
0.780, -1.513e-6, -1.247e-6
0.781, -1.509e-6, -1.262e-6
0.782, -1.522e-6, -1.277e-6
0.783, -1.522e-6, -1.292e-6
0.784, -1.535e-6, -1.308e-6
0.785, -1.533e-6, -1.323e-6
0.786, -1.546e-6, -1.338e-6
0.787, -1.542e-6, -1.354e-6
0.788, -1.551e-6, -1.369e-6
0.789, -1.556e-6, -1.385e-6
0.790, -1.566e-6, -1.401e-6
0.791, -1.563e-6, -1.416e-6
0.792, -1.572e-6, -1.432e-6
0.793, -1.569e-6, -1.448e-6
0.794, -1.582e-6, -1.463e-6
0.795, -1.580e-6, -1.479e-6
0.796, -1.595e-6, -1.495e-6
0.797, -1.593e-6, -1.511e-6
0.798, -1.606e-6, -1.527e-6
0.799, -1.604e-6, -1.543e-6
0.800, -1.618e-6, -1.559e-6
0.801, -1.614e-6, -1.576e-6
0.802, -1.627e-6, -1.592e-6
0.803, -1.624e-6, -1.608e-6
0.804, -1.637e-6, -1.624e-6
0.805, -1.635e-6, -1.641e-6
0.806, -1.643e-6, -1.657e-6
0.807, -1.641e-6, -1.674e-6
0.808, -1.657e-6, -1.690e-6
0.809, -1.651e-6, -1.707e-6
0.810, -1.664e-6, -1.723e-6
0.811, -1.660e-6, -1.740e-6
0.812, -1.669e-6, -1.757e-6
0.813, -1.666e-6, -1.773e-6
0.814, -1.678e-6, -1.790e-6
0.815, -1.676e-6, -1.807e-6
0.816, -1.689e-6, -1.824e-6
0.817, -1.684e-6, -1.841e-6
0.818, -1.701e-6, -1.858e-6
0.819, -1.691e-6, -1.874e-6
0.820, -1.705e-6, -1.892e-6
0.821, -1.703e-6, -1.909e-6
0.822, -1.713e-6, -1.926e-6
0.823, -1.710e-6, -1.943e-6
0.824, -1.725e-6, -1.960e-6
0.825, -1.717e-6, -1.977e-6
0.826, -1.733e-6, -1.995e-6
0.827, -1.728e-6, -2.012e-6
0.828, -1.739e-6, -2.029e-6
0.829, -1.735e-6, -2.047e-6
0.830, -1.743e-6, -2.064e-6
0.831, -1.741e-6, -2.081e-6
0.832, -1.755e-6, -2.099e-6
0.833, -1.749e-6, -2.116e-6
0.834, -1.762e-6, -2.134e-6
0.835, -1.759e-6, -2.152e-6
0.836, -1.766e-6, -2.169e-6
0.837, -1.764e-6, -2.187e-6
0.838, -1.774e-6, -2.205e-6
0.839, -1.770e-6, -2.222e-6
0.840, -1.785e-6, -2.240e-6
0.841, -1.780e-6, -2.258e-6
0.842, -1.794e-6, -2.276e-6
0.843, -1.785e-6, -2.294e-6
0.844, -1.801e-6, -2.312e-6
0.845, -1.792e-6, -2.330e-6
0.846, -1.808e-6, -2.348e-6
0.847, -1.804e-6, -2.366e-6
0.848, -1.814e-6, -2.384e-6
0.849, -1.810e-6, -2.402e-6
0.850, -1.823e-6, -2.420e-6
0.851, -1.816e-6, -2.439e-6
0.852, -1.829e-6, -2.457e-6
0.853, -1.826e-6, -2.475e-6
0.854, -1.836e-6, -2.493e-6
0.855, -1.833e-6, -2.512e-6
0.856, -1.842e-6, -2.530e-6
0.857, -1.837e-6, -2.549e-6
0.858, -1.853e-6, -2.567e-6
0.859, -1.844e-6, -2.586e-6
0.860, -1.859e-6, -2.604e-6
0.861, -1.853e-6, -2.623e-6
0.862, -1.862e-6, -2.641e-6
0.863, -1.861e-6, -2.660e-6
0.864, -1.869e-6, -2.679e-6
0.865, -1.863e-6, -2.697e-6
0.866, -1.880e-6, -2.716e-6
0.867, -1.873e-6, -2.735e-6
0.868, -1.886e-6, -2.754e-6
0.869, -1.883e-6, -2.772e-6
0.870, -1.894e-6, -2.791e-6
