Oct. 25, 2023   14:04:07
Cyclic Voltammetry
File: c:\users\pku\desktop\zbh\o2 ֹͣ.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.287
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 8
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:

Segment 2:
Ep = 0.390V
ip = 1.608e-5A
Ah = 1.106e-5C

Ep = -0.103V
ip = 8.198e-7A
Ah = 4.112e-7C

Segment 3:
Segment 4:
Ep = 0.394V
ip = 1.401e-5A
Ah = 9.475e-6C

Segment 5:
Segment 6:
Ep = 0.395V
ip = 1.172e-5A
Ah = 8.216e-6C

Ep = -0.077V
ip = 8.971e-7A
Ah = 3.291e-7C

Segment 7:
Segment 8:
Ep = 0.398V
ip = 1.084e-5A
Ah = 7.451e-6C

Ep = -0.074V
ip = 9.735e-7A
Ah = 3.197e-7C

Potential/V, Current/A, Charge/C

Segment 1:
0.651, -3.372e-7, -3.372e-9
0.652, -3.697e-7, -7.069e-9
0.653, -3.978e-7, -1.105e-8
0.654, -3.998e-7, -1.505e-8
0.655, -4.209e-7, -1.925e-8
0.656, -4.202e-7, -2.346e-8
0.657, -4.357e-7, -2.781e-8
0.658, -4.341e-7, -3.215e-8
0.659, -4.508e-7, -3.666e-8
0.660, -4.460e-7, -4.112e-8
0.661, -4.653e-7, -4.577e-8
0.662, -4.622e-7, -5.040e-8
0.663, -4.782e-7, -5.518e-8
0.664, -4.717e-7, -5.990e-8
0.665, -4.868e-7, -6.476e-8
0.666, -4.893e-7, -6.966e-8
0.667, -5.002e-7, -7.466e-8
0.668, -4.970e-7, -7.963e-8
0.669, -5.138e-7, -8.477e-8
0.670, -5.106e-7, -8.987e-8
0.671, -5.235e-7, -9.511e-8
0.672, -5.187e-7, -1.003e-7
0.673, -5.347e-7, -1.056e-7
0.674, -5.344e-7, -1.110e-7
0.675, -5.502e-7, -1.165e-7
0.676, -5.443e-7, -1.219e-7
0.677, -5.632e-7, -1.276e-7
0.678, -5.598e-7, -1.332e-7
0.679, -5.704e-7, -1.389e-7
0.680, -5.699e-7, -1.446e-7
0.681, -5.842e-7, -1.504e-7
0.682, -5.849e-7, -1.563e-7
0.683, -5.971e-7, -1.622e-7
0.684, -5.948e-7, -1.682e-7
0.685, -6.126e-7, -1.743e-7
0.686, -6.092e-7, -1.804e-7
0.687, -6.212e-7, -1.866e-7
0.688, -6.188e-7, -1.928e-7
0.689, -6.366e-7, -1.992e-7
0.690, -6.370e-7, -2.055e-7
0.691, -6.519e-7, -2.120e-7
0.692, -6.451e-7, -2.185e-7
0.693, -6.655e-7, -2.252e-7
0.694, -6.638e-7, -2.318e-7
0.695, -6.793e-7, -2.386e-7
0.696, -6.764e-7, -2.453e-7
0.697, -6.943e-7, -2.523e-7
0.698, -6.917e-7, -2.592e-7
0.699, -7.107e-7, -2.663e-7
0.700, -7.111e-7, -2.734e-7
0.701, -7.257e-7, -2.807e-7
0.702, -7.235e-7, -2.879e-7
0.703, -7.432e-7, -2.953e-7
0.704, -7.415e-7, -3.028e-7
0.705, -7.601e-7, -3.104e-7
0.706, -7.609e-7, -3.180e-7
0.707, -7.767e-7, -3.257e-7
0.708, -7.750e-7, -3.335e-7
0.709, -7.968e-7, -3.415e-7
0.710, -7.919e-7, -3.494e-7
0.711, -8.135e-7, -3.575e-7
0.712, -8.115e-7, -3.656e-7
0.713, -8.328e-7, -3.740e-7
0.714, -8.338e-7, -3.823e-7
0.715, -8.561e-7, -3.909e-7
0.716, -8.577e-7, -3.994e-7
0.717, -8.808e-7, -4.082e-7
0.718, -8.787e-7, -4.170e-7
0.719, -8.987e-7, -4.260e-7
0.720, -8.967e-7, -4.350e-7
0.721, -9.124e-7, -4.441e-7
0.722, -9.157e-7, -4.533e-7
0.723, -9.352e-7, -4.626e-7
0.724, -9.347e-7, -4.720e-7
0.725, -9.561e-7, -4.815e-7
0.726, -9.547e-7, -4.911e-7
0.727, -9.742e-7, -5.008e-7
0.728, -9.738e-7, -5.106e-7
0.729, -9.960e-7, -5.205e-7
0.730, -9.935e-7, -5.304e-7
0.731, -1.012e-6, -5.406e-7
0.732, -1.010e-6, -5.507e-7
0.733, -1.029e-6, -5.610e-7
0.734, -1.029e-6, -5.712e-7
0.735, -1.052e-6, -5.818e-7
0.736, -1.053e-6, -5.923e-7
0.737, -1.073e-6, -6.030e-7
0.738, -1.073e-6, -6.137e-7
0.739, -1.092e-6, -6.247e-7
0.740, -1.091e-6, -6.356e-7
0.741, -1.109e-6, -6.467e-7
0.742, -1.106e-6, -6.577e-7
0.743, -1.128e-6, -6.690e-7
0.744, -1.128e-6, -6.803e-7
0.745, -1.147e-6, -6.918e-7
0.746, -1.147e-6, -7.032e-7
0.747, -1.165e-6, -7.149e-7
0.748, -1.163e-6, -7.265e-7
0.749, -1.183e-6, -7.383e-7
0.750, -1.181e-6, -7.502e-7
0.751, -1.202e-6, -7.622e-7
0.752, -1.201e-6, -7.742e-7
0.753, -1.219e-6, -7.864e-7
0.754, -1.220e-6, -7.986e-7
0.755, -1.237e-6, -8.109e-7
0.756, -1.235e-6, -8.233e-7
0.757, -1.252e-6, -8.358e-7
0.758, -1.251e-6, -8.483e-7
0.759, -1.270e-6, -8.610e-7
0.760, -1.269e-6, -8.737e-7
0.761, -1.288e-6, -8.866e-7
0.762, -1.284e-6, -8.994e-7
0.763, -1.302e-6, -9.124e-7
0.764, -1.300e-6, -9.255e-7
0.765, -1.317e-6, -9.386e-7
0.766, -1.315e-6, -9.518e-7
0.767, -1.337e-6, -9.651e-7
0.768, -1.336e-6, -9.785e-7
0.769, -1.349e-6, -9.920e-7
0.770, -1.348e-6, -1.005e-6
0.771, -1.364e-6, -1.019e-6
0.772, -1.359e-6, -1.033e-6
0.773, -1.379e-6, -1.046e-6
0.774, -1.375e-6, -1.060e-6
0.775, -1.393e-6, -1.074e-6
0.776, -1.392e-6, -1.088e-6
0.777, -1.403e-6, -1.102e-6
0.778, -1.399e-6, -1.116e-6
0.779, -1.419e-6, -1.130e-6
0.780, -1.415e-6, -1.144e-6
0.781, -1.431e-6, -1.159e-6
0.782, -1.424e-6, -1.173e-6
0.783, -1.444e-6, -1.187e-6
0.784, -1.441e-6, -1.202e-6
0.785, -1.455e-6, -1.216e-6
0.786, -1.451e-6, -1.231e-6
0.787, -1.467e-6, -1.246e-6
0.788, -1.465e-6, -1.260e-6
0.789, -1.482e-6, -1.275e-6
0.790, -1.476e-6, -1.290e-6
0.791, -1.493e-6, -1.305e-6
0.792, -1.490e-6, -1.320e-6
0.793, -1.501e-6, -1.335e-6
0.794, -1.496e-6, -1.350e-6
0.795, -1.513e-6, -1.365e-6
0.796, -1.510e-6, -1.380e-6
0.797, -1.526e-6, -1.395e-6
0.798, -1.519e-6, -1.410e-6
0.799, -1.537e-6, -1.426e-6
0.800, -1.531e-6, -1.441e-6
0.801, -1.545e-6, -1.456e-6
0.802, -1.543e-6, -1.472e-6
0.803, -1.556e-6, -1.487e-6
0.804, -1.549e-6, -1.503e-6
0.805, -1.568e-6, -1.519e-6
0.806, -1.562e-6, -1.534e-6
0.807, -1.575e-6, -1.550e-6
0.808, -1.572e-6, -1.566e-6
0.809, -1.589e-6, -1.582e-6
0.810, -1.582e-6, -1.597e-6
0.811, -1.595e-6, -1.613e-6
0.812, -1.591e-6, -1.629e-6
0.813, -1.605e-6, -1.645e-6
0.814, -1.596e-6, -1.661e-6
0.815, -1.613e-6, -1.677e-6
0.816, -1.606e-6, -1.693e-6
0.817, -1.620e-6, -1.710e-6
0.818, -1.619e-6, -1.726e-6
0.819, -1.631e-6, -1.742e-6
0.820, -1.621e-6, -1.758e-6
0.821, -1.640e-6, -1.775e-6
0.822, -1.635e-6, -1.791e-6
0.823, -1.646e-6, -1.808e-6
0.824, -1.642e-6, -1.824e-6
0.825, -1.656e-6, -1.841e-6
0.826, -1.649e-6, -1.857e-6
0.827, -1.664e-6, -1.874e-6
0.828, -1.661e-6, -1.890e-6
0.829, -1.674e-6, -1.907e-6
0.830, -1.666e-6, -1.924e-6
0.831, -1.685e-6, -1.941e-6
0.832, -1.676e-6, -1.957e-6
0.833, -1.689e-6, -1.974e-6
0.834, -1.688e-6, -1.991e-6
0.835, -1.698e-6, -2.008e-6
0.836, -1.691e-6, -2.025e-6
0.837, -1.708e-6, -2.042e-6
0.838, -1.696e-6, -2.059e-6
0.839, -1.713e-6, -2.076e-6
0.840, -1.710e-6, -2.093e-6
0.841, -1.722e-6, -2.110e-6
0.842, -1.715e-6, -2.128e-6
0.843, -1.733e-6, -2.145e-6
0.844, -1.725e-6, -2.162e-6
0.845, -1.736e-6, -2.180e-6
0.846, -1.731e-6, -2.197e-6
0.847, -1.744e-6, -2.214e-6
0.848, -1.738e-6, -2.232e-6
0.849, -1.750e-6, -2.249e-6
0.850, -1.744e-6, -2.267e-6
0.851, -1.760e-6, -2.284e-6
0.852, -1.752e-6, -2.302e-6
0.853, -1.767e-6, -2.319e-6
0.854, -1.760e-6, -2.337e-6
0.855, -1.777e-6, -2.355e-6
0.856, -1.769e-6, -2.372e-6
0.857, -1.785e-6, -2.390e-6
0.858, -1.775e-6, -2.408e-6
0.859, -1.790e-6, -2.426e-6
0.860, -1.783e-6, -2.444e-6
0.861, -1.794e-6, -2.462e-6
0.862, -1.789e-6, -2.480e-6
0.863, -1.805e-6, -2.498e-6
0.864, -1.801e-6, -2.516e-6
0.865, -1.811e-6, -2.534e-6
0.866, -1.807e-6, -2.552e-6
