Oct. 25, 2023   13:59:13
Cyclic Voltammetry
File: c:\users\pku\desktop\zbh\o2 ¿ìËÙ.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.287
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 8
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:

Segment 2:
Ep = 0.324V
ip = 1.943e-5A
Ah = 2.361e-5C

Segment 3:

Segment 4:

Segment 5:
Segment 6:
Ep = 0.340V
ip = 2.092e-5A
Ah = 1.988e-5C

Ep = -0.101V
ip = 1.152e-5A
Ah = 2.919e-6C

Segment 7:
Segment 8:
Ep = 0.324V
ip = 2.134e-5A
Ah = 2.423e-5C

Potential/V, Current/A, Charge/C

Segment 1:
0.651, -3.343e-7, -3.343e-9
0.652, -3.972e-7, -7.315e-9
0.653, -4.201e-7, -1.152e-8
0.654, -4.507e-7, -1.602e-8
0.655, -4.511e-7, -2.053e-8
0.656, -4.619e-7, -2.515e-8
0.657, -4.500e-7, -2.965e-8
0.658, -4.598e-7, -3.425e-8
0.659, -4.430e-7, -3.868e-8
0.660, -4.475e-7, -4.316e-8
0.661, -4.432e-7, -4.759e-8
0.662, -4.645e-7, -5.223e-8
0.663, -4.688e-7, -5.692e-8
0.664, -4.964e-7, -6.188e-8
0.665, -5.046e-7, -6.693e-8
0.666, -5.389e-7, -7.232e-8
0.667, -5.391e-7, -7.771e-8
0.668, -5.498e-7, -8.321e-8
0.669, -5.369e-7, -8.858e-8
0.670, -5.409e-7, -9.399e-8
0.671, -5.253e-7, -9.924e-8
0.672, -5.251e-7, -1.045e-7
0.673, -5.186e-7, -1.097e-7
0.674, -5.352e-7, -1.150e-7
0.675, -5.425e-7, -1.205e-7
0.676, -5.647e-7, -1.261e-7
0.677, -5.749e-7, -1.318e-7
0.678, -6.032e-7, -1.379e-7
0.679, -6.137e-7, -1.440e-7
0.680, -6.346e-7, -1.504e-7
0.681, -6.216e-7, -1.566e-7
0.682, -6.299e-7, -1.629e-7
0.683, -6.148e-7, -1.690e-7
0.684, -6.180e-7, -1.752e-7
0.685, -6.055e-7, -1.813e-7
0.686, -6.153e-7, -1.874e-7
0.687, -6.183e-7, -1.936e-7
0.688, -6.437e-7, -2.000e-7
0.689, -6.543e-7, -2.066e-7
0.690, -6.838e-7, -2.134e-7
0.691, -6.954e-7, -2.204e-7
0.692, -7.205e-7, -2.276e-7
0.693, -7.268e-7, -2.348e-7
0.694, -7.301e-7, -2.421e-7
0.695, -7.158e-7, -2.493e-7
0.696, -7.202e-7, -2.565e-7
0.697, -7.048e-7, -2.636e-7
0.698, -7.144e-7, -2.707e-7
0.699, -7.115e-7, -2.778e-7
0.700, -7.356e-7, -2.852e-7
0.701, -7.445e-7, -2.926e-7
0.702, -7.751e-7, -3.004e-7
0.703, -7.941e-7, -3.083e-7
0.704, -8.267e-7, -3.166e-7
0.705, -8.328e-7, -3.249e-7
0.706, -8.549e-7, -3.334e-7
0.707, -8.328e-7, -3.418e-7
0.708, -8.416e-7, -3.502e-7
0.709, -8.255e-7, -3.584e-7
0.710, -8.337e-7, -3.668e-7
0.711, -8.159e-7, -3.749e-7
0.712, -8.449e-7, -3.834e-7
0.713, -8.600e-7, -3.920e-7
0.714, -8.857e-7, -4.009e-7
0.715, -9.040e-7, -4.099e-7
0.716, -9.437e-7, -4.193e-7
0.717, -9.577e-7, -4.289e-7
0.718, -9.767e-7, -4.387e-7
0.719, -9.621e-7, -4.483e-7
0.720, -9.707e-7, -4.580e-7
0.721, -9.577e-7, -4.676e-7
0.722, -9.634e-7, -4.772e-7
0.723, -9.517e-7, -4.867e-7
0.724, -9.602e-7, -4.963e-7
0.725, -9.760e-7, -5.061e-7
0.726, -9.968e-7, -5.161e-7
0.727, -1.012e-6, -5.262e-7
0.728, -1.049e-6, -5.367e-7
0.729, -1.064e-6, -5.473e-7
0.730, -1.094e-6, -5.583e-7
0.731, -1.092e-6, -5.692e-7
0.732, -1.102e-6, -5.802e-7
0.733, -1.092e-6, -5.911e-7
0.734, -1.094e-6, -6.021e-7
0.735, -1.078e-6, -6.128e-7
0.736, -1.082e-6, -6.237e-7
0.737, -1.081e-6, -6.345e-7
0.738, -1.115e-6, -6.456e-7
0.739, -1.120e-6, -6.568e-7
0.740, -1.155e-6, -6.684e-7
0.741, -1.173e-6, -6.801e-7
0.742, -1.205e-6, -6.921e-7
0.743, -1.205e-6, -7.042e-7
0.744, -1.220e-6, -7.164e-7
0.745, -1.207e-6, -7.285e-7
0.746, -1.210e-6, -7.406e-7
0.747, -1.198e-6, -7.525e-7
0.748, -1.198e-6, -7.645e-7
0.749, -1.192e-6, -7.764e-7
0.750, -1.212e-6, -7.886e-7
0.751, -1.223e-6, -8.008e-7
0.752, -1.251e-6, -8.133e-7
0.753, -1.266e-6, -8.260e-7
0.754, -1.303e-6, -8.390e-7
0.755, -1.312e-6, -8.521e-7
0.756, -1.330e-6, -8.654e-7
0.757, -1.320e-6, -8.786e-7
0.758, -1.323e-6, -8.918e-7
0.759, -1.304e-6, -9.049e-7
0.760, -1.305e-6, -9.179e-7
0.761, -1.296e-6, -9.309e-7
0.762, -1.306e-6, -9.440e-7
0.763, -1.312e-6, -9.571e-7
0.764, -1.340e-6, -9.705e-7
0.765, -1.352e-6, -9.840e-7
0.766, -1.384e-6, -9.978e-7
0.767, -1.398e-6, -1.012e-6
0.768, -1.427e-6, -1.026e-6
0.769, -1.417e-6, -1.040e-6
0.770, -1.423e-6, -1.054e-6
0.771, -1.404e-6, -1.069e-6
0.772, -1.403e-6, -1.083e-6
0.773, -1.391e-6, -1.096e-6
0.774, -1.395e-6, -1.110e-6
0.775, -1.396e-6, -1.124e-6
0.776, -1.419e-6, -1.139e-6
0.777, -1.426e-6, -1.153e-6
0.778, -1.459e-6, -1.167e-6
0.779, -1.474e-6, -1.182e-6
0.780, -1.501e-6, -1.197e-6
0.781, -1.500e-6, -1.212e-6
0.782, -1.504e-6, -1.227e-6
0.783, -1.494e-6, -1.242e-6
0.784, -1.493e-6, -1.257e-6
0.785, -1.475e-6, -1.272e-6
0.786, -1.476e-6, -1.287e-6
0.787, -1.469e-6, -1.301e-6
0.788, -1.491e-6, -1.316e-6
0.789, -1.494e-6, -1.331e-6
0.790, -1.524e-6, -1.346e-6
0.791, -1.537e-6, -1.362e-6
0.792, -1.568e-6, -1.377e-6
0.793, -1.570e-6, -1.393e-6
0.794, -1.584e-6, -1.409e-6
0.795, -1.568e-6, -1.425e-6
0.796, -1.570e-6, -1.440e-6
0.797, -1.548e-6, -1.456e-6
0.798, -1.547e-6, -1.471e-6
0.799, -1.539e-6, -1.487e-6
0.800, -1.547e-6, -1.502e-6
0.801, -1.552e-6, -1.518e-6
0.802, -1.579e-6, -1.533e-6
0.803, -1.588e-6, -1.549e-6
0.804, -1.617e-6, -1.566e-6
0.805, -1.629e-6, -1.582e-6
0.806, -1.645e-6, -1.598e-6
0.807, -1.637e-6, -1.615e-6
0.808, -1.640e-6, -1.631e-6
0.809, -1.618e-6, -1.647e-6
0.810, -1.621e-6, -1.663e-6
0.811, -1.601e-6, -1.679e-6
0.812, -1.610e-6, -1.696e-6
0.813, -1.608e-6, -1.712e-6
0.814, -1.629e-6, -1.728e-6
0.815, -1.639e-6, -1.744e-6
0.816, -1.666e-6, -1.761e-6
0.817, -1.678e-6, -1.778e-6
0.818, -1.702e-6, -1.795e-6
0.819, -1.694e-6, -1.812e-6
0.820, -1.694e-6, -1.829e-6
0.821, -1.685e-6, -1.845e-6
0.822, -1.683e-6, -1.862e-6
0.823, -1.664e-6, -1.879e-6
0.824, -1.665e-6, -1.896e-6
0.825, -1.657e-6, -1.912e-6
0.826, -1.683e-6, -1.929e-6
0.827, -1.684e-6, -1.946e-6
0.828, -1.708e-6, -1.963e-6
0.829, -1.720e-6, -1.980e-6
0.830, -1.745e-6, -1.998e-6
0.831, -1.748e-6, -2.015e-6
0.832, -1.754e-6, -2.033e-6
0.833, -1.740e-6, -2.050e-6
0.834, -1.741e-6, -2.067e-6
0.835, -1.727e-6, -2.085e-6
0.836, -1.723e-6, -2.102e-6
0.837, -1.714e-6, -2.119e-6
0.838, -1.725e-6, -2.136e-6
0.839, -1.729e-6, -2.154e-6
0.840, -1.747e-6, -2.171e-6
0.841, -1.759e-6, -2.189e-6
0.842, -1.787e-6, -2.207e-6
0.843, -1.791e-6, -2.224e-6
0.844, -1.810e-6, -2.243e-6
0.845, -1.792e-6, -2.260e-6
0.846, -1.796e-6, -2.278e-6
0.847, -1.783e-6, -2.296e-6
0.848, -1.783e-6, -2.314e-6
0.849, -1.762e-6, -2.332e-6
0.850, -1.771e-6, -2.349e-6
0.851, -1.772e-6, -2.367e-6
0.852, -1.787e-6, -2.385e-6
0.853, -1.797e-6, -2.403e-6
0.854, -1.822e-6, -2.421e-6
0.855, -1.834e-6, -2.440e-6
0.856, -1.853e-6, -2.458e-6
0.857, -1.848e-6, -2.477e-6
0.858, -1.850e-6, -2.495e-6
0.859, -1.835e-6, -2.513e-6
0.860, -1.835e-6, -2.532e-6
0.861, -1.817e-6, -2.550e-6
0.862, -1.817e-6, -2.568e-6
0.863, -1.816e-6, -2.586e-6
0.864, -1.833e-6, -2.605e-6
0.865, -1.836e-6, -2.623e-6
0.866, -1.861e-6, -2.642e-6
0.867, -1.872e-6, -2.660e-6
0.868, -1.894e-6, -2.679e-6
0.869, -1.896e-6, -2.698e-6
0.870, -1.898e-6, -2.717e-6
0.871, -1.890e-6, -2.736e-6
