Oct. 25, 2023   14:42:31
Cyclic Voltammetry
File: c:\users\pku\desktop\zbh\¼×´¼-3.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.287
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 8
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:

Segment 2:
Ep = 0.476V
ip = 1.119e-6A
Ah = 8.783e-7C

Segment 3:
Ep = 0.490V
ip = -6.543e-6A
Ah = -5.416e-6C

Segment 4:
Ep = 0.481V
ip = 1.220e-6A
Ah = 8.837e-7C

Segment 5:
Ep = 0.490V
ip = -6.615e-6A
Ah = -5.126e-6C

Segment 6:
Ep = 0.478V
ip = 1.278e-6A
Ah = 9.784e-7C

Segment 7:
Ep = 0.487V
ip = -6.619e-6A
Ah = -4.685e-6C

Segment 8:
Ep = 0.478V
ip = 1.312e-6A
Ah = 9.997e-7C

Potential/V, Current/A, Charge/C

Segment 1:
0.651, -2.725e-6, -2.725e-8
0.652, -2.774e-6, -5.498e-8
0.653, -2.782e-6, -8.280e-8
0.654, -2.794e-6, -1.107e-7
0.655, -2.791e-6, -1.387e-7
0.656, -2.797e-6, -1.666e-7
0.657, -2.790e-6, -1.945e-7
0.658, -2.803e-6, -2.226e-7
0.659, -2.792e-6, -2.505e-7
0.660, -2.799e-6, -2.785e-7
0.661, -2.794e-6, -3.064e-7
0.662, -2.801e-6, -3.344e-7
0.663, -2.795e-6, -3.624e-7
0.664, -2.805e-6, -3.904e-7
0.665, -2.800e-6, -4.184e-7
0.666, -2.811e-6, -4.465e-7
0.667, -2.804e-6, -4.746e-7
0.668, -2.812e-6, -5.027e-7
0.669, -2.810e-6, -5.308e-7
0.670, -2.815e-6, -5.589e-7
0.671, -2.815e-6, -5.871e-7
0.672, -2.820e-6, -6.153e-7
0.673, -2.817e-6, -6.434e-7
0.674, -2.829e-6, -6.717e-7
0.675, -2.827e-6, -7.000e-7
0.676, -2.837e-6, -7.284e-7
0.677, -2.837e-6, -7.567e-7
0.678, -2.849e-6, -7.852e-7
0.679, -2.844e-6, -8.137e-7
0.680, -2.858e-6, -8.423e-7
0.681, -2.855e-6, -8.708e-7
0.682, -2.864e-6, -8.994e-7
0.683, -2.863e-6, -9.281e-7
0.684, -2.876e-6, -9.568e-7
0.685, -2.870e-6, -9.855e-7
0.686, -2.886e-6, -1.014e-6
0.687, -2.886e-6, -1.043e-6
0.688, -2.896e-6, -1.072e-6
0.689, -2.893e-6, -1.101e-6
0.690, -2.909e-6, -1.130e-6
0.691, -2.904e-6, -1.159e-6
0.692, -2.912e-6, -1.188e-6
0.693, -2.913e-6, -1.218e-6
0.694, -2.923e-6, -1.247e-6
0.695, -2.922e-6, -1.276e-6
0.696, -2.939e-6, -1.305e-6
0.697, -2.934e-6, -1.335e-6
0.698, -2.946e-6, -1.364e-6
0.699, -2.943e-6, -1.394e-6
0.700, -2.955e-6, -1.423e-6
0.701, -2.953e-6, -1.453e-6
0.702, -2.964e-6, -1.482e-6
0.703, -2.961e-6, -1.512e-6
0.704, -2.973e-6, -1.542e-6
0.705, -2.968e-6, -1.571e-6
0.706, -2.984e-6, -1.601e-6
0.707, -2.980e-6, -1.631e-6
0.708, -2.994e-6, -1.661e-6
0.709, -2.991e-6, -1.691e-6
0.710, -3.004e-6, -1.721e-6
0.711, -2.995e-6, -1.751e-6
0.712, -3.007e-6, -1.781e-6
0.713, -3.006e-6, -1.811e-6
0.714, -3.016e-6, -1.841e-6
0.715, -3.008e-6, -1.871e-6
0.716, -3.023e-6, -1.901e-6
0.717, -3.026e-6, -1.932e-6
0.718, -3.039e-6, -1.962e-6
0.719, -3.033e-6, -1.992e-6
0.720, -3.040e-6, -2.023e-6
0.721, -3.036e-6, -2.053e-6
0.722, -3.052e-6, -2.084e-6
0.723, -3.043e-6, -2.114e-6
0.724, -3.054e-6, -2.145e-6
0.725, -3.050e-6, -2.175e-6
0.726, -3.058e-6, -2.206e-6
0.727, -3.054e-6, -2.236e-6
0.728, -3.064e-6, -2.267e-6
0.729, -3.058e-6, -2.298e-6
0.730, -3.069e-6, -2.328e-6
0.731, -3.063e-6, -2.359e-6
0.732, -3.074e-6, -2.390e-6
0.733, -3.067e-6, -2.420e-6
0.734, -3.079e-6, -2.451e-6
0.735, -3.076e-6, -2.482e-6
0.736, -3.085e-6, -2.513e-6
0.737, -3.078e-6, -2.543e-6
0.738, -3.091e-6, -2.574e-6
0.739, -3.084e-6, -2.605e-6
0.740, -3.096e-6, -2.636e-6
0.741, -3.087e-6, -2.667e-6
0.742, -3.100e-6, -2.698e-6
0.743, -3.090e-6, -2.729e-6
0.744, -3.104e-6, -2.760e-6
0.745, -3.099e-6, -2.791e-6
0.746, -3.106e-6, -2.822e-6
0.747, -3.100e-6, -2.853e-6
0.748, -3.111e-6, -2.884e-6
0.749, -3.104e-6, -2.915e-6
0.750, -3.110e-6, -2.946e-6
0.751, -3.109e-6, -2.977e-6
0.752, -3.118e-6, -3.009e-6
0.753, -3.111e-6, -3.040e-6
0.754, -3.124e-6, -3.071e-6
0.755, -3.113e-6, -3.102e-6
0.756, -3.125e-6, -3.133e-6
0.757, -3.121e-6, -3.164e-6
0.758, -3.129e-6, -3.196e-6
0.759, -3.123e-6, -3.227e-6
0.760, -3.134e-6, -3.258e-6
0.761, -3.128e-6, -3.290e-6
0.762, -3.136e-6, -3.321e-6
0.763, -3.133e-6, -3.352e-6
0.764, -3.141e-6, -3.384e-6
0.765, -3.132e-6, -3.415e-6
0.766, -3.144e-6, -3.446e-6
0.767, -3.145e-6, -3.478e-6
0.768, -3.153e-6, -3.509e-6
0.769, -3.148e-6, -3.541e-6
0.770, -3.157e-6, -3.572e-6
0.771, -3.153e-6, -3.604e-6
0.772, -3.157e-6, -3.636e-6
0.773, -3.153e-6, -3.667e-6
0.774, -3.162e-6, -3.699e-6
0.775, -3.156e-6, -3.730e-6
0.776, -3.165e-6, -3.762e-6
0.777, -3.160e-6, -3.794e-6
0.778, -3.172e-6, -3.825e-6
0.779, -3.164e-6, -3.857e-6
0.780, -3.182e-6, -3.889e-6
0.781, -3.177e-6, -3.920e-6
0.782, -3.190e-6, -3.952e-6
0.783, -3.183e-6, -3.984e-6
0.784, -3.197e-6, -4.016e-6
0.785, -3.187e-6, -4.048e-6
0.786, -3.202e-6, -4.080e-6
0.787, -3.197e-6, -4.112e-6
0.788, -3.205e-6, -4.144e-6
0.789, -3.200e-6, -4.176e-6
0.790, -3.212e-6, -4.208e-6
0.791, -3.207e-6, -4.240e-6
0.792, -3.220e-6, -4.272e-6
0.793, -3.213e-6, -4.305e-6
0.794, -3.226e-6, -4.337e-6
0.795, -3.221e-6, -4.369e-6
0.796, -3.232e-6, -4.401e-6
0.797, -3.228e-6, -4.434e-6
0.798, -3.239e-6, -4.466e-6
0.799, -3.237e-6, -4.498e-6
0.800, -3.249e-6, -4.531e-6
0.801, -3.246e-6, -4.563e-6
0.802, -3.254e-6, -4.596e-6
0.803, -3.252e-6, -4.628e-6
0.804, -3.262e-6, -4.661e-6
0.805, -3.259e-6, -4.694e-6
0.806, -3.274e-6, -4.726e-6
0.807, -3.269e-6, -4.759e-6
0.808, -3.283e-6, -4.792e-6
0.809, -3.278e-6, -4.825e-6
0.810, -3.294e-6, -4.858e-6
0.811, -3.289e-6, -4.891e-6
0.812, -3.301e-6, -4.924e-6
0.813, -3.300e-6, -4.957e-6
0.814, -3.310e-6, -4.990e-6
0.815, -3.307e-6, -5.023e-6
0.816, -3.323e-6, -5.056e-6
0.817, -3.320e-6, -5.089e-6
0.818, -3.338e-6, -5.123e-6
0.819, -3.330e-6, -5.156e-6
0.820, -3.343e-6, -5.189e-6
0.821, -3.343e-6, -5.223e-6
0.822, -3.355e-6, -5.256e-6
0.823, -3.352e-6, -5.290e-6
0.824, -3.369e-6, -5.323e-6
0.825, -3.366e-6, -5.357e-6
0.826, -3.380e-6, -5.391e-6
0.827, -3.379e-6, -5.425e-6
0.828, -3.397e-6, -5.459e-6
0.829, -3.395e-6, -5.493e-6
0.830, -3.406e-6, -5.527e-6
0.831, -3.409e-6, -5.561e-6
0.832, -3.424e-6, -5.595e-6
0.833, -3.421e-6, -5.629e-6
0.834, -3.441e-6, -5.664e-6
0.835, -3.438e-6, -5.698e-6
0.836, -3.451e-6, -5.733e-6
0.837, -3.452e-6, -5.767e-6
0.838, -3.470e-6, -5.802e-6
0.839, -3.470e-6, -5.836e-6
0.840, -3.487e-6, -5.871e-6
0.841, -3.485e-6, -5.906e-6
0.842, -3.499e-6, -5.941e-6
0.843, -3.501e-6, -5.976e-6
0.844, -3.519e-6, -6.011e-6
0.845, -3.518e-6, -6.047e-6
0.846, -3.536e-6, -6.082e-6
0.847, -3.538e-6, -6.117e-6
0.848, -3.553e-6, -6.153e-6
0.849, -3.553e-6, -6.188e-6
0.850, -3.573e-6, -6.224e-6
0.851, -3.573e-6, -6.260e-6
0.852, -3.592e-6, -6.296e-6
0.853, -3.594e-6, -6.332e-6
0.854, -3.610e-6, -6.368e-6
0.855, -3.614e-6, -6.404e-6
0.856, -3.633e-6, -6.440e-6
0.857, -3.635e-6, -6.477e-6
0.858, -3.650e-6, -6.513e-6
0.859, -3.650e-6, -6.550e-6
0.860, -3.671e-6, -6.586e-6
0.861, -3.675e-6, -6.623e-6
0.862, -3.692e-6, -6.660e-6
0.863, -3.696e-6, -6.697e-6
0.864, -3.715e-6, -6.734e-6
0.865, -3.717e-6, -6.771e-6
0.866, -3.738e-6, -6.809e-6
