Oct. 25, 2023   13:14:23
Cyclic Voltammetry
File: c:\users\pku\desktop\zbh\¿Õ°×n2 1.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = -0.287
High E (V) = 1.1
Low E (V) = -0.287
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 8
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:
Ep = -0.053V
ip = -6.071e-7A
Ah = -2.185e-7C

Segment 2:
Ep = 0.433V
ip = 2.782e-6A
Ah = 2.214e-6C

Ep = -0.069V
ip = 1.223e-6A
Ah = 4.778e-7C

Segment 3:
Ep = -0.059V
ip = -5.932e-7A
Ah = -1.797e-7C

Segment 4:
Ep = 0.432V
ip = 2.840e-6A
Ah = 2.332e-6C

Ep = -0.070V
ip = 1.282e-6A
Ah = 5.074e-7C

Segment 5:
Ep = -0.059V
ip = -5.835e-7A
Ah = -1.668e-7C

Segment 6:
Ep = 0.434V
ip = 2.874e-6A
Ah = 2.309e-6C

Ep = -0.072V
ip = 1.306e-6A
Ah = 5.346e-7C

Segment 7:
Ep = -0.055V
ip = -6.607e-7A
Ah = -2.551e-7C

Segment 8:
Ep = 0.433V
ip = 2.878e-6A
Ah = 2.338e-6C

Ep = -0.073V
ip = 1.301e-6A
Ah = 5.377e-7C

Potential/V, Current/A, Charge/C

Segment 1:
-0.286, -5.131e-7, -5.131e-9
-0.285, -9.122e-7, -1.425e-8
-0.284, -1.011e-6, -2.436e-8
-0.283, -1.150e-6, -3.586e-8
-0.282, -1.159e-6, -4.746e-8
-0.281, -1.255e-6, -6.001e-8
-0.280, -1.259e-6, -7.260e-8
-0.279, -1.359e-6, -8.619e-8
-0.278, -1.341e-6, -9.960e-8
-0.277, -1.419e-6, -1.138e-7
-0.276, -1.405e-6, -1.278e-7
-0.275, -1.481e-6, -1.427e-7
-0.274, -1.447e-6, -1.571e-7
-0.273, -1.536e-6, -1.725e-7
-0.272, -1.504e-6, -1.875e-7
-0.271, -1.575e-6, -2.033e-7
-0.270, -1.548e-6, -2.187e-7
-0.269, -1.621e-6, -2.350e-7
-0.268, -1.570e-6, -2.506e-7
-0.267, -1.663e-6, -2.673e-7
-0.266, -1.633e-6, -2.836e-7
-0.265, -1.689e-6, -3.005e-7
-0.264, -1.667e-6, -3.172e-7
-0.263, -1.734e-6, -3.345e-7
-0.262, -1.686e-6, -3.514e-7
-0.261, -1.754e-6, -3.689e-7
-0.260, -1.717e-6, -3.861e-7
-0.259, -1.796e-6, -4.040e-7
-0.258, -1.751e-6, -4.216e-7
-0.257, -1.834e-6, -4.399e-7
-0.256, -1.789e-6, -4.578e-7
-0.255, -1.868e-6, -4.765e-7
-0.254, -1.824e-6, -4.947e-7
-0.253, -1.890e-6, -5.136e-7
-0.252, -1.848e-6, -5.321e-7
-0.251, -1.919e-6, -5.513e-7
-0.250, -1.867e-6, -5.700e-7
-0.249, -1.936e-6, -5.893e-7
-0.248, -1.905e-6, -6.084e-7
-0.247, -1.977e-6, -6.281e-7
-0.246, -1.936e-6, -6.475e-7
-0.245, -1.999e-6, -6.675e-7
-0.244, -1.964e-6, -6.871e-7
-0.243, -2.029e-6, -7.074e-7
-0.242, -1.962e-6, -7.270e-7
-0.241, -2.070e-6, -7.477e-7
-0.240, -2.016e-6, -7.679e-7
-0.239, -2.075e-6, -7.886e-7
-0.238, -2.033e-6, -8.090e-7
-0.237, -2.095e-6, -8.299e-7
-0.236, -2.051e-6, -8.504e-7
-0.235, -2.143e-6, -8.719e-7
-0.234, -2.085e-6, -8.927e-7
-0.233, -2.146e-6, -9.142e-7
-0.232, -2.105e-6, -9.352e-7
-0.231, -2.174e-6, -9.570e-7
-0.230, -2.112e-6, -9.781e-7
-0.229, -2.160e-6, -9.997e-7
-0.228, -2.129e-6, -1.021e-6
-0.227, -2.199e-6, -1.043e-6
-0.226, -2.134e-6, -1.064e-6
-0.225, -2.212e-6, -1.086e-6
-0.224, -2.149e-6, -1.108e-6
-0.223, -2.210e-6, -1.130e-6
-0.222, -2.164e-6, -1.152e-6
-0.221, -2.205e-6, -1.174e-6
-0.220, -2.163e-6, -1.195e-6
-0.219, -2.218e-6, -1.218e-6
-0.218, -2.158e-6, -1.239e-6
-0.217, -2.219e-6, -1.261e-6
-0.216, -2.156e-6, -1.283e-6
-0.215, -2.216e-6, -1.305e-6
-0.214, -2.155e-6, -1.327e-6
-0.213, -2.210e-6, -1.349e-6
-0.212, -2.148e-6, -1.370e-6
-0.211, -2.210e-6, -1.392e-6
-0.210, -2.147e-6, -1.414e-6
-0.209, -2.204e-6, -1.436e-6
-0.208, -2.138e-6, -1.457e-6
-0.207, -2.188e-6, -1.479e-6
-0.206, -2.143e-6, -1.500e-6
-0.205, -2.180e-6, -1.522e-6
-0.204, -2.066e-6, -1.543e-6
-0.203, -2.160e-6, -1.565e-6
-0.202, -2.114e-6, -1.586e-6
-0.201, -2.171e-6, -1.607e-6
-0.200, -2.112e-6, -1.628e-6
-0.199, -2.177e-6, -1.650e-6
-0.198, -2.099e-6, -1.671e-6
-0.197, -2.157e-6, -1.693e-6
-0.196, -2.112e-6, -1.714e-6
-0.195, -2.162e-6, -1.736e-6
-0.194, -2.088e-6, -1.756e-6
-0.193, -2.148e-6, -1.778e-6
-0.192, -2.077e-6, -1.799e-6
-0.191, -2.126e-6, -1.820e-6
-0.190, -2.077e-6, -1.841e-6
-0.189, -2.128e-6, -1.862e-6
-0.188, -2.067e-6, -1.883e-6
-0.187, -2.117e-6, -1.904e-6
-0.186, -2.056e-6, -1.924e-6
-0.185, -2.095e-6, -1.945e-6
-0.184, -2.021e-6, -1.966e-6
-0.183, -2.081e-6, -1.986e-6
-0.182, -2.028e-6, -2.007e-6
-0.181, -2.061e-6, -2.027e-6
-0.180, -2.008e-6, -2.047e-6
-0.179, -2.045e-6, -2.068e-6
-0.178, -1.968e-6, -2.088e-6
-0.177, -2.026e-6, -2.108e-6
-0.176, -1.963e-6, -2.127e-6
-0.175, -2.009e-6, -2.147e-6
-0.174, -1.952e-6, -2.167e-6
-0.173, -1.979e-6, -2.187e-6
-0.172, -1.920e-6, -2.206e-6
-0.171, -1.966e-6, -2.226e-6
-0.170, -1.897e-6, -2.245e-6
-0.169, -1.948e-6, -2.264e-6
-0.168, -1.896e-6, -2.283e-6
-0.167, -1.929e-6, -2.302e-6
-0.166, -1.873e-6, -2.321e-6
-0.165, -1.906e-6, -2.340e-6
-0.164, -1.859e-6, -2.359e-6
-0.163, -1.890e-6, -2.378e-6
-0.162, -1.845e-6, -2.396e-6
-0.161, -1.889e-6, -2.415e-6
-0.160, -1.823e-6, -2.433e-6
-0.159, -1.868e-6, -2.452e-6
-0.158, -1.833e-6, -2.470e-6
-0.157, -1.866e-6, -2.489e-6
-0.156, -1.815e-6, -2.507e-6
-0.155, -1.865e-6, -2.526e-6
-0.154, -1.808e-6, -2.544e-6
-0.153, -1.863e-6, -2.562e-6
-0.152, -1.810e-6, -2.580e-6
-0.151, -1.850e-6, -2.599e-6
-0.150, -1.800e-6, -2.617e-6
-0.149, -1.855e-6, -2.636e-6
-0.148, -1.804e-6, -2.654e-6
-0.147, -1.839e-6, -2.672e-6
-0.146, -1.782e-6, -2.690e-6
-0.145, -1.851e-6, -2.708e-6
-0.144, -1.799e-6, -2.726e-6
-0.143, -1.842e-6, -2.745e-6
-0.142, -1.817e-6, -2.763e-6
-0.141, -1.855e-6, -2.781e-6
-0.140, -1.807e-6, -2.799e-6
-0.139, -1.862e-6, -2.818e-6
-0.138, -1.816e-6, -2.836e-6
-0.137, -1.874e-6, -2.855e-6
-0.136, -1.831e-6, -2.873e-6
-0.135, -1.882e-6, -2.892e-6
-0.134, -1.838e-6, -2.911e-6
-0.133, -1.881e-6, -2.929e-6
-0.132, -1.855e-6, -2.948e-6
-0.131, -1.908e-6, -2.967e-6
-0.130, -1.859e-6, -2.986e-6
-0.129, -1.918e-6, -3.005e-6
-0.128, -1.866e-6, -3.023e-6
-0.127, -1.924e-6, -3.043e-6
-0.126, -1.905e-6, -3.062e-6
-0.125, -1.934e-6, -3.081e-6
-0.124, -1.911e-6, -3.100e-6
-0.123, -1.957e-6, -3.120e-6
-0.122, -1.915e-6, -3.139e-6
-0.121, -1.976e-6, -3.159e-6
-0.120, -1.933e-6, -3.178e-6
-0.119, -1.992e-6, -3.198e-6
-0.118, -1.949e-6, -3.217e-6
-0.117, -1.990e-6, -3.237e-6
-0.116, -1.961e-6, -3.257e-6
-0.115, -2.014e-6, -3.277e-6
-0.114, -1.972e-6, -3.297e-6
-0.113, -2.031e-6, -3.317e-6
-0.112, -1.986e-6, -3.337e-6
-0.111, -2.025e-6, -3.357e-6
-0.110, -1.979e-6, -3.377e-6
-0.109, -2.047e-6, -3.397e-6
-0.108, -1.992e-6, -3.417e-6
-0.107, -2.039e-6, -3.438e-6
-0.106, -1.999e-6, -3.458e-6
-0.105, -2.044e-6, -3.478e-6
-0.104, -2.005e-6, -3.498e-6
-0.103, -2.044e-6, -3.519e-6
-0.102, -2.045e-6, -3.539e-6
-0.101, -2.057e-6, -3.560e-6
-0.100, -2.014e-6, -3.580e-6
-0.099, -2.051e-6, -3.600e-6
-0.098, -2.010e-6, -3.620e-6
-0.097, -2.064e-6, -3.641e-6
-0.096, -2.011e-6, -3.661e-6
-0.095, -2.049e-6, -3.682e-6
-0.094, -2.021e-6, -3.702e-6
-0.093, -2.062e-6, -3.722e-6
-0.092, -2.025e-6, -3.743e-6
-0.091, -2.083e-6, -3.764e-6
-0.090, -2.036e-6, -3.784e-6
