Oct. 25, 2023   13:07:04
Cyclic Voltammetry
File: c:\users\pku\desktop\zbh\¿Õ°×n2 2.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = -0.287
High E (V) = 1.1
Low E (V) = -0.287
Init P/N = P
Scan Rate (V/s) = 0.2
Segment = 8
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:
Ep = -0.056V
ip = -9.277e-7A
Ah = -1.573e-7C

Segment 2:
Ep = 0.424V
ip = 4.028e-6A
Ah = 1.703e-6C

Segment 3:

Segment 4:
Ep = 0.424V
ip = 4.370e-6A
Ah = 1.885e-6C

Ep = -0.073V
ip = 2.303e-6A
Ah = 4.827e-7C

Segment 5:

Segment 6:
Ep = 0.427V
ip = 4.589e-6A
Ah = 1.869e-6C

Ep = -0.074V
ip = 2.447e-6A
Ah = 5.366e-7C

Segment 7:
Ep = -0.054V
ip = -1.206e-6A
Ah = -2.084e-7C

Segment 8:
Ep = 0.426V
ip = 4.768e-6A
Ah = 1.971e-6C

Ep = -0.071V
ip = 2.506e-6A
Ah = 5.302e-7C

Potential/V, Current/A, Charge/C

Segment 1:
-0.286, -9.396e-7, -4.698e-9
-0.285, -1.411e-6, -1.175e-8
-0.284, -1.670e-6, -2.010e-8
-0.283, -1.706e-6, -2.863e-8
-0.282, -1.791e-6, -3.758e-8
-0.281, -1.923e-6, -4.720e-8
-0.280, -2.050e-6, -5.745e-8
-0.279, -2.033e-6, -6.762e-8
-0.278, -2.089e-6, -7.806e-8
-0.277, -2.177e-6, -8.895e-8
-0.276, -2.299e-6, -1.004e-7
-0.275, -2.244e-6, -1.117e-7
-0.274, -2.268e-6, -1.230e-7
-0.273, -2.361e-6, -1.348e-7
-0.272, -2.460e-6, -1.471e-7
-0.271, -2.385e-6, -1.590e-7
-0.270, -2.461e-6, -1.713e-7
-0.269, -2.523e-6, -1.840e-7
-0.268, -2.586e-6, -1.969e-7
-0.267, -2.565e-6, -2.097e-7
-0.266, -2.542e-6, -2.224e-7
-0.265, -2.645e-6, -2.357e-7
-0.264, -2.735e-6, -2.493e-7
-0.263, -2.687e-6, -2.628e-7
-0.262, -2.715e-6, -2.763e-7
-0.261, -2.733e-6, -2.900e-7
-0.260, -2.838e-6, -3.042e-7
-0.259, -2.758e-6, -3.180e-7
-0.258, -2.748e-6, -3.317e-7
-0.257, -2.908e-6, -3.463e-7
-0.256, -2.976e-6, -3.611e-7
-0.255, -2.909e-6, -3.757e-7
-0.254, -2.906e-6, -3.902e-7
-0.253, -2.947e-6, -4.049e-7
-0.252, -3.038e-6, -4.201e-7
-0.251, -2.992e-6, -4.351e-7
-0.250, -2.969e-6, -4.499e-7
-0.249, -3.083e-6, -4.654e-7
-0.248, -3.156e-6, -4.811e-7
-0.247, -3.070e-6, -4.965e-7
-0.246, -3.098e-6, -5.120e-7
-0.245, -3.171e-6, -5.278e-7
-0.244, -3.267e-6, -5.442e-7
-0.243, -3.173e-6, -5.600e-7
-0.242, -3.171e-6, -5.759e-7
-0.241, -3.274e-6, -5.922e-7
-0.240, -3.355e-6, -6.090e-7
-0.239, -3.257e-6, -6.253e-7
-0.238, -3.308e-6, -6.418e-7
-0.237, -3.345e-6, -6.586e-7
-0.236, -3.419e-6, -6.757e-7
-0.235, -3.384e-6, -6.926e-7
-0.234, -3.325e-6, -7.092e-7
-0.233, -3.438e-6, -7.264e-7
-0.232, -3.504e-6, -7.439e-7
-0.231, -3.424e-6, -7.610e-7
-0.230, -3.429e-6, -7.782e-7
-0.229, -3.519e-6, -7.958e-7
-0.228, -3.583e-6, -8.137e-7
-0.227, -3.500e-6, -8.312e-7
-0.226, -3.446e-6, -8.484e-7
-0.225, -3.523e-6, -8.660e-7
-0.224, -3.613e-6, -8.841e-7
-0.223, -3.522e-6, -9.017e-7
-0.222, -3.541e-6, -9.194e-7
-0.221, -3.590e-6, -9.374e-7
-0.220, -3.657e-6, -9.557e-7
-0.219, -3.608e-6, -9.737e-7
-0.218, -3.523e-6, -9.913e-7
-0.217, -3.596e-6, -1.009e-6
-0.216, -3.675e-6, -1.028e-6
-0.215, -3.600e-6, -1.046e-6
-0.214, -3.542e-6, -1.063e-6
-0.213, -3.622e-6, -1.081e-6
-0.212, -3.746e-6, -1.100e-6
-0.211, -3.574e-6, -1.118e-6
-0.210, -3.531e-6, -1.136e-6
-0.209, -3.669e-6, -1.154e-6
-0.208, -3.704e-6, -1.173e-6
-0.207, -3.570e-6, -1.190e-6
-0.206, -3.589e-6, -1.208e-6
-0.205, -3.596e-6, -1.226e-6
-0.204, -3.589e-6, -1.244e-6
-0.203, -3.589e-6, -1.262e-6
-0.202, -3.564e-6, -1.280e-6
-0.201, -3.653e-6, -1.298e-6
-0.200, -3.728e-6, -1.317e-6
-0.199, -3.598e-6, -1.335e-6
-0.198, -3.614e-6, -1.353e-6
-0.197, -3.630e-6, -1.371e-6
-0.196, -3.697e-6, -1.390e-6
-0.195, -3.552e-6, -1.407e-6
-0.194, -3.587e-6, -1.425e-6
-0.193, -3.630e-6, -1.444e-6
-0.192, -3.706e-6, -1.462e-6
-0.191, -3.567e-6, -1.480e-6
-0.190, -3.533e-6, -1.498e-6
-0.189, -3.650e-6, -1.516e-6
-0.188, -3.663e-6, -1.534e-6
-0.187, -3.565e-6, -1.552e-6
-0.186, -3.515e-6, -1.570e-6
-0.185, -3.542e-6, -1.587e-6
-0.184, -3.600e-6, -1.605e-6
-0.183, -3.479e-6, -1.623e-6
-0.182, -3.464e-6, -1.640e-6
-0.181, -3.523e-6, -1.658e-6
-0.180, -3.579e-6, -1.675e-6
-0.179, -3.435e-6, -1.693e-6
-0.178, -3.406e-6, -1.710e-6
-0.177, -3.469e-6, -1.727e-6
-0.176, -3.567e-6, -1.745e-6
-0.175, -3.387e-6, -1.762e-6
-0.174, -3.351e-6, -1.779e-6
-0.173, -3.403e-6, -1.796e-6
-0.172, -3.422e-6, -1.813e-6
-0.171, -3.353e-6, -1.829e-6
-0.170, -3.260e-6, -1.846e-6
-0.169, -3.375e-6, -1.863e-6
-0.168, -3.376e-6, -1.879e-6
-0.167, -3.238e-6, -1.896e-6
-0.166, -3.236e-6, -1.912e-6
-0.165, -3.299e-6, -1.928e-6
-0.164, -3.324e-6, -1.945e-6
-0.163, -3.173e-6, -1.961e-6
-0.162, -3.159e-6, -1.977e-6
-0.161, -3.233e-6, -1.993e-6
-0.160, -3.248e-6, -2.009e-6
-0.159, -3.140e-6, -2.025e-6
-0.158, -3.147e-6, -2.040e-6
-0.157, -3.180e-6, -2.056e-6
-0.156, -3.237e-6, -2.073e-6
-0.155, -3.117e-6, -2.088e-6
-0.154, -3.096e-6, -2.104e-6
-0.153, -3.176e-6, -2.120e-6
-0.152, -3.203e-6, -2.136e-6
-0.151, -3.102e-6, -2.151e-6
-0.150, -3.084e-6, -2.166e-6
-0.149, -3.111e-6, -2.182e-6
-0.148, -3.195e-6, -2.198e-6
-0.147, -3.047e-6, -2.213e-6
-0.146, -3.032e-6, -2.228e-6
-0.145, -3.121e-6, -2.244e-6
-0.144, -3.189e-6, -2.260e-6
-0.143, -3.080e-6, -2.275e-6
-0.142, -3.082e-6, -2.291e-6
-0.141, -3.097e-6, -2.306e-6
-0.140, -3.146e-6, -2.322e-6
-0.139, -3.094e-6, -2.337e-6
-0.138, -3.081e-6, -2.353e-6
-0.137, -3.126e-6, -2.368e-6
-0.136, -3.166e-6, -2.384e-6
-0.135, -3.085e-6, -2.400e-6
-0.134, -3.080e-6, -2.415e-6
-0.133, -3.140e-6, -2.431e-6
-0.132, -3.202e-6, -2.447e-6
-0.131, -3.131e-6, -2.462e-6
-0.130, -3.135e-6, -2.478e-6
-0.129, -3.204e-6, -2.494e-6
-0.128, -3.183e-6, -2.510e-6
-0.127, -3.121e-6, -2.526e-6
-0.126, -3.206e-6, -2.542e-6
-0.125, -3.194e-6, -2.558e-6
-0.124, -3.269e-6, -2.574e-6
-0.123, -3.209e-6, -2.590e-6
-0.122, -3.184e-6, -2.606e-6
-0.121, -3.281e-6, -2.622e-6
-0.120, -3.309e-6, -2.639e-6
-0.119, -3.210e-6, -2.655e-6
-0.118, -3.278e-6, -2.671e-6
-0.117, -3.289e-6, -2.688e-6
-0.116, -3.378e-6, -2.705e-6
-0.115, -3.241e-6, -2.721e-6
-0.114, -3.254e-6, -2.737e-6
-0.113, -3.364e-6, -2.754e-6
-0.112, -3.367e-6, -2.771e-6
-0.111, -3.294e-6, -2.787e-6
-0.110, -3.298e-6, -2.804e-6
-0.109, -3.366e-6, -2.821e-6
-0.108, -3.422e-6, -2.838e-6
-0.107, -3.357e-6, -2.855e-6
-0.106, -3.307e-6, -2.871e-6
-0.105, -3.411e-6, -2.888e-6
-0.104, -3.480e-6, -2.906e-6
-0.103, -3.328e-6, -2.922e-6
-0.102, -3.399e-6, -2.939e-6
-0.101, -3.433e-6, -2.956e-6
-0.100, -3.465e-6, -2.974e-6
-0.099, -3.380e-6, -2.991e-6
-0.098, -3.366e-6, -3.007e-6
-0.097, -3.427e-6, -3.025e-6
-0.096, -3.481e-6, -3.042e-6
-0.095, -3.384e-6, -3.059e-6
-0.094, -3.367e-6, -3.076e-6
-0.093, -3.455e-6, -3.093e-6
-0.092, -3.501e-6, -3.110e-6
-0.091, -3.390e-6, -3.127e-6
-0.090, -3.380e-6, -3.144e-6
-0.089, -3.466e-6, -3.162e-6
-0.088, -3.580e-6, -3.180e-6
-0.087, -3.454e-6, -3.197e-6
-0.086, -3.382e-6, -3.214e-6
-0.085, -3.519e-6, -3.231e-6
