Oct. 25, 2023   13:03:03
Cyclic Voltammetry
File: c:\users\pku\desktop\zbh\¿Õ°×n2 5.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = -0.287
High E (V) = 1.1
Low E (V) = -0.287
Init P/N = P
Scan Rate (V/s) = 0.5
Segment = 8
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:
Ep = -0.050V
ip = -3.339e-6A
Ah = -2.589e-7C

Ep = 0.640V
ip = -6.200e-6A
Ah = -1.395e-6C

Segment 2:
Ep = 0.410V
ip = 9.315e-6A
Ah = 1.652e-6C

Ep = -0.067V
ip = 6.209e-6A
Ah = 4.929e-7C

Segment 3:

Segment 4:
Ep = 0.412V
ip = 9.636e-6A
Ah = 1.696e-6C

Ep = -0.075V
ip = 6.248e-6A
Ah = 5.850e-7C

Segment 5:

Segment 6:
Ep = 0.413V
ip = 9.751e-6A
Ah = 1.700e-6C

Ep = -0.073V
ip = 6.322e-6A
Ah = 5.551e-7C

Segment 7:

Segment 8:
Ep = 0.412V
ip = 9.782e-6A
Ah = 1.726e-6C

Ep = -0.073V
ip = 6.399e-6A
Ah = 5.605e-7C

Potential/V, Current/A, Charge/C

Segment 1:
-0.286, -5.102e-7, -1.020e-9
-0.285, -2.736e-6, -6.492e-9
-0.284, -4.140e-6, -1.477e-8
-0.283, -4.942e-6, -2.466e-8
-0.282, -5.337e-6, -3.533e-8
-0.281, -5.695e-6, -4.672e-8
-0.280, -5.945e-6, -5.861e-8
-0.279, -6.089e-6, -7.079e-8
-0.278, -6.163e-6, -8.311e-8
-0.277, -6.381e-6, -9.588e-8
-0.276, -6.469e-6, -1.088e-7
-0.275, -6.538e-6, -1.219e-7
-0.274, -6.700e-6, -1.353e-7
-0.273, -6.824e-6, -1.489e-7
-0.272, -6.878e-6, -1.627e-7
-0.271, -7.046e-6, -1.768e-7
-0.270, -7.182e-6, -1.912e-7
-0.269, -7.180e-6, -2.055e-7
-0.268, -7.141e-6, -2.198e-7
-0.267, -7.243e-6, -2.343e-7
-0.266, -7.318e-6, -2.489e-7
-0.265, -7.382e-6, -2.637e-7
-0.264, -7.460e-6, -2.786e-7
-0.263, -7.608e-6, -2.938e-7
-0.262, -7.617e-6, -3.090e-7
-0.261, -7.723e-6, -3.245e-7
-0.260, -7.830e-6, -3.402e-7
-0.259, -7.811e-6, -3.558e-7
-0.258, -7.864e-6, -3.715e-7
-0.257, -7.898e-6, -3.873e-7
-0.256, -7.926e-6, -4.032e-7
-0.255, -8.012e-6, -4.192e-7
-0.254, -8.099e-6, -4.354e-7
-0.253, -8.233e-6, -4.518e-7
-0.252, -8.173e-6, -4.682e-7
-0.251, -8.292e-6, -4.848e-7
-0.250, -8.453e-6, -5.017e-7
-0.249, -8.382e-6, -5.184e-7
-0.248, -8.400e-6, -5.352e-7
-0.247, -8.476e-6, -5.522e-7
-0.246, -8.454e-6, -5.691e-7
-0.245, -8.520e-6, -5.861e-7
-0.244, -8.602e-6, -6.033e-7
-0.243, -8.743e-6, -6.208e-7
-0.242, -8.744e-6, -6.383e-7
-0.241, -8.829e-6, -6.560e-7
-0.240, -8.962e-6, -6.739e-7
-0.239, -8.924e-6, -6.917e-7
-0.238, -8.918e-6, -7.096e-7
-0.237, -8.999e-6, -7.276e-7
-0.236, -8.971e-6, -7.455e-7
-0.235, -9.011e-6, -7.635e-7
-0.234, -9.088e-6, -7.817e-7
-0.233, -9.181e-6, -8.001e-7
-0.232, -9.165e-6, -8.184e-7
-0.231, -9.297e-6, -8.370e-7
-0.230, -9.389e-6, -8.558e-7
-0.229, -9.342e-6, -8.745e-7
-0.228, -9.306e-6, -8.931e-7
-0.227, -9.351e-6, -9.118e-7
-0.226, -9.309e-6, -9.304e-7
-0.225, -9.357e-6, -9.491e-7
-0.224, -9.415e-6, -9.679e-7
-0.223, -9.433e-6, -9.868e-7
-0.222, -9.401e-6, -1.006e-6
-0.221, -9.565e-6, -1.025e-6
-0.220, -9.592e-6, -1.044e-6
-0.219, -9.492e-6, -1.063e-6
-0.218, -9.458e-6, -1.082e-6
-0.217, -9.480e-6, -1.101e-6
-0.216, -9.427e-6, -1.120e-6
-0.215, -9.358e-6, -1.138e-6
-0.214, -9.404e-6, -1.157e-6
-0.213, -9.519e-6, -1.176e-6
-0.212, -9.428e-6, -1.195e-6
-0.211, -9.478e-6, -1.214e-6
-0.210, -9.496e-6, -1.233e-6
-0.209, -9.386e-6, -1.252e-6
-0.208, -9.286e-6, -1.270e-6
-0.207, -9.329e-6, -1.289e-6
-0.206, -9.234e-6, -1.307e-6
-0.205, -9.212e-6, -1.326e-6
-0.204, -9.092e-6, -1.344e-6
-0.203, -9.079e-6, -1.362e-6
-0.202, -9.120e-6, -1.380e-6
-0.201, -9.183e-6, -1.399e-6
-0.200, -9.255e-6, -1.417e-6
-0.199, -9.159e-6, -1.436e-6
-0.198, -9.038e-6, -1.454e-6
-0.197, -9.089e-6, -1.472e-6
-0.196, -9.012e-6, -1.490e-6
-0.195, -8.988e-6, -1.508e-6
-0.194, -8.995e-6, -1.526e-6
-0.193, -9.039e-6, -1.544e-6
-0.192, -8.989e-6, -1.562e-6
-0.191, -9.054e-6, -1.580e-6
-0.190, -9.057e-6, -1.598e-6
-0.189, -8.948e-6, -1.616e-6
-0.188, -8.860e-6, -1.634e-6
-0.187, -8.842e-6, -1.652e-6
-0.186, -8.773e-6, -1.669e-6
-0.185, -8.731e-6, -1.687e-6
-0.184, -8.739e-6, -1.704e-6
-0.183, -8.766e-6, -1.722e-6
-0.182, -8.668e-6, -1.739e-6
-0.181, -8.703e-6, -1.756e-6
-0.180, -8.681e-6, -1.774e-6
-0.179, -8.583e-6, -1.791e-6
-0.178, -8.403e-6, -1.808e-6
-0.177, -8.357e-6, -1.824e-6
-0.176, -8.319e-6, -1.841e-6
-0.175, -8.265e-6, -1.857e-6
-0.174, -8.229e-6, -1.874e-6
-0.173, -8.241e-6, -1.890e-6
-0.172, -8.187e-6, -1.907e-6
-0.171, -8.203e-6, -1.923e-6
-0.170, -8.205e-6, -1.940e-6
-0.169, -8.062e-6, -1.956e-6
-0.168, -7.891e-6, -1.972e-6
-0.167, -7.910e-6, -1.987e-6
-0.166, -7.827e-6, -2.003e-6
-0.165, -7.771e-6, -2.019e-6
-0.164, -7.793e-6, -2.034e-6
-0.163, -7.771e-6, -2.050e-6
-0.162, -7.710e-6, -2.065e-6
-0.161, -7.718e-6, -2.081e-6
-0.160, -7.739e-6, -2.096e-6
-0.159, -7.642e-6, -2.111e-6
-0.158, -7.522e-6, -2.126e-6
-0.157, -7.527e-6, -2.141e-6
-0.156, -7.431e-6, -2.156e-6
-0.155, -7.402e-6, -2.171e-6
-0.154, -7.474e-6, -2.186e-6
-0.153, -7.468e-6, -2.201e-6
-0.152, -7.432e-6, -2.216e-6
-0.151, -7.468e-6, -2.231e-6
-0.150, -7.489e-6, -2.246e-6
-0.149, -7.404e-6, -2.261e-6
-0.148, -7.337e-6, -2.275e-6
-0.147, -7.318e-6, -2.290e-6
-0.146, -7.272e-6, -2.304e-6
-0.145, -7.265e-6, -2.319e-6
-0.144, -7.333e-6, -2.334e-6
-0.143, -7.362e-6, -2.348e-6
-0.142, -7.331e-6, -2.363e-6
-0.141, -7.378e-6, -2.378e-6
-0.140, -7.420e-6, -2.393e-6
-0.139, -7.370e-6, -2.407e-6
-0.138, -7.308e-6, -2.422e-6
-0.137, -7.340e-6, -2.437e-6
-0.136, -7.318e-6, -2.451e-6
-0.135, -7.340e-6, -2.466e-6
-0.134, -7.385e-6, -2.481e-6
-0.133, -7.452e-6, -2.496e-6
-0.132, -7.447e-6, -2.510e-6
-0.131, -7.534e-6, -2.526e-6
-0.130, -7.571e-6, -2.541e-6
-0.129, -7.526e-6, -2.556e-6
-0.128, -7.500e-6, -2.571e-6
-0.127, -7.537e-6, -2.586e-6
-0.126, -7.523e-6, -2.601e-6
-0.125, -7.567e-6, -2.616e-6
-0.124, -7.623e-6, -2.631e-6
-0.123, -7.716e-6, -2.647e-6
-0.122, -7.742e-6, -2.662e-6
-0.121, -7.795e-6, -2.678e-6
-0.120, -7.861e-6, -2.693e-6
-0.119, -7.873e-6, -2.709e-6
-0.118, -7.821e-6, -2.725e-6
-0.117, -7.895e-6, -2.741e-6
-0.116, -7.912e-6, -2.756e-6
-0.115, -7.940e-6, -2.772e-6
-0.114, -8.014e-6, -2.788e-6
-0.113, -8.134e-6, -2.805e-6
-0.112, -8.117e-6, -2.821e-6
-0.111, -8.206e-6, -2.837e-6
-0.110, -8.302e-6, -2.854e-6
-0.109, -8.276e-6, -2.870e-6
-0.108, -8.235e-6, -2.887e-6
-0.107, -8.298e-6, -2.904e-6
-0.106, -8.304e-6, -2.920e-6
-0.105, -8.329e-6, -2.937e-6
-0.104, -8.412e-6, -2.954e-6
-0.103, -8.505e-6, -2.971e-6
-0.102, -8.509e-6, -2.988e-6
-0.101, -8.675e-6, -3.005e-6
-0.100, -8.731e-6, -3.022e-6
-0.099, -8.661e-6, -3.040e-6
-0.098, -8.600e-6, -3.057e-6
-0.097, -8.646e-6, -3.074e-6
-0.096, -8.632e-6, -3.092e-6
-0.095, -8.624e-6, -3.109e-6
-0.094, -8.723e-6, -3.126e-6
-0.093, -8.802e-6, -3.144e-6
-0.092, -8.805e-6, -3.161e-6
-0.091, -8.840e-6, -3.179e-6
-0.090, -8.929e-6, -3.197e-6
-0.089, -8.888e-6, -3.215e-6
-0.088, -8.854e-6, -3.232e-6
-0.087, -8.888e-6, -3.250e-6
-0.086, -8.867e-6, -3.268e-6
