Oct. 11, 2023   14:26:43
Cyclic Voltammetry
File: c:\users\pku\desktop\zjx�绯ѧ\0.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0
High E (V) = 1.1
Low E (V) = -0.275
Init P/N = N
Scan Rate (V/s) = 0.2
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 2e-6

Segment 1:

Segment 2:

Segment 3:
Ep = 0.430V
ip = 3.043e-6A
Ah = 1.349e-6C

Ep = -0.245V
ip = 2.636e-6A
Ah = 7.551e-7C

Segment 4:

Segment 5:
Ep = 0.429V
ip = 3.204e-6A
Ah = 1.444e-6C

Ep = -0.174V
ip = 3.117e-6A
Ah = 1.641e-6C

Segment 6:

Potential/V, Current/A, Charge/C

Segment 1:
-0.001, 4.717e-7, 2.358e-9
-0.002, 5.209e-7, 4.963e-9
-0.003, 5.370e-7, 7.648e-9
-0.004, 5.775e-7, 1.053e-8
-0.005, 5.782e-7, 1.343e-8
-0.006, 5.789e-7, 1.632e-8
-0.007, 6.070e-7, 1.936e-8
-0.008, 6.394e-7, 2.255e-8
-0.009, 6.328e-7, 2.572e-8
-0.010, 6.374e-7, 2.890e-8
-0.011, 6.774e-7, 3.229e-8
-0.012, 6.862e-7, 3.572e-8
-0.013, 6.928e-7, 3.919e-8
-0.014, 6.955e-7, 4.266e-8
-0.015, 7.370e-7, 4.635e-8
-0.016, 7.577e-7, 5.014e-8
-0.017, 7.443e-7, 5.386e-8
-0.018, 7.578e-7, 5.765e-8
-0.019, 7.941e-7, 6.162e-8
-0.020, 8.222e-7, 6.573e-8
-0.021, 8.259e-7, 6.986e-8
-0.022, 8.209e-7, 7.396e-8
-0.023, 8.767e-7, 7.835e-8
-0.024, 8.874e-7, 8.278e-8
-0.025, 8.907e-7, 8.724e-8
-0.026, 8.804e-7, 9.164e-8
-0.027, 9.571e-7, 9.642e-8
-0.028, 1.001e-6, 1.014e-7
-0.029, 9.852e-7, 1.064e-7
-0.030, 9.762e-7, 1.112e-7
-0.031, 1.032e-6, 1.164e-7
-0.032, 1.061e-6, 1.217e-7
-0.033, 1.053e-6, 1.270e-7
-0.034, 1.074e-6, 1.323e-7
-0.035, 1.123e-6, 1.380e-7
-0.036, 1.148e-6, 1.437e-7
-0.037, 1.154e-6, 1.495e-7
-0.038, 1.159e-6, 1.553e-7
-0.039, 1.201e-6, 1.613e-7
-0.040, 1.259e-6, 1.676e-7
-0.041, 1.258e-6, 1.739e-7
-0.042, 1.248e-6, 1.801e-7
-0.043, 1.321e-6, 1.867e-7
-0.044, 1.356e-6, 1.935e-7
-0.045, 1.359e-6, 2.003e-7
-0.046, 1.363e-6, 2.071e-7
-0.047, 1.416e-6, 2.142e-7
-0.048, 1.448e-6, 2.214e-7
-0.049, 1.454e-6, 2.287e-7
-0.050, 1.462e-6, 2.360e-7
-0.051, 1.554e-6, 2.438e-7
-0.052, 1.581e-6, 2.517e-7
-0.053, 1.583e-6, 2.596e-7
-0.054, 1.571e-6, 2.674e-7
-0.055, 1.645e-6, 2.757e-7
-0.056, 1.703e-6, 2.842e-7
-0.057, 1.667e-6, 2.925e-7
-0.058, 1.670e-6, 3.008e-7
-0.059, 1.759e-6, 3.096e-7
-0.060, 1.782e-6, 3.185e-7
-0.061, 1.788e-6, 3.275e-7
-0.062, 1.778e-6, 3.364e-7
-0.063, 1.855e-6, 3.457e-7
-0.064, 1.910e-6, 3.552e-7
-0.065, 1.900e-6, 3.647e-7
-0.066, 1.884e-6, 3.741e-7
-0.067, 1.980e-6, 3.840e-7
-0.068, 2.015e-6, 3.941e-7
-0.069, 2.016e-6, 4.042e-7
-0.070, 1.987e-6, 4.141e-7
-0.071, 2.068e-6, 4.245e-7
-0.072, 2.139e-6, 4.352e-7
-0.073, 2.119e-6, 4.458e-7
-0.074, 2.099e-6, 4.562e-7
-0.075, 2.195e-6, 4.672e-7
-0.076, 2.241e-6, 4.784e-7
-0.077, 2.205e-6, 4.895e-7
-0.078, 2.198e-6, 5.004e-7
-0.079, 2.295e-6, 5.119e-7
-0.080, 2.336e-6, 5.236e-7
-0.081, 2.319e-6, 5.352e-7
-0.082, 2.322e-6, 5.468e-7
-0.083, 2.402e-6, 5.588e-7
-0.084, 2.433e-6, 5.710e-7
-0.085, 2.463e-6, 5.833e-7
-0.086, 2.423e-6, 5.954e-7
-0.087, 2.487e-6, 6.078e-7
-0.088, 2.574e-6, 6.207e-7
-0.089, 2.532e-6, 6.334e-7
-0.090, 2.494e-6, 6.458e-7
-0.091, 2.583e-6, 6.588e-7
-0.092, 2.624e-6, 6.719e-7
-0.093, 2.615e-6, 6.850e-7
-0.094, 2.583e-6, 6.979e-7
-0.095, 2.665e-6, 7.112e-7
-0.096, 2.708e-6, 7.247e-7
-0.097, 2.681e-6, 7.381e-7
-0.098, 2.665e-6, 7.515e-7
-0.099, 2.738e-6, 7.651e-7
-0.100, 2.766e-6, 7.790e-7
-0.101, 2.753e-6, 7.927e-7
-0.102, 2.710e-6, 8.063e-7
-0.103, 2.814e-6, 8.204e-7
-0.104, 2.852e-6, 8.346e-7
-0.105, 2.770e-6, 8.485e-7
-0.106, 2.748e-6, 8.622e-7
-0.107, 2.827e-6, 8.763e-7
-0.108, 2.846e-6, 8.906e-7
-0.109, 2.832e-6, 9.047e-7
-0.110, 2.763e-6, 9.185e-7
-0.111, 2.847e-6, 9.328e-7
-0.112, 2.889e-6, 9.472e-7
-0.113, 2.832e-6, 9.614e-7
-0.114, 2.802e-6, 9.754e-7
-0.115, 2.835e-6, 9.896e-7
-0.116, 2.872e-6, 1.004e-6
-0.117, 2.876e-6, 1.018e-6
-0.118, 2.799e-6, 1.032e-6
-0.119, 2.868e-6, 1.047e-6
-0.120, 2.896e-6, 1.061e-6
-0.121, 2.840e-6, 1.075e-6
-0.122, 2.809e-6, 1.089e-6
-0.123, 2.886e-6, 1.104e-6
-0.124, 2.895e-6, 1.118e-6
-0.125, 2.862e-6, 1.133e-6
-0.126, 2.792e-6, 1.147e-6
-0.127, 2.888e-6, 1.161e-6
-0.128, 2.880e-6, 1.175e-6
-0.129, 2.836e-6, 1.190e-6
-0.130, 2.816e-6, 1.204e-6
-0.131, 2.862e-6, 1.218e-6
-0.132, 2.907e-6, 1.232e-6
-0.133, 2.901e-6, 1.247e-6
-0.134, 2.803e-6, 1.261e-6
-0.135, 2.908e-6, 1.276e-6
-0.136, 2.932e-6, 1.290e-6
-0.137, 2.899e-6, 1.305e-6
-0.138, 2.834e-6, 1.319e-6
-0.139, 2.912e-6, 1.333e-6
-0.140, 2.960e-6, 1.348e-6
-0.141, 2.894e-6, 1.363e-6
-0.142, 2.872e-6, 1.377e-6
-0.143, 2.950e-6, 1.392e-6
-0.144, 2.998e-6, 1.407e-6
-0.145, 2.949e-6, 1.422e-6
-0.146, 2.915e-6, 1.436e-6
-0.147, 2.975e-6, 1.451e-6
-0.148, 3.013e-6, 1.466e-6
-0.149, 3.011e-6, 1.481e-6
-0.150, 2.953e-6, 1.496e-6
-0.151, 3.027e-6, 1.511e-6
-0.152, 3.088e-6, 1.526e-6
-0.153, 3.047e-6, 1.542e-6
-0.154, 3.065e-6, 1.557e-6
-0.155, 3.089e-6, 1.572e-6
-0.156, 3.161e-6, 1.588e-6
-0.157, 3.135e-6, 1.604e-6
-0.158, 3.062e-6, 1.619e-6
-0.159, 3.187e-6, 1.635e-6
-0.160, 3.255e-6, 1.651e-6
-0.161, 3.223e-6, 1.668e-6
-0.162, 3.176e-6, 1.683e-6
-0.163, 3.271e-6, 1.700e-6
-0.164, 3.323e-6, 1.716e-6
-0.165, 3.334e-6, 1.733e-6
-0.166, 3.287e-6, 1.750e-6
-0.167, 3.371e-6, 1.766e-6
-0.168, 3.459e-6, 1.784e-6
-0.169, 3.367e-6, 1.801e-6
-0.170, 3.426e-6, 1.818e-6
-0.171, 3.536e-6, 1.835e-6
-0.172, 3.583e-6, 1.853e-6
-0.173, 3.548e-6, 1.871e-6
-0.174, 3.542e-6, 1.889e-6
-0.175, 3.655e-6, 1.907e-6
-0.176, 3.714e-6, 1.926e-6
-0.177, 3.680e-6, 1.944e-6
-0.178, 3.667e-6, 1.962e-6
-0.179, 3.801e-6, 1.981e-6
-0.180, 3.842e-6, 2.000e-6
-0.181, 3.869e-6, 2.020e-6
-0.182, 3.819e-6, 2.039e-6
-0.183, 3.947e-6, 2.059e-6
-0.184, 4.026e-6, 2.079e-6
-0.185, 4.026e-6, 2.099e-6
-0.186, 3.917e-6, 2.119e-6
-0.187, 4.144e-6, 2.139e-6
-0.188, 4.213e-6, 2.160e-6
-0.189, 4.176e-6, 2.181e-6
-0.190, 4.160e-6, 2.202e-6
-0.191, 4.293e-6, 2.223e-6
-0.192, 4.353e-6, 2.245e-6
-0.193, 4.351e-6, 2.267e-6
-0.194, 4.331e-6, 2.289e-6
-0.195, 4.465e-6, 2.311e-6
-0.196, 4.540e-6, 2.334e-6
-0.197, 4.555e-6, 2.356e-6
-0.198, 4.476e-6, 2.379e-6
-0.199, 4.637e-6, 2.402e-6
-0.200, 4.678e-6, 2.425e-6
-0.201, 4.708e-6, 2.449e-6
-0.202, 4.654e-6, 2.472e-6
-0.203, 4.743e-6, 2.496e-6
-0.204, 4.880e-6, 2.520e-6
-0.205, 4.669e-6, 2.544e-6
-0.206, 4.704e-6, 2.567e-6
-0.207, 4.885e-6, 2.592e-6
-0.208, 5.007e-6, 2.617e-6
-0.209, 4.969e-6, 2.641e-6
-0.210, 4.926e-6, 2.666e-6
-0.211, 5.037e-6, 2.691e-6
-0.212, 5.028e-6, 2.716e-6
