Oct. 11, 2023   14:27:25
Cyclic Voltammetry
File: c:\users\pku\desktop\zjx�绯ѧ\0.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0
High E (V) = 1.1
Low E (V) = -0.275
Init P/N = N
Scan Rate (V/s) = 0.5
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 2e-6

Segment 1:
Ep = -0.238V
ip = 5.908e-6A
Ah = 5.577e-7C

Segment 2:

Segment 3:
Ep = 0.413V
ip = 6.759e-6A
Ah = 1.314e-6C

Ep = -0.237V
ip = 5.888e-6A
Ah = 5.651e-7C

Segment 4:

Segment 5:
Ep = 0.420V
ip = 7.000e-6A
Ah = 1.242e-6C

Ep = -0.230V
ip = 5.822e-6A
Ah = 4.901e-7C

Segment 6:

Potential/V, Current/A, Charge/C

Segment 1:
-0.001, 5.261e-7, 1.052e-9
-0.002, 1.061e-6, 3.175e-9
-0.003, 1.219e-6, 5.612e-9
-0.004, 1.273e-6, 8.157e-9
-0.005, 1.328e-6, 1.081e-8
-0.006, 1.371e-6, 1.356e-8
-0.007, 1.415e-6, 1.639e-8
-0.008, 1.466e-6, 1.932e-8
-0.009, 1.457e-6, 2.223e-8
-0.010, 1.462e-6, 2.516e-8
-0.011, 1.548e-6, 2.825e-8
-0.012, 1.567e-6, 3.139e-8
-0.013, 1.575e-6, 3.454e-8
-0.014, 1.644e-6, 3.782e-8
-0.015, 1.712e-6, 4.125e-8
-0.016, 1.711e-6, 4.467e-8
-0.017, 1.807e-6, 4.828e-8
-0.018, 1.815e-6, 5.191e-8
-0.019, 1.806e-6, 5.552e-8
-0.020, 1.852e-6, 5.923e-8
-0.021, 1.890e-6, 6.301e-8
-0.022, 1.935e-6, 6.688e-8
-0.023, 1.969e-6, 7.082e-8
-0.024, 2.021e-6, 7.486e-8
-0.025, 2.103e-6, 7.907e-8
-0.026, 2.132e-6, 8.333e-8
-0.027, 2.184e-6, 8.770e-8
-0.028, 2.245e-6, 9.219e-8
-0.029, 2.292e-6, 9.677e-8
-0.030, 2.369e-6, 1.015e-7
-0.031, 2.334e-6, 1.062e-7
-0.032, 2.387e-6, 1.110e-7
-0.033, 2.471e-6, 1.159e-7
-0.034, 2.529e-6, 1.210e-7
-0.035, 2.612e-6, 1.262e-7
-0.036, 2.685e-6, 1.315e-7
-0.037, 2.724e-6, 1.370e-7
-0.038, 2.780e-6, 1.426e-7
-0.039, 2.845e-6, 1.482e-7
-0.040, 2.879e-6, 1.540e-7
-0.041, 2.945e-6, 1.599e-7
-0.042, 2.978e-6, 1.658e-7
-0.043, 3.081e-6, 1.720e-7
-0.044, 3.127e-6, 1.783e-7
-0.045, 3.177e-6, 1.846e-7
-0.046, 3.285e-6, 1.912e-7
-0.047, 3.324e-6, 1.978e-7
-0.048, 3.414e-6, 2.047e-7
-0.049, 3.450e-6, 2.116e-7
-0.050, 3.530e-6, 2.186e-7
-0.051, 3.582e-6, 2.258e-7
-0.052, 3.603e-6, 2.330e-7
-0.053, 3.688e-6, 2.404e-7
-0.054, 3.790e-6, 2.480e-7
-0.055, 3.877e-6, 2.557e-7
-0.056, 3.950e-6, 2.636e-7
-0.057, 4.031e-6, 2.717e-7
-0.058, 4.033e-6, 2.797e-7
-0.059, 4.105e-6, 2.879e-7
-0.060, 4.173e-6, 2.963e-7
-0.061, 4.206e-6, 3.047e-7
-0.062, 4.242e-6, 3.132e-7
-0.063, 4.330e-6, 3.218e-7
-0.064, 4.404e-6, 3.306e-7
-0.065, 4.514e-6, 3.397e-7
-0.066, 4.579e-6, 3.488e-7
-0.067, 4.661e-6, 3.582e-7
-0.068, 4.703e-6, 3.676e-7
-0.069, 4.784e-6, 3.771e-7
-0.070, 4.819e-6, 3.868e-7
-0.071, 4.835e-6, 3.964e-7
-0.072, 4.874e-6, 4.062e-7
-0.073, 4.962e-6, 4.161e-7
-0.074, 5.037e-6, 4.262e-7
-0.075, 5.124e-6, 4.364e-7
-0.076, 5.226e-6, 4.469e-7
-0.077, 5.281e-6, 4.574e-7
-0.078, 5.314e-6, 4.681e-7
-0.079, 5.430e-6, 4.789e-7
-0.080, 5.411e-6, 4.898e-7
-0.081, 5.471e-6, 5.007e-7
-0.082, 5.493e-6, 5.117e-7
-0.083, 5.563e-6, 5.228e-7
-0.084, 5.612e-6, 5.340e-7
-0.085, 5.736e-6, 5.455e-7
-0.086, 5.853e-6, 5.572e-7
-0.087, 5.848e-6, 5.689e-7
-0.088, 5.896e-6, 5.807e-7
-0.089, 6.030e-6, 5.928e-7
-0.090, 6.074e-6, 6.049e-7
-0.091, 5.974e-6, 6.169e-7
-0.092, 6.096e-6, 6.291e-7
-0.093, 6.088e-6, 6.412e-7
-0.094, 6.156e-6, 6.535e-7
-0.095, 6.332e-6, 6.662e-7
-0.096, 6.394e-6, 6.790e-7
-0.097, 6.335e-6, 6.917e-7
-0.098, 6.410e-6, 7.045e-7
-0.099, 6.465e-6, 7.174e-7
-0.100, 6.458e-6, 7.303e-7
-0.101, 6.476e-6, 7.433e-7
-0.102, 6.486e-6, 7.562e-7
-0.103, 6.564e-6, 7.694e-7
-0.104, 6.639e-6, 7.827e-7
-0.105, 6.706e-6, 7.961e-7
-0.106, 6.744e-6, 8.096e-7
-0.107, 6.806e-6, 8.232e-7
-0.108, 6.751e-6, 8.367e-7
-0.109, 6.732e-6, 8.501e-7
-0.110, 6.741e-6, 8.636e-7
-0.111, 6.738e-6, 8.771e-7
-0.112, 6.738e-6, 8.906e-7
-0.113, 6.749e-6, 9.041e-7
-0.114, 6.750e-6, 9.176e-7
-0.115, 6.847e-6, 9.313e-7
-0.116, 6.903e-6, 9.451e-7
-0.117, 6.857e-6, 9.588e-7
-0.118, 6.894e-6, 9.726e-7
-0.119, 6.906e-6, 9.864e-7
-0.120, 6.832e-6, 1.000e-6
-0.121, 6.854e-6, 1.014e-6
-0.122, 6.764e-6, 1.027e-6
-0.123, 6.750e-6, 1.041e-6
-0.124, 6.852e-6, 1.054e-6
-0.125, 6.809e-6, 1.068e-6
-0.126, 6.877e-6, 1.082e-6
-0.127, 6.892e-6, 1.096e-6
-0.128, 6.873e-6, 1.109e-6
-0.129, 6.835e-6, 1.123e-6
-0.130, 6.789e-6, 1.137e-6
-0.131, 6.790e-6, 1.150e-6
-0.132, 6.768e-6, 1.164e-6
-0.133, 6.835e-6, 1.177e-6
-0.134, 6.822e-6, 1.191e-6
-0.135, 6.773e-6, 1.205e-6
-0.136, 6.906e-6, 1.218e-6
-0.137, 6.927e-6, 1.232e-6
-0.138, 6.821e-6, 1.246e-6
-0.139, 6.859e-6, 1.260e-6
-0.140, 6.829e-6, 1.273e-6
-0.141, 6.840e-6, 1.287e-6
-0.142, 6.766e-6, 1.301e-6
-0.143, 6.852e-6, 1.314e-6
-0.144, 6.865e-6, 1.328e-6
-0.145, 6.965e-6, 1.342e-6
-0.146, 6.992e-6, 1.356e-6
-0.147, 7.082e-6, 1.370e-6
-0.148, 6.940e-6, 1.384e-6
-0.149, 6.980e-6, 1.398e-6
-0.150, 7.029e-6, 1.412e-6
-0.151, 6.997e-6, 1.426e-6
-0.152, 6.972e-6, 1.440e-6
-0.153, 7.056e-6, 1.454e-6
-0.154, 7.110e-6, 1.468e-6
-0.155, 7.250e-6, 1.483e-6
-0.156, 7.292e-6, 1.497e-6
-0.157, 7.278e-6, 1.512e-6
-0.158, 7.318e-6, 1.526e-6
-0.159, 7.364e-6, 1.541e-6
-0.160, 7.398e-6, 1.556e-6
-0.161, 7.370e-6, 1.571e-6
-0.162, 7.399e-6, 1.586e-6
-0.163, 7.481e-6, 1.600e-6
-0.164, 7.569e-6, 1.616e-6
-0.165, 7.633e-6, 1.631e-6
-0.166, 7.756e-6, 1.646e-6
-0.167, 7.840e-6, 1.662e-6
-0.168, 7.803e-6, 1.678e-6
-0.169, 7.925e-6, 1.694e-6
-0.170, 7.966e-6, 1.709e-6
-0.171, 7.957e-6, 1.725e-6
-0.172, 8.032e-6, 1.741e-6
-0.173, 8.080e-6, 1.758e-6
-0.174, 8.174e-6, 1.774e-6
-0.175, 8.426e-6, 1.791e-6
-0.176, 8.457e-6, 1.808e-6
-0.177, 8.466e-6, 1.825e-6
-0.178, 8.588e-6, 1.842e-6
-0.179, 8.697e-6, 1.859e-6
-0.180, 8.706e-6, 1.877e-6
-0.181, 8.797e-6, 1.894e-6
-0.182, 8.910e-6, 1.912e-6
-0.183, 8.936e-6, 1.930e-6
-0.184, 9.049e-6, 1.948e-6
-0.185, 9.330e-6, 1.967e-6
-0.186, 9.432e-6, 1.986e-6
-0.187, 9.482e-6, 2.005e-6
-0.188, 9.472e-6, 2.023e-6
-0.189, 9.639e-6, 2.043e-6
-0.190, 9.732e-6, 2.062e-6
-0.191, 9.782e-6, 2.082e-6
-0.192, 9.882e-6, 2.102e-6
-0.193, 9.952e-6, 2.121e-6
-0.194, 1.010e-5, 2.142e-6
-0.195, 1.035e-5, 2.162e-6
-0.196, 1.039e-5, 2.183e-6
-0.197, 1.048e-5, 2.204e-6
-0.198, 1.062e-5, 2.225e-6
-0.199, 1.071e-5, 2.247e-6
-0.200, 1.072e-5, 2.268e-6
-0.201, 1.081e-5, 2.290e-6
-0.202, 1.085e-5, 2.311e-6
-0.203, 1.096e-5, 2.333e-6
-0.204, 1.109e-5, 2.356e-6
-0.205, 1.122e-5, 2.378e-6
-0.206, 1.115e-5, 2.400e-6
-0.207, 1.137e-5, 2.423e-6
-0.208, 1.154e-5, 2.446e-6
-0.209, 1.163e-5, 2.469e-6
-0.210, 1.163e-5, 2.493e-6
