Oct. 11, 2023   15:00:15
Cyclic Voltammetry
File: c:\users\pku\desktop\zjx�绯ѧ\meoh.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0
High E (V) = 1.1
Low E (V) = -0.275
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:

Segment 2:
Ep = 0.492V
ip = -6.816e-6A
Ah = -5.721e-6C

Segment 3:
Ep = 0.486V
ip = 9.023e-7A
Ah = 6.746e-7C

Segment 4:
Ep = 0.488V
ip = -6.397e-6A
Ah = -5.427e-6C

Segment 5:
Ep = 0.488V
ip = 9.039e-7A
Ah = 6.791e-7C

Segment 6:
Ep = 0.488V
ip = -7.016e-6A
Ah = -6.196e-6C

Potential/V, Current/A, Charge/C

Segment 1:
-0.001, 8.468e-7, 8.468e-9
-0.002, 8.562e-7, 1.703e-8
-0.003, 8.598e-7, 2.563e-8
-0.004, 8.585e-7, 3.421e-8
-0.005, 8.627e-7, 4.284e-8
-0.006, 8.627e-7, 5.147e-8
-0.007, 8.677e-7, 6.014e-8
-0.008, 8.706e-7, 6.885e-8
-0.009, 8.759e-7, 7.761e-8
-0.010, 8.776e-7, 8.639e-8
-0.011, 8.812e-7, 9.520e-8
-0.012, 8.840e-7, 1.040e-7
-0.013, 8.909e-7, 1.129e-7
-0.014, 8.939e-7, 1.219e-7
-0.015, 9.020e-7, 1.309e-7
-0.016, 9.053e-7, 1.400e-7
-0.017, 9.124e-7, 1.491e-7
-0.018, 9.180e-7, 1.583e-7
-0.019, 9.236e-7, 1.675e-7
-0.020, 9.230e-7, 1.767e-7
-0.021, 9.287e-7, 1.860e-7
-0.022, 9.283e-7, 1.953e-7
-0.023, 9.321e-7, 2.046e-7
-0.024, 9.334e-7, 2.140e-7
-0.025, 9.364e-7, 2.233e-7
-0.026, 9.342e-7, 2.327e-7
-0.027, 9.422e-7, 2.421e-7
-0.028, 9.409e-7, 2.515e-7
-0.029, 9.481e-7, 2.610e-7
-0.030, 9.484e-7, 2.705e-7
-0.031, 9.561e-7, 2.800e-7
-0.032, 9.587e-7, 2.896e-7
-0.033, 9.708e-7, 2.993e-7
-0.034, 9.752e-7, 3.091e-7
-0.035, 9.852e-7, 3.189e-7
-0.036, 9.896e-7, 3.288e-7
-0.037, 1.002e-6, 3.388e-7
-0.038, 1.006e-6, 3.489e-7
-0.039, 1.019e-6, 3.591e-7
-0.040, 1.021e-6, 3.693e-7
-0.041, 1.028e-6, 3.796e-7
-0.042, 1.033e-6, 3.899e-7
-0.043, 1.043e-6, 4.003e-7
-0.044, 1.041e-6, 4.107e-7
-0.045, 1.051e-6, 4.212e-7
-0.046, 1.048e-6, 4.317e-7
-0.047, 1.060e-6, 4.423e-7
-0.048, 1.062e-6, 4.529e-7
-0.049, 1.073e-6, 4.637e-7
-0.050, 1.073e-6, 4.744e-7
-0.051, 1.078e-6, 4.852e-7
-0.052, 1.080e-6, 4.960e-7
-0.053, 1.089e-6, 5.069e-7
-0.054, 1.084e-6, 5.177e-7
-0.055, 1.093e-6, 5.286e-7
-0.056, 1.091e-6, 5.396e-7
-0.057, 1.102e-6, 5.506e-7
-0.058, 1.102e-6, 5.616e-7
-0.059, 1.116e-6, 5.728e-7
-0.060, 1.115e-6, 5.839e-7
-0.061, 1.131e-6, 5.952e-7
-0.062, 1.134e-6, 6.066e-7
-0.063, 1.148e-6, 6.180e-7
-0.064, 1.152e-6, 6.296e-7
-0.065, 1.168e-6, 6.413e-7
-0.066, 1.169e-6, 6.529e-7
-0.067, 1.179e-6, 6.647e-7
-0.068, 1.178e-6, 6.765e-7
-0.069, 1.192e-6, 6.884e-7
-0.070, 1.191e-6, 7.003e-7
-0.071, 1.203e-6, 7.124e-7
-0.072, 1.207e-6, 7.244e-7
-0.073, 1.219e-6, 7.366e-7
-0.074, 1.220e-6, 7.488e-7
-0.075, 1.232e-6, 7.612e-7
-0.076, 1.231e-6, 7.735e-7
-0.077, 1.244e-6, 7.859e-7
-0.078, 1.241e-6, 7.983e-7
-0.079, 1.265e-6, 8.110e-7
-0.080, 1.261e-6, 8.236e-7
-0.081, 1.275e-6, 8.363e-7
-0.082, 1.274e-6, 8.491e-7
-0.083, 1.291e-6, 8.620e-7
-0.084, 1.288e-6, 8.749e-7
-0.085, 1.309e-6, 8.880e-7
-0.086, 1.306e-6, 9.010e-7
-0.087, 1.325e-6, 9.143e-7
-0.088, 1.326e-6, 9.275e-7
-0.089, 1.344e-6, 9.410e-7
-0.090, 1.342e-6, 9.544e-7
-0.091, 1.361e-6, 9.680e-7
-0.092, 1.360e-6, 9.816e-7
-0.093, 1.375e-6, 9.953e-7
-0.094, 1.371e-6, 1.009e-6
-0.095, 1.387e-6, 1.023e-6
-0.096, 1.386e-6, 1.037e-6
-0.097, 1.410e-6, 1.051e-6
-0.098, 1.408e-6, 1.065e-6
-0.099, 1.435e-6, 1.079e-6
-0.100, 1.429e-6, 1.094e-6
-0.101, 1.459e-6, 1.108e-6
-0.102, 1.454e-6, 1.123e-6
-0.103, 1.485e-6, 1.138e-6
-0.104, 1.476e-6, 1.152e-6
-0.105, 1.503e-6, 1.167e-6
-0.106, 1.495e-6, 1.182e-6
-0.107, 1.522e-6, 1.198e-6
-0.108, 1.513e-6, 1.213e-6
-0.109, 1.532e-6, 1.228e-6
-0.110, 1.521e-6, 1.243e-6
-0.111, 1.552e-6, 1.259e-6
-0.112, 1.535e-6, 1.274e-6
-0.113, 1.556e-6, 1.290e-6
-0.114, 1.555e-6, 1.305e-6
-0.115, 1.579e-6, 1.321e-6
-0.116, 1.575e-6, 1.337e-6
-0.117, 1.612e-6, 1.353e-6
-0.118, 1.599e-6, 1.369e-6
-0.119, 1.632e-6, 1.385e-6
-0.120, 1.625e-6, 1.401e-6
-0.121, 1.649e-6, 1.418e-6
-0.122, 1.644e-6, 1.434e-6
-0.123, 1.665e-6, 1.451e-6
-0.124, 1.657e-6, 1.468e-6
-0.125, 1.685e-6, 1.484e-6
-0.126, 1.675e-6, 1.501e-6
-0.127, 1.703e-6, 1.518e-6
-0.128, 1.694e-6, 1.535e-6
-0.129, 1.722e-6, 1.552e-6
-0.130, 1.716e-6, 1.570e-6
-0.131, 1.739e-6, 1.587e-6
-0.132, 1.731e-6, 1.604e-6
-0.133, 1.764e-6, 1.622e-6
-0.134, 1.751e-6, 1.639e-6
-0.135, 1.772e-6, 1.657e-6
-0.136, 1.764e-6, 1.675e-6
-0.137, 1.789e-6, 1.693e-6
-0.138, 1.774e-6, 1.710e-6
-0.139, 1.806e-6, 1.728e-6
-0.140, 1.790e-6, 1.746e-6
-0.141, 1.821e-6, 1.765e-6
-0.142, 1.807e-6, 1.783e-6
-0.143, 1.838e-6, 1.801e-6
-0.144, 1.823e-6, 1.819e-6
-0.145, 1.841e-6, 1.838e-6
-0.146, 1.834e-6, 1.856e-6
-0.147, 1.868e-6, 1.875e-6
-0.148, 1.839e-6, 1.893e-6
-0.149, 1.877e-6, 1.912e-6
-0.150, 1.857e-6, 1.930e-6
-0.151, 1.886e-6, 1.949e-6
-0.152, 1.869e-6, 1.968e-6
-0.153, 1.889e-6, 1.987e-6
-0.154, 1.882e-6, 2.006e-6
-0.155, 1.908e-6, 2.025e-6
-0.156, 1.884e-6, 2.044e-6
-0.157, 1.921e-6, 2.063e-6
-0.158, 1.893e-6, 2.082e-6
-0.159, 1.937e-6, 2.101e-6
-0.160, 1.913e-6, 2.120e-6
-0.161, 1.943e-6, 2.140e-6
-0.162, 1.926e-6, 2.159e-6
-0.163, 1.954e-6, 2.178e-6
-0.164, 1.930e-6, 2.198e-6
-0.165, 1.968e-6, 2.217e-6
-0.166, 1.942e-6, 2.237e-6
-0.167, 1.981e-6, 2.257e-6
-0.168, 1.958e-6, 2.276e-6
-0.169, 1.990e-6, 2.296e-6
-0.170, 1.969e-6, 2.316e-6
-0.171, 1.999e-6, 2.336e-6
-0.172, 1.982e-6, 2.356e-6
-0.173, 2.020e-6, 2.376e-6
-0.174, 1.992e-6, 2.396e-6
-0.175, 2.034e-6, 2.416e-6
-0.176, 2.011e-6, 2.436e-6
-0.177, 2.047e-6, 2.457e-6
-0.178, 2.022e-6, 2.477e-6
-0.179, 2.045e-6, 2.497e-6
-0.180, 2.014e-6, 2.517e-6
-0.181, 2.065e-6, 2.538e-6
-0.182, 2.024e-6, 2.558e-6
-0.183, 2.074e-6, 2.579e-6
-0.184, 2.046e-6, 2.600e-6
-0.185, 2.084e-6, 2.620e-6
-0.186, 2.061e-6, 2.641e-6
-0.187, 2.105e-6, 2.662e-6
-0.188, 2.073e-6, 2.683e-6
-0.189, 2.115e-6, 2.704e-6
-0.190, 2.095e-6, 2.725e-6
-0.191, 2.143e-6, 2.746e-6
-0.192, 2.114e-6, 2.767e-6
-0.193, 2.151e-6, 2.789e-6
-0.194, 2.144e-6, 2.810e-6
-0.195, 2.181e-6, 2.832e-6
-0.196, 2.152e-6, 2.854e-6
-0.197, 2.197e-6, 2.876e-6
-0.198, 2.169e-6, 2.897e-6
-0.199, 2.208e-6, 2.919e-6
-0.200, 2.178e-6, 2.941e-6
-0.201, 2.226e-6, 2.964e-6
-0.202, 2.185e-6, 2.985e-6
-0.203, 2.226e-6, 3.008e-6
-0.204, 2.182e-6, 3.029e-6
-0.205, 2.176e-6, 3.051e-6
-0.206, 2.164e-6, 3.073e-6
-0.207, 2.229e-6, 3.095e-6
-0.208, 2.192e-6, 3.117e-6
-0.209, 2.237e-6, 3.139e-6
-0.210, 2.219e-6, 3.162e-6
