Oct. 11, 2023   14:42:06
Cyclic Voltammetry
File: c:\users\pku\desktop\zjxµç»¯Ñ§\o2-¾²Ö¹.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0
High E (V) = 1.1
Low E (V) = -0.275
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:
Ep = -0.238V
ip = 8.576e-7A
Ah = 3.640e-7C

Segment 2:

Segment 3:
Ep = 0.369V
ip = 8.221e-6A
Ah = 6.695e-6C

Ep = -0.241V
ip = 1.182e-6A
Ah = 5.837e-7C

Segment 4:

Segment 5:
Ep = 0.376V
ip = 7.787e-6A
Ah = 6.292e-6C

Ep = -0.236V
ip = 1.186e-6A
Ah = 5.020e-7C

Segment 6:

Potential/V, Current/A, Charge/C

Segment 1:
-0.001, 8.015e-6, 8.015e-8
-0.002, 8.049e-6, 1.606e-7
-0.003, 8.041e-6, 2.410e-7
-0.004, 8.048e-6, 3.215e-7
-0.005, 8.035e-6, 4.019e-7
-0.006, 8.038e-6, 4.823e-7
-0.007, 8.027e-6, 5.625e-7
-0.008, 8.033e-6, 6.429e-7
-0.009, 8.015e-6, 7.230e-7
-0.010, 8.026e-6, 8.033e-7
-0.011, 8.008e-6, 8.833e-7
-0.012, 8.012e-6, 9.635e-7
-0.013, 8.006e-6, 1.044e-6
-0.014, 8.008e-6, 1.124e-6
-0.015, 7.986e-6, 1.203e-6
-0.016, 7.999e-6, 1.283e-6
-0.017, 7.985e-6, 1.363e-6
-0.018, 7.990e-6, 1.443e-6
-0.019, 7.976e-6, 1.523e-6
-0.020, 7.987e-6, 1.603e-6
-0.021, 7.969e-6, 1.683e-6
-0.022, 7.981e-6, 1.762e-6
-0.023, 7.963e-6, 1.842e-6
-0.024, 7.976e-6, 1.922e-6
-0.025, 7.960e-6, 2.001e-6
-0.026, 7.969e-6, 2.081e-6
-0.027, 7.955e-6, 2.161e-6
-0.028, 7.972e-6, 2.240e-6
-0.029, 7.956e-6, 2.320e-6
-0.030, 7.966e-6, 2.399e-6
-0.031, 7.957e-6, 2.479e-6
-0.032, 7.970e-6, 2.559e-6
-0.033, 7.947e-6, 2.638e-6
-0.034, 7.972e-6, 2.718e-6
-0.035, 7.956e-6, 2.798e-6
-0.036, 7.965e-6, 2.877e-6
-0.037, 7.956e-6, 2.957e-6
-0.038, 7.972e-6, 3.036e-6
-0.039, 7.955e-6, 3.116e-6
-0.040, 7.978e-6, 3.196e-6
-0.041, 7.957e-6, 3.275e-6
-0.042, 7.981e-6, 3.355e-6
-0.043, 7.962e-6, 3.435e-6
-0.044, 7.986e-6, 3.515e-6
-0.045, 7.963e-6, 3.594e-6
-0.046, 7.987e-6, 3.674e-6
-0.047, 7.973e-6, 3.754e-6
-0.048, 7.991e-6, 3.834e-6
-0.049, 7.977e-6, 3.914e-6
-0.050, 8.002e-6, 3.994e-6
-0.051, 7.980e-6, 4.073e-6
-0.052, 8.014e-6, 4.153e-6
-0.053, 7.986e-6, 4.233e-6
-0.054, 8.008e-6, 4.313e-6
-0.055, 7.989e-6, 4.393e-6
-0.056, 8.018e-6, 4.473e-6
-0.057, 7.994e-6, 4.553e-6
-0.058, 8.026e-6, 4.634e-6
-0.059, 7.999e-6, 4.714e-6
-0.060, 8.032e-6, 4.794e-6
-0.061, 8.017e-6, 4.874e-6
-0.062, 8.032e-6, 4.954e-6
-0.063, 8.009e-6, 5.035e-6
-0.064, 8.039e-6, 5.115e-6
-0.065, 8.013e-6, 5.195e-6
-0.066, 8.049e-6, 5.276e-6
-0.067, 8.017e-6, 5.356e-6
-0.068, 8.055e-6, 5.436e-6
-0.069, 8.032e-6, 5.517e-6
-0.070, 8.064e-6, 5.597e-6
-0.071, 8.031e-6, 5.678e-6
-0.072, 8.063e-6, 5.758e-6
-0.073, 8.044e-6, 5.839e-6
-0.074, 8.075e-6, 5.919e-6
-0.075, 8.045e-6, 6.000e-6
-0.076, 8.084e-6, 6.081e-6
-0.077, 8.050e-6, 6.161e-6
-0.078, 8.089e-6, 6.242e-6
-0.079, 8.062e-6, 6.323e-6
-0.080, 8.102e-6, 6.404e-6
-0.081, 8.062e-6, 6.484e-6
-0.082, 8.105e-6, 6.565e-6
-0.083, 8.079e-6, 6.646e-6
-0.084, 8.102e-6, 6.727e-6
-0.085, 8.082e-6, 6.808e-6
-0.086, 8.112e-6, 6.889e-6
-0.087, 8.087e-6, 6.970e-6
-0.088, 8.128e-6, 7.051e-6
-0.089, 8.100e-6, 7.132e-6
-0.090, 8.132e-6, 7.214e-6
-0.091, 8.097e-6, 7.295e-6
-0.092, 8.134e-6, 7.376e-6
-0.093, 8.102e-6, 7.457e-6
-0.094, 8.136e-6, 7.538e-6
-0.095, 8.108e-6, 7.619e-6
-0.096, 8.141e-6, 7.701e-6
-0.097, 8.107e-6, 7.782e-6
-0.098, 8.152e-6, 7.863e-6
-0.099, 8.115e-6, 7.945e-6
-0.100, 8.152e-6, 8.026e-6
-0.101, 8.117e-6, 8.107e-6
-0.102, 8.166e-6, 8.189e-6
-0.103, 8.131e-6, 8.270e-6
-0.104, 8.160e-6, 8.352e-6
-0.105, 8.114e-6, 8.433e-6
-0.106, 8.166e-6, 8.515e-6
-0.107, 8.129e-6, 8.596e-6
-0.108, 8.157e-6, 8.677e-6
-0.109, 8.109e-6, 8.759e-6
-0.110, 8.161e-6, 8.840e-6
-0.111, 8.113e-6, 8.921e-6
-0.112, 8.150e-6, 9.003e-6
-0.113, 8.110e-6, 9.084e-6
-0.114, 8.156e-6, 9.165e-6
-0.115, 8.112e-6, 9.247e-6
-0.116, 8.141e-6, 9.328e-6
-0.117, 8.119e-6, 9.409e-6
-0.118, 8.149e-6, 9.491e-6
-0.119, 8.108e-6, 9.572e-6
-0.120, 8.148e-6, 9.653e-6
-0.121, 8.099e-6, 9.734e-6
-0.122, 8.142e-6, 9.816e-6
-0.123, 8.110e-6, 9.897e-6
-0.124, 8.128e-6, 9.978e-6
-0.125, 8.093e-6, 1.006e-5
-0.126, 8.123e-6, 1.014e-5
-0.127, 8.090e-6, 1.022e-5
-0.128, 8.123e-6, 1.030e-5
-0.129, 8.078e-6, 1.038e-5
-0.130, 8.129e-6, 1.046e-5
-0.131, 8.082e-6, 1.055e-5
-0.132, 8.121e-6, 1.063e-5
-0.133, 8.080e-6, 1.071e-5
-0.134, 8.117e-6, 1.079e-5
-0.135, 8.077e-6, 1.087e-5
-0.136, 8.118e-6, 1.095e-5
-0.137, 8.082e-6, 1.103e-5
-0.138, 8.100e-6, 1.111e-5
-0.139, 8.064e-6, 1.119e-5
-0.140, 8.110e-6, 1.127e-5
-0.141, 8.073e-6, 1.135e-5
-0.142, 8.097e-6, 1.144e-5
-0.143, 8.091e-6, 1.152e-5
-0.144, 8.097e-6, 1.160e-5
-0.145, 8.066e-6, 1.168e-5
-0.146, 8.125e-6, 1.176e-5
-0.147, 8.063e-6, 1.184e-5
-0.148, 8.108e-6, 1.192e-5
-0.149, 8.079e-6, 1.200e-5
-0.150, 8.118e-6, 1.208e-5
-0.151, 8.077e-6, 1.216e-5
-0.152, 8.133e-6, 1.225e-5
-0.153, 8.088e-6, 1.233e-5
-0.154, 8.141e-6, 1.241e-5
-0.155, 8.095e-6, 1.249e-5
-0.156, 8.138e-6, 1.257e-5
-0.157, 8.097e-6, 1.265e-5
-0.158, 8.141e-6, 1.273e-5
-0.159, 8.117e-6, 1.281e-5
-0.160, 8.155e-6, 1.289e-5
-0.161, 8.133e-6, 1.298e-5
-0.162, 8.173e-6, 1.306e-5
-0.163, 8.132e-6, 1.314e-5
-0.164, 8.174e-6, 1.322e-5
-0.165, 8.145e-6, 1.330e-5
-0.166, 8.198e-6, 1.338e-5
-0.167, 8.156e-6, 1.347e-5
-0.168, 8.217e-6, 1.355e-5
-0.169, 8.171e-6, 1.363e-5
-0.170, 8.235e-6, 1.371e-5
-0.171, 8.197e-6, 1.379e-5
-0.172, 8.260e-6, 1.388e-5
-0.173, 8.215e-6, 1.396e-5
-0.174, 8.263e-6, 1.404e-5
-0.175, 8.244e-6, 1.412e-5
-0.176, 8.300e-6, 1.421e-5
-0.177, 8.256e-6, 1.429e-5
-0.178, 8.325e-6, 1.437e-5
-0.179, 8.269e-6, 1.446e-5
-0.180, 8.329e-6, 1.454e-5
-0.181, 8.306e-6, 1.462e-5
-0.182, 8.364e-6, 1.471e-5
-0.183, 8.326e-6, 1.479e-5
-0.184, 8.391e-6, 1.487e-5
-0.185, 8.355e-6, 1.496e-5
-0.186, 8.420e-6, 1.504e-5
-0.187, 8.386e-6, 1.512e-5
-0.188, 8.452e-6, 1.521e-5
-0.189, 8.406e-6, 1.529e-5
-0.190, 8.474e-6, 1.538e-5
-0.191, 8.443e-6, 1.546e-5
-0.192, 8.501e-6, 1.555e-5
-0.193, 8.465e-6, 1.563e-5
-0.194, 8.557e-6, 1.572e-5
-0.195, 8.505e-6, 1.580e-5
-0.196, 8.571e-6, 1.589e-5
-0.197, 8.548e-6, 1.597e-5
-0.198, 8.600e-6, 1.606e-5
-0.199, 8.570e-6, 1.615e-5
-0.200, 8.640e-6, 1.623e-5
-0.201, 8.595e-6, 1.632e-5
-0.202, 8.672e-6, 1.640e-5
-0.203, 8.620e-6, 1.649e-5
-0.204, 8.692e-6, 1.658e-5
-0.205, 8.590e-6, 1.666e-5
-0.206, 8.688e-6, 1.675e-5
-0.207, 8.684e-6, 1.684e-5
-0.208, 8.739e-6, 1.692e-5
-0.209, 8.682e-6, 1.701e-5
