Oct. 11, 2023   14:35:11
Cyclic Voltammetry
File: c:\users\pku\desktop\zjx电化学\o2-高速.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0
High E (V) = 1.1
Low E (V) = -0.275
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:

Segment 2:
Segment 3:
Ep = 0.052V
ip = 1.431e-5A
Ah = 1.232e-5C

Segment 4:
Segment 5:
Ep = 0.265V
ip = 1.820e-5A
Ah = 2.227e-5C

Ep = -0.099V
ip = 1.239e-5A
Ah = 2.364e-6C

Segment 6:

Potential/V, Current/A, Charge/C

Segment 1:
-0.001, 2.433e-5, 2.433e-7
-0.002, 2.450e-5, 4.883e-7
-0.003, 2.465e-5, 7.349e-7
-0.004, 2.479e-5, 9.828e-7
-0.005, 2.493e-5, 1.232e-6
-0.006, 2.507e-5, 1.483e-6
-0.007, 2.499e-5, 1.733e-6
-0.008, 2.469e-5, 1.980e-6
-0.009, 2.424e-5, 2.222e-6
-0.010, 2.378e-5, 2.460e-6
-0.011, 2.337e-5, 2.694e-6
-0.012, 2.298e-5, 2.923e-6
-0.013, 2.267e-5, 3.150e-6
-0.014, 2.255e-5, 3.375e-6
-0.015, 2.268e-5, 3.602e-6
-0.016, 2.307e-5, 3.833e-6
-0.017, 2.371e-5, 4.070e-6
-0.018, 2.456e-5, 4.316e-6
-0.019, 2.547e-5, 4.570e-6
-0.020, 2.621e-5, 4.833e-6
-0.021, 2.662e-5, 5.099e-6
-0.022, 2.674e-5, 5.366e-6
-0.023, 2.651e-5, 5.631e-6
-0.024, 2.585e-5, 5.890e-6
-0.025, 2.477e-5, 6.138e-6
-0.026, 2.377e-5, 6.375e-6
-0.027, 2.313e-5, 6.607e-6
-0.028, 2.301e-5, 6.837e-6
-0.029, 2.320e-5, 7.069e-6
-0.030, 2.342e-5, 7.303e-6
-0.031, 2.350e-5, 7.538e-6
-0.032, 2.358e-5, 7.774e-6
-0.033, 2.356e-5, 8.009e-6
-0.034, 2.347e-5, 8.244e-6
-0.035, 2.337e-5, 8.478e-6
-0.036, 2.365e-5, 8.714e-6
-0.037, 2.444e-5, 8.959e-6
-0.038, 2.525e-5, 9.211e-6
-0.039, 2.547e-5, 9.466e-6
-0.040, 2.530e-5, 9.719e-6
-0.041, 2.506e-5, 9.969e-6
-0.042, 2.461e-5, 1.022e-5
-0.043, 2.401e-5, 1.046e-5
-0.044, 2.365e-5, 1.069e-5
-0.045, 2.374e-5, 1.093e-5
-0.046, 2.436e-5, 1.117e-5
-0.047, 2.508e-5, 1.142e-5
-0.048, 2.546e-5, 1.168e-5
-0.049, 2.540e-5, 1.193e-5
-0.050, 2.525e-5, 1.218e-5
-0.051, 2.510e-5, 1.244e-5
-0.052, 2.480e-5, 1.268e-5
-0.053, 2.436e-5, 1.293e-5
-0.054, 2.402e-5, 1.317e-5
-0.055, 2.382e-5, 1.341e-5
-0.056, 2.355e-5, 1.364e-5
-0.057, 2.305e-5, 1.387e-5
-0.058, 2.246e-5, 1.410e-5
-0.059, 2.183e-5, 1.431e-5
-0.060, 2.125e-5, 1.453e-5
-0.061, 2.068e-5, 1.473e-5
-0.062, 2.022e-5, 1.494e-5
-0.063, 1.983e-5, 1.513e-5
-0.064, 1.955e-5, 1.533e-5
-0.065, 1.936e-5, 1.552e-5
-0.066, 1.942e-5, 1.572e-5
-0.067, 1.966e-5, 1.591e-5
-0.068, 1.988e-5, 1.611e-5
-0.069, 1.978e-5, 1.631e-5
-0.070, 1.947e-5, 1.651e-5
-0.071, 1.915e-5, 1.670e-5
-0.072, 1.913e-5, 1.689e-5
-0.073, 1.932e-5, 1.708e-5
-0.074, 1.955e-5, 1.728e-5
-0.075, 1.962e-5, 1.747e-5
-0.076, 1.970e-5, 1.767e-5
-0.077, 1.984e-5, 1.787e-5
-0.078, 2.023e-5, 1.807e-5
-0.079, 2.075e-5, 1.828e-5
-0.080, 2.131e-5, 1.849e-5
-0.081, 2.176e-5, 1.871e-5
-0.082, 2.217e-5, 1.893e-5
-0.083, 2.241e-5, 1.916e-5
-0.084, 2.262e-5, 1.938e-5
-0.085, 2.286e-5, 1.961e-5
-0.086, 2.324e-5, 1.984e-5
-0.087, 2.360e-5, 2.008e-5
-0.088, 2.406e-5, 2.032e-5
-0.089, 2.464e-5, 2.057e-5
-0.090, 2.529e-5, 2.082e-5
-0.091, 2.566e-5, 2.107e-5
-0.092, 2.581e-5, 2.133e-5
-0.093, 2.566e-5, 2.159e-5
-0.094, 2.546e-5, 2.184e-5
-0.095, 2.528e-5, 2.210e-5
-0.096, 2.528e-5, 2.235e-5
-0.097, 2.537e-5, 2.260e-5
-0.098, 2.564e-5, 2.286e-5
-0.099, 2.594e-5, 2.312e-5
-0.100, 2.621e-5, 2.338e-5
-0.101, 2.636e-5, 2.364e-5
-0.102, 2.649e-5, 2.391e-5
-0.103, 2.668e-5, 2.418e-5
-0.104, 2.699e-5, 2.445e-5
-0.105, 2.707e-5, 2.472e-5
-0.106, 2.653e-5, 2.498e-5
-0.107, 2.530e-5, 2.524e-5
-0.108, 2.402e-5, 2.548e-5
-0.109, 2.316e-5, 2.571e-5
-0.110, 2.268e-5, 2.593e-5
-0.111, 2.225e-5, 2.616e-5
-0.112, 2.186e-5, 2.638e-5
-0.113, 2.136e-5, 2.659e-5
-0.114, 2.090e-5, 2.680e-5
-0.115, 2.048e-5, 2.700e-5
-0.116, 2.031e-5, 2.721e-5
-0.117, 2.031e-5, 2.741e-5
-0.118, 2.051e-5, 2.761e-5
-0.119, 2.073e-5, 2.782e-5
-0.120, 2.109e-5, 2.803e-5
-0.121, 2.146e-5, 2.825e-5
-0.122, 2.182e-5, 2.846e-5
-0.123, 2.207e-5, 2.869e-5
-0.124, 2.233e-5, 2.891e-5
-0.125, 2.232e-5, 2.913e-5
-0.126, 2.201e-5, 2.935e-5
-0.127, 2.150e-5, 2.957e-5
-0.128, 2.105e-5, 2.978e-5
-0.129, 2.062e-5, 2.998e-5
-0.130, 2.041e-5, 3.019e-5
-0.131, 2.041e-5, 3.039e-5
-0.132, 2.065e-5, 3.060e-5
-0.133, 2.087e-5, 3.081e-5
-0.134, 2.107e-5, 3.102e-5
-0.135, 2.129e-5, 3.123e-5
-0.136, 2.156e-5, 3.145e-5
-0.137, 2.147e-5, 3.166e-5
-0.138, 2.099e-5, 3.187e-5
-0.139, 2.024e-5, 3.207e-5
-0.140, 1.964e-5, 3.227e-5
-0.141, 1.944e-5, 3.246e-5
-0.142, 1.955e-5, 3.266e-5
-0.143, 1.953e-5, 3.285e-5
-0.144, 1.947e-5, 3.305e-5
-0.145, 1.930e-5, 3.324e-5
-0.146, 1.915e-5, 3.343e-5
-0.147, 1.891e-5, 3.362e-5
-0.148, 1.866e-5, 3.381e-5
-0.149, 1.836e-5, 3.399e-5
-0.150, 1.824e-5, 3.418e-5
-0.151, 1.829e-5, 3.436e-5
-0.152, 1.847e-5, 3.454e-5
-0.153, 1.856e-5, 3.473e-5
-0.154, 1.867e-5, 3.492e-5
-0.155, 1.881e-5, 3.510e-5
-0.156, 1.911e-5, 3.529e-5
-0.157, 1.937e-5, 3.549e-5
-0.158, 1.965e-5, 3.569e-5
-0.159, 2.000e-5, 3.589e-5
-0.160, 2.059e-5, 3.609e-5
-0.161, 2.123e-5, 3.630e-5
-0.162, 2.178e-5, 3.652e-5
-0.163, 2.194e-5, 3.674e-5
-0.164, 2.176e-5, 3.696e-5
-0.165, 2.121e-5, 3.717e-5
-0.166, 2.034e-5, 3.737e-5
-0.167, 1.930e-5, 3.757e-5
-0.168, 1.852e-5, 3.775e-5
-0.169, 1.789e-5, 3.793e-5
-0.170, 1.757e-5, 3.811e-5
-0.171, 1.747e-5, 3.828e-5
-0.172, 1.753e-5, 3.846e-5
-0.173, 1.755e-5, 3.863e-5
-0.174, 1.772e-5, 3.881e-5
-0.175, 1.802e-5, 3.899e-5
-0.176, 1.859e-5, 3.917e-5
-0.177, 1.930e-5, 3.937e-5
-0.178, 2.001e-5, 3.957e-5
-0.179, 2.038e-5, 3.977e-5
-0.180, 2.063e-5, 3.998e-5
-0.181, 2.078e-5, 4.019e-5
-0.182, 2.105e-5, 4.040e-5
-0.183, 2.138e-5, 4.061e-5
-0.184, 2.177e-5, 4.083e-5
-0.185, 2.204e-5, 4.105e-5
-0.186, 2.221e-5, 4.127e-5
-0.187, 2.212e-5, 4.149e-5
-0.188, 2.189e-5, 4.171e-5
-0.189, 2.150e-5, 4.193e-5
-0.190, 2.111e-5, 4.214e-5
-0.191, 2.082e-5, 4.234e-5
-0.192, 2.092e-5, 4.255e-5
-0.193, 2.119e-5, 4.277e-5
-0.194, 2.164e-5, 4.298e-5
-0.195, 2.224e-5, 4.320e-5
-0.196, 2.315e-5, 4.344e-5
-0.197, 2.414e-5, 4.368e-5
-0.198, 2.517e-5, 4.393e-5
-0.199, 2.587e-5, 4.419e-5
-0.200, 2.631e-5, 4.445e-5
-0.201, 2.642e-5, 4.472e-5
-0.202, 2.638e-5, 4.498e-5
-0.203, 2.620e-5, 4.524e-5
-0.204, 2.607e-5, 4.550e-5
-0.205, 2.572e-5, 4.576e-5
-0.206, 2.546e-5, 4.601e-5
-0.207, 2.507e-5, 4.626e-5
-0.208, 2.468e-5, 4.651e-5
-0.209, 2.425e-5, 4.675e-5
-0.210, 2.386e-5, 4.699e-5
-0.211, 2.326e-5, 4.722e-5
-0.212, 2.268e-5, 4.745e-5
-0.213, 2.206e-5, 4.767e-5
