Nov. 1, 2023   13:45:28
Cyclic Voltammetry
File: c:\users\pku\desktop\zqk\o2-fast.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.29
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.005
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:
Ep = 0.285V
ip = 2.422e-5A
Ah = 3.165e-5C

Ep = 0.070V
ip = 1.951e-5A
Ah = 3.934e-6C

Segment 2:
Segment 3:
Ep = 0.235V
ip = 8.228e-6A
Ah = 5.070e-6C

Ep = -0.175V
ip = 5.663e-6A
Ah = 3.066e-6C

Segment 4:
Segment 5:
Ep = 0.260V
ip = 2.614e-5A
Ah = 3.505e-5C

Ep = 0.015V
ip = 1.134e-5A
Ah = 1.908e-6C

Segment 6:
Potential/V, Current/A, Charge/C

Segment 1:
0.645, 8.939e-8, 4.470e-9
0.640, 1.819e-7, 1.357e-8
0.635, 2.657e-7, 2.685e-8
0.630, 2.913e-7, 4.142e-8
0.625, 3.623e-7, 5.953e-8
0.620, 3.966e-7, 7.936e-8
0.615, 4.278e-7, 1.008e-7
0.610, 4.977e-7, 1.256e-7
0.605, 5.148e-7, 1.514e-7
0.600, 5.845e-7, 1.806e-7
0.595, 6.322e-7, 2.122e-7
0.590, 6.753e-7, 2.460e-7
0.585, 7.702e-7, 2.845e-7
0.580, 8.158e-7, 3.253e-7
0.575, 9.043e-7, 3.705e-7
0.570, 9.913e-7, 4.201e-7
0.565, 1.064e-6, 4.733e-7
0.560, 1.196e-6, 5.331e-7
0.555, 1.286e-6, 5.974e-7
0.550, 1.424e-6, 6.686e-7
0.545, 1.575e-6, 7.473e-7
0.540, 1.714e-6, 8.330e-7
0.535, 1.920e-6, 9.290e-7
0.530, 2.101e-6, 1.034e-6
0.525, 2.339e-6, 1.151e-6
0.520, 2.606e-6, 1.281e-6
0.515, 2.864e-6, 1.424e-6
0.510, 3.218e-6, 1.585e-6
0.505, 3.545e-6, 1.763e-6
0.500, 3.943e-6, 1.960e-6
0.495, 4.388e-6, 2.179e-6
0.490, 4.826e-6, 2.420e-6
0.485, 5.366e-6, 2.689e-6
0.480, 5.925e-6, 2.985e-6
0.475, 6.512e-6, 3.311e-6
0.470, 7.189e-6, 3.670e-6
0.465, 7.852e-6, 4.063e-6
0.460, 8.561e-6, 4.491e-6
0.455, 9.196e-6, 4.951e-6
0.450, 9.870e-6, 5.444e-6
0.445, 1.060e-5, 5.974e-6
0.440, 1.134e-5, 6.541e-6
0.435, 1.216e-5, 7.149e-6
0.430, 1.300e-5, 7.799e-6
0.425, 1.372e-5, 8.485e-6
0.420, 1.443e-5, 9.207e-6
0.415, 1.526e-5, 9.970e-6
0.410, 1.617e-5, 1.078e-5
0.405, 1.664e-5, 1.161e-5
0.400, 1.719e-5, 1.247e-5
0.395, 1.807e-5, 1.337e-5
0.390, 1.877e-5, 1.431e-5
0.385, 1.913e-5, 1.527e-5
0.380, 2.099e-5, 1.632e-5
0.375, 2.320e-5, 1.748e-5
0.370, 2.437e-5, 1.870e-5
0.365, 2.421e-5, 1.991e-5
0.360, 2.354e-5, 2.108e-5
0.355, 2.343e-5, 2.226e-5
0.350, 2.463e-5, 2.349e-5
0.345, 2.645e-5, 2.481e-5
0.340, 2.698e-5, 2.616e-5
0.335, 2.677e-5, 2.750e-5
0.330, 2.595e-5, 2.879e-5
0.325, 2.552e-5, 3.007e-5
0.320, 2.478e-5, 3.131e-5
0.315, 2.356e-5, 3.249e-5
0.310, 2.258e-5, 3.362e-5
0.305, 2.421e-5, 3.483e-5
0.300, 2.761e-5, 3.621e-5
0.295, 2.823e-5, 3.762e-5
0.290, 2.800e-5, 3.902e-5
0.285, 2.907e-5, 4.047e-5
0.280, 2.736e-5, 4.184e-5
0.275, 2.534e-5, 4.311e-5
0.270, 2.580e-5, 4.440e-5
0.265, 2.899e-5, 4.585e-5
0.260, 2.939e-5, 4.732e-5
0.255, 2.763e-5, 4.870e-5
0.250, 2.942e-5, 5.017e-5
0.245, 3.316e-5, 5.183e-5
0.240, 3.201e-5, 5.343e-5
0.235, 3.096e-5, 5.497e-5
0.230, 2.834e-5, 5.639e-5
0.225, 2.933e-5, 5.786e-5
0.220, 2.917e-5, 5.932e-5
0.215, 2.768e-5, 6.070e-5
0.210, 2.692e-5, 6.205e-5
0.205, 2.387e-5, 6.324e-5
0.200, 2.256e-5, 6.437e-5
0.195, 2.346e-5, 6.554e-5
0.190, 2.405e-5, 6.674e-5
0.185, 2.392e-5, 6.794e-5
0.180, 2.418e-5, 6.915e-5
0.175, 2.504e-5, 7.040e-5
0.170, 2.666e-5, 7.173e-5
0.165, 2.726e-5, 7.310e-5
0.160, 2.832e-5, 7.451e-5
0.155, 2.835e-5, 7.593e-5
0.150, 2.606e-5, 7.723e-5
0.145, 2.780e-5, 7.862e-5
0.140, 3.578e-5, 8.041e-5
0.135, 3.909e-5, 8.237e-5
0.130, 3.551e-5, 8.414e-5
0.125, 3.137e-5, 8.571e-5
0.120, 3.042e-5, 8.723e-5
0.115, 3.086e-5, 8.877e-5
0.110, 2.780e-5, 9.016e-5
0.105, 2.568e-5, 9.145e-5
0.100, 2.555e-5, 9.273e-5
0.095, 2.477e-5, 9.396e-5
0.090, 2.315e-5, 9.512e-5
0.085, 2.497e-5, 9.637e-5
0.080, 2.911e-5, 9.783e-5
0.075, 3.929e-5, 9.979e-5
0.070, 4.974e-5, 1.023e-4
0.065, 4.335e-5, 1.044e-4
0.060, 3.682e-5, 1.063e-4
0.055, 3.515e-5, 1.080e-4
0.050, 3.090e-5, 1.096e-4
0.045, 3.082e-5, 1.111e-4
0.040, 3.250e-5, 1.128e-4
0.035, 3.258e-5, 1.144e-4
0.030, 3.202e-5, 1.160e-4
0.025, 3.268e-5, 1.176e-4
0.020, 3.680e-5, 1.195e-4
0.015, 3.255e-5, 1.211e-4
0.010, 3.104e-5, 1.226e-4
0.005, 3.619e-5, 1.244e-4
0.000, 3.883e-5, 1.264e-4
-0.005, 4.208e-5, 1.285e-4
-0.010, 3.767e-5, 1.304e-4
-0.015, 3.252e-5, 1.320e-4
-0.020, 3.284e-5, 1.336e-4
-0.025, 3.261e-5, 1.353e-4
-0.030, 3.222e-5, 1.369e-4
-0.035, 3.017e-5, 1.384e-4
-0.040, 2.681e-5, 1.397e-4
-0.045, 2.595e-5, 1.410e-4
-0.050, 2.420e-5, 1.422e-4
-0.055, 2.674e-5, 1.436e-4
-0.060, 3.730e-5, 1.454e-4
-0.065, 3.693e-5, 1.473e-4
-0.070, 3.510e-5, 1.490e-4
-0.075, 3.629e-5, 1.509e-4
-0.080, 3.687e-5, 1.527e-4
-0.085, 3.766e-5, 1.546e-4
-0.090, 3.326e-5, 1.563e-4
-0.095, 3.241e-5, 1.579e-4
-0.100, 3.624e-5, 1.597e-4
-0.105, 3.640e-5, 1.615e-4
-0.110, 3.527e-5, 1.633e-4
-0.115, 3.512e-5, 1.650e-4
-0.120, 3.647e-5, 1.668e-4
-0.125, 3.422e-5, 1.686e-4
-0.130, 3.215e-5, 1.702e-4
-0.135, 3.069e-5, 1.717e-4
-0.140, 3.096e-5, 1.732e-4
-0.145, 2.931e-5, 1.747e-4
-0.150, 3.115e-5, 1.763e-4
-0.155, 3.932e-5, 1.782e-4
-0.160, 3.231e-5, 1.799e-4
-0.165, 2.924e-5, 1.813e-4
-0.170, 3.029e-5, 1.828e-4
-0.175, 3.305e-5, 1.845e-4
-0.180, 3.714e-5, 1.863e-4
-0.185, 4.163e-5, 1.884e-4
-0.190, 4.669e-5, 1.908e-4
-0.195, 4.072e-5, 1.928e-4
-0.200, 3.472e-5, 1.945e-4
-0.205, 3.169e-5, 1.961e-4
-0.210, 3.101e-5, 1.977e-4
-0.215, 2.995e-5, 1.992e-4
-0.220, 2.749e-5, 2.005e-4
-0.225, 2.990e-5, 2.020e-4
-0.230, 3.459e-5, 2.038e-4
-0.235, 3.641e-5, 2.056e-4
-0.240, 3.412e-5, 2.073e-4
-0.245, 3.257e-5, 2.089e-4
-0.250, 3.210e-5, 2.105e-4
-0.255, 2.876e-5, 2.120e-4
-0.260, 2.933e-5, 2.134e-4
-0.265, 3.100e-5, 2.150e-4
-0.270, 3.167e-5, 2.166e-4
-0.275, 3.594e-5, 2.184e-4
-0.280, 3.289e-5, 2.200e-4
-0.285, 3.058e-5, 2.215e-4
-0.290, 2.728e-5, 2.229e-4

Segment 2:
-0.285, 2.536e-5, 2.242e-4
-0.280, 2.761e-5, 2.255e-4
-0.275, 3.363e-5, 2.272e-4
-0.270, 3.153e-5, 2.288e-4
-0.265, 2.821e-5, 2.302e-4
-0.260, 2.911e-5, 2.317e-4
-0.255, 3.357e-5, 2.333e-4
-0.250, 3.516e-5, 2.351e-4
-0.245, 3.611e-5, 2.369e-4
-0.240, 3.413e-5, 2.386e-4
-0.235, 3.255e-5, 2.402e-4
-0.230, 3.023e-5, 2.417e-4
-0.225, 2.880e-5, 2.432e-4
-0.220, 2.407e-5, 2.444e-4
-0.215, 2.601e-5, 2.457e-4
-0.210, 3.214e-5, 2.473e-4
-0.205, 3.213e-5, 2.489e-4
-0.200, 3.271e-5, 2.505e-4
-0.195, 2.904e-5, 2.520e-4
-0.190, 2.876e-5, 2.534e-4
-0.185, 2.961e-5, 2.549e-4
-0.180, 3.555e-5, 2.567e-4
-0.175, 3.237e-5, 2.583e-4
-0.170, 3.157e-5, 2.599e-4
-0.165, 3.214e-5, 2.615e-4
-0.160, 3.079e-5, 2.630e-4
