Nov. 1, 2023   13:47:35
Cyclic Voltammetry
File: c:\users\pku\desktop\zqk\o2-mid.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.29
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.005
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:
Ep = 0.370V
ip = 1.523e-5A
Ah = 1.221e-5C

Segment 2:

Segment 3:
Ep = 0.375V
ip = 1.518e-5A
Ah = 1.161e-5C

Ep = -0.255V
ip = 1.766e-6A
Ah = 2.147e-6C

Segment 4:
Segment 5:
Ep = 0.380V
ip = 1.568e-5A
Ah = 1.153e-5C

Ep = -0.285V
ip = 2.076e-6A
Ah = 1.367e-6C

Segment 6:

Potential/V, Current/A, Charge/C

Segment 1:
0.645, 2.239e-7, 1.120e-8
0.640, 2.754e-7, 2.497e-8
0.635, 3.163e-7, 4.078e-8
0.630, 3.517e-7, 5.837e-8
0.625, 3.874e-7, 7.774e-8
0.620, 4.210e-7, 9.879e-8
0.615, 4.540e-7, 1.215e-7
0.610, 4.944e-7, 1.462e-7
0.605, 5.347e-7, 1.729e-7
0.600, 5.762e-7, 2.018e-7
0.595, 6.205e-7, 2.328e-7
0.590, 6.689e-7, 2.662e-7
0.585, 7.243e-7, 3.024e-7
0.580, 7.841e-7, 3.416e-7
0.575, 8.439e-7, 3.838e-7
0.570, 9.086e-7, 4.293e-7
0.565, 9.803e-7, 4.783e-7
0.560, 1.056e-6, 5.311e-7
0.555, 1.140e-6, 5.881e-7
0.550, 1.229e-6, 6.495e-7
0.545, 1.330e-6, 7.160e-7
0.540, 1.437e-6, 7.879e-7
0.535, 1.560e-6, 8.659e-7
0.530, 1.691e-6, 9.505e-7
0.525, 1.836e-6, 1.042e-6
0.520, 2.000e-6, 1.142e-6
0.515, 2.179e-6, 1.251e-6
0.510, 2.390e-6, 1.371e-6
0.505, 2.614e-6, 1.501e-6
0.500, 2.864e-6, 1.645e-6
0.495, 3.156e-6, 1.802e-6
0.490, 3.476e-6, 1.976e-6
0.485, 3.846e-6, 2.169e-6
0.480, 4.261e-6, 2.382e-6
0.475, 4.730e-6, 2.618e-6
0.470, 5.257e-6, 2.881e-6
0.465, 5.855e-6, 3.174e-6
0.460, 6.519e-6, 3.500e-6
0.455, 7.243e-6, 3.862e-6
0.450, 8.018e-6, 4.263e-6
0.445, 8.849e-6, 4.705e-6
0.440, 9.715e-6, 5.191e-6
0.435, 1.061e-5, 5.721e-6
0.430, 1.149e-5, 6.296e-6
0.425, 1.238e-5, 6.915e-6
0.420, 1.323e-5, 7.576e-6
0.415, 1.403e-5, 8.278e-6
0.410, 1.476e-5, 9.016e-6
0.405, 1.542e-5, 9.787e-6
0.400, 1.599e-5, 1.059e-5
0.395, 1.647e-5, 1.141e-5
0.390, 1.685e-5, 1.225e-5
0.385, 1.714e-5, 1.311e-5
0.380, 1.734e-5, 1.398e-5
0.375, 1.746e-5, 1.485e-5
0.370, 1.751e-5, 1.572e-5
0.365, 1.750e-5, 1.660e-5
0.360, 1.744e-5, 1.747e-5
0.355, 1.734e-5, 1.834e-5
0.350, 1.720e-5, 1.920e-5
0.345, 1.706e-5, 2.005e-5
0.340, 1.691e-5, 2.090e-5
0.335, 1.674e-5, 2.173e-5
0.330, 1.657e-5, 2.256e-5
0.325, 1.641e-5, 2.338e-5
0.320, 1.624e-5, 2.419e-5
0.315, 1.609e-5, 2.500e-5
0.310, 1.593e-5, 2.580e-5
0.305, 1.577e-5, 2.658e-5
0.300, 1.564e-5, 2.737e-5
0.295, 1.553e-5, 2.814e-5
0.290, 1.540e-5, 2.891e-5
0.285, 1.528e-5, 2.968e-5
0.280, 1.517e-5, 3.044e-5
0.275, 1.507e-5, 3.119e-5
0.270, 1.496e-5, 3.194e-5
0.265, 1.484e-5, 3.268e-5
0.260, 1.476e-5, 3.342e-5
0.255, 1.471e-5, 3.415e-5
0.250, 1.463e-5, 3.488e-5
0.245, 1.453e-5, 3.561e-5
0.240, 1.446e-5, 3.633e-5
0.235, 1.442e-5, 3.705e-5
0.230, 1.439e-5, 3.777e-5
0.225, 1.428e-5, 3.849e-5
0.220, 1.418e-5, 3.920e-5
0.215, 1.412e-5, 3.990e-5
0.210, 1.406e-5, 4.061e-5
0.205, 1.399e-5, 4.130e-5
0.200, 1.393e-5, 4.200e-5
0.195, 1.383e-5, 4.269e-5
0.190, 1.376e-5, 4.338e-5
0.185, 1.375e-5, 4.407e-5
0.180, 1.370e-5, 4.475e-5
0.175, 1.362e-5, 4.543e-5
0.170, 1.356e-5, 4.611e-5
0.165, 1.352e-5, 4.679e-5
0.160, 1.344e-5, 4.746e-5
0.155, 1.337e-5, 4.813e-5
0.150, 1.330e-5, 4.879e-5
0.145, 1.322e-5, 4.945e-5
0.140, 1.318e-5, 5.011e-5
0.135, 1.311e-5, 5.077e-5
0.130, 1.301e-5, 5.142e-5
0.125, 1.294e-5, 5.207e-5
0.120, 1.291e-5, 5.271e-5
0.115, 1.286e-5, 5.335e-5
0.110, 1.278e-5, 5.399e-5
0.105, 1.268e-5, 5.463e-5
0.100, 1.261e-5, 5.526e-5
0.095, 1.256e-5, 5.589e-5
0.090, 1.250e-5, 5.651e-5
0.085, 1.241e-5, 5.713e-5
0.080, 1.232e-5, 5.775e-5
0.075, 1.223e-5, 5.836e-5
0.070, 1.217e-5, 5.897e-5
0.065, 1.210e-5, 5.957e-5
0.060, 1.203e-5, 6.017e-5
0.055, 1.198e-5, 6.077e-5
0.050, 1.193e-5, 6.137e-5
0.045, 1.188e-5, 6.196e-5
0.040, 1.185e-5, 6.256e-5
0.035, 1.181e-5, 6.315e-5
0.030, 1.179e-5, 6.374e-5
0.025, 1.178e-5, 6.432e-5
0.020, 1.176e-5, 6.491e-5
0.015, 1.174e-5, 6.550e-5
0.010, 1.175e-5, 6.609e-5
0.005, 1.179e-5, 6.668e-5
0.000, 1.178e-5, 6.727e-5
-0.005, 1.174e-5, 6.785e-5
-0.010, 1.173e-5, 6.844e-5
-0.015, 1.172e-5, 6.902e-5
-0.020, 1.176e-5, 6.961e-5
-0.025, 1.179e-5, 7.020e-5
-0.030, 1.182e-5, 7.079e-5
-0.035, 1.185e-5, 7.139e-5
-0.040, 1.189e-5, 7.198e-5
-0.045, 1.193e-5, 7.258e-5
-0.050, 1.200e-5, 7.318e-5
-0.055, 1.205e-5, 7.378e-5
-0.060, 1.209e-5, 7.438e-5
-0.065, 1.212e-5, 7.499e-5
-0.070, 1.217e-5, 7.560e-5
-0.075, 1.223e-5, 7.621e-5
-0.080, 1.226e-5, 7.682e-5
-0.085, 1.228e-5, 7.744e-5
-0.090, 1.229e-5, 7.805e-5
-0.095, 1.230e-5, 7.867e-5
-0.100, 1.232e-5, 7.928e-5
-0.105, 1.233e-5, 7.990e-5
-0.110, 1.233e-5, 8.052e-5
-0.115, 1.225e-5, 8.113e-5
-0.120, 1.220e-5, 8.174e-5
-0.125, 1.216e-5, 8.235e-5
-0.130, 1.213e-5, 8.295e-5
-0.135, 1.206e-5, 8.356e-5
-0.140, 1.200e-5, 8.416e-5
-0.145, 1.197e-5, 8.475e-5
-0.150, 1.193e-5, 8.535e-5
-0.155, 1.192e-5, 8.595e-5
-0.160, 1.190e-5, 8.654e-5
-0.165, 1.190e-5, 8.714e-5
-0.170, 1.190e-5, 8.773e-5
-0.175, 1.190e-5, 8.833e-5
-0.180, 1.191e-5, 8.892e-5
-0.185, 1.193e-5, 8.952e-5
-0.190, 1.197e-5, 9.012e-5
-0.195, 1.201e-5, 9.072e-5
-0.200, 1.203e-5, 9.132e-5
-0.205, 1.203e-5, 9.192e-5
-0.210, 1.209e-5, 9.253e-5
-0.215, 1.212e-5, 9.313e-5
-0.220, 1.216e-5, 9.374e-5
-0.225, 1.219e-5, 9.435e-5
-0.230, 1.217e-5, 9.496e-5
-0.235, 1.217e-5, 9.557e-5
-0.240, 1.218e-5, 9.618e-5
-0.245, 1.216e-5, 9.678e-5
-0.250, 1.213e-5, 9.739e-5
-0.255, 1.209e-5, 9.799e-5
-0.260, 1.201e-5, 9.859e-5
-0.265, 1.197e-5, 9.919e-5
-0.270, 1.193e-5, 9.979e-5
-0.275, 1.184e-5, 1.004e-4
-0.280, 1.177e-5, 1.010e-4
-0.285, 1.170e-5, 1.016e-4
-0.290, 9.662e-6, 1.020e-4

Segment 2:
-0.285, 8.315e-6, 1.025e-4
-0.280, 7.893e-6, 1.028e-4
-0.275, 7.584e-6, 1.032e-4
-0.270, 7.334e-6, 1.036e-4
-0.265, 7.147e-6, 1.040e-4
-0.260, 6.959e-6, 1.043e-4
-0.255, 6.779e-6, 1.046e-4
-0.250, 6.633e-6, 1.050e-4
-0.245, 6.508e-6, 1.053e-4
-0.240, 6.397e-6, 1.056e-4
-0.235, 6.307e-6, 1.059e-4
-0.230, 6.229e-6, 1.062e-4
-0.225, 6.160e-6, 1.066e-4
-0.220, 6.120e-6, 1.069e-4
-0.215, 6.094e-6, 1.072e-4
-0.210, 6.071e-6, 1.075e-4
-0.205, 6.072e-6, 1.078e-4
-0.200, 6.041e-6, 1.081e-4
-0.195, 6.034e-6, 1.084e-4
-0.190, 6.056e-6, 1.087e-4
-0.185, 6.085e-6, 1.090e-4
-0.180, 6.109e-6, 1.093e-4
-0.175, 6.166e-6, 1.096e-4
-0.170, 6.213e-6, 1.099e-4
-0.165, 6.240e-6, 1.102e-4
-0.160, 6.274e-6, 1.105e-4
-0.155, 6.326e-6, 1.108e-4
-0.150, 6.401e-6, 1.112e-4
