Nov. 1, 2023   13:39:19
Cyclic Voltammetry
File: c:\users\pku\desktop\zqk\comp\¿ìËÙ.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.29
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.005
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:
Ep = 0.270V
ip = 1.305e-5A
Ah = 1.524e-5C

Ep = -0.040V
ip = 6.598e-6A
Ah = 4.456e-7C

Segment 2:
Segment 3:
Ep = 0.280V
ip = 2.321e-5A
Ah = 2.859e-5C

Ep = -0.075V
ip = 8.067e-6A
Ah = 7.032e-7C

Segment 4:
Segment 5:
Ep = 0.280V
ip = 2.534e-5A
Ah = 2.880e-5C

Ep = -0.055V
ip = 5.822e-6A
Ah = 9.294e-7C

Segment 6:
Potential/V, Current/A, Charge/C

Segment 1:
0.645, 6.790e-8, 3.395e-9
0.640, 1.412e-7, 1.045e-8
0.635, 2.343e-7, 2.217e-8
0.630, 2.646e-7, 3.540e-8
0.625, 3.206e-7, 5.143e-8
0.620, 3.736e-7, 7.011e-8
0.615, 3.914e-7, 8.968e-8
0.610, 4.596e-7, 1.127e-7
0.605, 4.843e-7, 1.369e-7
0.600, 5.346e-7, 1.636e-7
0.595, 5.926e-7, 1.932e-7
0.590, 6.206e-7, 2.243e-7
0.585, 6.991e-7, 2.592e-7
0.580, 7.509e-7, 2.968e-7
0.575, 8.165e-7, 3.376e-7
0.570, 9.028e-7, 3.827e-7
0.565, 9.571e-7, 4.306e-7
0.560, 1.062e-6, 4.837e-7
0.555, 1.145e-6, 5.409e-7
0.550, 1.239e-6, 6.029e-7
0.545, 1.368e-6, 6.713e-7
0.540, 1.469e-6, 7.448e-7
0.535, 1.620e-6, 8.258e-7
0.530, 1.760e-6, 9.138e-7
0.525, 1.909e-6, 1.009e-6
0.520, 2.102e-6, 1.114e-6
0.515, 2.271e-6, 1.228e-6
0.510, 2.500e-6, 1.353e-6
0.505, 2.720e-6, 1.489e-6
0.500, 2.951e-6, 1.636e-6
0.495, 3.247e-6, 1.799e-6
0.490, 3.506e-6, 1.974e-6
0.485, 3.822e-6, 2.165e-6
0.480, 4.149e-6, 2.373e-6
0.475, 4.473e-6, 2.596e-6
0.470, 4.855e-6, 2.839e-6
0.465, 5.202e-6, 3.099e-6
0.460, 5.621e-6, 3.380e-6
0.455, 6.040e-6, 3.682e-6
0.450, 6.475e-6, 4.006e-6
0.445, 6.977e-6, 4.355e-6
0.440, 7.450e-6, 4.727e-6
0.435, 8.011e-6, 5.128e-6
0.430, 8.659e-6, 5.561e-6
0.425, 9.204e-6, 6.021e-6
0.420, 9.709e-6, 6.506e-6
0.415, 1.014e-5, 7.014e-6
0.410, 1.061e-5, 7.544e-6
0.405, 1.104e-5, 8.096e-6
0.400, 1.141e-5, 8.667e-6
0.395, 1.195e-5, 9.264e-6
0.390, 1.244e-5, 9.886e-6
0.385, 1.274e-5, 1.052e-5
0.380, 1.341e-5, 1.119e-5
0.375, 1.442e-5, 1.192e-5
0.370, 1.525e-5, 1.268e-5
0.365, 1.605e-5, 1.348e-5
0.360, 1.638e-5, 1.430e-5
0.355, 1.665e-5, 1.513e-5
0.350, 1.788e-5, 1.603e-5
0.345, 1.902e-5, 1.698e-5
0.340, 1.991e-5, 1.797e-5
0.335, 2.079e-5, 1.901e-5
0.330, 2.200e-5, 2.011e-5
0.325, 2.272e-5, 2.125e-5
0.320, 2.285e-5, 2.239e-5
0.315, 2.281e-5, 2.353e-5
0.310, 2.307e-5, 2.468e-5
0.305, 2.408e-5, 2.589e-5
0.300, 2.426e-5, 2.710e-5
0.295, 2.428e-5, 2.831e-5
0.290, 2.390e-5, 2.951e-5
0.285, 2.299e-5, 3.066e-5
0.280, 2.261e-5, 3.179e-5
0.275, 2.430e-5, 3.300e-5
0.270, 2.510e-5, 3.426e-5
0.265, 2.416e-5, 3.547e-5
0.260, 2.283e-5, 3.661e-5
0.255, 2.195e-5, 3.771e-5
0.250, 2.170e-5, 3.879e-5
0.245, 2.066e-5, 3.983e-5
0.240, 2.017e-5, 4.083e-5
0.235, 2.060e-5, 4.186e-5
0.230, 2.113e-5, 4.292e-5
0.225, 2.275e-5, 4.406e-5
0.220, 2.371e-5, 4.524e-5
0.215, 2.303e-5, 4.639e-5
0.210, 2.350e-5, 4.757e-5
0.205, 2.377e-5, 4.876e-5
0.200, 2.625e-5, 5.007e-5
0.195, 2.552e-5, 5.135e-5
0.190, 2.341e-5, 5.252e-5
0.185, 2.447e-5, 5.374e-5
0.180, 2.557e-5, 5.502e-5
0.175, 2.935e-5, 5.649e-5
0.170, 3.358e-5, 5.817e-5
0.165, 3.253e-5, 5.979e-5
0.160, 3.189e-5, 6.139e-5
0.155, 2.984e-5, 6.288e-5
0.150, 2.955e-5, 6.436e-5
0.145, 3.066e-5, 6.589e-5
0.140, 3.065e-5, 6.742e-5
0.135, 3.072e-5, 6.896e-5
0.130, 2.988e-5, 7.045e-5
0.125, 2.716e-5, 7.181e-5
0.120, 2.649e-5, 7.313e-5
0.115, 2.505e-5, 7.439e-5
0.110, 2.561e-5, 7.567e-5
0.105, 2.730e-5, 7.703e-5
0.100, 2.779e-5, 7.842e-5
0.095, 3.085e-5, 7.996e-5
0.090, 2.995e-5, 8.146e-5
0.085, 2.901e-5, 8.291e-5
0.080, 2.836e-5, 8.433e-5
0.075, 2.990e-5, 8.583e-5
0.070, 3.160e-5, 8.741e-5
0.065, 3.060e-5, 8.894e-5
0.060, 3.129e-5, 9.050e-5
0.055, 3.213e-5, 9.211e-5
0.050, 3.310e-5, 9.376e-5
0.045, 3.469e-5, 9.550e-5
0.040, 3.539e-5, 9.727e-5
0.035, 3.572e-5, 9.905e-5
0.030, 3.129e-5, 1.006e-4
0.025, 3.130e-5, 1.022e-4
0.020, 3.343e-5, 1.039e-4
0.015, 3.248e-5, 1.055e-4
0.010, 3.088e-5, 1.070e-4
0.005, 2.805e-5, 1.084e-4
0.000, 2.751e-5, 1.098e-4
-0.005, 3.153e-5, 1.114e-4
-0.010, 3.014e-5, 1.129e-4
-0.015, 3.017e-5, 1.144e-4
-0.020, 3.049e-5, 1.159e-4
-0.025, 3.090e-5, 1.175e-4
-0.030, 3.063e-5, 1.190e-4
-0.035, 3.507e-5, 1.207e-4
-0.040, 3.956e-5, 1.227e-4
-0.045, 3.903e-5, 1.247e-4
-0.050, 3.670e-5, 1.265e-4
-0.055, 3.678e-5, 1.283e-4
-0.060, 3.251e-5, 1.300e-4
-0.065, 2.863e-5, 1.314e-4
-0.070, 2.650e-5, 1.327e-4
-0.075, 2.485e-5, 1.340e-4
-0.080, 2.424e-5, 1.352e-4
-0.085, 2.597e-5, 1.365e-4
-0.090, 2.857e-5, 1.379e-4
-0.095, 3.588e-5, 1.397e-4
-0.100, 3.727e-5, 1.416e-4
-0.105, 3.325e-5, 1.432e-4
-0.110, 3.217e-5, 1.448e-4
-0.115, 3.279e-5, 1.465e-4
-0.120, 3.384e-5, 1.482e-4
-0.125, 3.296e-5, 1.498e-4
-0.130, 3.195e-5, 1.514e-4
-0.135, 3.127e-5, 1.530e-4
-0.140, 2.872e-5, 1.544e-4
-0.145, 2.787e-5, 1.558e-4
-0.150, 2.889e-5, 1.573e-4
-0.155, 3.014e-5, 1.588e-4
-0.160, 2.959e-5, 1.602e-4
-0.165, 2.898e-5, 1.617e-4
-0.170, 3.134e-5, 1.633e-4
-0.175, 3.478e-5, 1.650e-4
-0.180, 3.465e-5, 1.667e-4
-0.185, 3.263e-5, 1.684e-4
-0.190, 2.898e-5, 1.698e-4
-0.195, 2.930e-5, 1.713e-4
-0.200, 3.421e-5, 1.730e-4
-0.205, 3.274e-5, 1.746e-4
-0.210, 3.078e-5, 1.762e-4
-0.215, 2.864e-5, 1.776e-4
-0.220, 2.574e-5, 1.789e-4
-0.225, 2.624e-5, 1.802e-4
-0.230, 2.773e-5, 1.816e-4
-0.235, 3.291e-5, 1.832e-4
-0.240, 3.510e-5, 1.850e-4
-0.245, 3.251e-5, 1.866e-4
-0.250, 2.950e-5, 1.881e-4
-0.255, 2.893e-5, 1.895e-4
-0.260, 3.213e-5, 1.911e-4
-0.265, 3.249e-5, 1.928e-4
-0.270, 2.943e-5, 1.942e-4
-0.275, 2.798e-5, 1.956e-4
-0.280, 3.201e-5, 1.972e-4
-0.285, 3.157e-5, 1.988e-4
-0.290, 2.977e-5, 2.003e-4

Segment 2:
-0.285, 3.150e-5, 2.019e-4
-0.280, 3.225e-5, 2.035e-4
-0.275, 3.141e-5, 2.051e-4
-0.270, 2.991e-5, 2.065e-4
-0.265, 2.780e-5, 2.079e-4
-0.260, 2.514e-5, 2.092e-4
-0.255, 2.476e-5, 2.104e-4
-0.250, 2.642e-5, 2.118e-4
-0.245, 2.861e-5, 2.132e-4
-0.240, 2.765e-5, 2.146e-4
-0.235, 2.556e-5, 2.158e-4
-0.230, 2.519e-5, 2.171e-4
-0.225, 2.842e-5, 2.185e-4
-0.220, 3.320e-5, 2.202e-4
-0.215, 3.043e-5, 2.217e-4
-0.210, 2.639e-5, 2.230e-4
-0.205, 2.578e-5, 2.243e-4
-0.200, 2.523e-5, 2.256e-4
-0.195, 2.555e-5, 2.269e-4
-0.190, 2.938e-5, 2.283e-4
-0.185, 2.928e-5, 2.298e-4
-0.180, 3.123e-5, 2.313e-4
-0.175, 3.319e-5, 2.330e-4
-0.170, 3.306e-5, 2.347e-4
-0.165, 3.060e-5, 2.362e-4
-0.160, 2.726e-5, 2.376e-4
