Nov. 1, 2023   13:07:55
Cyclic Voltammetry
File: c:\users\pku\desktop\zqk\empty-01.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.288
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:
Ep = 0.420V
ip = 1.916e-6A
Ah = 1.532e-6C

Segment 2:

Segment 3:
Ep = 0.425V
ip = 2.187e-6A
Ah = 1.922e-6C

Segment 4:
Ep = -0.059V
ip = -4.225e-7A
Ah = -1.568e-7C

Segment 5:
Ep = 0.427V
ip = 2.242e-6A
Ah = 1.918e-6C

Segment 6:
Ep = -0.063V
ip = -4.464e-7A
Ah = -1.522e-7C

Potential/V, Current/A, Charge/C

Segment 1:
0.649, 9.938e-8, 9.938e-10
0.648, 1.490e-7, 2.484e-9
0.647, 1.672e-7, 4.156e-9
0.646, 1.908e-7, 6.064e-9
0.645, 1.997e-7, 8.061e-9
0.644, 2.202e-7, 1.026e-8
0.643, 2.247e-7, 1.251e-8
0.642, 2.436e-7, 1.495e-8
0.641, 2.476e-7, 1.742e-8
0.640, 2.636e-7, 2.006e-8
0.639, 2.671e-7, 2.273e-8
0.638, 2.814e-7, 2.554e-8
0.637, 2.818e-7, 2.836e-8
0.636, 2.963e-7, 3.132e-8
0.635, 3.002e-7, 3.433e-8
0.634, 3.154e-7, 3.748e-8
0.633, 3.150e-7, 4.063e-8
0.632, 3.286e-7, 4.392e-8
0.631, 3.291e-7, 4.721e-8
0.630, 3.424e-7, 5.063e-8
0.629, 3.431e-7, 5.406e-8
0.628, 3.558e-7, 5.762e-8
0.627, 3.572e-7, 6.119e-8
0.626, 3.673e-7, 6.487e-8
0.625, 3.691e-7, 6.856e-8
0.624, 3.835e-7, 7.239e-8
0.623, 3.814e-7, 7.621e-8
0.622, 3.965e-7, 8.017e-8
0.621, 3.954e-7, 8.412e-8
0.620, 4.092e-7, 8.822e-8
0.619, 4.126e-7, 9.234e-8
0.618, 4.222e-7, 9.656e-8
0.617, 4.228e-7, 1.008e-7
0.616, 4.386e-7, 1.052e-7
0.615, 4.383e-7, 1.096e-7
0.614, 4.405e-7, 1.140e-7
0.613, 4.473e-7, 1.184e-7
0.612, 4.628e-7, 1.231e-7
0.611, 4.640e-7, 1.277e-7
0.610, 4.745e-7, 1.325e-7
0.609, 4.776e-7, 1.372e-7
0.608, 4.906e-7, 1.421e-7
0.607, 4.905e-7, 1.470e-7
0.606, 5.091e-7, 1.521e-7
0.605, 5.089e-7, 1.572e-7
0.604, 5.193e-7, 1.624e-7
0.603, 5.246e-7, 1.677e-7
0.602, 5.363e-7, 1.730e-7
0.601, 5.372e-7, 1.784e-7
0.600, 5.538e-7, 1.839e-7
0.599, 5.529e-7, 1.895e-7
0.598, 5.640e-7, 1.951e-7
0.597, 5.665e-7, 2.008e-7
0.596, 5.824e-7, 2.066e-7
0.595, 5.848e-7, 2.124e-7
0.594, 6.004e-7, 2.184e-7
0.593, 6.031e-7, 2.245e-7
0.592, 6.144e-7, 2.306e-7
0.591, 6.171e-7, 2.368e-7
0.590, 6.338e-7, 2.431e-7
0.589, 6.352e-7, 2.495e-7
0.588, 6.521e-7, 2.560e-7
0.587, 6.556e-7, 2.626e-7
0.586, 6.650e-7, 2.692e-7
0.585, 6.688e-7, 2.759e-7
0.584, 6.879e-7, 2.828e-7
0.583, 6.886e-7, 2.897e-7
0.582, 7.083e-7, 2.967e-7
0.581, 7.113e-7, 3.039e-7
0.580, 7.322e-7, 3.112e-7
0.579, 7.375e-7, 3.186e-7
0.578, 7.547e-7, 3.261e-7
0.577, 7.585e-7, 3.337e-7
0.576, 7.759e-7, 3.414e-7
0.575, 7.791e-7, 3.492e-7
0.574, 7.985e-7, 3.572e-7
0.573, 8.009e-7, 3.652e-7
0.572, 8.193e-7, 3.734e-7
0.571, 8.260e-7, 3.817e-7
0.570, 8.393e-7, 3.901e-7
0.569, 8.459e-7, 3.985e-7
0.568, 8.609e-7, 4.071e-7
0.567, 8.698e-7, 4.158e-7
0.566, 8.842e-7, 4.247e-7
0.565, 8.917e-7, 4.336e-7
0.564, 9.085e-7, 4.427e-7
0.563, 9.211e-7, 4.519e-7
0.562, 9.348e-7, 4.612e-7
0.561, 9.416e-7, 4.707e-7
0.560, 9.586e-7, 4.802e-7
0.559, 9.664e-7, 4.899e-7
0.558, 9.848e-7, 4.998e-7
0.557, 9.943e-7, 5.097e-7
0.556, 1.012e-6, 5.198e-7
0.555, 1.022e-6, 5.300e-7
0.554, 1.039e-6, 5.404e-7
0.553, 1.049e-6, 5.509e-7
0.552, 1.069e-6, 5.616e-7
0.551, 1.075e-6, 5.724e-7
0.550, 1.097e-6, 5.833e-7
0.549, 1.104e-6, 5.944e-7
0.548, 1.125e-6, 6.056e-7
0.547, 1.135e-6, 6.170e-7
0.546, 1.154e-6, 6.285e-7
0.545, 1.166e-6, 6.402e-7
0.544, 1.190e-6, 6.521e-7
0.543, 1.197e-6, 6.640e-7
0.542, 1.221e-6, 6.762e-7
0.541, 1.229e-6, 6.885e-7
0.540, 1.250e-6, 7.010e-7
0.539, 1.265e-6, 7.137e-7
0.538, 1.286e-6, 7.265e-7
0.537, 1.296e-6, 7.395e-7
0.536, 1.320e-6, 7.527e-7
0.535, 1.330e-6, 7.660e-7
0.534, 1.354e-6, 7.795e-7
0.533, 1.368e-6, 7.932e-7
0.532, 1.392e-6, 8.071e-7
0.531, 1.403e-6, 8.211e-7
0.530, 1.427e-6, 8.354e-7
0.529, 1.441e-6, 8.498e-7
0.528, 1.466e-6, 8.645e-7
0.527, 1.481e-6, 8.793e-7
0.526, 1.511e-6, 8.944e-7
0.525, 1.520e-6, 9.096e-7
0.524, 1.545e-6, 9.251e-7
0.523, 1.561e-6, 9.407e-7
0.522, 1.587e-6, 9.565e-7
0.521, 1.606e-6, 9.726e-7
0.520, 1.630e-6, 9.889e-7
0.519, 1.643e-6, 1.005e-6
0.518, 1.672e-6, 1.022e-6
0.517, 1.689e-6, 1.039e-6
0.516, 1.715e-6, 1.056e-6
0.515, 1.732e-6, 1.073e-6
0.514, 1.759e-6, 1.091e-6
0.513, 1.779e-6, 1.109e-6
0.512, 1.808e-6, 1.127e-6
0.511, 1.826e-6, 1.145e-6
0.510, 1.854e-6, 1.164e-6
0.509, 1.873e-6, 1.182e-6
0.508, 1.902e-6, 1.201e-6
0.507, 1.920e-6, 1.221e-6
0.506, 1.948e-6, 1.240e-6
0.505, 1.967e-6, 1.260e-6
0.504, 1.998e-6, 1.280e-6
0.503, 2.016e-6, 1.300e-6
0.502, 2.046e-6, 1.320e-6
0.501, 2.065e-6, 1.341e-6
0.500, 2.098e-6, 1.362e-6
0.499, 2.115e-6, 1.383e-6
0.498, 2.145e-6, 1.405e-6
0.497, 2.168e-6, 1.426e-6
0.496, 2.196e-6, 1.448e-6
0.495, 2.216e-6, 1.470e-6
0.494, 2.249e-6, 1.493e-6
0.493, 2.271e-6, 1.516e-6
0.492, 2.310e-6, 1.539e-6
0.491, 2.331e-6, 1.562e-6
0.490, 2.362e-6, 1.586e-6
0.489, 2.387e-6, 1.610e-6
0.488, 2.417e-6, 1.634e-6
0.487, 2.438e-6, 1.658e-6
0.486, 2.467e-6, 1.683e-6
0.485, 2.491e-6, 1.708e-6
0.484, 2.521e-6, 1.733e-6
0.483, 2.543e-6, 1.758e-6
0.482, 2.578e-6, 1.784e-6
0.481, 2.599e-6, 1.810e-6
0.480, 2.631e-6, 1.836e-6
0.479, 2.652e-6, 1.863e-6
0.478, 2.686e-6, 1.890e-6
0.477, 2.707e-6, 1.917e-6
0.476, 2.738e-6, 1.944e-6
0.475, 2.761e-6, 1.972e-6
0.474, 2.793e-6, 2.000e-6
0.473, 2.812e-6, 2.028e-6
0.472, 2.847e-6, 2.056e-6
0.471, 2.867e-6, 2.085e-6
0.470, 2.901e-6, 2.114e-6
0.469, 2.921e-6, 2.143e-6
0.468, 2.954e-6, 2.173e-6
0.467, 2.975e-6, 2.202e-6
0.466, 3.002e-6, 2.233e-6
0.465, 3.024e-6, 2.263e-6
0.464, 3.062e-6, 2.293e-6
0.463, 3.081e-6, 2.324e-6
0.462, 3.113e-6, 2.355e-6
0.461, 3.133e-6, 2.387e-6
0.460, 3.169e-6, 2.418e-6
0.459, 3.186e-6, 2.450e-6
0.458, 3.212e-6, 2.482e-6
0.457, 3.230e-6, 2.515e-6
0.456, 3.263e-6, 2.547e-6
0.455, 3.276e-6, 2.580e-6
0.454, 3.304e-6, 2.613e-6
0.453, 3.322e-6, 2.646e-6
0.452, 3.348e-6, 2.680e-6
0.451, 3.366e-6, 2.713e-6
0.450, 3.391e-6, 2.747e-6
0.449, 3.407e-6, 2.781e-6
0.448, 3.430e-6, 2.816e-6
0.447, 3.444e-6, 2.850e-6
0.446, 3.469e-6, 2.885e-6
0.445, 3.482e-6, 2.920e-6
0.444, 3.502e-6, 2.955e-6
0.443, 3.516e-6, 2.990e-6
0.442, 3.538e-6, 3.025e-6
0.441, 3.546e-6, 3.061e-6
0.440, 3.568e-6, 3.096e-6
0.439, 3.578e-6, 3.132e-6
0.438, 3.593e-6, 3.168e-6
0.437, 3.603e-6, 3.204e-6
0.436, 3.621e-6, 3.240e-6
0.435, 3.628e-6, 3.277e-6
0.434, 3.642e-6, 3.313e-6
0.433, 3.650e-6, 3.349e-6
0.432, 3.662e-6, 3.386e-6
0.431, 3.664e-6, 3.423e-6
0.430, 3.682e-6, 3.460e-6
0.429, 3.682e-6, 3.496e-6
