Nov. 1, 2023   13:08:54
Cyclic Voltammetry
File: c:\users\pku\desktop\zqk\empty-02.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.288
Init P/N = N
Scan Rate (V/s) = 0.2
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:
Ep = 0.419V
ip = 4.180e-6A
Ah = 1.946e-6C

Segment 2:

Segment 3:
Ep = 0.420V
ip = 4.071e-6A
Ah = 1.744e-6C

Segment 4:

Segment 5:
Ep = 0.421V
ip = 4.152e-6A
Ah = 1.757e-6C

Segment 6:

Potential/V, Current/A, Charge/C

Segment 1:
0.649, 2.969e-7, 1.484e-9
0.648, 3.409e-7, 3.189e-9
0.647, 3.613e-7, 4.996e-9
0.646, 3.690e-7, 6.841e-9
0.645, 3.789e-7, 8.735e-9
0.644, 4.008e-7, 1.074e-8
0.643, 4.187e-7, 1.283e-8
0.642, 4.208e-7, 1.494e-8
0.641, 4.215e-7, 1.704e-8
0.640, 4.529e-7, 1.931e-8
0.639, 4.575e-7, 2.160e-8
0.638, 4.669e-7, 2.393e-8
0.637, 4.690e-7, 2.628e-8
0.636, 4.923e-7, 2.874e-8
0.635, 5.108e-7, 3.129e-8
0.634, 5.107e-7, 3.384e-8
0.633, 5.126e-7, 3.641e-8
0.632, 5.432e-7, 3.912e-8
0.631, 5.445e-7, 4.185e-8
0.630, 5.575e-7, 4.463e-8
0.629, 5.636e-7, 4.745e-8
0.628, 5.825e-7, 5.036e-8
0.627, 6.009e-7, 5.337e-8
0.626, 6.037e-7, 5.639e-8
0.625, 6.080e-7, 5.943e-8
0.624, 6.337e-7, 6.260e-8
0.623, 6.468e-7, 6.583e-8
0.622, 6.550e-7, 6.910e-8
0.621, 6.578e-7, 7.239e-8
0.620, 6.901e-7, 7.584e-8
0.619, 7.091e-7, 7.939e-8
0.618, 7.110e-7, 8.294e-8
0.617, 7.161e-7, 8.652e-8
0.616, 7.580e-7, 9.031e-8
0.615, 7.709e-7, 9.417e-8
0.614, 7.686e-7, 9.801e-8
0.613, 7.863e-7, 1.019e-7
0.612, 8.221e-7, 1.061e-7
0.611, 8.358e-7, 1.102e-7
0.610, 8.456e-7, 1.145e-7
0.609, 8.561e-7, 1.187e-7
0.608, 8.844e-7, 1.232e-7
0.607, 9.076e-7, 1.277e-7
0.606, 9.186e-7, 1.323e-7
0.605, 9.278e-7, 1.369e-7
0.604, 9.598e-7, 1.417e-7
0.603, 9.826e-7, 1.466e-7
0.602, 9.922e-7, 1.516e-7
0.601, 1.005e-6, 1.566e-7
0.600, 1.045e-6, 1.619e-7
0.599, 1.061e-6, 1.672e-7
0.598, 1.076e-6, 1.725e-7
0.597, 1.091e-6, 1.780e-7
0.596, 1.122e-6, 1.836e-7
0.595, 1.147e-6, 1.893e-7
0.594, 1.158e-6, 1.951e-7
0.593, 1.175e-6, 2.010e-7
0.592, 1.214e-6, 2.071e-7
0.591, 1.235e-6, 2.133e-7
0.590, 1.255e-6, 2.195e-7
0.589, 1.266e-6, 2.259e-7
0.588, 1.307e-6, 2.324e-7
0.587, 1.336e-6, 2.391e-7
0.586, 1.344e-6, 2.458e-7
0.585, 1.364e-6, 2.526e-7
0.584, 1.404e-6, 2.596e-7
0.583, 1.423e-6, 2.667e-7
0.582, 1.440e-6, 2.739e-7
0.581, 1.465e-6, 2.813e-7
0.580, 1.504e-6, 2.888e-7
0.579, 1.527e-6, 2.964e-7
0.578, 1.548e-6, 3.042e-7
0.577, 1.565e-6, 3.120e-7
0.576, 1.605e-6, 3.200e-7
0.575, 1.632e-6, 3.282e-7
0.574, 1.656e-6, 3.364e-7
0.573, 1.668e-6, 3.448e-7
0.572, 1.710e-6, 3.533e-7
0.571, 1.741e-6, 3.620e-7
0.570, 1.759e-6, 3.708e-7
0.569, 1.776e-6, 3.797e-7
0.568, 1.820e-6, 3.888e-7
0.567, 1.844e-6, 3.980e-7
0.566, 1.870e-6, 4.074e-7
0.565, 1.885e-6, 4.168e-7
0.564, 1.928e-6, 4.264e-7
0.563, 1.968e-6, 4.363e-7
0.562, 1.979e-6, 4.462e-7
0.561, 2.000e-6, 4.562e-7
0.560, 2.045e-6, 4.664e-7
0.559, 2.069e-6, 4.768e-7
0.558, 2.093e-6, 4.872e-7
0.557, 2.110e-6, 4.978e-7
0.556, 2.156e-6, 5.085e-7
0.555, 2.185e-6, 5.195e-7
0.554, 2.204e-6, 5.305e-7
0.553, 2.226e-6, 5.416e-7
0.552, 2.274e-6, 5.530e-7
0.551, 2.306e-6, 5.645e-7
0.550, 2.332e-6, 5.762e-7
0.549, 2.355e-6, 5.880e-7
0.548, 2.397e-6, 5.999e-7
0.547, 2.432e-6, 6.121e-7
0.546, 2.446e-6, 6.243e-7
0.545, 2.474e-6, 6.367e-7
0.544, 2.516e-6, 6.493e-7
0.543, 2.543e-6, 6.620e-7
0.542, 2.575e-6, 6.749e-7
0.541, 2.595e-6, 6.879e-7
0.540, 2.641e-6, 7.011e-7
0.539, 2.682e-6, 7.145e-7
0.538, 2.697e-6, 7.279e-7
0.537, 2.718e-6, 7.415e-7
0.536, 2.773e-6, 7.554e-7
0.535, 2.800e-6, 7.694e-7
0.534, 2.827e-6, 7.835e-7
0.533, 2.853e-6, 7.978e-7
0.532, 2.895e-6, 8.123e-7
0.531, 2.929e-6, 8.269e-7
0.530, 2.957e-6, 8.417e-7
0.529, 2.976e-6, 8.566e-7
0.528, 3.033e-6, 8.718e-7
0.527, 3.068e-6, 8.871e-7
0.526, 3.105e-6, 9.026e-7
0.525, 3.123e-6, 9.182e-7
0.524, 3.174e-6, 9.341e-7
0.523, 3.218e-6, 9.502e-7
0.522, 3.243e-6, 9.664e-7
0.521, 3.271e-6, 9.828e-7
0.520, 3.320e-6, 9.994e-7
0.519, 3.354e-6, 1.016e-6
0.518, 3.383e-6, 1.033e-6
0.517, 3.416e-6, 1.050e-6
0.516, 3.461e-6, 1.067e-6
0.515, 3.507e-6, 1.085e-6
0.514, 3.531e-6, 1.103e-6
0.513, 3.563e-6, 1.120e-6
0.512, 3.624e-6, 1.139e-6
0.511, 3.657e-6, 1.157e-6
0.510, 3.687e-6, 1.175e-6
0.509, 3.724e-6, 1.194e-6
0.508, 3.765e-6, 1.213e-6
0.507, 3.822e-6, 1.232e-6
0.506, 3.847e-6, 1.251e-6
0.505, 3.883e-6, 1.270e-6
0.504, 3.939e-6, 1.290e-6
0.503, 3.974e-6, 1.310e-6
0.502, 4.012e-6, 1.330e-6
0.501, 4.051e-6, 1.350e-6
0.500, 4.094e-6, 1.371e-6
0.499, 4.149e-6, 1.392e-6
0.498, 4.178e-6, 1.412e-6
0.497, 4.209e-6, 1.434e-6
0.496, 4.266e-6, 1.455e-6
0.495, 4.313e-6, 1.476e-6
0.494, 4.351e-6, 1.498e-6
0.493, 4.382e-6, 1.520e-6
0.492, 4.433e-6, 1.542e-6
0.491, 4.489e-6, 1.565e-6
0.490, 4.517e-6, 1.587e-6
0.489, 4.549e-6, 1.610e-6
0.488, 4.617e-6, 1.633e-6
0.487, 4.658e-6, 1.656e-6
0.486, 4.693e-6, 1.680e-6
0.485, 4.731e-6, 1.704e-6
0.484, 4.787e-6, 1.727e-6
0.483, 4.836e-6, 1.752e-6
0.482, 4.867e-6, 1.776e-6
0.481, 4.908e-6, 1.801e-6
0.480, 4.967e-6, 1.825e-6
0.479, 5.015e-6, 1.850e-6
0.478, 5.056e-6, 1.876e-6
0.477, 5.091e-6, 1.901e-6
0.476, 5.141e-6, 1.927e-6
0.475, 5.197e-6, 1.953e-6
0.474, 5.229e-6, 1.979e-6
0.473, 5.271e-6, 2.005e-6
0.472, 5.329e-6, 2.032e-6
0.471, 5.375e-6, 2.059e-6
0.470, 5.415e-6, 2.086e-6
0.469, 5.459e-6, 2.113e-6
0.468, 5.516e-6, 2.141e-6
0.467, 5.561e-6, 2.169e-6
0.466, 5.597e-6, 2.197e-6
0.465, 5.635e-6, 2.225e-6
0.464, 5.691e-6, 2.253e-6
0.463, 5.735e-6, 2.282e-6
0.462, 5.773e-6, 2.311e-6
0.461, 5.812e-6, 2.340e-6
0.460, 5.867e-6, 2.369e-6
0.459, 5.913e-6, 2.399e-6
0.458, 5.946e-6, 2.428e-6
0.457, 5.982e-6, 2.458e-6
0.456, 6.031e-6, 2.489e-6
0.455, 6.077e-6, 2.519e-6
0.454, 6.107e-6, 2.549e-6
0.453, 6.143e-6, 2.580e-6
0.452, 6.194e-6, 2.611e-6
0.451, 6.239e-6, 2.642e-6
0.450, 6.273e-6, 2.674e-6
0.449, 6.297e-6, 2.705e-6
0.448, 6.341e-6, 2.737e-6
0.447, 6.383e-6, 2.769e-6
0.446, 6.411e-6, 2.801e-6
0.445, 6.435e-6, 2.833e-6
0.444, 6.475e-6, 2.865e-6
0.443, 6.519e-6, 2.898e-6
0.442, 6.539e-6, 2.931e-6
0.441, 6.558e-6, 2.963e-6
0.440, 6.603e-6, 2.996e-6
0.439, 6.630e-6, 3.030e-6
0.438, 6.652e-6, 3.063e-6
0.437, 6.674e-6, 3.096e-6
0.436, 6.701e-6, 3.130e-6
0.435, 6.728e-6, 3.163e-6
0.434, 6.744e-6, 3.197e-6
0.433, 6.760e-6, 3.231e-6
0.432, 6.787e-6, 3.265e-6
0.431, 6.814e-6, 3.299e-6
0.430, 6.828e-6, 3.333e-6
0.429, 6.836e-6, 3.367e-6
0.428, 6.855e-6, 3.402e-6
0.427, 6.877e-6, 3.436e-6
0.426, 6.882e-6, 3.470e-6
