Nov. 1, 2023   13:55:14
Cyclic Voltammetry
File: c:\users\pku\desktop\zqk\жаЫй.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.1
Low E (V) = -0.29
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.005
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:
Ep = 0.385V
ip = 1.660e-5A
Ah = 1.180e-5C

Ep = -0.245V
ip = 2.123e-6A
Ah = 9.154e-7C

Segment 2:
Segment 3:
Ep = 0.380V
ip = 1.586e-5A
Ah = 1.203e-5C

Ep = -0.255V
ip = 6.015e-6A
Ah = 6.398e-6C

Segment 4:
Segment 5:
Ep = 0.380V
ip = 1.589e-5A
Ah = 1.203e-5C

Ep = -0.285V
ip = 3.992e-7A
Ah = 1.424e-7C

Segment 6:

Potential/V, Current/A, Charge/C

Segment 1:
0.645, 1.944e-7, 9.721e-9
0.640, 2.408e-7, 2.176e-8
0.635, 2.789e-7, 3.571e-8
0.630, 3.115e-7, 5.128e-8
0.625, 3.422e-7, 6.839e-8
0.620, 3.757e-7, 8.717e-8
0.615, 4.028e-7, 1.073e-7
0.610, 4.395e-7, 1.293e-7
0.605, 4.756e-7, 1.531e-7
0.600, 5.160e-7, 1.789e-7
0.595, 5.560e-7, 2.067e-7
0.590, 5.997e-7, 2.367e-7
0.585, 6.492e-7, 2.691e-7
0.580, 7.043e-7, 3.043e-7
0.575, 7.702e-7, 3.428e-7
0.570, 8.353e-7, 3.846e-7
0.565, 9.046e-7, 4.298e-7
0.560, 9.815e-7, 4.789e-7
0.555, 1.065e-6, 5.322e-7
0.550, 1.158e-6, 5.901e-7
0.545, 1.261e-6, 6.531e-7
0.540, 1.377e-6, 7.219e-7
0.535, 1.502e-6, 7.971e-7
0.530, 1.647e-6, 8.794e-7
0.525, 1.805e-6, 9.696e-7
0.520, 1.981e-6, 1.069e-6
0.515, 2.183e-6, 1.178e-6
0.510, 2.420e-6, 1.299e-6
0.505, 2.672e-6, 1.432e-6
0.500, 2.965e-6, 1.581e-6
0.495, 3.300e-6, 1.746e-6
0.490, 3.684e-6, 1.930e-6
0.485, 4.127e-6, 2.136e-6
0.480, 4.629e-6, 2.368e-6
0.475, 5.203e-6, 2.628e-6
0.470, 5.862e-6, 2.921e-6
0.465, 6.601e-6, 3.251e-6
0.460, 7.436e-6, 3.623e-6
0.455, 8.338e-6, 4.040e-6
0.450, 9.310e-6, 4.505e-6
0.445, 1.034e-5, 5.022e-6
0.440, 1.140e-5, 5.592e-6
0.435, 1.247e-5, 6.216e-6
0.430, 1.353e-5, 6.893e-6
0.425, 1.453e-5, 7.619e-6
0.420, 1.545e-5, 8.392e-6
0.415, 1.628e-5, 9.206e-6
0.410, 1.699e-5, 1.006e-5
0.405, 1.756e-5, 1.093e-5
0.400, 1.800e-5, 1.183e-5
0.395, 1.830e-5, 1.275e-5
0.390, 1.846e-5, 1.367e-5
0.385, 1.850e-5, 1.460e-5
0.380, 1.844e-5, 1.552e-5
0.375, 1.830e-5, 1.643e-5
0.370, 1.810e-5, 1.734e-5
0.365, 1.784e-5, 1.823e-5
0.360, 1.756e-5, 1.911e-5
0.355, 1.728e-5, 1.997e-5
0.350, 1.698e-5, 2.082e-5
0.345, 1.671e-5, 2.166e-5
0.340, 1.644e-5, 2.248e-5
0.335, 1.616e-5, 2.329e-5
0.330, 1.594e-5, 2.408e-5
0.325, 1.576e-5, 2.487e-5
0.320, 1.552e-5, 2.565e-5
0.315, 1.528e-5, 2.641e-5
0.310, 1.509e-5, 2.717e-5
0.305, 1.489e-5, 2.791e-5
0.300, 1.469e-5, 2.865e-5
0.295, 1.450e-5, 2.937e-5
0.290, 1.431e-5, 3.009e-5
0.285, 1.415e-5, 3.079e-5
0.280, 1.402e-5, 3.149e-5
0.275, 1.390e-5, 3.219e-5
0.270, 1.380e-5, 3.288e-5
0.265, 1.372e-5, 3.357e-5
0.260, 1.366e-5, 3.425e-5
0.255, 1.361e-5, 3.493e-5
0.250, 1.357e-5, 3.561e-5
0.245, 1.354e-5, 3.628e-5
0.240, 1.346e-5, 3.696e-5
0.235, 1.335e-5, 3.763e-5
0.230, 1.317e-5, 3.828e-5
0.225, 1.298e-5, 3.893e-5
0.220, 1.278e-5, 3.957e-5
0.215, 1.260e-5, 4.020e-5
0.210, 1.243e-5, 4.082e-5
0.205, 1.228e-5, 4.144e-5
0.200, 1.213e-5, 4.204e-5
0.195, 1.199e-5, 4.264e-5
0.190, 1.189e-5, 4.324e-5
0.185, 1.180e-5, 4.383e-5
0.180, 1.170e-5, 4.441e-5
0.175, 1.155e-5, 4.499e-5
0.170, 1.142e-5, 4.556e-5
0.165, 1.136e-5, 4.613e-5
0.160, 1.130e-5, 4.670e-5
0.155, 1.122e-5, 4.726e-5
0.150, 1.114e-5, 4.781e-5
0.145, 1.109e-5, 4.837e-5
0.140, 1.106e-5, 4.892e-5
0.135, 1.105e-5, 4.947e-5
0.130, 1.102e-5, 5.002e-5
0.125, 1.098e-5, 5.057e-5
0.120, 1.097e-5, 5.112e-5
0.115, 1.103e-5, 5.167e-5
0.110, 1.110e-5, 5.223e-5
0.105, 1.107e-5, 5.278e-5
0.100, 1.102e-5, 5.333e-5
0.095, 1.105e-5, 5.389e-5
0.090, 1.112e-5, 5.444e-5
0.085, 1.115e-5, 5.500e-5
0.080, 1.114e-5, 5.556e-5
0.075, 1.115e-5, 5.611e-5
0.070, 1.120e-5, 5.667e-5
0.065, 1.125e-5, 5.724e-5
0.060, 1.127e-5, 5.780e-5
0.055, 1.121e-5, 5.836e-5
0.050, 1.121e-5, 5.892e-5
0.045, 1.124e-5, 5.948e-5
0.040, 1.125e-5, 6.005e-5
0.035, 1.125e-5, 6.061e-5
0.030, 1.124e-5, 6.117e-5
0.025, 1.126e-5, 6.173e-5
0.020, 1.128e-5, 6.230e-5
0.015, 1.130e-5, 6.286e-5
0.010, 1.131e-5, 6.343e-5
0.005, 1.134e-5, 6.399e-5
0.000, 1.141e-5, 6.456e-5
-0.005, 1.149e-5, 6.514e-5
-0.010, 1.153e-5, 6.571e-5
-0.015, 1.155e-5, 6.629e-5
-0.020, 1.163e-5, 6.687e-5
-0.025, 1.177e-5, 6.746e-5
-0.030, 1.189e-5, 6.806e-5
-0.035, 1.196e-5, 6.866e-5
-0.040, 1.209e-5, 6.926e-5
-0.045, 1.234e-5, 6.988e-5
-0.050, 1.262e-5, 7.051e-5
-0.055, 1.281e-5, 7.115e-5
-0.060, 1.299e-5, 7.180e-5
-0.065, 1.318e-5, 7.246e-5
-0.070, 1.341e-5, 7.313e-5
-0.075, 1.360e-5, 7.381e-5
-0.080, 1.375e-5, 7.449e-5
-0.085, 1.390e-5, 7.519e-5
-0.090, 1.404e-5, 7.589e-5
-0.095, 1.414e-5, 7.660e-5
-0.100, 1.423e-5, 7.731e-5
-0.105, 1.432e-5, 7.803e-5
-0.110, 1.442e-5, 7.875e-5
-0.115, 1.444e-5, 7.947e-5
-0.120, 1.444e-5, 8.019e-5
-0.125, 1.448e-5, 8.092e-5
-0.130, 1.446e-5, 8.164e-5
-0.135, 1.444e-5, 8.236e-5
-0.140, 1.448e-5, 8.308e-5
-0.145, 1.447e-5, 8.381e-5
-0.150, 1.441e-5, 8.453e-5
-0.155, 1.443e-5, 8.525e-5
-0.160, 1.445e-5, 8.597e-5
-0.165, 1.445e-5, 8.670e-5
-0.170, 1.447e-5, 8.742e-5
-0.175, 1.454e-5, 8.815e-5
-0.180, 1.464e-5, 8.888e-5
-0.185, 1.483e-5, 8.962e-5
-0.190, 1.503e-5, 9.037e-5
-0.195, 1.523e-5, 9.113e-5
-0.200, 1.545e-5, 9.191e-5
-0.205, 1.567e-5, 9.269e-5
-0.210, 1.588e-5, 9.348e-5
-0.215, 1.610e-5, 9.429e-5
-0.220, 1.630e-5, 9.510e-5
-0.225, 1.647e-5, 9.593e-5
-0.230, 1.655e-5, 9.675e-5
-0.235, 1.662e-5, 9.758e-5
-0.240, 1.673e-5, 9.842e-5
-0.245, 1.677e-5, 9.926e-5
-0.250, 1.672e-5, 1.001e-4
-0.255, 1.659e-5, 1.009e-4
-0.260, 1.649e-5, 1.017e-4
-0.265, 1.635e-5, 1.026e-4
-0.270, 1.615e-5, 1.034e-4
-0.275, 1.595e-5, 1.042e-4
-0.280, 1.580e-5, 1.050e-4
-0.285, 1.560e-5, 1.057e-4
-0.290, 1.329e-5, 1.064e-4

Segment 2:
-0.285, 1.188e-5, 1.070e-4
-0.280, 1.140e-5, 1.076e-4
-0.275, 1.102e-5, 1.081e-4
-0.270, 1.065e-5, 1.087e-4
-0.265, 1.033e-5, 1.092e-4
-0.260, 1.003e-5, 1.097e-4
-0.255, 9.745e-6, 1.102e-4
-0.250, 9.486e-6, 1.106e-4
-0.245, 9.230e-6, 1.111e-4
-0.240, 8.992e-6, 1.115e-4
-0.235, 8.785e-6, 1.120e-4
-0.230, 8.618e-6, 1.124e-4
-0.225, 8.470e-6, 1.128e-4
-0.220, 8.340e-6, 1.133e-4
-0.215, 8.229e-6, 1.137e-4
-0.210, 8.143e-6, 1.141e-4
-0.205, 8.059e-6, 1.145e-4
-0.200, 7.956e-6, 1.149e-4
-0.195, 7.888e-6, 1.153e-4
-0.190, 7.860e-6, 1.157e-4
-0.185, 7.825e-6, 1.161e-4
-0.180, 7.807e-6, 1.164e-4
-0.175, 7.815e-6, 1.168e-4
-0.170, 7.812e-6, 1.172e-4
-0.165, 7.778e-6, 1.176e-4
-0.160, 7.762e-6, 1.180e-4
